Words,Count
youll,445
piece,201
seen,519
bet,281
free,417
week,190
find,599
their,435
clear,184
dollar,232
hate,507
ladies,234
throw,630
flip,238
fight,347
ring,253
ten,283
last,642
wish,437
thank,196
theyre,237
nobody,621
homies,264
people,1079
gets,276
magic,204
different,373
couldnt,383
matter,397
speak,256
four,506
plan,196
raw,202
chorus,305
another,794
dreams,272
started,337
fake,261
used,694
hands,494
drunk,182
stuck,264
wall,224
days,359
phone,404
saying,326
saw,253
making,259
turned,212
rather,195
feeling,310
nothing,542
past,212
waiting,188
party,624
shes,399
listen,484
finger,191
mr,274
ay,293
write,210
lord,498
motherfucking,211
motherfuckers,278
trust,313
juice,182
mc,223
wonder,195
reason,214
killa,393
shot,545
hol,226
knew,323
doing,365
until,366
hes,561
whatever,303
hair,216
hoe,191
king,405
dream,297
things,577
rhymes,349
times,468
gimme,184
sun,201
brain,319
till,199
most,312
lights,270
cops,263
close,359
brothers,289
other,665
crib,271
quick,271
women,202
shut,300
murder,308
problem,260
cmon,342
dirty,309
means,187
living,322
clap,235
twerk,192
shorty,223
pray,288
hang,191
imma,388
tight,226
thang,243
respect,295
spit,314
ghetto,321
while,831
probably,272
sold,188
2,307
low,460
dark,211
hook,214
master,181
west,228
coast,185
thinkin,298
alone,326
minute,223
sometimes,281
may,184
stupid,276
record,208
goes,385
enough,454
dat,256
heaven,202
rhyme,359
wave,218
wasnt,301
must,464
knows,197
guess,347
chick,255
coming,416
thugs,191
wow,289
running,269
alive,252
yourself,366
comes,313
rapper,186
soulja,186
mic,437
makes,183
heat,203
hello,224
wild,259
sweet,192
style,370
beef,263
far,301
funky,242
nice,270
bass,186
thinking,203
mcs,185
dumb,272
hiphop,229
woman,193
forever,345
against,189
today,332
touch,350
wake,356
maybe,343
york,276
yup,308
jam,192
window,190
21,381
ayo,186
