Yearly info for Drake,Frequency
2018,"{'and': 68, 'they': 29, 'wishin': 26, 'on': 29, 'me': 126, 'yeah': 32, 'i': 95, 'been': 7, 'movin': 1, 'calm': 1, 'dont': 18, 'start': 2, 'no': 12, 'trouble': 1, 'with': 16, 'tryna': 5, 'keep': 6, 'it': 32, 'peaceful': 1, 'is': 34, 'a': 60, 'struggle': 1, 'for': 88, 'pull': 1, 'up': 17, 'at': 2, '6': 2, 'am': 4, 'to': 40, 'cuddle': 1, 'you': 98, 'know': 20, 'how': 6, 'like': 19, 'when': 6, 'lovin': 1, 'wanna': 5, 'die': 6, 'them': 7, 'miss': 2, 'yes': 1, 'see': 6, 'the': 83, 'things': 10, 'that': 55, 'hope': 1, 'got': 25, 'some': 6, 'brothers': 2, 'outlive': 1, 'gon': 3, 'tell': 2, 'story': 1, 'shit': 21, 'was': 2, 'different': 1, 'gods': 4, 'plan': 4, 'hold': 3, 'back': 9, 'sometimes': 2, 'wont': 7, 'yuh': 1, 'feel': 3, 'good': 1, 'ayy': 18, 'finessed': 1, 'down': 13, 'weston': 1, 'road': 3, 'nessed': 1, 'might': 2, 'go': 15, 'god': 2, 'wait': 4, 'hard': 6, 'southside': 2, 'g': 2, 'make': 17, 'sure': 2, 'northside': 2, 'eat': 2, 'still': 6, 'bad': 12, 'its': 19, 'lot': 8, 'of': 14, 'she': 9, 'say': 9, 'do': 10, 'love': 15, 'her': 3, 'only': 6, 'partly': 1, 'my': 38, 'bed': 2, 'mama': 1, 'im': 35, 'sorry': 1, 'fifty': 2, 'dub': 1, 'even': 4, 'tatted': 1, '81': 1, 'theyll': 2, 'bring': 8, 'crashers': 1, 'party': 1, 'turn': 1, 'o2': 1, 'into': 1, 'o3': 1, 'dog': 4, 'without': 5, '40': 1, 'oli': 1, 'thered': 1, 'be': 14, 'magine': 1, 'if': 3, 'never': 8, 'met': 2, 'broskies': 1, 'cant': 7, 'this': 13, 'own': 1, 'someone': 2, 'watchin': 1, 'close': 2, 'yep': 1, 'ive': 3, 'since': 2, 'scarlett': 1, 'as': 2, 'trap': 2, 'trapmoneybenny': 3, 'in': 17, 'feelings': 2, 'gotta': 30, 'real': 11, 'kiki': 2, 'are': 6, 'riding': 6, 'youll': 6, 'ever': 10, 'leave': 6, 'from': 25, 'beside': 6, 'cause': 11, 'want': 11, 'ya': 11, 'need': 9, 'always': 10, 'kb': 2, 'look': 5, 'new': 2, 'really': 4, 'swear': 1, 'before': 1, 'try': 2, 'kill': 1, 'choices': 1, 'runnin': 1, 'out': 7, 'options': 1, 'goin': 2, 'off': 8, 'stoppin': 1, 'get': 10, 'toppin': 1, 'youve': 2, 'learnin': 1, 'shoppin': 1, 'spend': 1, 'earned': 1, 'popped': 1, 'your': 9, 'ex': 6, 'he': 3, 'deserved': 1, 'thought': 1, 'were': 1, 'one': 8, 'jump': 17, 'confirmed': 1, 'buy': 2, 'champagne': 1, 'but': 10, 'henny': 1, 'block': 3, 'jenny': 1, 'special': 1, 'girl': 3, 'too': 1, 'many': 1, 'resha': 1, 'jt': 1, 'two': 2, 'bitches': 1, 'we': 2, 'kissin': 1, 'wraith': 3, 'kissinkissin': 1, 'kisskissin': 1, 'black': 4, 'card': 1, 'code': 2, 'safe': 2, 'codecode': 1, 'safesafe': 1, 'show': 1, 'him': 3, 'neck': 2, 'work': 2, 'fuck': 4, 'netflix': 1, 'chillwhats': 1, 'netnetnet': 1, 'worth': 1, 'guess': 1, 'whos': 1, 'ddown': 1, 'al': 2, 'biggy': 3, 'blake': 1, 'dddown': 1, 'boy': 2, 'nigga': 5, 'trade': 1, 'skate': 1, 'smoke': 1, 'rap': 2, 'now': 3, 'let': 4, 'ass': 13, 'bbring': 1, 'shawty': 2, 'hit': 14, 'ima': 2, 'clap': 2, 'youre': 2, 'clapclap': 1, 'clapclapclap': 1, 'lets': 4, 'yup': 1, 'blaqnmild': 2, 'genius': 2, 'diggin': 2, 'care': 16, 'photo': 1, 'drake': 1, 'because': 1, 'instagram': 1, 'weak': 1, 'just': 6, 'being': 1, 'who': 1, 'mothafuckin': 3, 'representin': 1, 'here': 2, 'tonight': 1, 'lettin': 1, 'can': 2, 'explain': 1, 'myself': 2, 'said': 17, 'youd': 15, 'there': 16, 'lil': 1, 'weezyana': 1, 'cry': 13, 'murda': 1, 'beat': 1, 'give': 14, 'why': 8, 'live': 6, 'song': 2, 'yall': 1, 'cut': 2, 'everybody': 1, 'roll': 1, 'shorty': 1, 'doesnt': 1, 'slow': 1, 'had': 6, 'man': 4, 'last': 2, 'year': 1, 'life': 5, 'goes': 1, 'havent': 1, 'thing': 1, 'loose': 2, 'so': 5, 'long': 1, 'inside': 1, 'lay': 1, 'low': 1, 'peepin': 1, 'what': 9, 'bringin': 1, 'table': 1, 'workin': 1, 'everything': 1, 'paid': 1, 'firstlast': 1, 'phone': 4, 'bill': 2, 'car': 1, 'note': 1, 'cable': 1, 'angles': 3, 'snappin': 2, 'fabo': 2, 'showin': 4, 'alright': 6, 'short': 3, 'thats': 8, 'reflection': 2, 'follow': 2, 'mention': 2, 'pipin': 2, 'these': 7, 'niggas': 10, 'nice': 2, 'understand': 2, 'hunnid': 2, 'bands': 2, 'baby': 1, 'benz': 1, 'friends': 1, 'high': 1, 'school': 1, 'pics': 1, 'then': 4, 'aint': 3, 'stressin': 1, 'lover': 1, 'past': 1, 'tense': 1, 'already': 1, '8': 1, 'finish': 1, 'round': 1, 'five': 1, 'hoes': 2, 'talk': 1, 'em': 6, 'outside': 1, 'same': 1, 'offline': 1, 'dark': 2, 'days': 1, 'times': 1, 'doin': 4, 'overtime': 1, 'month': 3, 'saturday': 1, 'call': 2, 'girls': 1, 'gassed': 1, 'club': 3, 'uhhuh': 1, 'oh': 2, 'mad': 1, 'made': 2, 'watch': 1, 'breakdown': 1, 'gggotta': 3, 'bend': 7, 'over': 12, 'lift': 7, 'tay': 1, 'keith': 1, 'flipped': 3, 'switch': 1, 'nobody': 1, 'else': 1, 'bodies': 1, 'drop': 1, 'floor': 1, 'top': 1, 'rollie': 3, 'not': 3, 'stopwatch': 3, 'stop': 3, 'flow': 2, 'hot': 4, 'super': 2, 'respect': 3, 'took': 2, 'left': 6, 'ambidex': 1, 'bitch': 1, 'move': 1, 'through': 1, 'london': 1, 'eurostep': 1, 'sneaker': 1, 'deal': 1, 'break': 1, 'sweat': 1, 'catch': 1, 'gone': 2, 'outta': 3, '23': 1, 'lebron': 1, 'servin': 2, 'pack': 2, 'pullin': 2, 'gimmicks': 1, 'scared': 1, 'funny': 1, 'shook': 2, 'curtain': 1, 'by': 1, 'take': 4, 'bar': 1, 'spitta': 1, 'hitta': 1, 'lightskinned': 1, 'wig': 1, 'splitta': 1, 'tall': 1, 'figure': 1, 'an': 2, 'unforgivin': 1, 'wildass': 1, 'somethin': 1, 'wrong': 1, 'all': 3, 'bitter': 1, 'printer': 1, 'gravedigger': 1, 'have': 1, 'time': 2, 'misunderstandings': 1, 'again': 2, 'head': 18, 'spinnin': 14, 'smokin': 13, 'chicken': 13, 'bass': 13, 'kickin': 13, 'future': 1, 'business': 1, 'ran': 1, 'ollie': 1, 'owl': 1, 'told': 1, 'brand': 1, '2': 1, 'million': 3, 'pop': 2, 'standard': 1, 'went': 2, 'blind': 1, 'hand': 4, 'gimme': 1, 'prayed': 2, 'amen': 1, 'lord': 1, 'moment': 1, 'came': 1, 'more': 1, 'play': 1, 'nah': 7, 'mournin': 1, '8am': 1, 'rip': 1, 'pinky': 1, 'ring': 2, 'til': 1, 'wedding': 1, 'whoa': 2, 'anything': 1, 'big': 3, 'slice': 1, 'king': 1, 'slime': 1, 'drizzy': 1, 'damn': 1, 'woo': 1, 'bae': 1, 'thizzle': 1, 'dance': 1, 'mac': 1, 'dre': 1, 'either': 1, 'upper': 1, 'bubba': 1, 'other': 1, 'hundred': 1, 'palace': 1, 'buckingham': 1, 'bills': 2, 'williams': 1, 'reasons': 1, 'crazy': 1, 'trillion': 1, 'tryin': 1, 'resilient': 1, 'public': 1, 'civilian': 1, 'hardly': 3, 'offense': 1, 'money': 2, 'revenge': 1, 'expense': 1, 'haymon': 1, 'checks': 1, 'events': 1, 'profit': 1, 'percents': 1, 'part': 1, 'resents': 1, 'knew': 1, 'started': 1, 'content': 1, 'represent': 1, 'working': 1, 'dying': 1, 'upset': 3, 'thousand': 2, 'disrespect': 3, 'offended': 2, 'double': 2, 'check': 3, 'sex': 1, 'way': 1, 'expect': 1, 'blood': 3, 'cold': 3, 'soul': 5, 'thankful': 3, 'women': 3, 'fiftyfifty': 3, 'ho': 3, 'every': 2, 'supposed': 1, 'pay': 1, 'seven': 1, 'years': 1, 'dad': 1, 'child': 1, 'support': 1, '1991': 1, 'town': 1, 'people': 1, 'come': 2, 'around': 1, 'word': 1, 'flacko': 1, 'jodye': 1, 'done': 1, 'seen': 1, 'us': 1, 'put': 1, 'askin': 1, 'cool': 1, 'set': 4, 'think': 1, 'playin': 1, 'chess': 1, 'whats': 1, 'next': 1, 'possessed': 1, 'tour': 1, 'drinkin': 1, 'less': 1, 'end': 1, 'gettin': 2, 'pictures': 1, 'sms': 1, 'triple': 1, 'x': 1, 'shoot': 1, 'below': 1, 'skrr': 3, 'shootin': 1, 'dead': 1, 'kind': 1, 'gets': 1, 'puttin': 1, 'front': 2, 'settle': 1, 'court': 1, 'run': 1, 'ask': 1, 'half': 2, 'accept': 1, 'least': 1, 'makes': 1, 'tried': 1, 'their': 1, 'best': 1, 'waste': 1, 'guest': 1, 'vest': 1, 'tec': 1, 'blessed': 1, 'checked': 3, 'hate': 1, 'flesh': 2, 'shes': 1, 'collect': 1, 'box': 1}"
2015,"{'you': 116, 'used': 11, 'to': 47, 'call': 12, 'me': 60, 'on': 28, 'my': 68, 'yeah': 24, 'cell': 8, 'phone': 8, 'latenight': 8, 'when': 25, 'need': 13, 'love': 11, 'and': 34, 'i': 124, 'know': 41, 'that': 59, 'hotline': 8, 'bling': 9, 'can': 16, 'only': 10, 'mean': 9, 'one': 26, 'thing': 10, 'ever': 7, 'since': 5, 'left': 7, 'the': 77, 'city': 10, 'got': 41, 'a': 71, 'reputation': 1, 'for': 32, 'yourself': 2, 'now': 7, 'everybody': 2, 'knows': 1, 'feel': 5, 'out': 13, 'girl': 5, 'down': 14, 'stressed': 1, 'cause': 5, 'started': 1, 'wearing': 1, 'less': 1, 'goin': 2, 'more': 2, 'glasses': 1, 'of': 26, 'champagne': 1, 'dance': 2, 'floor': 2, 'hangin': 2, 'with': 27, 'some': 2, 'girls': 5, 'ive': 3, 'never': 6, 'seen': 4, 'before': 4, 'we': 19, 'just': 13, 'dont': 18, 'get': 6, 'along': 1, 'make': 9, 'like': 19, 'did': 5, 'wrong': 3, 'going': 5, 'places': 1, 'where': 8, 'belong': 1, 'exactly': 1, 'what': 11, 'asked': 1, 'running': 2, 'pages': 1, 'in': 19, 'your': 13, 'passport': 1, 'these': 9, 'days': 6, 'all': 19, 'do': 14, 'is': 11, 'wonder': 2, 'if': 19, 'youre': 6, 'bendin': 1, 'over': 8, 'backwards': 1, 'someone': 4, 'else': 6, 'rolling': 1, 'up': 22, 'backwoods': 1, 'doing': 1, 'things': 8, 'taught': 2, 'gettin': 3, 'nasty': 2, 'no': 8, 'nobody': 1, 'why': 4, 'alone': 2, 'always': 4, 'touching': 1, 'road': 3, 'stay': 2, 'at': 7, 'home': 1, 'be': 6, 'good': 12, 'was': 10, 'zone': 1, 'should': 1, 'right': 2, 'hol': 6, 'it': 23, 'yute': 1, 'sleepin': 1, 'streets': 1, 'shaky': 1, 'warrior': 1, 'this': 28, 'oliver': 1, '40': 1, 'niko': 1, 'shit': 31, 'man': 12, '15': 1, 'fort': 1, 'york': 1, 'yknow': 1, 'boi1da': 1, 'whats': 2, 'poppin': 2, 'runnin': 7, 'through': 9, '6': 9, 'woes': 8, 'countin': 1, 'money': 4, 'how': 19, 'goes': 1, 'pray': 6, 'real': 10, 'live': 3, 'forever': 2, 'fakes': 1, 'exposed': 1, 'want': 4, 'ferrari': 1, 'then': 5, 'swerve': 1, 'bugatti': 1, 'hurt': 1, 'aint': 7, 'rockin': 1, 'jewelry': 1, 'thats': 7, 'purpose': 1, 'niggas': 16, 'spot': 1, 'deserve': 1, 'serious': 1, 'they': 37, 'take': 8, 'themselves': 1, 'been': 5, 'guess': 2, 'myself': 2, 'shakiness': 1, 'have': 1, 'time': 5, 'too': 11, 'turned': 1, 'ill': 1, 'fine': 1, 'find': 2, 'nigga': 30, 'named': 1, 'johnny': 1, 'he': 2, 'put': 5, 'finer': 1, 'had': 3, 'job': 1, 'sellin': 1, 'girbaud': 1, 'jeans': 1, 'yellow': 1, 'technomarine': 1, 'kanye': 1, 'dropped': 1, 'polos': 1, 'backpacks': 1, 'ethan': 1, 'pushin': 1, 'subaru': 1, 'hatchback': 1, 'im': 43, 'talkin': 6, 'way': 8, 'hashtags': 1, 'go': 23, 'fuck': 10, 'them': 3, 'irrational': 2, 'woah': 5, 'flow': 1, 'top': 1, 'boy': 3, 'so': 6, 'international': 1, 'reps': 1, 'here': 2, 'p': 1, 'reign': 1, 'chubby': 1, 'tj': 1, 'winnie': 1, 'might': 2, 'declare': 1, 'holiday': 1, 'as': 4, 'soon': 2, 'baka': 1, 'back': 30, 'but': 6, 'wanna': 7, 'patch': 1, 'mash': 1, 'jibba': 1, 'whip': 1, 'ride': 1, 'passenger': 1, 'two': 2, 'three': 1, 'turnin': 1, 'into': 3, 'thinks': 1, 'about': 8, 'women': 1, '247': 1, 'life': 4, 'took': 2, 'happened': 1, 'shell': 1, 'yuh': 5, 'eye': 1, 'nuh': 4, 'big': 1, 'haffi': 1, 'look': 3, 'head': 1, 'book': 1, 'dun': 1, 'de': 1, 'unruly': 2, 'boss': 2, 'dis': 1, 'bomboclat': 1, 'otha': 1, 'ovo': 2, 'or': 6, 'chromatic': 1, 'jus': 1, 'suck': 1, 'mada': 1, 'apology': 1, 'neither': 1, 'youth': 1, 'say': 3, 'cute': 1, 'diss': 1, 'will': 1, 'execute': 1, 'truth': 1, 'machine': 1, 'gun': 1, 'shots': 1, 'oh': 16, 'not': 7, 'again': 3, 'learned': 1, 'game': 1, 'from': 10, 'william': 1, 'wesley': 1, 'check': 2, 'didnt': 2, 'message': 1, 'cover': 1, 'lethal': 1, 'weapon': 1, 'jordan': 1, '96': 1, '97': 1, 'woahvery': 1, 'important': 1, 'very': 1, 'pretentious': 1, 'mad': 3, 'gave': 2, 'attention': 1, 'its': 10, 'weighin': 1, 'heavy': 1, 'conscience': 1, 'options': 1, 'see': 6, 'insane': 1, 'gon': 10, 'step': 1, 'fuckin': 7, 'frame': 1, 'buy': 1, 'bottles': 1, 'charlamagne': 1, 'waited': 1, 'four': 1, 'yall': 6, 'drove': 1, 'wraith': 1, 'playin': 1, 'arab': 1, 'sure': 3, 'really': 2, 'made': 1, 'gotta': 4, 'rap': 2, 'cant': 8, 'fool': 1, 'second': 1, 'tootsies': 1, 'shoulder': 1, 'rubs': 1, 'think': 2, 'write': 2, 'enough': 1, 'midas': 1, 'touch': 1, 'her': 4, 'give': 2, 'world': 2, 'tour': 3, 'thug': 1, 'she': 10, 'meant': 1, 'told': 1, 'open': 1, 'trigger': 1, 'fingers': 2, 'turn': 2, 'twitter': 1, 'bodied': 1, 'by': 1, 'singin': 1, 'type': 2, 'thatll': 2, 'shoutout': 1, 'bitches': 2, 'wifin': 1, 'hit': 3, 'him': 2, 'prenup': 1, 'tell': 8, 'ease': 1, 'another': 2, 'still': 14, 'other': 1, 'drink': 2, 'hear': 5, 'even': 2, 'better': 2, 'friends': 3, 'saying': 1, 'drizzy': 1, 'em': 6, 'puttin': 1, 'show': 2, 'sellout': 1, 'event': 1, 'seatin': 1, 'every': 2, 'reason': 2, 'point': 1, 'tryin': 1, 'youd': 1, 'fame': 1, 'would': 1, 'freedom': 1, 'please': 6, 'wire': 1, 'earpiece': 1, 'let': 3, 'near': 1, 'come': 1, 'great': 1, 'whos': 1, 'who': 4, 'somebody': 2, 'stop': 1, 'boasy': 1, 'gwanin': 1, 'wassy': 1, 'fest': 1, 'five': 1, 'stage': 1, 'ask': 2, 'play': 2, 'break': 1, 'views': 1, 'six': 2, 'lickwood': 1, 'means': 2, 'rewind': 2, 'gunshot': 1, 'forward': 1, 'requested': 1, 'enemies': 10, 'lot': 9, 'people': 6, 'tryna': 11, 'drain': 4, 'energy': 4, 'wave': 5, 'kid': 4, 'day': 2, 'online': 1, 'part': 1, 'family': 1, 'leave': 1, 'canada': 1, 'mortgages': 1, 'thirty': 1, 'million': 1, 'total': 1, 'try': 1, 'act': 1, 'actin': 2, 'are': 22, 'bought': 4, 'purse': 1, 'truck': 1, 'house': 2, 'mall': 1, 'keep': 3, 'buyin': 1, 'track': 1, 'askin': 1, 'code': 1, 'wifi': 1, 'talk': 2, 'timeline': 3, 'pictures': 1, 'exgirl': 1, 'female': 1, 'version': 1, 'strippers': 1, 'virgins': 1, 'bout': 5, 'high': 1, 'hopes': 1, 'courts': 1, 'til': 1, 'free': 1, 'ass': 1, 'uber': 1, 'somewhere': 1, 'fairy': 1, 'tales': 1, 'run': 3, 'well': 1, 'nah': 1, 'finished': 1, 'win': 2, '50': 1, 'whoa': 1, 'ones': 2, 'livin': 1, 'past': 1, 'kennedy': 1, 'wit': 1, 'everywhere': 1, 'ya': 1, 'somethin': 2, 'their': 1, 'memory': 1, 'tired': 1, 'savin': 1, 'mayne': 1, 'off': 2, 'rock': 4, 'slowly': 4, 'bib': 4, 'baby': 4, 'droolin': 4, 'lettin': 1, 'god': 14, 'handle': 1, 'above': 1, 'change': 2, 'listen': 2, 'callin': 1, 'name': 1, 'place': 2, 'sit': 1, 'ashamed': 1, 'findin': 1, 'soulmate': 1, 'sayin': 1, 'same': 1, 'our': 1, 'relationship': 1, 'changed': 1, 'existed': 1, 'whenever': 1, 'us': 1, 'cuttin': 2, 'said': 1, 'everything': 9, 'done': 3, 'forgave': 1, 'hate': 1, 'treat': 1, 'whatever': 1, 'trust': 1, 'jungle': 2, 'elses': 1, 'car': 1, 'drive': 1, 'there': 1, 'undercover': 1, 'stand': 1, 'around': 1, 'new': 2, 'nervous': 1, 'school': 1, 'bottle': 1, 'service': 2, 'decide': 1, 'switchin': 1, 'majors': 1, 'being': 1, 'indecisive': 1, 'makes': 1, 'anxious': 1, 'number': 1, 'information': 1, 'am': 1, 'supposed': 1, 'after': 1, 'weve': 1, 'replacement': 1, 'pull': 3, 'words': 3, 'watch': 3, 'backtrack': 3, 'die': 9, 'mothafuckin': 3, 'legend': 9, 'late': 3, 'youngest': 3, 'reppin': 3, 'first': 1, 'south': 1, 'work': 1, 'texas': 1, 'clean': 1, 'everyday': 1, 'strugglin': 1, 'learn': 1, 'lifes': 1, 'spanish': 1, 'andale': 1, 'north': 1, 'packed': 1, 'honda': 1, 'cars': 1, 'pussy': 1, 'shootin': 1, 'star': 1, 'ima': 1, 'wrongs': 1, 'long': 2, 'gonna': 2, 'mapped': 2, 'strong': 2, 'owe': 1, 'holy': 1, 'wassup': 1, 'minute': 1, 'sentimental': 1, 'different': 1, 'pretend': 1, 'much': 1, 'hard': 1, 'set': 1, 'stone': 1}"
