Yearly info for CardiB,Frequency
2020,"{'whores': 13, 'in': 46, 'this': 50, 'house': 26, 'theres': 26, 'some': 40, 'somewhoresin': 1, 'househol': 2, 'up': 10, 'i': 53, 'said': 2, 'certified': 2, 'freak': 4, 'sevendays': 2, 'a': 65, 'week': 2, 'wetass': 15, 'pussy': 18, 'make': 16, 'that': 20, 'pullout': 2, 'game': 5, 'weak': 2, 'woo': 6, 'ah': 20, 'yeah': 33, 'you': 27, 'fuckin': 2, 'with': 9, 'bring': 4, 'bucket': 6, 'and': 32, 'mop': 6, 'for': 20, 'give': 6, 'me': 29, 'everything': 4, 'got': 12, 'beat': 2, 'it': 28, 'nigga': 4, 'catch': 2, 'charge': 2, 'extra': 4, 'large': 2, 'hard': 4, 'put': 7, 'right': 4, 'your': 15, 'face': 2, 'swipe': 2, 'nose': 2, 'like': 12, 'credit': 4, 'card': 2, 'hop': 2, 'on': 14, 'top': 4, 'wanna': 12, 'ride': 10, 'do': 2, 'kegel': 2, 'while': 5, 'its': 8, 'inside': 3, 'spit': 4, 'my': 20, 'mouth': 2, 'look': 5, 'eyes': 1, 'is': 8, 'wet': 19, 'come': 2, 'take': 2, 'dive': 2, 'tie': 2, 'im': 20, 'surprised': 2, 'lets': 2, 'roleplay': 2, 'ill': 4, 'wear': 2, 'disguise': 2, 'want': 4, 'to': 15, 'park': 2, 'big': 13, 'mack': 2, 'truck': 2, 'little': 2, 'garage': 2, 'cream': 1, 'scream': 1, 'out': 6, 'public': 2, 'scene': 2, 'dont': 9, 'cook': 2, 'clean': 2, 'but': 7, 'let': 6, 'tell': 7, 'how': 2, 'ring': 2, 'ayy': 7, 'gobble': 2, 'swallow': 4, 'drip': 2, 'down': 5, 'the': 21, 'side': 2, 'of': 9, 'quick': 2, 'jump': 2, 'fore': 6, 'get': 7, 'him': 17, 'where': 6, 'never': 6, 'bout': 2, 'be': 2, 'huh': 5, 'run': 2, 'have': 6, 'runnin': 2, 'pow': 6, 'talk': 3, 'shit': 1, 'bite': 2, 'lip': 2, 'ask': 4, 'car': 2, 'dick': 4, 'really': 2, 'aint': 2, 'gotta': 2, 'fuck': 4, 'thang': 2, 'he': 22, 'already': 2, 'made': 2, 'his': 9, 'mind': 2, 'came': 2, 'now': 13, 'boots': 2, 'coat': 2, 'bought': 2, 'phone': 2, 'just': 7, 'pictures': 2, 'click': 3, 'paid': 1, 'tuition': 2, 'kiss': 2, 'mwah': 7, 'rain': 2, 'if': 8, 'see': 2, 'need': 11, 'hitter': 2, 'deep': 2, 'stroker': 1, 'henny': 2, 'drinker': 2, 'weed': 1, 'smoker': 2, 'not': 2, 'garter': 2, 'snake': 2, 'king': 2, 'cobra': 2, 'hook': 2, 'hope': 2, 'lean': 2, 'over': 2, 'money': 2, 'then': 4, 'thats': 10, 'headed': 2, 'a1': 2, 'beard': 2, 'well': 2, 'tryna': 4, 'taste': 1, 'diabetic': 2, 'gulp': 1, 'gag': 1, 'choke': 1, 'touch': 3, 'lil': 1, 'dangly': 1, 'thing': 3, 'swing': 2, 'back': 2, 'throat': 1, 'head': 1, 'fire': 2, 'punani': 1, 'dasani': 3, 'goin': 2, 'dry': 2, 'comin': 2, 'soggy': 2, 'cops': 2, 'behind': 2, 'mic': 1, 'sign': 2, 'honor': 2, 'bitch': 1, 'handcuffs': 2, 'leashes': 2, 'switch': 2, 'wig': 2, 'feel': 2, 'cheatin': 2, 'knees': 2, 'somethin': 2, 'believe': 2, 'lost': 2, 'fight': 2, 'lookin': 2, 'beatin': 2, 'food': 2, 'chain': 2, 'one': 2, 'eat': 2, 'ya': 6, 'ate': 2, 'ass': 1, 'hes': 2, 'bottomfeeder': 2, 'd': 2, 'stand': 2, 'demeanor': 2, 'could': 2, 'bust': 2, 'before': 2, 'ever': 2, 'meet': 2, 'hang': 2, 'cant': 4, 'bang': 2, 'hurt': 3, 'feelings': 2, 'pain': 2, 'whose': 2, 'when': 3, 'ima': 2, 'spell': 2, 'name': 2, 'from': 5, 'drop': 3, 'talkin': 2, 'wap': 6, 'macaroni': 2, 'pot': 2, 'somein': 1, 'gushy': 15, 'dealin': 2, 'baby': 1, 'cookie': 2, 'kinda': 1, 'wild': 1, 'at': 3, 'thighs': 1, 'water': 1, 'dream': 1, 'stream': 1, 'sh': 1, 'pay': 2, 'mmm': 2, 'sco': 1, 'way': 1, 'ew': 1, 'lyrics': 1, 'snippet': 1, 'bardi': 3, 'booty': 12, 'so': 9, 'stupid': 1, 'motherfucking': 1, 'retard': 1, 'bronx': 1, 'dr': 1, 'titties': 2, 'prolly': 1, 'job': 1, 'magic': 2, 'city': 2, 'poppin': 1, 'girl': 1, 'doin': 1, 'research': 1, 'white': 1, 'stain': 1, 'bottom': 1, 'tshirt': 1, 'calling': 1, 'outta': 1, 'work': 1, 'around': 2, 'might': 1, 'niggas': 1, 'panties': 1, 'same': 1, 'these': 1, 'hoes': 1, 'xanny': 1, 'cardi': 2, 'b': 1, 'go': 1, 'rah': 1, 'jammies': 1, 'track': 1, 'win': 1, 'grammy': 1, 'they': 1, 'call': 1, 'code': 2, 'red': 1, 'lightskinned': 1, 'bone': 1, 'legged': 1, 'throw': 1, 'more': 1, 'bread': 1, 'forehead': 1, 'remember': 1, 'used': 1, 'bills': 1, 'question': 1, 'own': 2, 'nickname': 1, 'zip': 1}"
2017,"{'ksr': 4, 'its': 18, 'cardi': 91, 'ayy': 22, 'said': 12, 'im': 104, 'the': 184, 'shit': 65, 'they': 71, 'cant': 18, 'fuck': 47, 'with': 68, 'me': 185, 'if': 35, 'wanted': 7, 'to': 67, 'i': 335, 'dont': 77, 'gotta': 15, 'dance': 11, 'lil': 12, 'bitch': 125, 'you': 250, 'these': 39, 'expensive': 6, 'is': 31, 'red': 6, 'bottoms': 5, 'bloody': 16, 'shoes': 7, 'hit': 25, 'store': 8, 'can': 11, 'get': 46, 'em': 16, 'both': 7, 'wanna': 45, 'choose': 6, 'and': 85, 'quick': 13, 'cut': 9, 'a': 217, 'nigga': 28, 'off': 57, 'so': 24, 'comfortable': 7, 'look': 31, 'now': 45, 'make': 28, 'money': 29, 'moves': 21, 'say': 17, 'move': 4, 'see': 19, 'speak': 5, 'that': 89, 'means': 6, 'boss': 10, 'worker': 8, 'she': 10, 'gon': 22, 'do': 19, 'what': 35, 'who': 25, 'lets': 2, 'find': 2, 'out': 28, 'b': 33, 'know': 37, 'where': 3, 'at': 32, 'be': 34, 'in': 84, 'club': 6, 'just': 28, 'party': 8, 'there': 2, 'paid': 4, 'fee': 1, 'them': 20, 'banks': 1, 'much': 5, 'theyre': 2, 'tired': 3, 'of': 26, 'honestly': 2, 'give': 10, 'bout': 16, 'aint': 35, 'fond': 1, 'dropped': 1, 'two': 1, 'mixtapes': 2, 'six': 3, 'months': 1, 'working': 1, 'as': 5, 'hard': 5, 'bother': 4, 'hoes': 14, 'let': 8, 'pictures': 1, 'goals': 1, 'tryna': 5, 'might': 5, 'chill': 4, 'some': 26, 'bape': 1, 'your': 56, 'boo': 1, 'feel': 11, 'on': 126, 'babe': 1, 'my': 129, 'pussy': 29, 'like': 91, 'lake': 1, 'he': 12, 'swim': 1, 'his': 7, 'face': 8, 'okay': 3, 'ill': 5, 'him': 3, 'want': 6, 'buy': 3, 'yves': 1, 'saint': 2, 'laurent': 2, 'new': 11, 'whip': 3, 'when': 28, 'go': 18, 'fast': 1, 'horse': 1, 'got': 62, 'trunk': 3, 'front': 3, 'vroom': 3, 'hottest': 1, 'street': 1, 'prolly': 2, 'heard': 6, 'bag': 6, 'fixed': 1, 'teeth': 1, 'hope': 8, 'it': 89, 'cheap': 3, 'pay': 2, 'mama': 1, 'bills': 2, 'no': 44, 'time': 8, 'think': 14, 'mad': 5, 'their': 5, 'baby': 2, 'father': 1, 'run': 15, 'bill': 1, 'popped': 3, 'goofy': 1, 'opp': 1, 'come': 11, 'around': 9, 'way': 7, 'hang': 1, 'block': 4, 'checked': 1, 'accounts': 1, 'turns': 1, 'rich': 13, 'put': 19, 'hand': 2, 'above': 1, 'hip': 1, 'bet': 1, 'dip': 3, 'this': 40, 'hot': 4, 'stove': 1, 'glitter': 1, 'gold': 3, 'tell': 8, 'play': 4, 'her': 17, 'role': 1, 'arrive': 1, 'rolls': 1, 'came': 3, 'up': 127, 'wraith': 1, 'need': 7, 'fill': 2, 'tank': 1, 'safe': 5, 'all': 77, 'none': 1, 'niggas': 20, 'dinner': 2, 'steak': 1, 'only': 1, 'real': 5, 'relate': 2, 'used': 2, 'live': 1, 'ps': 1, 'crib': 2, 'gate': 1, 'rollie': 2, 'charms': 1, 'frosted': 1, 'flakes': 1, 'had': 9, 'bitches': 50, 'case': 1, 'forgot': 1, 'check': 19, 'mail': 2, 'another': 1, 'from': 12, 'mona': 1, 'scott': 1, 'bardi': 7, 'rari': 5, 'diamonds': 9, 'over': 15, 'body': 18, '30': 2, 'fool': 3, 'for': 46, 'one': 8, 'shinin': 6, 'molly': 8, 'cheeze': 1, '21': 23, 'fucked': 3, 'ask': 5, 'cartier': 13, 'gang': 6, 'lame': 4, 'bentley': 5, 'truck': 6, 'lane': 8, 'blow': 6, 'brain': 13, 'insane': 9, 'drop': 7, 'chain': 5, 'flame': 4, 'took': 16, 'man': 13, 'upset': 18, 'uh': 11, 'yeah': 43, 'offset': 17, 'whos': 4, 'motherfucker': 1, 'started': 1, 'departed': 1, 'fly': 2, 'martian': 1, 'fleek': 1, 'bricks': 1, 'bitchy': 1, 'ass': 4, 'wannabe': 1, 'bottom': 1, 'mj': 1, 'moonwalk': 1, 'moonwalkin': 2, 'through': 5, 'clique': 7, '6': 2, 'sticky': 1, 'kick': 2, 'moonrocks': 1, 'motherfuckin': 2, 'bronx': 13, 'keep': 6, 'pump': 2, 'bad': 5, 'then': 12, 'jump': 4, 'leave': 13, 'slump': 1, 'back': 29, 'savage': 2, 'an': 2, 'aston': 1, 'high': 1, 'end': 1, 'cars': 1, 'fashion': 1, 'eat': 2, 'fastin': 1, 'god': 9, 'blood': 2, 'brother': 1, 'crippin': 1, 'drippin': 1, 'ho': 2, 'trippin': 1, 'told': 5, 'waitress': 1, 'tippin': 1, 'sauce': 2, 'chicken': 1, 'pulled': 1, 'rubber': 1, 'titties': 1, 'suckin': 1, 'tinted': 1, 'vvss': 1, 'sperm': 1, 'worth': 3, 'millions': 1, 'fore': 1, 'step': 3, 'givenchy': 2, 'cash': 6, 'coupe': 1, 'inches': 1, 'fendi': 1, 'minute': 2, 'drip': 2, 'built': 1, 'poppin': 5, 'dude': 1, 'pull': 37, 'pop': 12, 'crew': 1, 'brrrt': 1, 'woo': 31, 'basic': 1, 'flooded': 2, 'patek': 3, 'bracelet': 1, 'naked': 1, 'ice': 2, 'cake': 1, 'bake': 1, 'switchin': 1, 'lanes': 1, 'range': 1, 'swap': 3, 'dick': 3, 'main': 1, 'trap': 5, 'fame': 1, 'frames': 1, 'regular': 1, 'degular': 1, 'bars': 1, 'swear': 11, 'scared': 2, 'show': 13, 'love': 17, 'theyd': 1, 'rather': 1, 'pole': 1, 'twerkin': 1, 'dubs': 1, 'guess': 2, 'really': 6, 'other': 5, 'gutta': 1, 'every': 8, 'catch': 4, 'hating': 1, 'stutter': 1, 'finish': 1, 'words': 1, 'but': 18, 'instagram': 1, 'thuggin': 1, 'set': 3, 'yourself': 1, 'seem': 1, 'buggin': 1, 'hatin': 2, 'wonder': 2, 'between': 1, 'legs': 1, 'getting': 3, 'bread': 3, 'yous': 1, 'birth': 1, 'grew': 1, 'third': 1, 'leg': 1, 'bite': 2, 'down': 10, 'was': 31, 'crunch': 1, 'skip': 1, 'lunch': 1, 'line': 3, 'work': 3, 'here': 7, 'ready': 7, 'bullshit': 1, 'bloodline': 1, 'touch': 1, 'mine': 3, 'slumped': 1, 'slimed': 1, 'blind': 1, 'dump': 1, 'gucci': 1, 'clutch': 2, 'spitting': 1, 'rhymes': 1, 'flyer': 1, 'than': 1, 'big': 3, 'tie': 1, 'bust': 1, 'wines': 1, 'straws': 1, 'juice': 1, 'box': 2, 'gulp': 1, 'last': 1, 'went': 1, 'cause': 16, 'head': 2, 'game': 2, 'hills': 1, 'lookin': 30, 'sunshine': 1, 'birthed': 1, 'hiphop': 1, 'tick': 1, 'tock': 1, 'watch': 6, 'couldnt': 3, 'fit': 5, 'ziploc': 1, 'grips': 1, 'locked': 1, 'flip': 2, 'flops': 1, 'wealthy': 1, 'dollar': 1, 'still': 2, 'nail': 1, 'could': 3, 'cure': 1, 'spam': 1, 'never': 6, 'youre': 1, 'sayin': 1, 'usin': 1, 'anbesol': 1, 'travel': 1, 'states': 1, 'nice': 2, 'checks': 1, 'tourin': 1, 'tape': 1, 'hype': 2, 'reason': 1, 'pipe': 1, 'next': 2, 'creep': 1, 'nike': 1, 'tech': 1, 'even': 10, 'strike': 1, 'yet': 1, 'wire': 1, 'jaws': 1, 'swing': 1, 'mic': 2, 'stretch': 1, 'worked': 1, 'right': 4, 'steps': 1, 'shot': 1, 'life': 9, 'vest': 1, 'huh': 3, 'caught': 28, 'woah': 2, 'lick': 32, 'shits': 6, 'york': 6, 'gangsta': 9, 'since': 7, 'day': 10, '1': 6, 'ive': 7, 'been': 10, 'hittas': 6, 'before': 5, 'bookin': 2, 'glow': 2, 'shook': 2, 'chef': 2, 'cookin': 2, 'feelin': 4, 'ruthless': 2, 'too': 2, 'mofuckers': 2, 'done': 8, 'doubted': 2, 'thats': 11, 'why': 13, 'prove': 2, 'remember': 5, 'walkin': 2, 'stores': 4, 'nothin': 3, 'starin': 1, 'walk': 8, 'cop': 4, 'bank': 2, 'tellers': 2, 'asking': 2, 'info': 4, 'deposits': 2, 'kimbo': 2, 'gimme': 2, 'askin': 3, 'shooters': 4, 'promise': 4, 'didnt': 8, 'luck': 4, 'grindin': 4, 'night': 5, 'sleep': 4, 'til': 7, 'sun': 4, 'bach': 1, 'surprised': 1, 'call': 5, 'phone': 5, 'press': 1, 'decline': 1, 'not': 11, 'seconds': 1, 'vine': 1, 'fall': 1, 'must': 1, 'recline': 1, 'believe': 3, 'better': 15, 'soak': 1, 'wishlist': 1, 'thought': 8, 'makin': 2, 'livin': 1, 'sues': 2, 'fuckin': 10, 'lose': 2, 'everythin': 7, 'did': 3, 'change': 2, 'drown': 1, 'ride': 2, 'wave': 1, 'corny': 1, 'ooh': 2, 'hah': 1, 'umm': 1, 'ni': 4, 'aunque': 3, 'tú': 21, 'quieras': 3, 'fact': 4, 'y': 25, 'de': 14, 'el': 5, 'soy': 5, 'la': 9, 'mamá': 3, 'compro': 3, 'todo': 3, 'lo': 13, 'que': 18, 'quiera': 4, 'comprar': 3, 'chin': 1, 'yo': 18, 'alante': 3, 'atrás': 3, 'weeooh': 1, 'esta': 3, 'canción': 3, 'es': 4, 'pa': 3, 'mis': 8, 'goonies': 3, 'cuero': 2, 'wuh': 5, 'un': 8, 'mío': 3, 'haces': 3, 'en': 13, 'año': 3, 'entero': 3, 'si': 7, 'ves': 3, 'saludes': 3, 'somos': 3, 'amiga': 3, 'ajá': 2, 'hace': 3, 'dinero': 4, 'eres': 3, 'las': 3, 'mías': 3, 'dique': 3, 'puedes': 2, 'contra': 2, 'mi': 8, 'vamo': 2, 'averiguar': 1, 'allá': 1, 'rapera': 1, 'también': 1, 'sé': 2, 'pelear': 1, 'chapeando': 1, 'llegando': 1, 'cobrando': 1, 'siempre': 1, 'estoy': 1, 'depositando': 1, 'tán': 1, 'cansao': 1, 'mí': 4, 'banco': 1, 'verdad': 1, 'importa': 1, 'quien': 1, 'le': 2, 'caiga': 1, 'mal': 1, 'llevo': 1, 'dos': 1, 'seis': 1, 'meses': 1, 'nadie': 2, 'puede': 1, 'parar': 1, 'son': 2, 'hijas': 1, 'toas': 1, 'se': 3, 'copian': 1, 'mira': 1, 'robo': 1, 'tu': 5, 'novio': 1, 'hago': 1, 'coro': 1, 'con': 5, 'esposo': 1, 'jevo': 1, 'tá': 1, 'aficiao': 2, 'tengo': 2, 'sabroso': 1, 'pongo': 1, 'poso': 1, 'pido': 1, 'él': 1, 'compra': 1, 'cartera': 1, 'una': 2, 'jeepeta': 1, 'tan': 1, 'hasta': 1, 'paga': 1, 'renta': 2, 'más': 1, 'dura': 1, 'calle': 2, 'busca': 1, 'arreglé': 1, 'los': 2, 'dientes': 1, 'pago': 2, 'madre': 1, 'dependo': 1, 'hablas': 1, 'mejor': 2, 'hables': 1, 'suelta': 1, 'eso': 2, 'bi': 1, 'please': 3, 'ninguno': 1, 'gratis': 1, 'créeme': 1, 'hagas': 1, 'coja': 1, 'aquí': 1, 'felony': 2, 'beef': 3, 'well': 3, 'pedigree': 1, 'suck': 4, 'crazy': 9, 'dejarme': 1, 'seco': 1, 'taba': 2, 'sonando': 1, 'haciendo': 1, 'bulla': 1, 'estaba': 1, 'apagao': 1, 'pegao': 1, 'jeva': 1, 'tuya': 1, 'ando': 2, 'primo': 1, 'lucas': 1, 'corito': 1, 'sano': 1, 'par': 1, 'putas': 1, 'gasta': 1, 'noche': 1, 'botellas': 1, 'gasto': 1, 'refilles': 1, 'hookah': 1, 'cueros': 2, 'dicen': 2, 'messiah': 1, 'ta': 1, 'pinga': 1, 'porque': 1, 'nos': 1, 'da': 1, 'después': 2, 'embala': 1, 'ella': 1, 'pensaba': 1, 'iba': 1, 'darle': 1, 'mudarla': 1, 'andamo': 2, 'o': 1, 'sea': 1, 'lleca': 1, 'skrt': 1, 'fumando': 1, 'peyote': 1, 'purple': 1, 'haze': 1, 'yerba': 1, 'hablan': 1, 'mierda': 1, 'espalda': 1, 'cuando': 1, 'te': 1, 'ven': 1, 'ellos': 1, 'na': 1, 'hermano': 1, 'dj': 1, 'hova': 1, 'tonight': 2, 'we': 5, 'gonna': 3, 'shake': 4, 'swiftondemand': 1, 'hella': 5, 'fake': 4, 'same': 6, 'backin': 4, 'prepared': 3, 'friend': 3, 'homie': 3, 'talkin': 9, 'cray': 3, 'how': 18, 'broke': 1, 'joke': 1, 'door': 2, 'gets': 6, 'dough': 2, 'low': 1, 'kill': 2, 'poles': 1, 'shows': 2, 'growth': 1, 'ya': 13, 'gettin': 5, 'fifty': 2, 'rendezvous': 1, 'kita': 1, 'sweetness': 1, 'ashanti': 1, 'single': 1, 'finesse': 1, 'juug': 1, 'people': 2, 'hoe': 4, 'facts': 1, 'namedrop': 1, 'round': 2, 'bum': 2, 'mouth': 2, 'ima': 5, 'lay': 1, 'side': 2, 'town': 2, 'guiseppe': 1, 'heels': 1, 'stomp': 1, 'playin': 2, 'hell': 1, 'satan': 1, 'have': 10, 'whole': 5, 'lock': 1, 'incarceration': 1, 'someone': 1, 'gave': 2, 'wrong': 1, 'information': 1, 'try': 3, 'confirmation': 1, 'good': 4, 'constipation': 1, 'stuck': 2, 'sucks': 2, 'wassup': 3, 'mean': 2, 'flex': 1, 'actin': 1, 'wont': 3, 'ground': 1, 'knew': 7, 'getgo': 1, 'dumb': 3, 'true': 1, 'wouldnt': 1, 'die': 3, 'dirt': 2, 'lie': 1, 'talk': 2, 'ig': 2, 'hands': 2, 'clowns': 1, 'any': 3, 'hounds': 1, 'dig': 1, 'hey': 11, 'stop': 1, 'g': 1, 'start': 11, 'hittin': 1, 'swallow': 1, 'shine': 1, 'racks': 2, 'monopoly': 1, 'master': 2, 'p': 1, 'bought': 1, 'phillipe': 1, 'wasnt': 1, 'after': 4, 'countin': 4, 'week': 1, 'lamborghini': 1, 'ordered': 1, 'three': 2, 'skrrt': 2, 'badder': 1, 'daughter': 1, 'water': 3, 'wrist': 6, 'take': 7, 'pic': 1, 'flash': 1, 'woke': 1, 'mornin': 1, 'fountain': 1, 'or': 5, 'somethin': 4, 'mountin': 1, 'nah': 2, 'stank': 1, 'thinkin': 2, 'us': 4, 'sound': 1, 'bodak': 1, 'orange': 3, 'kodak': 3, 'yah': 10, 'bih': 3, 'worried': 2, 'old': 3, 'comin': 8, 'flow': 2, 'com': 1, 'photo': 1, 'four': 1, 'load': 1, 'though': 3, 'smokin': 2, 'jojo': 1, 'posted': 1, 'slammed': 1, 'by': 1, 'popo': 1, 'thuggish': 1, 'buggish': 1, 'ruggish': 1, 'streets': 1, 'messy': 1, 'risk': 1, 'petty': 2, 'digital': 1, 'heights': 1, 'goin': 6, 'heist': 1, 'dead': 5, 'presidents': 2, 'john': 1, 'kennedy': 1, 'pockets': 1, 'mount': 1, 'everest': 1, 'scene': 2, 'christian': 1, 'louboutin': 1, 'louis': 2, 'vuittons': 1, 'bop': 1, 'nae': 4, 'top': 2, 'white': 1, 'mayonnaise': 1, 'stole': 1, 'car': 1, 'audi': 1, 'a8': 1, 'brought': 1, 'beat': 2, 'rerock': 1, 'heat': 1, 'race': 1, 'tayk': 1, 'flockin': 1, 'buddy': 2, 'zombies': 1, 'robbin': 1, 'our': 2, 'own': 1, 'crack': 1, 'wide': 1, 'open': 1, 'pumpkin': 2, 'jaguar': 1, 'ftype': 1, 'young': 2, 'hundreds': 1, 'k2': 1, 'bunkie': 1, 'aw': 1, 'hoodcelebrityy': 1, 'gyal': 7, 'beg': 6, 'listen': 3, 'offer': 6, 'yuh': 18, 'likkle': 3, 'wine': 4, 'nuh': 6, 'sumn': 4, 'smile': 3, 'guarantee': 3, 'bun': 4, 'lava': 3, 'girl': 6, 'sittin': 2, 'while': 2, 'jack': 1, 'sit': 1, 'pon': 2, 'di': 5, 'cocky': 4, 'suh': 3, 'wah': 2, 'tongue': 1, 'plap': 1, 'bruk': 1, 'seh': 1, 'sloppy': 1, 'bwoy': 1, 'deal': 3, 'wid': 3, 'realest': 1, 'cum': 3, 'best': 6, 'naa': 1, 'boy': 5, 'pah': 1, 'dem': 5, 'cumy': 1, 'dah': 1, 'tight': 3, 'faster': 1, 'wata': 1, 'mek': 1, 'clap': 1, 'fi': 2, 'don': 1, 'inna': 2, 'buss': 2, 'damn': 1, 'piece': 1, 'thong': 1, 'grab': 1, 'sing': 1, 'song': 1, 'titty': 1, 'dress': 2, 'strippers': 1, 'deh': 1, 'vibe': 1, 'woulda': 2, 'death': 1, 'fat': 1, 'print': 1, 'affi': 1, 'pack': 1, 'position': 1, 'mash': 1, 'firm': 1, 'tough': 3, 'wooii': 2, 'afta': 4, 'youd': 1, 'cry': 1, 'waa': 1, 'watchman': 1, 'weh': 1, 'spy': 1, 'ayo': 1, 'spot': 5, 'couple': 4, 'bottles': 2, 'vip': 1, 'dancin': 1, 'couch': 1, 'shakin': 1, 'probably': 1, 'grand': 1, 'larceny': 1, 'pardon': 1, 'thottery': 1, 'chasin': 1, 'chips': 1, 'lottery': 1, 'gettinshmoney': 1, 'cute': 1, 'pants': 1, 'checkin': 1, 'thick': 1, 'thighs': 1, 'tetas': 1, 'smart': 1, 'litty': 1, 'city': 1, 'nyc': 1, 'nut': 1, 'plan': 1, 'nasty': 1, 'lips': 1, 'kiss': 1, 'hunnid': 1, 'thou': 1, 'swish': 1, 'politics': 1, 'cold': 1, 'motto': 1, 'unless': 1, 'baguettes': 1, 'diamond': 1, 'cuts': 1, 'frostbite': 1, 'lit': 1, 'hectic': 17, 'worry': 4, 'whats': 6, 'left': 5, 'cost': 4, 'slayin': 4, 'ny': 2, 'yall': 3, '40': 1, 'those': 1, '2': 3, 'seater': 1, 'cockpit': 1, 'freak': 1, 'topless': 1, 'mess': 1, 'understood': 1, 'lot': 1, 'thots': 1, 'plottin': 1, 'queen': 1, 'build': 1, 'castle': 1, 'fiend': 1, 'asshole': 1, 'hair': 3, 'manicure': 1, 'attitude': 1, 'yep': 1, 'year': 2, 'spare': 1, 'vision': 1, 'clear': 1, 'beware': 1, 'showstopper': 1, 'ms': 1, 'shotta': 1, 'filter': 1, 'alone': 7, 'home': 4, 'seein': 3, 'type': 7, 'will': 5, 'random': 1, 'chance': 1, 'should': 2, 'regret': 1, 'long': 2, 'answer': 1, 'message': 1, 'oh': 2, 'homies': 2, 'curve': 1, 'ugly': 1, 'lettin': 2, 'ever': 2, 'would': 4, 'trust': 1, 'judges': 1, 'lyin': 1, 'perfect': 2, 'tires': 1, 'key': 1, 'wifey': 1, 'password': 1, 'twitter': 1, 'facebook': 1, 'wrap': 1, 'gat': 2, 'dms': 1, 'always': 2, 'war': 7, 'gun': 2, 'lackin': 1, 'outta': 2, 'tellin': 1, 'crying': 1, 'motions': 1, 'light': 1, 'fire': 1, 'surgeon': 1, 'motherfuckers': 1, 'wife': 4, 'thanks': 1, 'followers': 1, 'defended': 1, 'brothers': 1, 'sisters': 1, 'fight': 3, 'takin': 6, 'tops': 6, 'jeans': 6, 'weaves': 6, 'rings': 6, 'startin': 1, 'patience': 1, 'weak': 1, 'throwing': 1, 'subs': 1, 'mamas': 1, 'first': 1, 'place': 1, 'comes': 1, 'theres': 1, 'conversation': 1, 'grimy': 1, 'feisty': 2, 'shut': 1, 'raised': 1, 'very': 1, 'likely': 1, 'hear': 2, 'stripper': 1, 'twice': 1, 'rde': 1, 'nicely': 1, 'finna': 1, 'loose': 1, 'hill': 1, 'wig': 1, 'knock': 2, 'youse': 1, 'soft': 1, 'feelings': 1, 'lied': 1, 'made': 1, 'dogs': 1, 'starvin': 1, 'feed': 1, 'imaget': 1, 'switched': 1, 'yours': 1, 'problem': 1, 'times': 1, 'bodied': 1, 'superman': 1, 'calves': 1, 'shoulder': 1, 'retarded': 1, 'heart': 1, 'regardless': 1, 'forfeit': 1, 'squad': 1, 'coffin': 1, 'often': 1, 'whatever': 2, 'laid': 2, 'stretcher': 1, 'socks': 1, 'pastor': 1, 'prayin': 1, 'sorry': 1, 'loss': 1, 'throw': 1, 'name': 2, 'ring': 1, 'bells': 1, 'mayweather': 1, 'east': 1, 'coast': 2, 'newest': 1, 'contender': 1, '53': 1, 'nails': 2, 'bananas': 1, 'freddy': 1, 'kruger': 1, 'lights': 1, 'read': 1, 'memo': 1, 'pops': 1, 'thinking': 2, 'spend': 2, 'involved': 3, 'dub': 2, 'stunt': 2, 'looking': 1, 'heads': 1, 'turn': 1, 'duh': 1, 'gram': 1, 'slums': 1, 'dirty': 2, 'clip': 1, 'fair': 1, 'ones': 2, 'fun': 1, 'stupid': 1, 'realize': 1, 'sleeping': 1, 'doin': 1, 'pics': 1, 'hold': 1, 'pose': 1, 'easily': 1, 'greasy': 1, 'girlll': 1, 'full': 2, 'effect': 1, 'stressed': 1, 'tune': 1, 'room': 1, 'test': 1, 'goes': 1, 'click': 2, 'clack': 1, 'boom': 1, 'oooh': 1, 'volume': 1, 'deep': 1, 'stuntin': 1, 'ex': 1, 'thirsty': 1, 'reply': 1, 'sick': 3, 'fucking': 2, 'making': 1, 'power': 1, '50': 1, 'played': 1, 'highsiddity': 1, 'drizzy': 1, 'milli': 1, 'haha': 1, 'strip': 2, 'divas': 1, '177th': 1, 'rest': 1, 'diva': 1, 'rollin': 46, 'commas': 6, 'stand': 1, 'demonstrate': 1, 'million': 1, 'dollars': 1, 'taste': 1, 'sideline': 1, 'center': 1, 'stage': 1, 'poof': 1, 'gone': 1, 'steal': 1, 'doobie': 1, 'team': 1, 'vuitton': 1, 'uniform': 1, '24': 1, 'karat': 1, 'grills': 1, 'foreign': 1, 'wheel': 1, 'byes': 1, 'rider': 1, 'chick': 2, 'driver': 1, 'instead': 1, 'west': 1, 'about': 1, 'mariah': 1, 'carey': 1, 'dominican': 1, 'halle': 1, 'berry': 1, 'commissary': 1, 'balenciaga': 1, 'closet': 1, 'extra': 2, 'mileage': 1}"
