Yearly info for TalibKweli,Frequency
2003,"{'we': 38, 'sell': 1, 'crack': 4, 'to': 121, 'our': 6, 'own': 1, 'out': 6, 'the': 94, 'back': 5, 'of': 24, 'homes': 1, 'smell': 1, 'musk': 1, 'dusk': 1, 'in': 29, 'dawn': 1, 'go': 2, 'through': 2, 'episodes': 1, 'too': 2, 'like': 19, 'attack': 1, 'clones': 1, 'work': 2, 'til': 4, 'break': 1, 'and': 61, 'you': 59, 'hear': 1, 'bone': 1, 'just': 74, 'get': 87, 'by': 65, 'commute': 1, 'computers': 1, 'spirits': 1, 'stay': 4, 'mute': 1, 'while': 2, 'egos': 1, 'spread': 1, 'rumors': 1, 'were': 2, 'survivalists': 1, 'turned': 1, 'consumers': 1, 'ask': 2, 'him': 1, 'why': 6, 'some': 12, 'people': 19, 'got': 10, 'live': 3, 'a': 41, 'trailer': 1, 'cuss': 1, 'sailor': 1, 'i': 69, 'paint': 1, 'picture': 2, 'with': 22, 'pen': 1, 'norman': 1, 'mailer': 1, 'mi': 1, 'abuela': 1, 'raised': 1, 'three': 1, 'daughters': 1, 'all': 8, 'herself': 1, 'no': 7, 'help': 1, 'think': 2, 'about': 2, 'her': 5, 'struggle': 1, 'find': 4, 'strength': 2, 'myself': 1, 'these': 3, 'words': 2, 'melt': 1, 'my': 38, 'mouth': 1, 'they': 10, 'hot': 1, 'jail': 1, 'cell': 1, 'south': 1, 'before': 3, 'nigga': 6, 'cor': 1, 'bailed': 1, 'me': 37, 'do': 5, 'or': 8, 'die': 3, 'bedstuy': 1, 'red': 2, 'sky': 1, 'window': 1, 'eye': 1, 'let': 4, 'lead': 1, 'fly': 6, 'g': 1, 'rap': 2, 'shit': 3, 'living': 1, 'this': 13, 'morning': 6, 'woke': 5, 'up': 24, 'feelin': 11, 'brand': 4, 'new': 4, 'jumped': 4, 'highs': 4, 'lows': 4, 'soul': 5, 'goals': 4, 'stop': 8, 'smokin': 5, 'drinkin': 4, 'ive': 6, 'been': 4, 'thinkin': 4, 'reasons': 4, 'bybybyby': 8, 'hey': 8, 'keepin': 4, 'it': 24, 'gangster': 1, 'say': 3, 'fo': 4, 'shizzle': 2, 'sheezy': 2, 'stayin': 2, 'crunk': 1, 'its': 10, 'easy': 2, 'pull': 2, 'breezy': 1, 'smoke': 1, 'trees': 1, 'drunk': 1, 'yo': 11, 'activism': 1, 'attackin': 1, 'system': 2, 'blacks': 1, 'latins': 1, 'prison': 1, 'numbers': 1, 'have': 2, 'risen': 2, 'theyre': 1, 'victims': 1, 'lackin': 1, 'vision': 1, 'is': 15, 'rappin': 1, 'listen': 3, 'them': 2, 'know': 4, 'missin': 1, 'love': 9, 'unconditional': 1, 'even': 2, 'when': 11, 'condition': 1, 'critical': 1, 'livin': 1, 'miserable': 1, 'your': 21, 'position': 1, 'pivotal': 1, 'aint': 4, 'bullshittin': 1, 'now': 6, 'would': 1, 'lie': 4, 'tv': 2, 'us': 2, 'reachin': 1, 'for': 25, 'stars': 1, 'not': 6, 'ones': 2, 'between': 1, 'venus': 1, 'mars': 1, 'that': 9, 'be': 6, 'readin': 4, 'parts': 1, 'breast': 1, 'enhancements': 1, 'penis': 1, 'enlargers': 1, 'saturday': 1, 'sinners': 1, 'sunday': 1, 'at': 2, 'feet': 1, 'father': 1, 'need': 3, 'somethin': 3, 'rely': 2, 'on': 14, 'high': 5, 'types': 1, 'drug': 1, 'really': 1, 'parents': 1, 'sing': 1, 'john': 1, 'lennon': 1, 'imagine': 1, 'watch': 2, 'rock': 2, 'paul': 1, 'mccartney': 1, 'from': 9, 'until': 1, 'last': 3, 'beatle': 1, 'drop': 1, 'yoyoyo': 1, 'cry': 3, 'try': 6, 'piece': 3, 'pie': 3, 'eat': 3, 'deceive': 3, 'decide': 2, 'keep': 5, 'disguise': 3, 'cant': 4, 'see': 8, 'eyes': 5, 'evil': 3, 'inside': 4, 'but': 10, 'theres': 3, 'strong': 2, 'feeble': 2, 'mind': 5, 'signs': 3, 'yyyyo': 2, 'someones': 1, 'thats': 5, 'whats': 1, 'history': 2, 'happening': 1, 'every': 1, 'day': 2, 'yall': 1, 'right': 3, 'everyday': 1, 'good': 3, 'vietnam': 1, 'brooklyn': 1, 'wins': 1, 'again': 2, 'stuy': 1, 'bush': 1, 'niggas': 6, 'ta': 1, 'kweli': 2, 'mighty': 1, 'def': 2, 's': 1, 'dot': 1, 'guest': 1, 'lock': 1, 'kanye': 2, 'youre': 3, 'dopeman': 1, 'hiphop': 2, 'lets': 2, 'roll': 2, 'hometown': 1, 'ouu': 2, 'hood': 1, 'so': 11, 'slow': 1, 'down': 12, 'speed': 1, 'though': 1, 'pedal': 1, 'ease': 1, 'off': 4, 'screech': 1, 'into': 1, 'collision': 1, 'course': 1, 'walls': 1, 'bam': 1, 'dont': 15, 'move': 1, 'pray': 1, 'lose': 1, 'sleep': 1, 'life': 2, 'passing': 1, 'light': 1, 'flashing': 1, 'happens': 2, 'fast': 1, 'part': 1, 'done': 2, 'black': 4, 'hands': 1, 'prayer': 1, 'guns': 1, 'fear': 1, 'dying': 1, 'wish': 1, 'touch': 1, 'air': 1, 'seekin': 1, 'heaven': 1, 'wasnt': 1, 'here': 14, 'will': 1, 'another': 2, 'year': 1, 'same': 1, 'fight': 1, 'different': 1, 'round': 1, 'sound': 1, 'bell': 1, 'mix': 1, 'victory': 1, 'beatll': 1, 'knocked': 1, 'then': 3, 'queer': 1, 'street': 3, 'ha': 1, 'clear': 1, 'where': 1, 'did': 1, 'heart': 1, 'top': 1, 'jeep': 1, 'gut': 1, 'mic': 1, 'essence': 1, 'absence': 1, 'feel': 2, 'presenceexactly': 1, 'make': 13, 'contactfor': 1, 'short': 1, 'mc': 1, 'mos': 2, 'mine': 3, 'free': 1, 'ready': 2, 'sold': 1, 'coke': 1, 'pushed': 1, 'lah': 2, 'carried': 1, 'fourfive': 1, 'claimed': 1, 'was': 9, 'promised': 1, 'never': 2, 'held': 1, 'reality': 1, 'much': 1, 'take': 1, 'kept': 1, 'fried': 1, 'slept': 1, 'most': 1, 'soon': 2, 'as': 6, 'closed': 1, 'behind': 1, 'thinking': 1, 'either': 1, 'load': 1, 'nines': 1, 'blow': 2, 'rhymes': 1, 'cause': 1, 'flow': 2, 'lines': 1, 'coca': 1, 'folks': 1, 'hov': 1, 'wrote': 1, 'stuff': 1, 'rhyme': 2, 'nah': 1, 'im': 13, 'poster': 1, 'what': 3, 'seeing': 1, 'moms': 1, 'doing': 1, 'five': 2, 'dollars': 1, 'worth': 1, 'dime': 1, 'pardon': 2, 'disposition': 1, 'should': 1, 'listened': 1, 'working': 1, 'mcdonalds': 1, 'yeah': 6, 'id': 1, 'rather': 1, 'mac': 1, 'ugh': 1, 'sorry': 1, 'ms': 1, 'jackson': 1, 'packin': 1, 'bye': 7, 'nina': 2, 'simone': 2, 'piano': 1, 'michelangelo': 1, 'painted': 1, 'portrait': 1, 'maya': 1, 'angelou': 1, 'gave': 1, 'sick': 1, 'poet': 1, 'antidote': 1, 'if': 2, 'music': 4, 'ya': 1, 'choked': 1, 'tree': 1, 'rope': 1, 'chi': 1, 'mr': 1, 'allofthat': 1, 'fuck': 2, 'map': 1, 'put': 3, 'bitch': 2, 'almanac': 1, 'dice': 1, 'hittin': 1, 'lacs': 1, 'sittin': 1, 'tracks': 1, 'who': 1, 'spittin': 1, 'nobody': 2, 'power': 2, 'sign': 1, 'ever': 1, 'tell': 6, 'used': 4, 'toughen': 1, 'bass': 1, 'voice': 2, 'lighten': 1, 'mase': 1, 'lord': 1, 'willin': 1, 'killed': 1, 'album': 1, 'gonna': 2, 'killin': 2, 'shilling': 1, 'loveitorhateit': 1, 'butat': 1, 'least': 1, 'made': 2, 'didnt': 1, 'industry': 1, 'gon': 1, 'interesting': 1, 'thisll': 1, 'end': 1, 'finna': 1, 'an': 1, 'entity': 1, 'jayz': 1, 'are': 1, 'makin': 2, 'songs': 1, 'more': 1, 'buh': 9, 'gangsta': 1, 'desensitized': 1, 'violence': 1, 'during': 1, 'war': 1, 'each': 1, 'other': 1, 'pourin': 1, 'liquor': 2, 'fallen': 1, 'believe': 1, 'ghetto': 1, 'libation': 1, 'seen': 1, 'fillin': 1, 'cigars': 1, 'come': 36, 'jesus': 1, 'stoned': 1, 'receivin': 1, 'throne': 1, 'send': 1, 'rest': 1, 'peace': 1, 'days': 1, 'doin': 1, 'call': 3, 'streets': 1, 'hustlin': 1, 'fiends': 1, 'asked': 1, 'guess': 1, 'standin': 1, 'corners': 1, 'waitin': 1, 'paper': 1, 'bags': 1, 'bundles': 1, 'hopin': 2, 'week': 1, 'could': 1, 'money': 1, 'stressed': 1, 'possessed': 1, 'side': 1, 'angry': 1, 'bleed': 1, 'frustration': 1, 'havin': 1, 'newports': 1, 'weed': 1, 'those': 1, 'times': 1, 'mothafuckas': 1, 'reach': 1, 'wifey': 1, 'place': 1, 'mother': 1, 'ayo': 1, 'mom': 1, 'pick': 1, 'phone': 1, 'gotta': 2, 'talk': 5, 'ma': 1, 'percent': 1, 'instead': 1, 'actin': 1, 'stupid': 1, 'guessin': 1, 'had': 1, 'study': 1, 'lessons': 1, 'math': 1, 'building': 1, 'session': 1, 'decice': 1, 'best': 1, 'stronger': 1, 'wanna': 17, 'waste': 8, 'time': 4, 'baby': 16, 'comfortable': 5, 'darling': 8, 'second': 4, 'girl': 4, 'dance': 4, 'far': 1, 'away': 1, 'real': 1, 'quick': 1, 'dirt': 1, 'past': 1, 'hurts': 1, 'ill': 2, 'ladys': 1, 'first': 1, 'can': 3, 'hesitation': 1, 'trust': 1, 'issues': 1, 'excited': 1, 'ignite': 1, 'highly': 1, 'combustible': 1, 'higher': 1, 'vibration': 1, 'left': 1, 'provide': 1, 'huxtable': 1, 'whole': 1, 'style': 1, 'colder': 1, 'than': 1, 'minnesota': 1, 'profile': 1, 'way': 1, 'look': 1, 'over': 2, 'shoulders': 1, 'crib': 1, 'common': 1, 'mary': 1, 'closer': 2, 'barack': 1, 'michelle': 1, 'give': 2, 'fist': 2, 'bump': 1, 'magical': 1, 'act': 1, 'radical': 1, 'rockin': 1, 'bells': 1, 'promise': 2, 'lips': 1, 'locked': 1, 'spike': 1, 'lee': 1, 'movie': 1, 'movin': 1, 'across': 1, 'floor': 1, 'using': 1, 'lure': 1, 'how': 4, 'beauty': 1, 'allure': 1, 'ocean': 1, 'approaching': 1, 'sure': 1, 'she': 3, 'rockefeller': 1, 'center': 1, 'diego': 1, 'lobby': 1, 'valuable': 1, 'scream': 1, 'salvador': 1, 'dali': 1, 'popular': 1, 'thieves': 1, 'thomas': 1, 'crown': 1, 'steal': 1, 'attention': 1, 'around': 1, 'bird': 1, 'probably': 1, 'flew': 1, 'coop': 1, 'blastin': 1, 'outkast': 1, 'oohdeewhoo': 1, 'describe': 1, 'beautiful': 1, 'je': 1, 'ne': 1, 'sais': 1, 'quoi': 1, 'voulez': 1, 'vous': 1, 'french': 1, 'tongue': 1, 'kissin': 1, 'hither': 1, 'dancin': 1, 'wolves': 1, 'run': 1, 'dumb': 1, 'twisted': 1, 'rum': 1, 'fix': 1, 'composition': 1, 'proposition': 1, 'consider': 1, 'talkin': 2, 'simmer': 10, 'madonna': 1, 'sow': 1, 'seeds': 1, 'farmer': 1, 'manage': 1, 'serving': 1, 'long': 1, 'sentences': 1, 'commas': 1, 'write': 1, 'poetry': 1, 'honor': 1, 'body': 1, 'sauna': 1, 'gettin': 2, 'sun': 1, 'hotter': 1, 'earth': 1, 'emphatically': 1, 'yes': 2, 'still': 1, 'bad': 1, 'under': 1, 'breath': 1, 'respect': 1, 'naturally': 1, 'blessed': 1, 'lady': 1, 'chatterly': 1, 'fresh': 1, 'tatted': 1, 'flesh': 1, 'stare': 1}"
2012,"{'i': 18, 'rise': 4, 'as': 4, 'day': 4, 'breaks': 4, 'clouds': 4, 'hide': 4, 'the': 28, 'suns': 4, 'rays': 4, 'quick': 4, 'sand': 4, 'and': 10, 'mistakes': 4, 'smash': 4, 'walls': 4, 'to': 15, 'get': 5, 'through': 9, 'fight': 8, 'good': 4, 'even': 4, 'on': 16, 'bad': 4, 'days': 4, 'its': 7, 'darkest': 4, 'before': 4, 'light': 4, 'im': 10, 'gonna': 4, 'push': 4, 'turbocharged': 1, 'bars': 1, 'slot': 1, 'cars': 1, 'tracks': 1, 'falling': 1, 'off': 1, 'game': 1, 'scars': 1, 'in': 7, 'these': 3, 'rap': 1, 'wars': 1, 'aint': 5, 'nothing': 4, 'bandaids': 1, 'wont': 1, 'cover': 1, 'touring': 1, 'with': 4, '7d': 1, 'coverage': 1, 'live': 1, 'bands': 1, 'two': 1, 'buses': 1, 'my': 6, 'own': 1, 'cash': 1, 'no': 3, 'budget': 1, 'major': 1, 'label': 1, 'fundings': 1, 'jets': 1, 'baby': 1, 'we': 1, 'went': 1, 'from': 4, 'crawling': 1, 'walking': 1, 'running': 1, 'you': 18, 'cant': 1, 'say': 2, 'under': 1, 'gag': 1, 'order': 1, 'hopping': 1, 'out': 1, 'of': 7, 'audis': 1, 'hurting': 1, 'yall': 1, 'kicks': 1, 'transporter': 1, 'think': 1, 'about': 1, 'it': 7, 'never': 3, 'mind': 1, 'gotta': 3, 'already': 1, 'some': 2, 'whole': 1, 'other': 2, 'word': 1, 'yo': 1, 'mufuckin': 1, 'self': 1, 'nobody': 2, 'else': 2, 'gon': 1, 'do': 2, 'for': 5, 'ya': 7, 'every': 1, 'now': 1, 'then': 2, 'someonell': 1, 'offer': 1, 'help': 1, 'but': 4, 'they': 4, 'doing': 1, 'til': 1, 'really': 1, 'see': 2, 'tryna': 1, 'something': 1, 'bluffing': 1, 'kush': 1, 'puffing': 1, 'jive': 1, 'turkeys': 1, 'stuffing': 1, 'stockings': 1, 'gifts': 1, 'audible': 1, 'applaudables': 1, 'homie': 1, 'take': 2, 'a': 10, 'wiff': 1, 'when': 6, 'man': 1, 'action': 1, 'is': 6, 'whats': 1, 'expected': 1, 'spoken': 1, 'producer': 1, 'got': 4, 'time': 1, 'excuses': 1, 'go': 1, 'beyond': 1, 'flow': 1, 'tomfoolery': 1, 'smoke': 1, 'pork': 1, 'rappers': 1, 'so': 3, 'fast': 1, 'call': 1, 'me': 3, 'charcuterie': 1, 'beautifully': 1, 'exude': 1, 'vibe': 1, 'thats': 2, 'free': 1, 'ambiguity': 1, 'goonery': 2, 'sake': 1, 'cartoons': 1, 'coonery': 1, 'lunacy': 1, 'lets': 1, 'make': 2, 'plain': 1, 'only': 2, 'way': 1, 'that': 5, 'hang': 1, 'attached': 1, 'tree': 1, 'moon': 1, 'talk': 1, 'sea': 1, 'speak': 1, 'body': 1, 'language': 1, 'fluently': 1, 'she': 2, 'makes': 1, 'rain': 2, 'fire': 1, 'always': 1, 'try': 2, 'douse': 1, 'reason': 1, 'cause': 1, 'your': 7, 'diamonds': 1, 'cloudy': 1, 'mile': 1, 'away': 1, 'overcast': 1, 'old': 2, 'people': 2, 'feel': 1, 'bones': 1, 'invade': 1, 'home': 1, 'like': 5, 'broke': 1, 'glass': 1, 'let': 1, 'myself': 1, 'fighting': 1, 'freedom': 1, 'tunisia': 1, 'spread': 1, 'sudan': 1, 'egypt': 1, 'this': 3, 'music': 1, 'movement': 1, 'score': 1, 'achievements': 1, 'join': 1, 'em': 2, 'beat': 1, 'carpe': 1, 'diem': 1, 'hey': 2, 'yeah': 1, 'kindergarteners': 1, 'visions': 1, 'bothered': 1, 'by': 1, 'vigilantes': 1, 'harbor': 1, 'street': 1, 'corners': 1, 'hardest': 1, 'harvest': 1, 'bundles': 1, 'weed': 1, 'starvingll': 1, 'speed': 1, 'stampede': 1, 'impede': 1, 'pockets': 1, 'pee': 1, 'dreams': 1, 'us': 2, 'living': 1, 'lavish': 1, 'fabrics': 1, 'fine': 1, 'linens': 1, 'spending': 1, 'established': 1, 'women': 1, 'dining': 1, 'laughing': 1, 'environment': 1, 'violent': 1, 'ready': 1, 'crash': 1, 'society': 1, 'driver': 1, 'seat': 1, 'hope': 1, 'fastened': 1, 'seatbelts': 1, 'twice': 1, 'rolled': 1, 'them': 1, 'dice': 1, 'crapped': 1, 'many': 2, 'times': 1, 'can': 2, 'build': 1, 'casinos': 1, 'scratch': 1, 'too': 1, 'daps': 1, 'might': 1, 'receive': 1, 'things': 1, 'achieve': 1, 'relax': 1, 'what': 1, 'mental': 1, 'physicals': 1, 'been': 3, 'detached': 1, 'shit': 1, 'fuck': 2, 'government': 1, 'higher': 1, 'rankings': 1, 'wheres': 1, 'mothership': 1, 'made': 1, 'covenant': 1, 'was': 2, 'changing': 1, 'luck': 1, 'has': 1, 'quite': 1, 'disgusting': 1, 'reality': 1, 'tainted': 1, 'where': 2, 'left': 1, 'him': 1, 'face': 1, 'down': 1, 'he': 1, 'planking': 1, 'cold': 1, 'world': 1, 'girl': 1, 'her': 1, 'homeboy': 1, 'motive': 1, 'bench': 1, 'curl': 1, 'tribulations': 1, 'sensations': 1, 'insulting': 1, 'wifey': 1, 'or': 1, 'mistress': 1, 'nigga': 2, 'which': 1, 'one': 1, 'indulging': 1, 'regardless': 1, 'who': 1, 'pick': 1, 'know': 1, 'lifes': 1, 'bitch': 1, 'focused': 2}"
2005,"{'another': 6, 'night': 6, 'slips': 6, 'away': 6, 'in': 11, 'other': 6, 'words': 19, 'i': 26, 'should': 13, 'say': 14, 'there': 12, 'are': 12, 'no': 15, 'you': 26, 'ms': 4, 'hill': 4, 'got': 13, 'skills': 3, 'thats': 5, 'a': 10, 'gift': 3, 'its': 4, 'real': 4, 'get': 4, 'ill': 3, 'what': 6, 'spit': 3, 'the': 33, 'power': 6, 'to': 20, 'uplift': 3, 'heel': 3, 'wish': 3, 'could': 4, 'talk': 2, 'lauryn': 2, 'mean': 1, 'excuse': 1, 'me': 4, 'and': 12, 'let': 3, 'her': 9, 'know': 3, 'how': 4, 'much': 2, 'we': 6, 'love': 3, 'is': 7, 'industry': 1, 'was': 5, 'beating': 1, 'up': 4, 'then': 2, 'those': 1, 'demons': 1, 'started': 2, 'eating': 1, 'she': 11, 'need': 2, 'savior': 1, 'thatll': 1, 'bleed': 1, 'cup': 1, 'yup': 1, 'used': 4, 'kick': 1, 'it': 6, 'salad': 1, 'days': 1, 'when': 4, 'look': 1, 'at': 4, 'like': 5, 'aint': 4, 'see': 2, 'nowadays': 1, 'nod': 2, 'back': 2, 'stay': 1, 'songs': 2, 'still': 2, 'better': 1, 'than': 2, 'anything': 2, 'out': 2, 'hot': 1, 'or': 2, 'play': 2, 'remember': 1, 'they': 4, 'accused': 1, 'of': 4, 'saying': 3, 'he': 1, 'did': 2, 'album': 2, 'without': 1, 'help': 1, 'went': 1, 'rome': 1, 'sing': 1, 'tell': 1, 'pope': 1, 'about': 2, 'herself': 1, 'just': 1, 'after': 1, 'left': 1, 'fugees': 1, 'rolling': 1, 'with': 4, 'marleys': 1, 'crew': 1, 'dave': 1, 'chapelles': 1, 'block': 1, 'party': 1, 'made': 1, 'zion': 1, 'trying': 1, 'be': 5, 'faithful': 1, 'took': 1, 'black': 4, 'star': 1, 'on': 5, 'tour': 1, 'europe': 1, 'so': 2, 'grateful': 1, 'speaking': 1, 'for': 3, 'myself': 1, 'but': 7, 'im': 2, 'sure': 1, 'speak': 1, 'dante': 1, 'watch': 1, 'show': 1, 'nina': 1, 'simone': 1, 'harry': 1, 'belafonte': 1, 'chill': 1, 'nkiru': 1, 'moms': 1, 'customer': 1, 'buy': 1, 'books': 1, 'by': 2, 'octavia': 1, 'butler': 1, 'parable': 1, 'sower': 1, 'main': 1, 'characters': 1, 'name': 1, 'lauren': 1, 'girls': 1, 'selfesteem': 1, 'important': 1, 'concerned': 1, 'sick': 1, 'road': 1, 'healthy': 1, 'brother': 1, 'that': 3, 'pick': 1, 'load': 1, 'your': 3, 'assistant': 1, 'phone': 1, 'wanna': 2, 'walk': 1, 'through': 1, 'storm': 1, 'umbrella': 1, 'rain': 1, 'pouring': 1, 'please': 1, 'this': 4, 'disrespect': 1, 'whoever': 1, 'man': 1, 'though': 1, 'relationship': 1, 'strictly': 1, 'music': 1, 'dangelo': 1, 'hate': 1, 'babylon': 1, 'fall': 1, 'wont': 1, 'read': 2, 'poem': 1, 'bet': 1, 'awards': 1, 'give': 2, 'us': 2, 'hope': 2, 'faith': 1, 'one': 2, 'dont': 1, 'beg': 1, 'come': 1, 'whoa': 1, 'now': 1, 'powerful': 1, 'sis': 1, 'money': 1, 'keep': 1, 'our': 2, 'eyes': 1, 'final': 1, 'hour': 1, 'christ': 1, 'would': 1, 'sacrilegious': 1, 'right': 1, 'can': 1, 'blow': 1, 'nice': 1, 'sisters': 2, 'them': 1, 'raps': 2, 'vicious': 1, 'recite': 1, 'their': 1, 'fist': 1, 'devils': 1, 'last': 1, 'queen': 1, 'rise': 1, 'past': 1, 'bitches': 1, 'francis': 1, 'crest': 1, 'third': 1, 'world': 1, 'press': 1, 'impressed': 1, 'word': 1, 'suggest': 1, 'hatched': 1, 'ideas': 1, 'heads': 1, 'birds': 1, 'nest': 1, 'gave': 1, 'birth': 1, 'new': 1, 'sound': 1, 'donda': 1, 'west': 1, 'yes': 1, 'all': 1, 'while': 1, 'mic': 1, 'might': 2, 'as': 1, 'well': 1, 'because': 1, 'day': 1, 'gone': 1, 'write': 1, 'song': 1, 'feel': 1, 'cause': 1, 'really': 1, 'yo': 1}"
