Yearly info for WizKhalifa,Frequency
2015,"{'its': 6, 'been': 5, 'a': 25, 'long': 8, 'day': 3, 'without': 3, 'you': 46, 'my': 29, 'friend': 3, 'and': 23, 'ill': 9, 'tell': 7, 'all': 11, 'about': 12, 'it': 20, 'when': 27, 'i': 39, 'see': 17, 'again': 13, 'weve': 3, 'come': 6, 'way': 7, 'from': 3, 'where': 3, 'we': 16, 'began': 3, 'oh': 55, 'damn': 1, 'who': 2, 'knew': 1, 'the': 26, 'planes': 1, 'flew': 1, 'good': 1, 'things': 2, 'through': 3, 'that': 12, 'id': 5, 'be': 12, 'standing': 3, 'right': 9, 'here': 1, 'talking': 1, 'to': 13, 'bout': 3, 'another': 1, 'path': 1, 'know': 4, 'loved': 1, 'hit': 1, 'road': 2, 'laugh': 1, 'but': 2, 'something': 2, 'told': 1, 'me': 12, 'wouldnt': 1, 'last': 3, 'had': 4, 'switch': 1, 'up': 13, 'look': 1, 'at': 2, 'different': 1, 'bigger': 1, 'picture': 1, 'those': 1, 'were': 3, 'days': 2, 'hard': 2, 'work': 1, 'forever': 1, 'pays': 1, 'now': 3, 'in': 14, 'better': 3, 'place': 2, 'uh': 3, 'how': 2, 'could': 2, 'not': 2, 'talk': 2, 'family': 2, 'familys': 2, 'got': 6, 'everything': 6, 'went': 2, 'there': 3, 'by': 2, 'side': 2, 'gon': 4, 'with': 14, 'for': 6, 'ride': 3, 'yeah': 9, 'came': 4, 'started': 1, 'aah': 4, 'woooohohohohohoh': 2, 'first': 3, 'both': 2, 'go': 4, 'out': 3, 'your': 3, 'vibe': 1, 'is': 2, 'feeling': 4, 'strong': 1, 'whats': 1, 'small': 1, 'turned': 2, 'friendship': 2, 'bond': 2, 'will': 5, 'never': 6, 'broken': 1, 'love': 3, 'get': 5, 'lost': 2, 'brotherhood': 1, 'then': 5, 'line': 3, 'crossed': 1, 'established': 1, 'on': 5, 'our': 1, 'own': 2, 'drawn': 1, 'what': 4, 'reached': 1, 'so': 12, 'remember': 2, 'im': 10, 'gone': 2, 'let': 5, 'light': 1, 'guide': 1, 'hold': 2, 'every': 2, 'memory': 1, 'as': 2, 'take': 2, 'always': 1, 'lead': 1, 'home': 2, 'yo': 4, 'ohoh': 1, 'uhhuh': 1, 'yup': 1, 'ah': 4, 'hahaha': 1, 'wake': 1, 'morning': 1, 'grab': 2, 'trees': 1, 'young': 11, 'nigga': 13, 'do': 5, 'thing': 3, 'if': 4, 'wanna': 9, 'paper': 1, 'fuck': 5, 'bitch': 4, 'soon': 1, 'iphone': 1, 'ring': 1, 'later': 1, 'hop': 1, 'chevy': 1, 'keys': 1, 'outtie': 1, 'cheese': 1, 'stacking': 1, 'no': 9, 'time': 5, 'niggas': 8, 'hating': 1, 'low': 1, 'backing': 1, 'keep': 1, 'clean': 1, 'watch': 1, 'some': 2, 'daytons': 1, 'cruising': 1, 'down': 3, 'street': 1, 'hear': 1, 'car': 2, 'before': 1, 'coming': 1, 'police': 1, 'windows': 1, 'smoking': 11, 'bad': 1, 'she': 6, 'shit': 1, 'crazy': 1, 'goons': 1, 'masked': 1, 'they': 3, 'slide': 1, 'try': 1, 'play': 2, 'since': 2, 'kept': 1, 'pack': 2, 'telly': 1, 'tats': 1, 'like': 1, 'makaveli': 1, 'shoot': 1, 'fun': 1, 'bust': 1, 'run': 1, 'king': 2, 'of': 5, 'fucking': 3, 'rich': 8, 'weed': 12, 'touch': 1, 'have': 2, 'once': 1, 'talkin': 2, 'her': 4, 'smoke': 3, 'drink': 2, 'champagne': 2, 'drugs': 1, 'town': 1, 'dinner': 1, 'tao': 1, 'clubs': 1, 'think': 2, 'more': 2, 'bank': 1, 'ranks': 1, 'bitches': 1, 'club': 2, 'dont': 2, 'money': 3, 'expensive': 1, 'taste': 1, 'put': 2, 'mouth': 1, 'sent': 1, 'em': 1, 'their': 1, 'one': 1, 'night': 1, 'give': 1, 'stay': 2, 'spent': 1, 'couple': 2, 'hundred': 2, 'thousand': 1, 'pound': 1, 'suite': 2, 'over': 5, 'crib': 1, 'comfortable': 1, 'chain': 1, 'star': 1, 'same': 1, 'abroad': 1, 'insane': 1, 'switching': 1, 'broads': 2, 'killing': 1, 'game': 1, 'range': 1, 'flies': 4, 'lie': 8, 'rather': 4, 'getting': 8, 'high': 8, 'ridin': 4, 'aint': 7, 'till': 4, 'say': 9, 'roll': 2, 'mo': 1, 'throw': 1, 'walk': 1, 'everybody': 1, '50k': 1, 'just': 1, 'show': 1, 'seems': 1, 'live': 1, 'somebody': 1, 'elses': 1, 'dreams': 1, 'trust': 1, 'team': 1, 'straight': 1, 'wont': 1, 'nothing': 1, 'between': 1, 'politic': 1, 'fam': 1, 'hate': 1, 'intervene': 1, 'vegas': 1, 'thanking': 1, 'god': 1, 'scene': 1, 'thinking': 2, 'back': 1, 'made': 1, 'far': 1, 'needed': 1, 'practice': 1, 'moving': 1, 'forward': 1, 'while': 1, 'backwards': 1, 'sleep': 1, 'hardly': 1, 'need': 1, 'mattress': 1, 'kick': 1, 'shoes': 1, 'off': 1, 'feet': 1, 'fall': 1, 'asleep': 1, 'seat': 1, 'claiming': 2, 'job': 1, 'well': 1, 'doggie': 1, 'complete': 1, 'squad': 1, 'cant': 2, 'compete': 1, 'too': 1, 'many': 1, 'fit': 1, 'them': 1, 'can': 1, 'bring': 1, 'glasses': 1, 'js': 1, 'faster': 1}"
2012,"{'shes': 1, 'about': 41, 'to': 140, 'earn': 8, 'some': 22, 'bragging': 1, 'rights': 1, 'im': 174, 'bout': 29, 'give': 10, 'it': 181, 'up': 90, 'like': 58, 'ive': 2, 'been': 11, 'holding': 3, 'back': 18, 'all': 130, 'night': 4, 'girl': 12, 'take': 15, 'pride': 1, 'in': 136, 'what': 55, 'you': 235, 'want': 11, 'do': 32, 'even': 15, 'if': 17, 'that': 94, 'means': 1, 'a': 142, 'new': 11, 'man': 39, 'every': 5, 'inside': 1, 'of': 74, 'baby': 5, 'i': 401, 'dont': 39, 'mind': 1, 'can': 22, 'tell': 13, 'by': 9, 'how': 26, 'roll': 12, 'cause': 48, 'my': 182, 'clique': 3, 'hot': 1, 'and': 164, 'cup': 4, 'cold': 3, 'talk': 3, 'slurred': 1, 'so': 101, 'throwed': 1, 'wiping': 1, 'sweat': 1, 'from': 27, 'last': 3, 'show': 4, 'hes': 1, 'tg': 1, 'xo': 1, 'only': 13, 'here': 20, 'for': 115, 'one': 17, 'then': 7, 'ima': 10, 'be': 80, 'memory': 9, 'say': 30, 'ear': 1, 'hear': 3, 'me': 108, 'got': 68, 'cups': 2, 'full': 8, 'rosé': 1, 'smoke': 21, 'anything': 4, 'thats': 44, 'passed': 1, 'worry': 1, 'voice': 1, 'wont': 4, 'need': 24, 'bad': 10, 'bitch': 30, 'think': 20, 'might': 13, 'get': 92, 'used': 13, 'have': 11, 'your': 42, 'number': 6, 'when': 73, 'through': 18, 'with': 63, 'ask': 11, 'is': 117, 'try': 10, 'make': 30, 'remember': 22, 'old': 9, 'rapping': 2, 'ass': 6, 'light': 2, 'years': 1, 'past': 2, 'the': 265, 'class': 3, 'hit': 7, 'pass': 3, 'nigga': 45, 'we': 85, 'aftermath': 1, 'niggas': 96, 'after': 6, 'fame': 2, 'just': 55, 'had': 12, 'laugh': 1, 'cash': 2, 'yous': 2, 'fan': 8, 'player': 1, 'hater': 8, 'papers': 3, 'taylord': 1, 'listen': 2, 'break': 5, 'down': 26, 'rolling': 11, 'weed': 25, 'on': 84, 'island': 2, 'kitchen': 1, 'not': 6, 'thing': 19, 'goes': 1, 'without': 4, 'permission': 1, 'look': 7, 'everything': 28, 'was': 27, 'made': 6, 'done': 9, 'came': 5, 'shit': 33, 'see': 24, 'slaved': 1, 'cars': 4, 'crib': 2, 'yeah': 25, 'paid': 11, 'more': 12, 'spend': 37, 'much': 51, 'money': 77, 'clothes': 3, 'said': 11, 'fuck': 33, 'store': 1, 'making': 4, 'own': 14, 'hope': 1, 'youre': 6, 'while': 8, 'singing': 1, 'along': 1, 'know': 49, 'this': 150, 'song': 7, 'pour': 1, 'out': 36, 'shots': 1, 'taking': 2, 'too': 9, 'long': 9, 'young': 10, 'rich': 5, 'plus': 2, 'friends': 2, 'bombay': 1, 'lemonade': 1, 'gin': 5, 'moving': 1, 'slow': 1, 'driving': 2, 'fast': 5, 'wheel': 1, 'lose': 2, 'control': 2, 'drop': 5, 'top': 11, '69': 1, 'motor': 1, 'roar': 1, 'chevelle': 1, 'cant': 21, 'supposed': 2, 'feel': 2, 'stacking': 1, 'paper': 12, 'dawg': 1, 'call': 7, 'news': 1, 'these': 23, 'haters': 3, 'jocking': 1, 'our': 2, 'moves': 1, 'popping': 2, 'champagne': 8, 'phantom': 1, 'faded': 12, 'did': 10, 'probably': 5, 'tomorrow': 2, 'oh': 15, 'keep': 12, 'going': 12, 'gone': 11, 'stop': 1, 'dreams': 1, 'getting': 7, 'richer': 1, 'homie': 36, 'breeze': 1, 'set': 3, 'schooled': 1, 'picture': 1, 'wild': 3, 'put': 4, 'game': 6, 'told': 5, 'tryin': 8, 'move': 3, 'gotta': 9, 'lane': 3, 'name': 5, 'word': 1, 'never': 12, 'life': 8, 'pay': 9, 'price': 2, 'chance': 1, 'most': 3, 'they': 111, 'stranded': 1, 'where': 24, 'aint': 76, 'no': 36, 'conversation': 1, 'understand': 2, 'gun': 1, 'riding': 2, 'bonneville': 1, 'hoping': 1, 'could': 5, 'selling': 1, 'ps': 1, 'smoking': 5, 'avoiding': 1, 'police': 2, 'right': 20, 'street': 3, 'way': 17, 'day': 10, 'before': 6, 'diamonds': 3, 'now': 59, 'seen': 4, 'stuntin': 4, 'bought': 7, 'or': 12, 'nothing': 10, 'always': 7, 'different': 2, 'state': 2, 'label': 2, 'goner': 2, 'come': 17, 'nowhere': 4, 'straight': 11, 'off': 9, 'corner': 3, 'everywhere': 4, 'go': 81, 'there': 21, 'throwing': 12, 'ones': 6, 'who': 10, 'sayin': 4, 'hated': 2, 'celebrate': 3, 'lets': 20, 'medicated': 18, 'hella': 14, 'home': 4, 'poke': 2, 'juicy': 3, 'gettin': 13, 'thank': 1, 'god': 6, 'chauffeur': 1, 'good': 7, 'cali': 3, 'bud': 1, 'pulling': 2, 'hoes': 10, 'as': 6, 'youngin': 1, 'them': 117, 'drugs': 2, 'babbage': 2, 'green': 3, 'pop': 1, 'molly': 1, 'hours': 1, 'member': 1, 'sleep': 6, 'team': 2, 'whole': 5, 'pound': 1, 'myself': 1, 'maybe': 1, 'olympics': 1, 'michael': 1, 'phelps': 1, 'known': 2, 'fresh': 1, 'twistin': 1, 'marijuana': 1, 'copy': 2, 'us': 8, 'clone': 1, 'fly': 4, 'owners': 2, 'acting': 1, 'but': 46, 'at': 9, '8': 1, 'balls': 1, 'hall': 1, 'time': 12, 'yall': 8, 'keen': 1, 'sense': 1, 'smell': 3, 'hate': 4, 'middle': 1, 'finger': 1, 'cost': 2, 'press': 1, 'eight': 4, 'dotted': 1, 'line': 1, 'comic': 1, 'book': 2, 'let': 63, 'illustrate': 1, 'power': 1, 'bang': 2, 'lift': 3, 'cane': 1, 'cousin': 1, 'died': 1, 'wish': 3, 'its': 144, 'vertebrae': 1, 'bring': 2, 'front': 2, 'wanna': 5, 'beef': 1, 'lunch': 3, 'meat': 1, 'og': 8, 'swear': 2, 'grinding': 2, 'unique': 1, 'city': 1, 'their': 8, 'heat': 1, 'side': 2, 'leaf': 1, 'high': 14, 'peace': 2, 'grind': 5, 'looking': 2, 'killing': 1, 'beats': 1, 'stay': 5, 'away': 1, 'booking': 1, 'dirty': 1, 'crooked': 1, 'studio': 1, 'happy': 2, 'work': 28, 'hard': 43, 'play': 18, 'ring': 2, 'gold': 7, 'watches': 1, 'chain': 4, 'hundred': 12, 'thou': 2, 'insane': 4, 'rain': 1, 'plane': 9, 'buying': 3, 'gear': 1, 'flying': 2, 'heard': 1, 'year': 4, 'club': 6, 'stacks': 1, 'love': 28, 'stole': 1, 'swag': 4, 'uh': 18, 'onto': 1, 'closet': 1, 'rack': 1, 'hawaii': 1, 'goin': 13, 'should': 9, 'start': 2, 'bank': 4, 'buy': 4, 'many': 6, 'bottles': 5, 'gon': 19, 'drink': 1, 'still': 13, 'pourin': 1, 'family': 3, 'bigger': 6, 'bill': 6, 'harder': 7, 'ball': 8, 'well': 9, 'mine': 6, 'quicker': 6, 'faster': 7, 'why': 8, 'hop': 2, 'pretty': 2, 'fucking': 2, 'car': 5, 'world': 5, 'star': 1, 'rounds': 1, 'bar': 1, 'are': 11, 'boss': 2, 'walk': 4, 'building': 1, 'phone': 2, 'talking': 4, 'grown': 1, 'busy': 1, 'jacking': 1, 'around': 2, 'reppin': 1, 'gang': 6, 'sure': 3, 'whatever': 1, 'job': 1, 'prob': 2, 'hey': 4, 'em': 15, 'claiming': 1, 'mean': 7, 'whats': 9, 'joint': 6, 'puffin': 2, 'since': 3, 'enough': 7, 'everybody': 1, 'gonna': 2, 'trippy': 4, 'must': 1, 'real': 11, 'though': 2, 'looked': 1, 'mirror': 1, 'today': 4, 'realest': 24, 'ever': 6, 'met': 2, 'hahahahaha': 6, 'uhh': 1, 'smoked': 8, 'brought': 2, 'went': 4, 'shopping': 1, 'places': 5, 'jumped': 1, 'road': 6, 'shows': 2, 'poppin': 2, 'promoters': 1, 'dates': 1, 'yellow': 2, 'paint': 2, 'parties': 1, 'drinks': 1, 'first': 2, 'private': 4, 'nudie': 1, 'jeans': 3, 'mane': 29, 'mary': 25, 'jane': 1, '11': 1, 'mil': 1, 'same': 6, 'feelings': 6, 'thought': 8, 'wasnt': 7, 'plan': 6, 'benjamins': 6, 'ballin': 14, 'stands': 6, 'business': 7, 'callin': 2, 'started': 2, 'underneath': 2, 'floor': 4, 'ceiling': 2, 'staying': 2, 'turned': 2, 'million': 3, 'tryna': 6, 'live': 7, 'killin': 2, 'rollie': 1, 'arm': 1, 'ten': 2, 'rings': 1, 'don': 1, 'cuban': 2, 'links': 2, 'zigzag': 1, 'charm': 1, 'ice': 1, 'jar': 1, 'hermes': 1, 'chanel': 1, 'seats': 2, 'hatin': 1, 'talkin': 3, 'waitin': 1, 'doubt': 1, 'shoutout': 1, 'brother': 1, 'will': 4, 'couldnt': 1, 'fo': 2, '18': 1, 'racks': 4, 'dough': 2, 'send': 1, 'goons': 1, 'ya': 3, 'door': 7, 'meet': 3, '44': 2, 'run': 3, 'mouth': 2, 'trunk': 1, 'glock': 1, 'head': 7, 'catch': 5, 'yourself': 1, 'drums': 1, 'boat': 1, 'load': 1, 'drank': 1, 'famished': 1, 'account': 1, 'outlandish': 1, 'big': 5, 'estate': 1, 'sittin': 1, 'land': 1, 'test': 4, 'ak': 1, 'his': 2, 'chest': 1, 'fight': 2, 'security': 1, 'double': 1, 'sippin': 1, 'mob': 1, 'criminals': 1, 'find': 1, 'bin': 1, 'laden': 1, 'chopper': 1, 'thatll': 1, 'split': 1, 'jockin': 1, 'swallow': 1, 'nut': 1, 'spittin': 1, 'murked': 1, 'jail': 1, 'filled': 1, 'yup': 19, 'hahahaha': 2, 'rest': 2, 'motherfuckin': 2, 'cork': 1, 'bottle': 1, 'style': 1, 'lil': 5, 'follow': 1, 'hustlin': 1, 'watch': 6, 'worth': 1, '30': 3, 'thousand': 1, 'italian': 1, 'boy': 1, 'ridin': 5, 'ride': 13, 'lookin': 2, 'filthy': 1, 'innocent': 1, 'fell': 1, 'lost': 1, 'hows': 1, 'upholstery': 1, 'rollin': 6, 'across': 1, 'seas': 1, 'hopin': 1, 'neighbor': 1, 'bake': 5, 'another': 7, 'hardly': 2, 'wouldnt': 1, 'any': 1, 'other': 10, 'holdin': 1, 'wake': 4, 'things': 4, 'ill': 6, 'again': 5, 'pull': 1, 'teller': 1, 'funny': 2, 'liable': 1, 'tony': 1, 'blue': 2, 'bags': 1, 'count': 4, 'round': 1, 'kush': 3, 'body': 2, 'g': 1, 'gucci': 1, 'gianni': 2, 'dressed': 1, 'airport': 1, 'pose': 1, 'paparazzi': 1, 'huh': 4, 'mo': 6, 'problems': 1, 'roberto': 1, 'cavalli': 1, 'bruh': 1, 'damn': 8, 'smokin': 14, 'stick': 2, 'hash': 2, 'oil': 1, 'hustle': 2, 'lot': 5, 'drive': 3, 'cop': 3, 'boarded': 1, 'yacht': 1, 'were': 4, 'craps': 1, 'table': 2, 'vegas': 2, 'dealer': 2, 'saying': 2, 'he': 3, 'admiring': 1, 'placing': 1, 'wager': 1, 'care': 2, 'blow': 3, 'couple': 2, 'blowing': 1, 'stink': 1, 'o': 1, 'strong': 5, 'would': 3, 'cologne': 1, 'anywhere': 1, 'highest': 1, 'level': 6, 'alone': 1, 'suckers': 1, 'thinking': 2, 'wrong': 3, 'switching': 1, 'lanes': 1, 'foot': 1, 'brake': 1, 'muthafuckin': 1, 'xxl': 1, 'difference': 4, 'cover': 1, 'once': 3, 'little': 7, 'sister': 1, 'her': 7, 'crazy': 3, 'industry': 1, 'become': 1, 'enemies': 1, 'end': 1, 'positive': 1, 'energy': 1, 'flowing': 1, 'sky': 1, 'falling': 2, 'hating': 2, 'imma': 5, 'fake': 2, 'found': 1, 'estates': 1, 'vacations': 1, 'planes': 1, 'cool': 2, 'pilot': 1, 'something': 8, 'movie': 2, 'ferrari': 2, 'options': 1, 'an': 2, 'everyday': 1, 'bossin': 1, 'cohesive': 1, 'focus': 2, 'people': 3, 'creating': 1, 'doesnt': 1, 'exist': 1, 'worried': 4, 'turnt': 4, 'max': 4, 'joints': 5, 'face': 7, 'pockets': 4, 'swollen': 2, 'stolen': 2, 'weeded': 2, 'conceited': 1, 'grand': 3, 'ashtray': 2, 'k': 1, 'tatted': 1, 'cholo': 1, 'act': 2, 'dogs': 2, 'loco': 2, 'movin': 1, 'slomo': 2, 'problem': 4, 'brobro': 2, 'mill': 2, 'lowlow': 2, 'prerolleds': 2, 'cristal': 1, 'clicquot': 2, 'zeros': 2, 'wizzle': 1, 'hero': 2, 'donut': 1, 'sold': 1, 'than': 6, 'yees': 1, 'dick': 2, 'choke': 2, 'rock': 2, 'feeling': 1, 'pill': 1, 'locked': 1, 'lettin': 1, 'bros': 2, 'sho': 1, 'ha': 1, 'pullin': 1, 'lovin': 2, 'fore': 2, 'government': 2, 'superduper': 1, 'eightyeighth': 1, 'unzip': 1, 'pussy': 4, 'rhyming': 1, 'forever': 2, 'dying': 1, 'til': 22, 'pedal': 1, 'metal': 1, 'flyin': 1, 'whoa': 1, 'yellin': 1, 'diamond': 1, 'teeth': 1, 'treatin': 1, 'bapecom': 1, 'swap': 2, 'until': 1, 'she': 4, 'knockkneed': 2, 'whip': 1, 'speed': 2, 'mess': 1, 'mop': 2, 'clean': 2, 'lean': 3, 'dropping': 3, 'am': 2, 'buck': 1, 'truck': 1, 'prolly': 1, 'homies': 2, 'blowin': 1, 'trying': 1, 'figure': 1, 'toasted': 2, 'glass': 2, 'sad': 2, 'campaign': 1, 'ad': 2, 'blinds': 4, 'truth': 4, 'lies': 4, 'khalifa': 1, 'stayed': 1, 'gained': 1, 'frames': 2, 'shame': 1, 'ordered': 1, 'youd': 1, 'already': 3, 'changed': 1, 'sections': 1, 'rolexes': 1, 'venue': 1, 'bouncers': 1, 'ounces': 1, 'rubber': 2, 'band': 2, 'use': 2, 'kid': 2, 'believe': 3, 'living': 2, 'sharing': 1, 'streets': 1, 'seem': 1, 'eat': 1, 'beast': 1, 'pitifully': 1, 'literally': 1, 'school': 3, 'matter': 2, 'folks': 1, 'win': 1, 'chin': 1, 'hold': 2, 'onifc': 1, 'tgod': 1, 'wakin': 1, 'neighbors': 1, 'headboard': 1, 'shakin': 1, 'leave': 3, 'parts': 1, 'achin': 1, 'speedin': 1, 'pace': 1, 'into': 3, 'tastin': 1, 'tonight': 1, 'unwind': 1, 'wet': 2, 'theres': 2, 'record': 1, 'place': 2, 'space': 1, 'cake': 1, 'mornin': 1, 'knowin': 1, 'late': 1, 'buyin': 1, 'spendin': 1, 'throwin': 1, 'givin': 3, 'somethin': 3, 'pick': 3, 'favorite': 2, 'sex': 1, 'scene': 1, 'beds': 1, 'belong': 1, 'sexy': 1, 'heels': 1, 'position': 1, 'zone': 1, 'girlfriends': 1, 'whoever': 1, 'fuckin': 12, 'fold': 1, 'tired': 2, 'finish': 1, 'race': 1, 'winnin': 1, 'nobody': 1, 'track': 1, 'built': 1, 'loyalty': 1, 'hmmm': 1, 'grip': 1, 'zip': 1, '100k': 1, 'spent': 2, 'dna': 1, 'givenchy': 1, 'retarded': 1, 'rocking': 4, 'armani': 1, 'versace': 2, 'broke': 5, 'change': 2, 'nothin': 105, 'stackin': 7, 'cheese': 9, 'bread': 14, 'trees': 3, '2': 1, 'chainz': 1, 'hair': 1, 'longer': 1, 'shawty': 1, 'subzero': 1, 'flow': 1, 'spit': 1, 'snow': 1, 'flurries': 1, 'scarface': 1, 'aaall': 1, 'blunt': 1, 'summertime': 1, 'roof': 1, 'winter': 1, 'lo': 1, 'boots': 1, 'bein': 2, 'because': 2, 'better': 1, 'view': 1, 'ho': 4, 'theraflu': 1, 'chasin': 3, 'topic': 1, 'next': 6, 'rockin': 1, 'order': 1, 'thirtyseven': 1, 'goddamn': 1, 'party': 2, 'south': 4, 'france': 1, 'spending': 7, 'highly': 2, 'guarantee': 1, 'twice': 1, 'lifes': 1, 'gamble': 1, 'dice': 1, 'afraid': 1, 'heights': 1, 'flight': 1, '20': 1, '10': 1, 'dog': 3, 'alike': 1, 'arms': 1, 'pocket': 2, 'rolled': 2, 'ashes': 1, 'balling': 2, 'super': 1, 'overdose': 1, 'sober': 1, 'over': 2, 'quit': 1, 'hatings': 1, 'oughta': 1, 'teens': 1, 'knew': 2, 'older': 1, 'id': 2, 'mad': 2, 'js': 1, 'dollars': 4, 'bills': 1, 'putting': 1, 'tab': 1, 'ogs': 1, 'fucked': 2, 'chasing': 2, 'model': 2, 'chicks': 2, 'fucks': 1, 'handcuffing': 1, 'together': 1, 'dream': 1, 'erybody': 1, 'po': 1, 'owner': 1, 'leavin': 1, 'card': 1, 'limit': 1, 'clubs': 1, 'those': 2, 'motherfuckers': 1, 'thinkin': 1, 'theyre': 1, 'motherfucker': 1, 'sparklers': 1, 'coming': 1, 'doin': 3, 'quiet': 1, 'juicys': 1, 'drivin': 1, 'higher': 1, 'bee': 2, 'gees': 1, 'both': 2, 'stayin': 1, 'alive': 1, 'watchin': 1, 'climbin': 1, 'mountain': 1, 'sit': 1, 'doubtin': 1, 'somewhere': 1, 'grass': 1, 'clouds': 1, 'wit': 5, 'doing': 1, 'ducats': 1, 'pictures': 1, 'myspace': 1, 'extracurricular': 1, 'drug': 8, 'rappin': 1, 'happen': 1, 'actin': 1, 'yet': 1, 'really': 5, 'unless': 1, 'captain': 1, 'choked': 1, 'cabin': 1, 'napkin': 1, 'taylored': 1, 'bullshit': 1, 'names': 1, 'flavors': 1, 'puttin': 1, 'videos': 1, 'turn': 1, 'video': 1, 'exact': 1, 'original': 1, 'naw': 1, 'suckas': 1, 'oj': 1, 'obviously': 1, 'consciousness': 1, 'expect': 1, 'feels': 1, 'almost': 1, 'homage': 1, 'beat': 1, 'spaceghostpurrp': 1, 'takes': 2, 'seldgrens': 1, 'changing': 1, 'sound': 1, 'bit': 1, 'productionwise': 1, 'glad': 1, 'elaborating': 1, 'weve': 2, 'theyve': 1, 'elaborated': 1, 'sledro': 1, 'youve': 1, 'fool': 1, 'stupid': 1, 'members': 1, 'hood': 2, 'badasses': 1, 'fakers': 1, 'taylors': 3, 'taylor': 53, 'flaunt': 3, 'screamin': 3, 'exactly': 1, 'post': 1, 'large': 1, 'overseas': 7, 'dope': 2, 'boys': 1, 'jointsmokers': 1, 'ginsippers': 1, 'human': 1, 'nature': 1, 'pack': 1, 'throwback': 1, 'owe': 1, 'kodak': 1, 'later': 1, 'monroe': 1, 'gangs': 1, 'four': 2, 'coupes': 1, 'credit': 1, 'score': 1, 'debit': 1, 'whore': 1, 'decor': 1, 'bed': 2, 'several': 1, 'exit': 1, 'sweet': 1, 'shoe': 1, 'chu': 1, 'tighter': 1, 'weave': 1, 'two': 2, 'sleeves': 1, 'blanks': 1, 'failure': 1, 'range': 1, 'duplicate': 1, 'dame': 1, 'snap': 1, 'headshots': 1, 'loafin': 1, 'knots': 1, 'eenie': 1, 'meenie': 1, 'minie': 1, 'birds': 1, 'goosin': 1, 'duckin': 1, 'nnever': 1, 'issue': 1, 'bitches': 1, 'kiss': 1, 'wiz': 7, 'comin': 1, 'blastin': 1, 'um': 1, 'performin': 1, 'wanted': 1, 'message': 1, 'miss': 3, 'proud': 1, 'wait': 1, 'mwah': 1, 'bye': 1, 'la': 6, 'trappin': 3, 'pittsburgh': 3, 'bay': 3, 'york': 6, 'mia': 6, 'chitown': 3, 'quick': 3, 'spray': 3, 'detroit': 3, 'drinking': 2, 'standing': 1, 'couch': 1, 'town': 1, 'mansion': 1, 'jewelry': 1, 'ready': 1, 'action': 1, 'fountain': 1, 'bleu': 1, 'thang': 2, 'chains': 1, 'croak': 1, 'vote': 1, 'presidential': 2, 'yes': 1, 'check': 1, 'vacation': 1, 'rotation': 1, 'relaxation': 1, 'nation': 1, 'bands': 3, 'sports': 1, 'illustrated': 1, 'final': 1, 'destination': 1, 'hen': 1, 'intoxication': 1, 'tall': 1, 'manute': 1, 'bol': 1, 'suite': 1, 'playmate': 1, 'centerfolds': 1, 'j': 1, 'waste': 2, 'gas': 2, 'legs': 1, 'shouldve': 1, 'bumble': 1, 'tree': 2, 'throw': 1, 'jamboree': 1, 'promise': 1, 'quarter': 1, 'nineteen': 1, 'pat': 1, 'iv': 1, 'jackin': 1, 'surprise': 1, 'didnt': 1, 'anytime': 1, 'workin': 1, 'newest': 1, 'bluffin': 6, 'larger': 1, 'paced': 1, 'outside': 1, 'ours': 1, 'stars': 1, 'travel': 1, 'safe': 1, 'far': 1, 'custom': 1, 'suede': 1, 'california': 2, 'baked': 1, 'chances': 1, 'claim': 1, 'twentytwo': 1, 'cones': 2, 'stuff': 2, 'lightin': 2, 'dollar': 1, 'twenty': 1, 'honeys': 1, 'step': 2, 'whenever': 1, 'troubles': 1, 'trust': 1, 'lord': 1, 'brighter': 1, 'great': 1, 'asks': 1, 'expects': 1, 'faith': 1, 'unshaken': 1, 'tribulation': 1, 'yield': 1, 'confidence': 1, 'knowledge': 1, 'knows': 1, 'best': 1, 'trouble': 1, 'sorrow': 1, 'testin': 1, 'soul': 1, 'reach': 1, 'ultimate': 1, 'goal': 1, 'knowing': 1, 'believing': 1, 'has': 1, 'promised': 1, 'yours': 1, 'receive': 1, 'preach': 1, 'church': 1, 'tabernacle': 1}"
