Yearly info for BustaRhymes,Frequency
2014,"{'turn': 2, 'my': 14, 'mic': 2, 'up': 20, 'ready': 11, 'on': 25, 'the': 54, 'right': 5, 'ayo': 8, 'calm': 8, 'down': 13, 'nigga': 9, 'left': 6, 'fuck': 10, 'it': 9, 'blackout': 2, 'niggas': 9, 'oh': 1, 'lord': 1, 'lower': 1, 'casket': 1, 'sprinkle': 1, 'ash': 1, 'or': 1, 'get': 8, 'your': 13, 'ass': 3, 'kicked': 2, 'pow': 2, 'frown': 1, 'while': 6, 'i': 36, 'shit': 8, 'crown': 1, 'skip': 2, 'town': 2, 'ground': 1, 'zero': 1, 'shapiro': 1, 'king': 1, 'cash': 1, 'cow': 1, 'cowcow': 1, 'do': 2, 'make': 6, 'em': 11, 'say': 1, 'wow': 1, 'strip': 1, 'ow': 1, 'bow': 1, 'sit': 3, 'with': 12, 'pound': 1, 'click': 4, 'blaow': 4, 'stop': 2, 'traffic': 1, 'dropping': 1, 'them': 7, 'classics': 1, 'flip': 1, 'now': 2, 'bitches': 1, 'im': 21, 'making': 3, 'thou': 1, 'art': 1, 'you': 22, 'dont': 4, 'really': 1, 'want': 1, 'start': 1, 'when': 7, 'growl': 2, 'rawr': 3, 'let': 1, 'me': 12, 'come': 4, 'and': 39, 'mop': 1, 'knockoffs': 1, 'pop': 1, 'off': 5, 'never': 2, 'cause': 6, 'we': 3, 'through': 4, 'better': 3, 'lock': 2, 'doors': 1, 'pause': 1, 'wolves': 1, 'wanna': 2, 'eat': 1, 'peep': 1, 'how': 2, 'they': 9, 'jaws': 1, 'no': 1, 'need': 2, 'to': 12, 'cook': 2, 'coke': 1, 'see': 8, 'cop': 1, 'raw': 1, 'if': 5, 'aint': 3, 'had': 2, 'enough': 1, 'what': 5, 'in': 13, 'fat': 1, 'fishes': 1, 'of': 18, 'a': 39, 'phenomenal': 1, 'fahrvergnügen': 1, 'is': 9, 'going': 3, 'back': 6, 'ba': 1, 'baracus': 1, 'callous': 1, 'bang': 2, 'another': 1, 'song': 2, 'imma': 1, 'have': 2, 'these': 6, 'nervous': 1, 'clipping': 1, 'nails': 1, 'dribbling': 1, 'witness': 1, 'nibble': 1, 'like': 21, 'sunflower': 1, 'seed': 1, 'shells': 1, 'scales': 1, 'got': 3, 'weight': 1, 'heavy': 1, 'three': 1, 'whales': 1, 'males': 1, 'till': 1, 'its': 7, 'stinkin': 1, 'fouler': 1, 'than': 5, 'weed': 2, 'smellnigga': 1, 'tree': 1, 'fell': 2, 'twitter': 1, 'facebook': 1, 'instagramming': 1, 'an': 4, 'email': 1, 'talking': 1, 'sick': 4, 'shook': 1, 'at': 1, 'retail': 1, 'until': 3, 'cripple': 1, 'slanging': 1, 'sale': 1, 'triple': 1, 'bred': 1, 'whoop': 1, 'drag': 1, 'females': 1, 'gaspoh': 1, 'well': 1, 'already': 1, 'know': 2, 'way': 3, 'that': 11, 'minus': 1, 'details': 1, 'case': 3, 'shut': 1, 'bitch': 3, 'remind': 1, 'replacement': 1, 'butt': 1, 'kind': 2, 'ancient': 1, 'slut': 1, 'she': 1, 'was': 7, 'basement': 1, 'swell': 1, 'this': 10, 'sticking': 1, 'steaks': 1, 'gut': 1, 'so': 11, 'gracefully': 1, 'graciously': 1, 'painfully': 1, 'wake': 3, 'ragdolling': 1, 'attacking': 1, 'apes': 1, 'cut': 1, 'waiting': 1, 'for': 7, 'taking': 2, 'break': 2, 'neck': 1, 'bracelet': 1, 'kinda': 1, 'having': 1, 'truck': 1, 'drinking': 1, 'til': 2, 'blasted': 1, 'harassing': 1, 'erase': 1, 'keeping': 1, 'open': 1, 'blacking': 2, 'leaving': 2, 'stuck': 2, 'happier': 1, 'child': 2, 'park': 1, 'chasing': 3, 'duck': 1, 'buck': 1, 'funny': 1, 'be': 4, 'luck': 1, 'lacing': 1, 'boots': 1, 'pushing': 1, 'face': 2, 'mud': 1, 'ahh': 1, 'missiles': 1, 'fling': 1, 'spit': 1, 'live': 1, 'wire': 1, 'circling': 1, 'around': 4, 'more': 2, 'fire': 1, 'melt': 1, 'brick': 1, 'surfacing': 1, 'sound': 1, 'light': 2, 'thatll': 1, 'quick': 1, 'worship': 1, 'andgather': 1, 'certain': 1, 'shitll': 1, 'splatter': 1, 'cliques': 1, 'painful': 1, 'scatter': 1, 'blink': 1, 'shameful': 1, 'shatter': 1, 'split': 1, 'apart': 1, 'doesnt': 1, 'matter': 1, 'rip': 1, 'head': 1, 'shoulders': 1, 'bullets': 1, 'bigger': 1, 'boulder': 1, 'classic': 1, 'could': 1, 'easily': 1, 'asskicked': 1, 'shady': 4, 'together': 1, 'were': 2, 'crazy': 3, 'baking': 1, 'vomit': 1, 'rabies': 1, 'cake': 1, 'pastry': 1, 'from': 2, 'haiti': 1, 'suggesting': 1, 'pay': 1, 'spaz': 1, 'allala': 1, 'israeli': 1, 'bastards': 1, 'bite': 1, 'beat': 2, 'starting': 2, 'heat': 1, 'yack': 1, 'chopping': 1, 'foot': 1, 'mine': 1, 'putting': 1, 'feet': 1, 'black': 1, 'hood': 1, 'wild': 1, 'hoping': 1, 'protect': 1, 'been': 1, 'out': 4, 'long': 1, 'asking': 1, 'hook': 1, 'died': 1, 'nah': 1, 'but': 6, 'fried': 2, 'yo': 3, 'chill': 2, 'manchill': 2, 'apparently': 1, 'theres': 1, 'contagiousness': 1, 'tirade': 1, 'just': 6, 'might': 1, 'irate': 1, 'brain': 1, 'fucking': 6, 'egg': 1, 'mind': 1, 'scrambled': 1, 'litnarrow': 1, 'minded': 1, 'go': 2, 'such': 1, 'wide': 1, 'range': 1, 'emotion': 1, 'rage': 1, 'has': 1, 'gotta': 1, 'squeeze': 1, 'sideways': 1, 'pulled': 1, 'clive': 1, 'daviss': 1, 'driveway': 1, 'his': 3, 'personal': 1, 'memoir': 1, 'saying': 1, 'hes': 2, 'bi': 1, 'waving': 1, 'nine': 1, 'picket': 1, 'sign': 2, 'egging': 1, 'ride': 1, 'him': 1, 'cry': 1, 'rapethen': 1, 'arrive': 1, 'naked': 1, 'drive': 1, 'straight': 2, 'gay': 1, 'pride': 1, 'parade': 1, 'yay': 1, 'yippeekiyay': 1, 'here': 1, 'wait': 1, 'did': 1, 'world': 2, 'pee': 1, 'leg': 1, 'should': 1, 'take': 4, 'as': 4, 'maybe': 1, 'into': 2, 'time': 1, 'sore': 1, 'thumb': 1, 'gave': 1, 'finger': 1, 'attention': 1, 'away': 1, 'stinking': 1, 'bringing': 1, 'changed': 1, 'whole': 2, 'complexion': 1, 'game': 1, 'thinking': 1, 'inkling': 1, 'replacing': 1, 'kingpin': 1, 'youre': 4, 'wasting': 1, 'ink': 1, 'then': 1, 'any': 1, 'indication': 1, 'may': 2, 'facing': 1, 'distinction': 1, 'fake': 1, 'imitations': 1, 'are': 1, 'bad': 2, 'taste': 1, 'impression': 1, 'thats': 1, 'worst': 1, 'impersonation': 1, 'ive': 1, 'ever': 1, 'seen': 1, 'who': 1, 'raps': 1, 'nasally': 1, 'eyes': 1, 'hazely': 1, 'rhymes': 1, 'crazily': 1, 'sounds': 1, 'he': 2, 'some': 1, 'flonase': 1, 'speaking': 1, 'stupid': 1, 'question': 1, 'hey': 1, 'mrs': 1, 'abraham': 1, 'lincoln': 1, 'other': 1, 'husbands': 1, 'brains': 1, 'leaking': 1, 'howd': 1, 'think': 1, 'play': 1, 'weekend': 1, 'real': 1, 'slim': 1, 'faggot': 1, 'ew': 1, 'ballot': 1, 'running': 1, 'class': 1, 'clown': 1, 'rich': 1, 'democrat': 1, 'candidate': 1, 'party': 1, 'flipmode': 1, 'campaign': 1, 'every': 1, 'campus': 1, 'rampage': 1, 'act': 1, 'goddamn': 1, 'age': 1, 'ameight': 1, 'lets': 1, 'smashed': 2, 'next': 2, 'day': 2, 'room': 1, 'trashed': 1, 'covered': 1, 'bandaids': 1, 'glass': 1, 'ashtray': 1, 'champagne': 1, 'splashed': 1, 'lampshades': 1, 'debate': 1, 'undebatable': 1, 'president': 1, 'ho': 1, 'days': 1, 'old': 1, 'sway': 1, 'tech': 1, 'radio': 1, 'much': 1, 'nodoz': 1, 'lsd': 1, 'almost': 1, 'asleep': 1, 'show': 1, 'telling': 1, 'fools': 1, 'rippin': 1, 'shop': 1, 'raisin': 1, 'hell': 1, 'drews': 1, 'penelope': 1, 'cruz': 1, 'still': 1, 'developing': 1, 'boobs': 1, 'bus': 1, 'put': 1, 'pet': 2, 'vets': 1, 'dog': 2, 'internet': 1, 'bloggers': 1, 'front': 1, 'computer': 1, 'all': 1, 'comment': 1, 'everything': 3, 'expert': 1, 'sucksplay': 1, 'guess': 1, 'hopped': 1, 'freaking': 2, 'laptop': 1, 'idiot': 1, 'prick': 1, 'biggie': 1, 'living': 1, 'id': 1, 'dead': 1, 'wrong': 1, 'son': 1, 'god': 1, 'sog': 1, 'wet': 1, 'log': 1, 'pores': 1, 'clogged': 1, 'full': 1, 'selfesteem': 1, 'sweat': 1, 'fog': 1, 'yes': 2, 'yall': 2, 'wahsteady': 1, 'step': 1, 'fore': 1, 'stepped': 1, 'soft': 1, 'bout': 1, 'commercial': 1, 'learjet': 1, 'jealousyll': 1, 'green': 1, 'chia': 1, 'can': 1, 'visibly': 1, 'upset': 1, 'alert': 2, 'girlalert': 1, 'once': 1, 'enter': 1, 'house': 1, 'pain': 1, 'hurt': 1, 'jump': 6, 'shaking': 1, 'came': 1, 'hit': 1, 'fan': 2, 'favorite': 1, 'too': 1, 'fly': 1, 'coach': 1, 'arms': 1, 'hands': 1, 'flailing': 1, 'van': 1, 'halen': 1, 'pray': 1, 'damn': 2, 'tailwind': 1, 'afraid': 1, 'success': 1, 'am': 1, 'failure': 1, 'does': 1, 'tell': 1, 'ya': 1, 'grand': 1, 'scale': 1, 'give': 1, 'about': 1, 'nothing': 1, 'stan': 1, 'mailing': 1, 'last': 1, 'piece': 1, 'mail': 1, 'before': 1, 'ran': 1, 'railing': 1}"
2013,"{'yo': 3, 'yuh': 51, 'dun': 12, 'know': 14, 'dis': 5, 'time': 7, 'when': 11, 'we': 32, 'come': 16, 'in': 15, 'fi': 11, 'flatline': 3, 'everting': 3, 'inna': 5, 'bomboclaat': 3, 'til': 7, 'clash': 3, 'down': 11, 'fuh': 3, 'real': 6, 'big': 7, 'man': 6, 'mi': 17, 'talk': 3, 'ere': 4, 'weh': 11, 'do': 11, 'shut': 4, 'your': 16, 'mout': 2, 'listen': 2, 'close': 5, 'it': 200, 'liquor': 3, 'shot': 2, 'blow': 4, 'torch': 2, 'a': 43, 'bun': 4, 'nuff': 4, 'excitement': 2, 'see': 16, 'them': 13, 'frightened': 2, 'watch': 9, 'bwoy': 6, 'run': 2, 'here': 2, 'gyal': 16, 'hmmm': 2, 'whata': 2, 'gwaan': 6, 'wid': 6, 'dat': 11, 'dutty': 3, 'wine': 6, 'tony': 2, 'matterhorn': 2, 'bass': 2, 'lick': 2, 'make': 2, 'clap': 2, 'go': 10, 'take': 4, 'off': 6, 'set': 2, 'the': 35, 'trap': 2, 'dont': 6, 'fight': 2, 'skin': 4, 'soft': 2, 'sit': 2, 'pon': 3, 'on': 18, 'fuck': 7, 'broke': 2, 'out': 6, 'so': 6, 'exotic': 2, 'while': 4, 'you': 27, 'suck': 2, 'up': 31, 'have': 3, 'batty': 6, 'how': 12, 'love': 2, 'bend': 2, 'ova': 2, 'and': 44, 'spread': 2, 'mek': 2, 'stick': 4, 'she': 9, 'haffi': 5, 'twerk': 133, 'twertwertwertwertwertwer': 20, 'i': 16, 'seh': 6, 'finish': 2, 'pull': 2, 'pants': 2, 'get': 10, 'friend': 4, 'dance': 2, 'outside': 2, 'di': 24, 'benz': 2, 'enjoy': 2, 'ride': 2, 'wey': 2, 'welcome': 3, 'tek': 4, 'dick': 2, 'wait': 2, 'for': 10, 'hold': 5, 'deh': 4, 'vex': 2, 'vegetate': 2, 'shoot': 3, 'what': 2, 'my': 7, 'gun': 2, 'will': 2, 'evaporate': 2, 'leggo': 2, 'sound': 2, 'quang': 2, 'level': 2, 'to': 20, 'ground': 2, 'pang': 2, 'best': 4, 'pretty': 2, 'whole': 4, 'heap': 4, 'breast': 2, 'physical': 2, 'drop': 3, 'no': 4, 'one': 4, 'could': 4, 'attest': 2, 'digital': 2, 'instagram': 2, 'dem': 5, 'rest': 2, 'bow': 3, 'chain': 1, 'heavy': 1, 'too': 3, 'respect': 1, 'gwan': 1, 'like': 19, 'nuh': 2, 'pave': 1, 'way': 3, 'queen': 1, 'yah': 1, 'london': 1, 'rate': 1, 'same': 1, 'boy': 1, 'cat': 1, 'oh': 1, 'true': 1, 'rich': 1, 'wallet': 1, 'yeh': 1, 'ave': 1, 'mmm': 1, 'gi': 1, 'kartel': 1, 'beenie': 1, 'bounty': 1, 'killa': 1, 'roll': 2, 'weed': 1, 'buss': 2, 'ah': 3, 'dutch': 1, 'all': 4, 'rizzla': 1, 'bruk': 1, 'flip': 1, 'land': 1, 'ya': 1, 'head': 3, 'brooklyn': 1, 'net': 1, 'trinidad': 1, 'james': 1, 'chat': 1, 'bout': 2, 'pussy': 1, 'hole': 1, 'bitter': 1, 'but': 3, 'twertwertwertwertwertwertwer': 4, 'walk': 2, 'champion': 2, 'swing': 2, 'stallion': 2, 'two': 2, 'medallion': 2, 'good': 5, 'perfect': 2, 'show': 6, 'action': 2, 'bad': 2, 'concoction': 2, 'cool': 2, 'now': 5, 'relax': 2, 'mon': 2, 'eh': 2, 'em': 2, 'nervous': 2, 'place': 2, 'spin': 3, 'round': 8, 'face': 2, 'open': 2, 'case': 2, 'or': 2, 'chuck': 1, 'work': 2, 'waistline': 2, 'follow': 2, 'bassline': 2, 'right': 2, 'stir': 2, 'bowl': 2, 'of': 8, 'soup': 2, 'hula': 2, 'hoop': 2, 'cute': 2, 'purpose': 2, 'yard': 2, 'woman': 2, 'grind': 2, 'numba': 2, 'jump': 2, 'wave': 2, 'hand': 2, 'tink': 1, 'arch': 1, 'thing': 1, 'woo': 1, 'bank': 1, 'where': 1, 'deposit': 1, 'young': 1, 'money': 3, 'cash': 1, 'im': 2, 'tunechi': 1, 'boss': 1, 'live': 1, 'from': 2, 'vault': 1, 'is': 6, 'busta': 1, 'yeah': 4, 'swag': 2, 'mania': 1, 'pop': 2, 'that': 5, 'goes': 1, 'most': 2, 'carry': 1, 'beautiful': 1, 'bitches': 2, 'with': 9, 'us': 7, 'happily': 1, 'toast': 1, 'keep': 2, 'faculty': 1, 'gross': 1, 'give': 2, 'dose': 1, 'got': 3, 'oding': 1, 'leaning': 1, 'each': 1, 'coast': 1, 'scenery': 1, 'froze': 1, 'notes': 1, 'rock': 1, 'rolls': 1, 'diamonds': 2, 'fit': 1, 'chanel': 1, 'minks': 1, 'winter': 1, 'who': 1, 'fucking': 2, 'coming': 1, 'shivers': 1, 'watery': 1, 'flows': 1, 'spilling': 1, 'rivers': 1, 'flooding': 1, 'street': 2, 'hoping': 1, 'niggas': 9, 'swimming': 1, 'moving': 1, 'gorillas': 1, 'king': 1, 'kongs': 1, 'godzillas': 1, 'seat': 1, 'filling': 1, 'uhh': 3, 'shit': 6, 'please': 1, 'throw': 1, 'grow': 1, 'if': 1, 'robbing': 1, 'gon': 1, 'thank': 5, 'lucky': 1, 'stars': 1, 'its': 4, 'rap': 2, 'czar': 1, 'tuck': 1, 'bite': 1, 'rin': 1, 'tin': 2, 'chagrin': 1, 'never': 5, 'win': 1, 'model': 1, 'thin': 1, 'walking': 1, 'crack': 1, 'shin': 1, 'gives': 1, 'every': 1, 'square': 1, 'kings': 1, 'hall': 1, 'wade': 1, 'ball': 1, 'whats': 1, 'cracking': 1, 'yall': 3, 'native': 1, 'new': 1, 'yorker': 1, 'slick': 1, 'talker': 1, 'keeps': 1, 'order': 1, 'call': 2, 'reporter': 1, 'stepping': 1, 'british': 1, 'walkers': 1, 'legendary': 1, 'flu': 1, 'influence': 1, 'just': 2, 'into': 1, 'steadily': 1, 'god': 1, 'stupid': 1, 'undisputed': 1, 'act': 1, 'fool': 1, 'back': 1, 'tool': 1, 'until': 2, 'they': 2, 'police': 1, 'crowd': 1, 'blocking': 1, 'locking': 1, 'these': 1, 'wilding': 1, 'signal': 1, 'soldiers': 1, 'bossing': 1, 'maintaining': 1, 'composure': 1, 'stand': 1, 'sofa': 1, 'thirty': 1, 'bottles': 1, 'twenty': 1, 'waitresses': 1, 'bring': 3, 'over': 1, 'light': 5, 'nigga': 3, 'promoter': 1, 'tell': 1, 'bag': 1, 'better': 5, 'hurry': 1, 'count': 1, 'proper': 1, 'cause': 3, 'can': 1, 'want': 7, 'heavenly': 4, 'father': 4, 'feel': 2, 'shining': 4, 'me': 12, 'ay': 3, 'let': 2, 'this': 4, 'yeezy': 1, 'listening': 1, 'qtip': 1, 'settle': 1, 'stiletto': 1, 'saddle': 1, 'lets': 2, 'times': 1, 'only': 1, 'difference': 1, 'making': 1, 'though': 1, 'chatter': 1, 'peep': 2, 'batter': 1, 'top': 1, 'mountain': 1, 'folding': 1, 'ladder': 1, 'dead': 1, 'done': 1, 'rip': 1, 'paper': 1, 'status': 1, 'none': 1, 'transfixed': 1, 'strengths': 1, 'page': 1, 'whether': 1, 'chopper': 1, 'gauge': 1, 'youre': 1, 'single': 1, 'wouldnt': 1, 'engage': 1, 'turnt': 1, 'script': 1, 'cup': 1, 'goblets': 1, 'push': 1, 'sometimes': 1, 'kuff': 1, 'beat': 3, 'him': 3, 'boopbededeboff': 1, 'zippityboof': 1, 'again': 2, 'stop': 1, 'killing': 1, 'wolf': 1, 'whop': 1, 'till': 1, 'he': 5, 'piggitypoof': 1, 'ock': 1, 'puss': 1, 'problem': 1, 'drinking': 1, 'poison': 1, 'our': 1, 'livers': 1, 'dammit': 2, 'sinners': 1, 'abstract': 1, 'together': 1, 'deliver': 1, 'touching': 1, 'fingers': 1, 'winners': 1, 'pillar': 1, 'homie': 1, 'kill': 1, 'everything': 1, 'thats': 1, 'bomb': 1, 'then': 2, 'black': 2, 'little': 1, 'bit': 1, 'dummy': 1, 'microphone': 1, 'bleeding': 1, 'should': 1, 'incredibly': 1, 'resonates': 1, 'music': 1, 'itune': 1, 'youtube': 1, 'ever': 1, 'be': 1, 'refuted': 1, 'gnarly': 1, 'naughty': 1, 'ninas': 1, 'ballerinas': 1, 'ballers': 1, 'inbetweeners': 1, 'blatant': 1, 'nonbelievers': 1, 'overachievers': 1, 'kicking': 1, 'pele': 1, 'adidas': 1, 'drink': 1, 'alizé': 1, 'liters': 1, 'must': 1, 'reconcile': 1, 'leader': 1, 'shes': 1, 'begging': 1, 'eat': 1, 'her': 1, 'mans': 1, 'attitude': 1, 'defeat': 1, 'scandal': 1, 'because': 1, 'bus': 1, 'were': 3, 'prone': 1, 'handle': 2, 'gentlemen': 1, 'not': 1, 'mention': 1, 'veterans': 1, 'second': 1, 'need': 3, 'some': 1, 'medicine': 1, 'before': 1, 'as': 1, 'premises': 1, 'fly': 1, 'pelican': 1, 'idiot': 1, 'ass': 1, 'suit': 1, 'funeral': 1, 'measurements': 1, 'doing': 1, 'effortless': 1, 'getting': 1, 'than': 1, 'giving': 1, 'convince': 1, 'preference': 1, 'turn': 1, 'skeletons': 1, 'betterness': 1, 'rep': 1, 'foreverness': 1, 'flying': 1, 'united': 1, 'emirates': 1, 'sized': 1, 'private': 1, 'plane': 1, 'kind': 1, 'etiquette': 1, 'purchasing': 1, 'delicate': 1, 'ref': 1, 'regulating': 1, 'bitch': 1, 'aint': 1, 'left': 1, 'couldnt': 1, 'happened': 1, 'without': 4, 'oohooh': 1, 'ooohh': 2}"
