Yearly info for SouljaBoy,Frequency
2007,"{'yuuuuuuu': 37, 'soulja': 83, 'boy': 83, 'tell': 8, 'em': 9, 'ayy': 2, 'i': 227, 'got': 177, 'this': 29, 'new': 2, 'dance': 14, 'for': 4, 'yall': 1, 'called': 1, 'the': 56, 'you': 42, 'just': 27, 'gotta': 3, 'punch': 1, 'then': 19, 'crank': 70, 'back': 5, 'three': 1, 'times': 1, 'from': 3, 'left': 3, 'to': 137, 'right': 2, 'off': 10, 'in': 38, 'ho': 28, 'watch': 87, 'me': 189, 'it': 179, 'roll': 9, 'dat': 45, 'superman': 14, 'that': 81, 'now': 62, 'up': 31, 'lean': 3, 'rock': 1, 'yeah': 3, 'robocop': 2, 'super': 4, 'fresh': 7, 'jock': 2, 'jocking': 3, 'on': 132, 'them': 24, 'haters': 4, 'man': 23, 'when': 8, 'do': 27, 'thang': 8, 'yuuuuuu': 1, 'im': 49, 'yo': 55, 'and': 36, 'if': 4, 'we': 27, 'get': 66, 'fightin': 1, 'cocking': 2, 'catch': 2, 'at': 7, 'local': 1, 'party': 1, 'yes': 1, 'everyday': 1, 'gettin': 3, 'mad': 3, 'cause': 3, 'some': 146, 'bathin': 1, 'ape': 1, 'bouncin': 1, 'my': 118, 'toes': 1, 'supersoak': 5, 'ima': 12, 'pass': 96, 'arab': 89, 'he': 4, 'gon': 8, 'fo': 3, 'sho': 1, 'wanna': 9, 'be': 7, 'they': 8, 'lookin': 2, 'neck': 2, 'sayin': 2, 'its': 4, 'rubberband': 1, 'lets': 3, 'nope': 2, 'cant': 4, 'like': 15, 'though': 1, 'so': 6, 'dont': 9, 'folk': 6, 'see': 10, 'tryna': 1, 'was': 4, 'ugly': 2, 'too': 5, 'roosevelt': 1, 'soak': 1, 'dooooooo': 1, 'shuffle': 1, 'how': 6, 'come': 5, 'wont': 1, 'whats': 106, 'hannenin': 145, 'really': 5, 'goin': 1, 'thing': 6, 'ready': 5, 'with': 16, 'dope': 1, 'a': 24, 'half': 1, 'mill': 1, 'stashed': 1, 'studio': 1, 'down': 8, 'nigga': 6, '2006': 5, 'time': 6, 'clown': 1, 'any': 1, 'place': 2, 'dj': 1, 'hannein': 1, 'thugs': 1, 'since': 1, 'inches': 1, 'passed': 1, 'dubs': 1, 'crew': 1, 'clean': 4, 'every': 2, 'ride': 1, 'through': 1, 'shine': 4, 'hit': 7, 'block': 2, 'sittin': 4, '26': 2, 'turn': 3, 'shit': 1, 'swear': 1, 'god': 1, 'gonna': 2, 'put': 3, 'big': 7, 'high': 2, 'school': 2, 'mall': 1, 'mayne': 2, 'guess': 2, 'what': 6, 'whatchu': 2, 'bathing': 79, 'apes': 79, 'iiiii': 18, 'stacks': 3, 'deck': 4, 'entertainment': 1, 'interscope': 1, 'collipark': 4, 'check': 2, 'out': 55, 'death': 2, 'try': 1, 'cop': 1, 'style': 1, 'stick': 1, 'nikes': 1, 'green': 1, 'white': 2, 'black': 1, 'inside': 1, 'these': 12, 'shoes': 4, 'chain': 6, 'hard': 3, 'might': 1, 'hurt': 1, 'your': 10, 'face': 53, 'bapes': 3, 'feet': 8, 'fade': 2, 'waves': 1, '3030': 1, 'boyz': 1, 'tee': 1, 'want': 3, 'yup': 1, 'but': 6, 'asking': 1, 'where': 1, 'erybody': 1, 'heard': 3, 'kicks': 1, 'purple': 1, 'yellow': 1, 'kobe': 1, 'bryant': 1, 'jersey': 1, 'ye': 1, 'aint': 3, 'never': 1, 'seen': 1, 'let': 11, 'somethin': 1, 'son': 1, 'is': 4, 'not': 1, 'no': 2, 'air': 3, 'force': 1, 'ones': 1, 'step': 3, 'stage': 1, 'mouth': 1, 'froze': 1, 'crowd': 1, 'hold': 1, 'know': 11, 'little': 2, 'rockin': 1, 'mo': 1, 'colors': 1, 'bag': 1, 'of': 4, 'skittles': 1, 'keep': 2, 'movin': 2, 'scene': 2, 'hoes': 23, 'start': 10, 'choosin': 10, 'hoe': 8, 'yahhh': 33, 'ah': 10, 'can': 8, 'trick': 13, 'bla': 9, 'uh': 3, 'wondering': 3, 'about': 3, 'life': 1, 'live': 1, 'star': 1, 'single': 1, 'go': 3, 'people': 1, 'run': 1, 'car': 2, 'everybody': 3, 'wants': 3, 'talk': 2, 'jive': 1, 'hand': 5, 'shake': 11, 'or': 1, 'five': 1, 'girls': 4, 'always': 2, 'friend': 4, 'chit': 1, 'chat': 1, 'tryin': 1, 'money': 1, 'doodoo': 1, 'head': 4, 'dummy': 1, 'all': 9, 'starting': 1, 'walkin': 2, 'have': 2, 'autograph': 1, 'snitch': 3, 'leave': 2, 'alone': 2, 'peace': 1, 'house': 1, 'shawty': 1, 'sleep': 2, 'folks': 1, 'before': 2, 'knock': 1, 'lights': 1, 'hey': 1, 'stack': 1, 'cd': 1, 'ya': 2, 'girl': 7, 'booty': 20, 'meat': 20, 'hang': 5, 'ace': 2, 'boon': 1, 'coon': 2, 'drink': 1, 'champagne': 1, 'take': 2, 'bubble': 1, 'bath': 1, 'switch': 1, 'lanes': 1, 'number': 1, 'one': 1, 'stunna': 2, 'baller': 1, 'round': 1, 'town': 1, 'pop': 2, 'best': 3, 'hawk': 1, 'make': 7, 'drop': 2, 'bdouble': 1, 'otymeat': 1, 'spell': 1, 'full': 1, 'making': 1, 'creep': 1, 'putting': 1, 'shorty': 3, 'whatever': 1, 'mean': 1, 'here': 1, 'queen': 1, 'even': 2, 'talking': 1, 'love': 1, 'straight': 1, 'stalkin': 1, 'well': 1, 'steal': 1, 'show': 2, 'two': 1, 'thousand': 1, 'six': 1, 'already': 2, 'spot': 1, 'whole': 2, 'bunch': 1, 'fine': 1, 'toe': 2, 'boom': 1, 'said': 1, 'around': 1, 'pro': 1, 'til': 1, 'more': 1, 'letting': 1, 'apass': 15, 'imma': 23, 'itpass': 35, 'iiiima': 20, 'hands': 3, 'peep': 2, 'cap': 1, 'zoos': 1, 'pants': 2, 'shades': 1, 'rubber': 1, 'bands': 1, 'club': 2, 'bet': 1, 'did': 2, 'merrygo': 1, 'twist': 1, 'body': 1, 'as': 1, 'slow': 1, 'flinchin': 1, 'jumpin': 1, 'd': 1, 'crunk': 1, 'came': 1, 'shoulders': 1, 'snap': 2, 'by': 1, 'socks': 1, 'low': 2, 'jig': 2, 'read': 1, 'write': 1, 'teeth': 1, 'cross': 1, 'beat': 1, 'ill': 1, 'look': 1, 'lovely': 1, 'hate': 3, 'stop': 2, 'pool': 2, 'palace': 2, 'shoot': 4, 'ohhhh': 1, 'rolls': 1, 'while': 1, 'kick': 1, 'throw': 49, 'fin': 1, 'ta': 1, 'seventeen': 1, 'years': 1, 'old': 1, 'took': 9, 'over': 1, 'uhh': 5, 'ahuhh': 1, 'walk': 7, 'report': 19, 'card': 20, 'today': 1, 'looked': 4, 'had': 1, 'fs': 4, 'teacher': 9, 'told': 2, 'her': 2, 'ds': 48, 'building': 1, 'thaton': 22, 'ayyyyy': 6, 'chillin': 3, 'dog': 3, 'desk': 7, 'dsthrow': 22, 'somethrow': 13, 'classroom': 1, 'she': 2, 'nerves': 1, 'talin': 1, 'bout': 3, 'work': 1, 'talkin': 2, 'adjectives': 1, 'pronouns': 1, 'verbs': 1, 'knocked': 1, 'hearin': 1, 'nuttin': 1, 'class': 3, 'daydreamin': 1, 'next': 1, 'test': 1, 'port': 1, 'hell': 1, 'halls': 1, 'lot': 1, 'teachers': 2, 'give': 2, 'tests': 1, 'into': 1, 'trouble': 1, 'momma': 1, 'calls': 1, 'after': 1, 'office': 1, 'superstar': 1, 'thats': 1, 'everytime': 1, 'superfresh': 1, 'students': 1, 'stupid': 1, '47': 1, 'math': 1, '67': 1, 'english': 1, '14': 1, 'science': 1, 'heck': 1, 'thinkin': 1, '4x': 1, 'joccin': 67, 'bitch': 48, 'ass': 43, 'still': 4, 'rain': 4, 'shack': 4, 'mothafuckin': 4, 'yea': 2, 'waterve': 2, 'cabbage': 1, 'patch': 1, 'gone': 1, 'bitches': 1, 'wipe': 2, 'strike': 1, 'pose': 1, 'fabo': 1, 'supaman': 1, 'jiggin': 1, 'flow': 1, 'niggas': 1, 'why': 1, 'fuck': 1, 'gun': 1, 'play': 1, 'because': 1, 'cockin': 1, 'much': 1, 'noise': 1, 'drill': 1, 'him': 1, 'name': 1, 'shirt': 1, 'spongebob': 1, 'paid': 1, 'oooh': 8}"
2008,"{'soulja': 10, 'boy': 14, 'tell': 7, 'em': 11, 'baby': 16, 'you': 88, 'know': 11, 'that': 12, 'i': 101, 'miss': 13, 'wanna': 10, 'get': 23, 'with': 43, 'tonight': 4, 'but': 14, 'cannot': 4, 'girl': 11, 'and': 26, 'thats': 6, 'the': 73, 'issue': 4, 'just': 7, 'kiss': 22, 'cant': 9, 'right': 10, 'now': 11, 'so': 14, 'me': 34, 'through': 16, 'phone': 20, 'ill': 4, 'see': 19, 'later': 8, 'on': 33, 'when': 9, 'home': 8, 'like': 17, 'my': 39, 'future': 1, 'wifey': 1, 'yeah': 24, 'can': 2, 'be': 3, 'bonnie': 1, 'your': 8, 'clyde': 1, 'could': 2, 'wife': 1, 'text': 1, 'call': 4, 'need': 2, 'in': 18, 'life': 2, 'all': 3, 'day': 2, 'every': 5, 'ya': 11, 'time': 8, 'feelings': 1, 'deeper': 1, 'really': 3, 'sixseveneight': 3, 'triple': 3, 'nine': 4, 'eighttwoonetwo': 3, 'been': 1, 'thinking': 2, 'lately': 1, 'much': 3, 'about': 2, 'everything': 1, 'it': 52, 'love': 2, 'kissing': 1, 'public': 1, 'nothing': 1, 'of': 2, 'roses': 1, 'by': 1, 'dozen': 1, 'talking': 2, 'sexy': 1, 'voice': 1, 'is': 6, 'lovely': 1, 'complexion': 1, 'she': 33, 'da': 8, 'dadadadadada': 10, 'we': 7, 'taking': 1, 'pics': 1, 'dial': 1, 'number': 1, 'dadadada': 1, 'hopped': 6, 'up': 31, 'out': 9, 'bed': 7, 'turn': 11, 'swag': 7, 'took': 6, 'a': 65, 'look': 10, 'mirror': 6, 'said': 6, 'whats': 11, 'im': 14, 'gettin': 6, 'money': 8, 'oh': 6, 'its': 8, 'put': 3, 'team': 2, 'then': 1, 'theme': 2, 'song': 2, 'to': 23, 'got': 58, 'question': 2, 'why': 4, 'they': 4, 'hatin': 2, 'aint': 2, 'did': 2, 'nothin': 1, 'count': 1, 'this': 13, 'whole': 1, 'clique': 1, 'stuntin': 1, 'was': 4, 'years': 1, 'old': 1, 'head': 2, 'ima': 1, 'die': 1, 'for': 2, 'gold': 1, 'back': 4, 'again': 1, 'lot': 1, 'yall': 1, 'thought': 1, 'wasnt': 1, 'comin': 1, 'had': 2, 'prove': 1, 'wrong': 1, 'studio': 1, 'came': 1, 'another': 1, 'hit': 3, 'told': 5, 'world': 2, 'story': 1, 'where': 1, 'from': 1, 'souljaboyxlcom': 1, 'spit': 1, 'hear': 1, 'rhyme': 1, 'state': 1, 'or': 1, 'town': 1, 'say': 4, 'hey': 24, 'therex7': 2, 'ova': 1, 'there': 15, 'everywhere': 1, 'come': 6, 'sit': 2, 'here': 8, 'how': 1, 'are': 2, 'doing': 1, 'go': 2, 'movie': 1, 'heard': 4, 'were': 1, 'groupie': 1, 'next': 3, 'tuesday': 1, 'over': 5, 'want': 7, 'down': 6, 'saw': 1, 'yesterday': 1, 'didnt': 1, 'even': 1, 'wave': 1, 'goodbye': 4, 'think': 3, 'funny': 1, 'dummy': 1, 'have': 2, 'alotta': 1, 'please': 6, 'her': 18, 'lease': 6, 'scccc': 1, 'daddle': 1, 'travel': 1, 'wont': 1, 'light': 1, 'what': 4, 'therex3what': 1, 'an': 3, 'music': 1, 'way': 7, 'do': 11, 'move': 2, 'itx3': 1, 'bet': 1, 'ringtone': 1, 'farted': 1, 'smelt': 1, 'nasty': 4, 'stink': 1, 'bomb': 1, 'x4what': 1, 'lick': 1, 'body': 1, 'sticky': 1, 'chigga': 2, 'no': 2, 'wow': 40, 'folk': 1, 'buildin': 1, 'erybody': 1, 'dancefloor': 1, 'donk': 28, 'fin': 1, 'shake': 33, 'night': 1, 'donkshe': 24, 'somen': 33, 'watch': 4, 'flo': 6, 'snap': 2, 'roll': 2, 'goin': 1, 'five': 1, 'thousand': 1, 'ones': 2, 'bout': 2, 'fun': 2, 'make': 2, 'clap': 1, 'thurr': 2, 'sippin': 1, 'match': 2, 'shirt': 2, 'hurr': 4, 'them': 4, 'verse': 1, 'two': 2, 'thang': 2, 'apple': 1, 'bottom': 1, 'hangin': 3, 'gstrang': 2, 'fire': 2, 'hot': 3, 'tamales': 1, 'compadres': 1, 'stacks': 1, 'deck': 4, 'girls': 1, 'arab': 1, 'hung': 1, 'cashed': 1, 'check': 1, 'party': 1, 'soakin': 1, 'wet': 1, 'low': 4, 'lower': 4, 'bend': 4, 'itget': 18, 'grown': 8, 'man': 8, 'throw': 4, 'towel': 4, 'give': 4, 'shorty': 2, 'talkin': 1, 'oooh': 1, 'turned': 1, 'around': 1, 'yo': 1, 'collipark': 1, 'beat': 4, 'let': 3, 'play': 2, 'repeat': 1, '4x': 1, 'brand': 1, 'new': 1, '2k7': 1, '2k': 1, '2k11': 1, 'tellem': 2, 'ey': 28, 'gucci': 108, 'bandanna': 61, 'rap': 1, 'shawty': 2, 'lo': 2, 'snow': 1, 'toe': 1, 'chain': 2, 'chill': 1, 'chilly': 1, 'freeze': 2, 'ice': 1, 'looking': 1, 'chinese': 1, 'shades': 1, 'still': 2, 'hide': 1, 'club': 1, 'eighteen': 1, 'id': 1, 'uhh': 2, 'change': 1, 'format': 1, 'welcome': 1, 'crib': 1, 'leave': 1, 'shoes': 1, 'at': 1, 'doormat': 1, 'tight': 2, 'chains': 1, 'hello': 1, 'good': 1, 'montana': 1, 'bag': 1, 'sandals': 1, 'too': 1, 'handle': 1, 'sex': 1, 'burning': 1, 'candles': 1, 'mane': 3, 'la': 1, 'flare': 1, 'shopping': 1, 'extravagant': 1, 'drive': 1, 'drop': 1, 'top': 1, 'red': 1, 'phantom': 1, 'super': 1, 'size': 1, 'spreads': 1, 'pull': 1, 'hood': 1, 'stop': 1, 'jock': 2, 'broads': 1, 'cause': 1, 'boxer': 1, 'briefs': 1, 'equipped': 1, 'double': 1, 'gs': 1, 'key': 1, 'holding': 1, 'keys': 1, 'summer': 1, 'would': 1, 'clothing': 1, 'line': 1, 'run': 1, 'atlanta': 1, 'scarf': 2, 'round': 2, 'neck': 2, 'haters': 1, 'slick': 1, 'filled': 1, 'anger': 1, 'dont': 2, 'care': 2, 'god': 2, 'damn': 2, 'big': 2, 'ass': 1, 'costs': 1, 'more': 1, 'than': 1, 'yours': 1, 'built': 2, 'house': 2, 'afford': 2, 'stupid': 1, 'ocean': 1, 'view': 1, 'flex': 2, 'acting': 1, 'monkey': 1, 'keep': 2, 'bannanas': 1, 'goons': 1}"
