Yearly info for Russ,Frequency
2015,"{'shes': 9, 'falling': 7, 'in': 36, 'love': 18, 'now': 21, 'losing': 6, 'control': 6, 'fighting': 6, 'the': 83, 'truth': 7, 'trying': 8, 'to': 77, 'hide': 6, 'but': 28, 'i': 147, 'think': 15, 'its': 20, 'alright': 12, 'girl': 21, 'yeah': 44, 'ooh': 21, 'she': 25, 'doesnt': 5, 'hell': 1, 'catch': 4, 'her': 28, 'cause': 15, 'last': 2, 'relationship': 1, 'was': 7, 'a': 45, 'disaster': 1, 'accusations': 1, 'everyday': 1, 'didnt': 1, 'know': 13, 'why': 9, 'all': 21, 'calls': 1, 'would': 3, 'be': 29, 'ignored': 1, 'hes': 2, 'on': 33, 'his': 3, 'own': 1, 'time': 13, 'shouldve': 1, 'ended': 1, 'it': 81, 'before': 6, 'started': 1, 'ever': 4, 'got': 40, 'broken': 2, 'hearted': 1, 'he': 4, 'cheating': 1, 'flip': 1, 'back': 5, 'like': 27, 'victim': 1, 'alone': 1, 'and': 25, 'starting': 1, 'over': 1, 'baggage': 1, 'shoulder': 1, 'new': 2, 'guy': 1, 'really': 12, 'loves': 4, 'him': 6, 'trust': 3, 'herself': 2, 'anymore': 1, 'despite': 1, 'past': 1, 'cant': 4, 'help': 3, 'attraction': 1, 'tells': 1, 'that': 17, 'nothing': 4, 'one': 21, 'redefines': 1, 'every': 4, 'way': 7, 'what': 34, 'is': 12, 'fell': 1, 'for': 38, 'hasnt': 1, 'gotten': 1, 'up': 15, 'since': 1, 'then': 4, 'goes': 1, 'off': 8, 'though': 2, 'beating': 1, 'chest': 1, 'bongo': 1, 'understands': 1, 'coming': 1, 'from': 5, 'hurt': 1, 'place': 1, 'answers': 1, 'questions': 1, 'survey': 1, 'get': 19, 'jealous': 1, 'break': 1, 'call': 4, 'ho': 1, 'after': 1, 'hangups': 1, 'give': 3, 'everything': 1, 'wanted': 1, 'even': 9, 'still': 1, 'feels': 1, 'haunted': 1, 'oh': 2, 'they': 36, 'let': 7, 'us': 1, 'rap': 2, 'game': 4, 'swear': 1, 'me': 51, 'this': 11, 'motherfucking': 1, 'mmm': 4, 'chick': 3, 'lola': 1, 'feel': 3, 'ocean': 1, 'drink': 7, 'smoke': 2, 'some': 4, 'doja': 1, 'smoking': 1, 'plus': 1, 'good': 1, 'at': 9, 'charming': 1, 'cobras': 1, 'im': 40, 'chosen': 1, 'aint': 21, 'only': 8, 'no': 19, 'katia': 1, 'acting': 2, 'boujee': 1, 'came': 2, 'through': 4, 'topped': 1, 'just': 31, 'groupie': 1, 'aura': 1, 'of': 15, 'mafia': 1, 'friends': 1, 'wish': 1, 'knew': 1, 'ones': 10, 'want': 26, 'dollar': 3, 'signs': 3, 'yall': 6, 'fooling': 3, 'been': 5, 'shit': 12, 'nine': 1, 'years': 1, 'start': 1, 'diy': 1, 'pioneer': 1, 'involved': 1, 'yippee': 1, 'kiyay': 1, 'ahh': 1, 'bout': 4, 'set': 1, 'probably': 3, 'come': 4, 'correct': 1, 'when': 28, 'you': 84, 'approach': 1, 'can': 11, 'size': 1, 'taking': 1, 'shots': 3, 'kobe': 1, 'almost': 1, '81': 1, 'guess': 1, 'play': 1, 'goalie': 1, 'go': 11, 'save': 1, 'who': 5, 'wants': 3, 'my': 52, 'money': 4, 'ill': 44, 'tell': 3, 'dont': 31, 'fuck': 41, 'with': 19, 'whos': 1, 'pulling': 1, 'strings': 1, 'pointing': 1, 'out': 6, 'puppets': 1, 'demanding': 1, 'fucking': 1, 'budgets': 1, 'smart': 1, 'as': 3, 'talking': 1, 'dumbest': 1, 'dollars': 2, 'lot': 1, 'stock': 1, 'personal': 1, 'business': 1, 'commodity': 1, 'honestly': 2, 'pop': 2, 'turning': 1, 'grave': 1, 'day': 1, 'someone': 21, 'else': 5, 'become': 1, 'boss': 5, 'theres': 2, 'damned': 1, 'eh': 1, 'ah': 1, 'pull': 11, 'trigger': 11, 'nobody': 10, 'gonna': 6, 'do': 38, 'maybe': 1, 'should': 4, 'fuckin': 2, 'hesitate': 4, 'shoot': 6, 'believin': 1, 'propaganda': 1, 'everybody': 2, 'sound': 1, 'wanna': 10, 'atlanta': 2, 'are': 5, 'voice': 1, 'or': 2, 'echo': 1, 'nail': 1, 'hammer': 1, 'talkin': 2, 'while': 1, 'chewin': 1, 'beats': 2, 'mind': 2, 'manners': 1, 'choruses': 1, 'fit': 1, 'opera': 1, 'thats': 25, 'need': 31, 'phantoms': 1, 'doubt': 1, 'gun': 1, 'point': 1, 'ransoms': 1, 'handsome': 1, 'your': 18, 'thought': 1, 'id': 2, 'have': 2, '30ms': 1, 'twenties': 1, 'cool': 1, 'how': 3, 'happenin': 1, 'san': 1, 'fran': 1, 'cross': 1, 'routes': 1, 'young': 1, 'colin': 1, 'kaepernick': 1, 'treat': 1, 'lateral': 1, 'passin': 1, 'familys': 1, 'number': 5, 'never': 6, 'put': 4, 'em': 4, 'two': 2, 'tryna': 14, 'buy': 1, 'house': 1, 'cash': 4, 'times': 24, 'we': 8, 'had': 2, 'move': 2, 'mom': 1, 'cried': 1, 'lost': 1, 'hope': 3, 'lose': 1, 'man': 2, 'ima': 2, 'stay': 1, 'winnin': 1, 'believe': 2, 'luck': 2, 'lifes': 1, 'buffet': 1, 'better': 3, 'eat': 1, 'ive': 2, 'seen': 1, 'enough': 2, 'blow': 1, 'felt': 2, 'an': 1, 'employee': 1, 'always': 4, 'ceo': 2, 'stacked': 1, 'shoes': 1, 'clocked': 1, 'walked': 2, 'tribute': 1, 'headspace': 1, 'lately': 1, 'devils': 1, 'spanish': 2, 'chicks': 2, 'red': 1, 'lace': 1, 'doing': 1, 'brujeria': 1, 'ten': 3, 'days': 1, 'more': 2, 'months': 1, 'if': 10, 'fall': 3, 'again': 1, 'saudi': 2, 'keep': 7, 'head': 1, 'high': 1, 'middle': 1, 'fingers': 1, 'higher': 1, 'yo': 1, 'myself': 30, 'everyone': 19, 'scared': 10, 'pussy': 5, 'watch': 4, 'looking': 5, 'taught': 3, 'damn': 8, 'puttin': 4, 'talk': 16, 'woah': 1, 'month': 1, 'coats': 1, 'hoes': 3, 'gin': 1, 'lookin': 2, 'confused': 1, 'long': 1, '100': 1, 'views': 1, 'too': 20, 'facts': 2, 'whole': 1, 'hittin': 1, 'phone': 2, 'because': 1, 'hooks': 1, 'raps': 1, 'reason': 3, 'pick': 1, 'family': 1, 'needs': 1, 'stumbled': 1, 'exs': 1, 'page': 1, 'ass': 2, 'gettin': 3, 'fat': 1, 'dreams': 1, 'used': 1, 'chase': 1, 'stopped': 1, 'runnin': 1, 'so': 7, 'lapped': 1, 'step': 1, 'clutch': 1, 'planned': 1, 'isnt': 1, 'adviser': 1, 'gut': 1, 'please': 1, 'interrupt': 1, 'businesses': 1, 'galore': 1, 'opened': 1, 'store': 1, 'see': 2, 'world': 4, 'tour': 1, 'much': 1, 'record': 1, 'yuh': 2, 'piece': 1, 'rappers': 1, 'disappearing': 1, 'singles': 1, 'whered': 1, 'sayin': 1, 'them': 2, 'jingles': 1, 'la': 3, 'bug': 1, 'peepin': 1, 'xray': 1, 'ex': 1, 'say': 1, '1': 8, '2': 4, 'many': 16, 'said': 8, '3': 4, '4': 4, '5': 4, '6': 4, 'done': 4, 'fucked': 4, 'yea': 4, 'global': 1, 'destiny': 1, 'lotta': 3, 'lil': 1, 'liquor': 4, 'recipe': 1, 'crystal': 1, 'ball': 1, 'holster': 1, 'girls': 2, 'rowdy': 1, 'imma': 1, 'try': 2, 'marry': 1, 'allow': 1, 'needa': 1, 'couple': 2, 'find': 1, 'take': 1, 'bein': 1, 'russell': 1, 'workin': 2, 'hard': 2, 'face': 1, 'card': 1, 'around': 14, 'fam': 1, 'strong': 1, 'about': 3, 'daps': 1, 'talks': 2, 'close': 2, 'mouth': 3, 'moooovvvin': 2, 'doin': 2, 'doooin': 2, 'fresh': 4, 'breeze': 4, 'sauna': 4, 'whatever': 4, 'candy': 9, 'willy': 4, 'wonka': 4, 'where': 4, 'right': 4, 'everytime': 1, 'youre': 4, 'hot': 1, 'cold': 1, 'town': 6, 'matter': 1, 'focus': 1, 'task': 1, 'hand': 1, 'these': 1, 'gotta': 4, 'hex': 1, 'make': 3, 'unleash': 1, 'choose': 1, 'same': 1, 'things': 1, 'little': 5, 'hop': 1, 'dick': 1, 'youve': 1, 'hips': 1, 'thrust': 1, 'most': 1, 'paid': 1, 'rain': 1, 'wont': 1, 'guide': 1, 'three': 2, 'happy': 1, 'drownin': 1, 'cavity': 1, 'cavalry': 1, 'spell': 1, 'bound': 1, 'sweet': 1, 'hells': 1, 'hounds': 1, 'sugar': 2, 'coat': 2, 'energy': 2, 'baby': 24, 'mmmm': 1, 'bit': 1, 'system': 1, 'headed': 1, 'listen': 1, 'feelin': 1, 'trapped': 1, 'prison': 1, 'nowhere': 1, 'dad': 1, 'missin': 1, 'shack': 1, 'bitch': 8, 'not': 9, 'other': 1, 'options': 2, 'hows': 1, 'flower': 1, 'dark': 1, 'suppose': 1, 'blossom': 1, 'water': 2, 'seed': 2, 'introduce': 2, 'real': 3, 'plane': 2, 'clackin': 2, 'happen': 2, 'eliminate': 2, 'pride': 2, 'sell': 2, 'wave': 3, 'ride': 2, 'crashes': 2, 'jobs': 1, 'groupies': 1, 'by': 1, 'dozen': 1, 'mean': 1, 'nothin': 1, 'lovin': 1, 'crazy': 8, 'down': 18, 'something': 1, 'wild': 1, 'free': 1, 'amount': 1, 'attitude': 1, 'checks': 2, 'reciprocate': 1, 'drunk': 2, 'blunts': 1, 'bring': 1, 'accent': 1, 'promise': 7, 'somewhere': 4, 'outta': 4, 'type': 1, 'breath': 1, 'executing': 1, 'gods': 2, 'moves': 2, 'blood': 1, 'god': 1, 'understand': 1, 'bad': 1, 'vain': 1, 'movie': 1, 'star': 1, 'without': 1, 'screen': 1, 'impulsive': 1, 'selfish': 1, 'inconsiderate': 1, 'bullshit': 1, 'running': 1, 'called': 2, 'text': 1, 'did': 1, 'ask': 1, 'yourself': 1, 'drinkin': 24, 'touch': 3, 'vibe': 1, 'yet': 1, 'buzzin': 1, 'poppin': 1, 'name': 1, 'best': 1, 'missed': 1, 'might': 1, 'loop': 1, 'full': 2, 'texts': 1, 'were': 1, 'slide': 1, 'brand': 1, 'priorities': 1, 'picture': 1, 'posts': 1, 'insecurities': 1, 'lay': 1, 'low': 1, 'pressure': 1, 'squad': 1, 'mob': 1, 'goodie': 1, 'lie': 1, 'scenery': 1, 'adjustments': 1, 'body': 1, 'temple': 1, 'minds': 1, 'construction': 1, 'work': 1, 'lead': 1}"
2014,"{'goodbye': 15, 'no': 4, 'use': 1, 'leading': 1, 'with': 12, 'our': 6, 'chins': 1, 'this': 28, 'is': 16, 'where': 3, 'story': 1, 'ends': 1, 'never': 7, 'lovers': 1, 'ever': 3, 'friends': 2, 'let': 11, 'hearts': 1, 'call': 6, 'it': 25, 'a': 38, 'day': 1, 'but': 19, 'before': 3, 'you': 100, 'walk': 1, 'away': 1, 'i': 97, 'sincerely': 1, 'want': 10, 'to': 48, 'say': 7, 'bye': 6, 'told': 3, 'me': 59, 'that': 17, 'was': 13, 'crazy': 2, 'til': 2, 'pulled': 2, 'up': 20, 'on': 35, 'your': 26, 'man': 5, 'and': 38, 'looked': 2, 'like': 17, 'the': 79, 'devil': 3, 'when': 8, 'waved': 2, 'at': 10, 'bitch': 11, 'got': 20, 'something': 3, 'yeah': 20, 'cracked': 2, 'my': 35, 'windshield': 2, 'lucky': 2, 'didnt': 2, 'crack': 2, 'youre': 5, 'black': 1, 'hole': 6, 'sucking': 1, 'in': 22, 'vacuum': 1, 'im': 20, 'feeling': 8, 'drunk': 1, 'hotel': 2, 'room': 2, 'trying': 2, 'ask': 1, 'bout': 1, 'all': 19, 'of': 10, 'past': 1, 'dudes': 1, 'why': 5, 'they': 11, 'stay': 1, 'so': 20, 'present': 1, 'cause': 17, 'if': 9, 'future': 1, 'then': 10, 'yo': 1, 'presence': 1, 'king': 1, 'queen': 1, 'acting': 2, 'peasant': 2, 'thought': 2, 'were': 1, 'gonna': 6, 'tell': 4, 'exes': 1, 'fucked': 3, 'stupid': 1, 'start': 1, 'paul': 3, 'have': 5, 'fun': 1, 'farm': 1, 'while': 3, 'counting': 1, 'chickens': 1, 'goats': 1, 'getting': 3, 'dogged': 1, 'think': 7, 'love': 14, 'paola': 2, 'went': 1, 'just': 18, 'enamored': 1, 'by': 5, 'pussy': 2, 'power': 1, 'really': 6, 'she': 12, 'threw': 1, 'caught': 1, 'knew': 2, 'bought': 1, 'pauls': 1, 'puppy': 1, 'better': 1, 'keep': 2, 'him': 2, 'leash': 1, 'second': 1, 'he': 2, 'finally': 1, 'gets': 1, 'some': 3, 'more': 4, 'hes': 1, 'gon': 1, 'leave': 5, 'round': 1, 'applause': 1, 'for': 18, 'losers': 1, 'thats': 3, 'one': 3, 'bum': 1, 'shouldve': 5, 'name': 1, 'these': 3, 'hoes': 4, 'there': 4, 'blake': 1, 'devon': 1, 'igor': 1, 'found': 2, 'out': 5, 'prostitute': 1, 'theres': 4, 'names': 1, 'than': 2, 'recall': 1, 'listened': 3, 'cops': 1, 'pops': 1, 'bugus': 1, 'did': 2, 'not': 3, 'because': 1, 'loved': 2, 'oh': 22, 'money': 2, 'hungry': 1, 'ho': 1, 'guess': 9, 'what': 12, 'saying': 5, 'know': 6, 'ima': 1, 'from': 2, 'grammies': 1, 'too': 3, 'hopefully': 1, 'pick': 4, 'can': 4, 'again': 1, 'goodbyebyebye': 1, 'wonder': 2, 'ive': 1, 'been': 1, 'searched': 1, 'find': 1, 'within': 1, 'came': 3, 'back': 9, 'thing': 1, 'cant': 11, 'go': 6, 'wrong': 2, 'daze': 1, 'see': 9, 'psycho': 25, 'living': 5, 'tight': 5, 'rope': 5, 'going': 5, 'down': 21, 'deeper': 5, 'rabbit': 5, 'had': 5, 'aint': 6, 'enough': 5, 'kept': 1, 'gave': 1, 'passed': 1, 'top': 2, 'notch': 1, 'ride': 2, 'motha': 1, 'fuckin': 1, 'prelude': 1, 'through': 5, 'tryna': 6, 'save': 1, 'do': 17, 'god': 2, 'bargained': 1, 'argue': 2, 'point': 1, 'we': 12, '420': 1, 'rolling': 1, 'joints': 1, 'still': 6, 'dirty': 1, 'trap': 1, 'climbed': 1, 'nissan': 1, 'fuck': 4, 'dude': 2, 'who': 4, 'ran': 1, 'be': 5, 'car': 3, 'beats': 1, 'move': 4, 'seat': 1, 'change': 2, 'mood': 1, 'many': 1, 'questions': 1, 'everybody': 1, 'close': 2, 'could': 2, 'feel': 4, 'distance': 1, 'fell': 1, 'girl': 3, 'filled': 1, 'missing': 1, 'tried': 3, 'fill': 3, 'empty': 1, 'potential': 1, 'tempt': 1, 'dive': 1, 'ocean': 1, 'swim': 1, 'dont': 8, 'drown': 5, 'okay': 1, 'flying': 2, 'solo': 1, 'saw': 1, 'woah': 1, 'since': 1, 'hear': 2, 'them': 1, 'other': 1, 'bitches': 1, 'mmmm': 1, 'imma': 8, 'take': 5, 'an': 2, 'island': 1, 'need': 7, 'timin': 1, 'mix': 1, 'little': 2, 'tanqueray': 1, 'warm': 1, 'inside': 3, 'look': 3, 'good': 2, 'make': 7, 'wanna': 3, 'spend': 2, 'stress': 2, 'off': 4, 'shoulders': 2, 'put': 3, 'its': 8, 'longer': 2, 'baby': 1, 'brought': 2, 'conversation': 1, 'ventilation': 1, 'lets': 2, 'talk': 3, 'about': 3, 'believe': 5, 'now': 29, 'her': 6, 'lonely': 4, 'naw': 4, 'understand': 2, 'always': 6, 'yeeaahh': 12, 'hit': 2, 'bed': 2, 'sit': 1, 'here': 2, 'are': 3, 'fall': 1, 'lost': 1, 'stop': 1, 'running': 2, 'mouth': 2, 'give': 2, 'comes': 1, 'flexin': 1, 'show': 2, 'boss': 1, 'shits': 2, 'world': 2, 'us': 2, 'should': 6, 'ones': 1, 'end': 4, 'fire': 4, 'burn': 8, 'together': 4, 'watch': 9, 'flames': 8, 'climb': 4, 'high': 4, 'into': 7, 'night': 4, 'calling': 4, 'father': 4, 'stand': 4, 'will': 4, 'auburn': 4, 'mountain': 4, 'side': 4, 'lover': 1, 'fighter': 1, 'brother': 1, 'writer': 1, 'soul': 2, 'equipped': 1, 'voice': 1, 'took': 1, 'choice': 1, 'turn': 1, 'mic': 1, 'lot': 2, 'human': 1, 'beings': 1, 'doing': 1, 'life': 1, 'mind': 5, 'theyre': 2, 'born': 1, 'bondage': 1, 'mental': 1, 'slavery': 1, 'till': 1, 'time': 3, 'either': 1, 'die': 1, 'or': 2, 'break': 5, 'shackles': 1, 'whats': 1, 'difference': 2, 'live': 1, 'as': 4, 'free': 3, 'existing': 1, 'realm': 1, 'swear': 1, 'hell': 1, 'until': 1, 'boundaries': 2, 'ears': 1, 'fears': 1, 'disintegrate': 1, 'years': 1, 'tears': 1, 'place': 1, 'seems': 1, 'sometimes': 3, 'sunshine': 1, 'forgets': 1, 'job': 1, 'rain': 1, 'pain': 1, 'chains': 1, 'wont': 2, 'come': 2, 'doesnt': 1, 'anymore': 1, 'far': 1, 'gone': 1, 'devils': 1, 'hold': 1, 'theyve': 1, 'bond': 1, 'strong': 1, 'hope': 1, 'encourage': 1, 'right': 2, 'even': 1, 'between': 1, 'whoever': 1, 'shit': 9, 'speak': 1, 'rewards': 1, 'self': 1, 'belief': 1, 'turned': 2, 'addict': 1, 'girls': 1, 'cheating': 1, 'being': 1, 'has': 1, 'savage': 1, 'prodigy': 1, 'bringing': 1, 'havoc': 1, 'musics': 1, 'full': 1, 'movies': 1, 'cinematic': 1, 'insane': 1, 'padded': 1, 'fucking': 3, 'walls': 1, 'build': 1, 'palace': 1, 'gold': 1, 'mine': 1, 'earth': 1, 'imagination': 1, 'potentials': 1, 'worth': 1, 'searching': 1, 'longest': 1, 'rich': 2, 'any': 1, 'minute': 1, 'state': 1, 'vanilla': 1, 'range': 1, 'peanut': 1, 'butter': 1, 'seats': 1, 'windows': 1, 'tinted': 1, 'sister': 1, 'itunes': 1, 'digits': 1, 'says': 2, 'coming': 8, 'drop': 1, 'classic': 1, 'debut': 1, 'called': 1, 'finished': 1, 'fishing': 1, 'moneys': 1, 'swimming': 1, 'closer': 1, 'thirstier': 1, 'grab': 1, 'super': 1, 'soaker': 1, 'russ': 4, 'truth': 3, 'looking': 6, 'mirror': 3, 'family': 4, 'fans': 4, 'crew': 3, 'same': 4, 'yall': 3, 'everything': 2, 'anything': 2, 'people': 2, 'mistreat': 1, 'ornaments': 1, 'yours': 1, 'hang': 1, 'own': 1, 'christmas': 1, 'tree': 1, 'believed': 1, 'raised': 1, 'lick': 1, 'slick': 1, 'try': 1, 'advantage': 1, 'view': 1, 'weakness': 1, 'whatever': 1, 'peep': 1, 'moving': 1, 'basic': 1, 'ass': 1, 'small': 1, 'town': 1, 'gotta': 1, 'plane': 1, 'catch': 1, 'might': 2, 'sign': 1, 'motherfucking': 3, 'deal': 1, 'buy': 1, 'wheels': 1, 'offer': 1, 'lifeline': 1, 'real': 1, 'unless': 1, 'diemon': 1, 'heres': 1, 'plan': 1, 'em': 1, 'around': 1, 'corner': 1, 'waiting': 1, 'sixteen': 1, 'listen': 1, 'songs': 1, 'sounding': 2, 'rappers': 1, 'weak': 1, 'lift': 1, 'whole': 1, 'game': 1, 'drakes': 1, 'only': 1, 'whos': 1, 'rest': 1, 'hiding': 1, 'shadows': 1, 'ninja': 1, 'stealth': 1, 'making': 1, 'noise': 1, 'turning': 1, 'myself': 1}"
