Yearly info for ActionBronson,Frequency
2015,"{'heartbreak': 1, 'drowned': 1, 'sorrows': 1, 'in': 99, 'a': 142, 'large': 1, 'steak': 1, 'why': 23, 'you': 122, 'always': 8, 'all': 47, 'on': 59, 'my': 71, 'back': 12, 'gotta': 22, 'do': 16, 'me': 72, 'like': 50, 'that': 51, 'act': 4, 'bitch': 14, 'when': 16, 'im': 78, 'with': 42, 'baby': 14, 'girl': 7, 'blue': 5, 'because': 2, 'treat': 2, 'shit': 27, 'i': 154, 'paid': 2, 'for': 31, 'the': 212, 'bed': 4, 'and': 56, 'never': 10, 'even': 10, 'slept': 1, 'it': 41, 'crib': 2, 'stepped': 2, 'foot': 2, 'now': 19, 'somebody': 14, 'else': 2, 'is': 27, 'eating': 1, 'pudding': 1, 'things': 11, 'change': 2, 'dashboard': 1, 'wooden': 1, 'black': 5, 'benz': 1, 'young': 5, 'doc': 1, 'gooden': 1, 'dark': 1, 'shades': 1, 'cause': 9, 'stone': 2, 'crazy': 10, 'we': 17, 'grown': 1, 'stop': 1, 'playin': 2, 'phone': 1, 'your': 35, 'childish': 1, 'attempts': 1, 'to': 56, 'make': 4, 'angry': 1, 'fall': 1, 'short': 2, 'which': 1, 'only': 23, 'fuels': 1, 'rage': 1, 'have': 10, 'nothing': 3, 'understandable': 1, 'shinin': 1, 'brilliant': 1, 'five': 2, 'brazilians': 1, 'there': 4, 'were': 13, 'times': 1, 'used': 1, 'hide': 1, 'feelings': 1, 'butt': 2, 'naked': 3, 'lamborghini': 1, 'motherfuckers': 2, 'cant': 12, 'see': 7, 'wait': 1, 'til': 2, 'this': 25, 'chick': 3, 'tv': 2, 'look': 4, 'easy': 1, 'who': 4, 'wouldve': 1, 'thought': 2, 'hit': 7, 'right': 7, 'so': 21, 'many': 1, 'women': 3, 'wanna': 5, 'call': 3, 'wonder': 1, 'fuck': 20, 'aint': 12, 'lately': 1, 'some': 4, 'would': 3, 'say': 6, 'symbol': 1, 'sex': 1, 'uh': 17, 'others': 1, 'hate': 1, 'but': 21, 'dont': 30, 'give': 2, 'em': 4, 'no': 18, 'breath': 1, 'go': 9, 'date': 1, 'at': 10, 'chef': 2, 'thats': 6, 'could': 4, 'order': 2, 'whatever': 1, 'specialty': 1, 'white': 1, 'snake': 2, 'underwear': 1, 'sauce': 1, 'probably': 2, 'catch': 7, 'somewhere': 1, 'where': 4, 'sun': 3, 'next': 2, 'understand': 2, 'popular': 1, 'getting': 1, 'topped': 1, 'off': 16, 'front': 1, 'row': 1, 'of': 45, 'opera': 1, 'as': 2, 'bocelli': 1, 'sings': 1, 'celly': 1, 'rings': 1, 'youll': 1, 'know': 23, 'how': 5, 'good': 7, 'feels': 1, 'lay': 3, 'king': 1, 'not': 5, 'exactly': 1, 'flawless': 1, 'gorgeous': 2, 'just': 20, 'horse': 1, 'succeeding': 1, 'makes': 2, 'lot': 5, 'people': 2, 'nauseous': 1, 'still': 9, 'boat': 3, 'taking': 2, 'pictures': 2, 'swordfish': 1, 'hope': 14, 'get': 23, 'paper': 4, 'cut': 3, 'tongue': 2, 'from': 14, 'razor': 1, 'cup': 1, 'every': 3, 'soda': 2, 'drink': 6, 'already': 5, 'shaken': 1, 'up': 17, 'dreams': 2, 'dry': 2, 'raisins': 1, 'baking': 1, 'titties': 1, 'saggy': 1, 'early': 2, 'twenties': 1, 'theres': 8, 'snow': 2, 'driveway': 1, 'fridays': 3, 'work': 4, 'busy': 1, 'win': 4, 'lottery': 1, 'lose': 1, 'ticket': 1, 'its': 22, 'ben': 1, 'socrates': 1, 'poop': 1, 'kitchen': 1, 'zipper': 1, 'jacket': 2, 'stuck': 2, 'headphones': 1, 'charger': 1, 'spill': 1, 'shirt': 3, 'tears': 1, 'hurt': 11, 'can': 1, 'smile': 3, 'face': 3, 'losses': 1, 'delilah': 1, 'changed': 1, 'locks': 1, 'fade': 1, 'happy': 3, 'ruined': 1, 'reason': 1, 'igh': 1, 'la': 25, 'yeah': 5, 'opportunity': 4, 'be': 13, 'knockin': 4, 'let': 6, 'motherfucker': 6, 'kiss': 4, 'mother': 5, 'cheek': 3, 'tell': 4, 'her': 10, 'love': 6, 'worry': 5, 'bout': 5, 'thing': 4, 'got': 24, 'covered': 3, 'think': 13, 'out': 29, 'here': 16, 'actin': 9, 'ma': 4, 'little': 4, 'life': 12, 'was': 20, 'fuckup': 1, 'pull': 1, 'truck': 2, 'same': 3, 'she': 7, 'suck': 2, 'us': 11, 'hangin': 2, 'window': 2, 'screamin': 1, 'what': 24, 'more': 2, 'tough': 1, 'luck': 1, 'different': 4, 'cloth': 1, 'oh': 1, 'lord': 6, 'cops': 1, 'chasin': 1, 'bronson': 1, 'an': 6, 'allwhite': 1, 'ford': 1, 'allnight': 1, 'tour': 1, 'alright': 3, 'raw': 1, 'robe': 1, 'dancin': 1, 'salsa': 1, 'top': 3, 'floor': 1, 'swear': 3, 'puerto': 1, 'rican': 1, 'hot': 3, 'hoes': 4, 'city': 1, 'singin': 1, 'heads': 2, 'high': 2, 'kill': 1, 'eat': 6, 'oysters': 1, 'speak': 2, 'six': 1, 'languages': 1, 'three': 3, 'voices': 1, 'adriatic': 1, 'summers': 1, 'sail': 1, 'try': 3, 'available': 1, 'nothin': 5, 'unless': 1, 'stupid': 3, 'hop': 1, 'studebaker': 1, 'anita': 1, 'baker': 1, 'feel': 8, 'alive': 1, 'myself': 3, 'should': 3, 'starin': 2, 'man': 8, 'inside': 2, 'mirror': 1, 'reflection': 1, 'shows': 1, 'wolf': 1, 'though': 9, 'aoooh': 1, 'goddamn': 1, 'cute': 1, 'ho': 4, 'play': 7, 'flute': 1, 'saw': 1, 'plate': 3, 'melon': 1, 'prosciutt': 1, 'left': 3, 'handed': 1, 'fender': 1, 'cry': 1, 'count': 1, 'money': 2, 'reverends': 1, 'devils': 1, 'eye': 2, 'halfcherokee': 1, 'gemini': 1, 'motherfuckersll': 1, 'dump': 1, 'heat': 1, 'jump': 2, 'street': 1, 'turn': 5, 'chest': 2, 'lunch': 2, 'meat': 1, 'humvee': 1, 'lookin': 4, 'these': 8, 'chubby': 1, 'switch': 1, 'season': 1, 'hairs': 1, 'curled': 1, 'tan': 1, 'skin': 2, 'need': 4, 'bad': 14, 'james': 1, 'brown': 1, 'said': 3, 'mans': 1, 'world': 8, 'transam': 1, 'twirl': 1, 'burner': 1, 'handle': 1, 'made': 8, 'pearl': 1, 'daddys': 1, 'again': 10, 'nah': 2, 'hug': 1, 'drugs': 1, 'takin': 1, 'over': 4, 'shorty': 1, 'couldnt': 2, 'take': 5, 'went': 1, 'loca': 1, 'stranger': 1, 'rum': 1, 'met': 1, 'while': 5, 'slumped': 1, 'ive': 4, 'been': 10, 'complain': 1, 'cop': 1, 'half': 1, 'plane': 2, 'drinking': 2, 'juice': 1, 'jack': 1, 'lalanne': 1, 'imma': 2, 'strike': 1, 'rich': 1, 'any': 1, 'day': 3, 'virtuoso': 1, 'keyboard': 1, 'rep': 1, 'eastern': 1, 'seaboard': 1, 'jeez': 1, 'please': 2, 'leave': 2, 'z3': 1, 'keys': 1, 'before': 8, 'sneeze': 2, 'shiz': 1, 'flip': 1, 'ya': 2, 'pedicured': 1, 'slide': 1, 'slipper': 1, 'tryna': 2, 'remix': 1, 'pitbull': 1, 'pilot': 1, 'land': 1, 'schiphol': 1, 'violin': 1, 'dimples': 1, 'lifes': 1, 'ironic': 1, 'simple': 1, 'smoke': 5, 'drive': 5, 'nice': 4, 'car': 6, 'wear': 7, 'green': 6, 'mink': 5, 'first': 4, 'time': 17, 'whacked': 1, 'penthouse': 2, 'roses': 1, 'bath': 1, 'billy': 1, 'joel': 1, 'garden': 1, 'skybox': 1, 'or': 5, '89': 2, 'iroc': 1, 'poppin': 1, 'ihop': 1, 'choke': 1, 'pussy': 2, 'his': 2, 'tie': 2, 'knot': 2, 'block': 1, 'chuck': 1, 'knoblauch': 1, 'spicy': 1, 'coconut': 1, 'curry': 1, 'thai': 1, 'spot': 2, 'hurry': 1, 'dumb': 1, 'jewelry': 1, 'verdict': 1, 'read': 1, 'hung': 2, 'jury': 1, 'doctor': 1, 'skull': 1, 'curly': 1, 'larry': 1, 'moe': 1, 'ill': 7, 'marry': 1, 'if': 7, 'mari': 1, 'monroe': 1, 'twisted': 1, 'jenkem': 1, 'watching': 1, 'iron': 3, 'secret': 1, 'ingredient': 1, 'lions': 1, 'neck': 2, 'royal': 1, 'bluecyber': 1, 'tech': 1, 'ride': 2, 'solo': 1, 'fighter': 1, 'jet': 1, 'records': 4, 'demo': 4, 'hoppin': 3, 'limo': 3, 'payin': 1, 'sittin': 3, 'class': 2, 'feelin': 1, 'mind': 11, 'schizo': 1, 'thinkin': 1, 'will': 1, 'ground': 1, 'want': 7, 'crown': 2, 'anybody': 1, 'head': 1, 'wouldnt': 1, 'care': 3, 'everybodys': 1, 'dead': 1, 'keep': 3, 'pump': 2, 'shotty': 1, 'layin': 1, 'fuckin': 8, 'sleepover': 1, 'weapons': 1, 'rambo': 2, 'knife': 2, 'eatin': 1, 'nuggets': 1, 'smith': 1, 'wesson': 1, 'damn': 3, 'ladies': 1, 'london': 1, 'laurenivici': 1, 'served': 1, 'granulated': 1, 'onion': 1, 'locked': 1, 'contaminated': 1, 'dungeon': 1, 'dog': 6, 'one': 7, 'leg': 2, 'longer': 1, 'than': 3, 'other': 2, 'through': 2, 'shutter': 1, 'transition': 1, 'weed': 2, 'butter': 1, 'spring': 1, 'summer': 2, 'nearly': 5, 'lost': 5, 'brain': 3, 'dealin': 3, 'motherfuckin': 5, 'pain': 3, 'glad': 3, 'yo': 4, 'pass': 1, 'ball': 2, 'fool': 1, 'better': 11, 'pick': 1, 'straight': 3, 'roof': 1, '360': 1, 'kick': 1, 'motherfucking': 1, 'fence': 1, 'shoes': 2, 'hunk': 1, 'beef': 1, 'mama': 2, 'dungarees': 1, 'kid': 2, 'deal': 1, 'he': 9, 'sound': 1, 'dunny': 1, 'down': 4, 'falcon': 1, 'flies': 1, 'glove': 1, 'whistle': 1, 'put': 7, 'box': 2, 'tissue': 1, 'push': 1, 'pink': 1, 'suit': 3, 'around': 3, 'squid': 1, 'ink': 1, 'soup': 2, 'ah': 6, 'much': 1, 'hash': 1, 'joint': 1, 'son': 2, 'legend': 1, 'yanni': 1, 'queens': 2, 'roy': 2, 'wilkins': 1, 'tshirt': 1, 'arm': 2, 'shredded': 1, 'missing': 1, 'born': 1, 'allahs': 1, 'vision': 1, 'learned': 1, 'quick': 1, 'follow': 1, 'devil': 1, 'pork': 1, 'dollar': 1, 'hard': 2, 'dick': 2, 'listenin': 1, 'german': 1, 'guitar': 3, 'riffs': 1, 'beginning': 1, 'jurassic': 1, 'park': 4, 'they': 7, 'took': 2, 'fucking': 1, 'blood': 1, 'mosquito': 1, 'dope': 3, 'needle': 1, 'then': 6, 'shot': 2, 'wild': 1, 'lion': 1, '1983': 1, 'popped': 2, 'holdin': 1, 'visor': 1, 'huh': 2, 'videos': 1, 'are': 15, 'jewish': 1, 'camp': 1, 'promo': 1, 'ideas': 1, 'lack': 1, 'adobo': 1, 'silk': 3, 'cinder': 1, 'blocks': 1, 'cinnamon': 1, 'socks': 1, 'low': 4, 'whip': 1, 'without': 3, 'shocks': 1, 'bag': 2, 'bitches': 2, 'flocks': 1, 'representative': 1, 'everything': 2, 'official': 1, 'yall': 1, 'niggas': 1, 'live': 8, 'officially': 1, 'issue': 1, 'waterproof': 1, 'penmanship': 1, 'padded': 1, 'rugby': 1, 'hammer': 1, 'hamper': 1, 'case': 2, 'nigga': 4, 'thug': 1, 'idol': 1, 'wave': 1, 'tidal': 1, 'forget': 1, 'survival': 1, 'last': 2, 'record': 1, 'broke': 1, 'rival': 1, 'new': 8, 'york': 3, 'turned': 1, 'into': 1, 'bike': 1, 'lane': 1, 'had': 4, 'light': 5, 'fame': 1, 'split': 1, 'pipe': 1, 'cane': 1, 'written': 1, 'wrote': 1, 'religion': 1, 'froze': 1, 'laurenovitch': 1, '336': 1, 'morning': 1, 'location': 1, 'drug': 3, 'infested': 1, 'area': 1, 'brooklyn': 1, 'am': 2, 'doing': 1, 'standing': 1, 'unidentified': 1, 'corner': 1, 'latin': 1, 'individual': 1, 'corn': 1, 'rows': 1, 'foamposites': 1, 'sorts': 1, 'felony': 1, 'waist': 1, 'loves': 1, 'action': 1, '05': 1, 'pounds': 1, 'laredo': 1, 'today': 1, 'bay': 1, 'bro': 1, 'ace': 1, 'grand': 1, 'ready': 3, 'displayed': 1, 'smirk': 1, 'mr': 1, 'perfect': 1, 'under': 2, 'bridge': 2, 'behind': 1, 'van': 1, 'cab': 1, 'drop': 1, 'thank': 2, 'science': 1, 'since': 4, 'lust': 1, 'foreign': 1, 'vehicles': 2, 'father': 3, 'wore': 2, 'ring': 1, 'pushed': 2, 'swing': 1, 'plus': 1, 'red': 3, 'wanted': 1, 'him': 2, 'course': 1, 'oneseater': 1, 'speed': 2, 'racer': 1, 'jetta': 1, 'smoking': 1, 'sheet': 1, 'acres': 1, 'listening': 1, 'bullshit': 1, 'music': 1, 'thinking': 1, 'gonna': 2, 'temptations': 3, 'real': 3, 'weve': 3, 'help': 6, 'mercy': 3, 'designed': 6, 'wealthy': 6, 'about': 16, 'rest': 9, 'screaming': 3, 'lights': 3, 'place': 1, 'called': 1, 'jungle': 1, 'living': 1, 'rough': 1, 'picking': 1, 'holding': 1, 'sticking': 1, 'ripping': 2, 'dropped': 1, '99': 1, 'problems': 1, 'switching': 1, 'giving': 1, 'gripping': 1, 'pics': 1, 'flicking': 1, 'click': 1, 'wassup': 1, 'buck': 2, 'end': 2, 'dumped': 1, 'chump': 1, 'pond': 1, 'lake': 1, 'ducking': 1, 'bada': 1, 'fuckery': 1, 'wont': 2, 'find': 1, 'dime': 1, 'single': 2, 'loving': 1, 'g': 1, 'respecting': 1, 'check': 1, 'og': 1, 'rap': 1, 'flow': 1, 'imperial': 1, 'fad': 1, 'flows': 1, 'well': 1, 'visions': 1, 'linear': 1, 'video': 1, 'lyrical': 1, 'miracle': 1, 'enter': 1, 'stereo': 1, 'rarest': 1, 'breeds': 1, 'sick': 1, 'venereal': 1, 'diseases': 1, 'dying': 1, 'killing': 1, 'fighting': 1, 'something': 1, 'too': 1, 'cash': 1, 'trying': 1, 'stamps': 1, 'passport': 1, 'scheming': 1, 'forgot': 1, 'broad': 1, 'fly': 1, 'mary': 1, 'sing': 1, 'cow': 1, 'slaughtered': 1, 'ordered': 1, 'word': 3, 'committed': 3, 'perjury': 3, 'bunch': 4, 'lies': 3, 'sneaks': 3, 'save': 3, 'laid': 1, 'by': 4, 'pool': 1, 'legs': 2, 'gettin': 2, 'massaged': 1, 'professional': 1, 'strictly': 1, 'business': 2, 'sexual': 1, 'seasonal': 1, 'vegetables': 1, 'exceptional': 1, 'hum': 1, 'testicles': 1, 'dirty': 1, 'borough': 1, 'come': 5, 'moon': 1, 'goons': 1, 'crew': 1, 'runs': 1, 'big': 4, 'jamaican': 1, 'stand': 1, 'adjacent': 1, 's600': 1, 'amazement': 1, 'gon': 1, 'headed': 1, 'makeup': 1, 'spotlight': 1, 'hoodie': 1, 'such': 1, 'night': 2, 'prom': 1, 'hundred': 1, 'rental': 2, 'rain': 1, 'jammy': 1, 'spain': 1, 'livin': 1, 'edge': 1, 'colored': 2, 'linens': 1, 'shell': 1, 'did': 1, 'lucky': 1, 'slut': 1, 'husky': 1, 'gut': 1, 'pouch': 1, 'tourist': 1, 'swerve': 1, 'skylark': 1, 'piece': 3, 'pie': 1, 'chart': 1, 'fine': 1, 'art': 1, 'gets': 1, 'shine': 1, 'lyin': 1, 'scion': 1, 'ridin': 1, 'cell': 1, 'built': 4, 'grab': 1, 'hands': 1, 'field': 2, 'kaleidoscope': 1, 'calm': 1, 'shoot': 1, 'gun': 1, 'puttin': 1, 'known': 1, 'body': 2, 'bes': 1, 'might': 2, 'stamped': 1, 'filthy': 1, 'ooh': 1, 'woo': 2, 'home': 1, 'fresh': 1, 'fight': 2, 'caught': 1, 'mothafuckin': 2, 'lawyer': 1, 'told': 3, 'away': 1, 'whats': 2, 'hookup': 1, 'anything': 1, 'fried': 1, '1': 2, '6': 2, 'type': 2, 'mothafucka': 2, 'court': 1, 'shook': 1, 'death': 1, 'smokin': 2, 'outta': 1, 'brand': 2, 'jazz': 2, 'welcome': 1, 'everybody': 2, 'coming': 1, 'means': 1, 'steer': 1, 'yacht': 1, 'knee': 3, 'plenty': 1, 'botany': 1, 'pornography': 1, 'guapery': 1, 'ahem': 1, 'voice': 1, 'gary': 1, 'sorry': 2, '2': 2, '3': 1, '4': 1, 'ever': 1, '85': 1, 'napkins': 1, 'jeters': 1, 'done': 1, 'captain': 1, 'trust': 1, 'gothams': 1, 'safer': 1, 'joker': 1, 'town': 1, 'pound': 1, 'shoots': 1, 'flag': 1, 'says': 1, 'bang': 1, 'laughs': 1, 'must': 1, 'molly': 1, 'tab': 1, 'bar': 1, 'swedish': 1, 'trenchcoat': 1, 'drinkin': 1, 'mango': 1, 'lassi': 1, 'bullpen': 1, 'lips': 1, 'sealed': 1, 'singer': 1, 'jag': 1, 'spin': 1, 'resurrect': 1, 'freaky': 1, 'tah': 1, 'adlibs': 1, 'overseas': 1, 'prolly': 1, 'mad': 1, 'kids': 1, 'slow': 1, 'use': 1, 'works': 1, 'lasts': 1, 'forever': 1, 'does': 1, 'shout': 1, 'cousins': 1, 'handball': 1, 'benches': 1, 'dippin': 1, 'cabs': 1, 'fences': 1, 'laughin': 1, 'way': 2, 'buildin': 1, 'runnin': 1, 'door': 1, 'twist': 4, 'key': 1, 'elevator': 1, 'waitin': 1, '100': 1, 'upstairs': 1, 'fixed': 1, 'eleven': 1, 'bowls': 1, 'crispix': 1, 'grabbed': 1, 'snapple': 1, 'bin': 1, 'ones': 1, 'match': 1, 'goal': 1, 'line': 1, 'situations': 1, 'tackle': 1, 'fridge': 1, 'peace': 2, 'mike': 1, 'ditka': 1, '50': 1, 'fixture': 1, 'side': 1, 'shifter': 1, 'fixer': 1, 'sister': 1, 'talkin': 1, 'hair': 3, 'band': 1, 'bam': 4, 'doin': 1, 'kidding': 1, 'ashamed': 1, 'focused': 3, 'mothafuckas': 2, 'golden': 1, 'child': 1, 'anywhere': 1, 'youre': 3, 'goin': 19, 'bobby': 1, 'whitney': 1, 'sniffin': 2, 'eddie': 1, 'griffin': 1, 'wheelin': 1, 'chevy': 1, 'tippin': 1, 'bearded': 1, 'buddha': 1, 'bangin': 1, 'bermuda': 1, 'barry': 1, 'bonds': 1, 'barracuda': 1, 'chattanooga': 1, 'alley': 1, 'shooter': 1, 'balley': 1, 'booter': 1, 'jumpin': 1, 'puma': 1, 'stoned': 1, 'depeche': 1, 'mode': 1, 'headstone': 1, 'edgecombe': 1, 'glory': 1, 'zone': 1, 'another': 1, 'saaab': 1, 'story': 1, 'pens': 1, 'cold': 1, 'sell': 1, 'soul': 1, 'depends': 1, 'gentle': 1, 'sweatsuit': 1, 'stab': 1, 'hes': 1, 'pissin': 1, 'mens': 1, 'room': 1, 'america': 10, 'seem': 6, 'seems': 12, 'nowhere': 18, 'best': 9, 'free': 10, 'nyc': 1, 'song': 1, 'sayin': 3, 'soft': 1, 'fell': 1, 'fuckers': 1, 'kiddin': 1, 'pussies': 1, 'piss': 1, 'bun': 1, 'urge': 1, 'cock': 1, 'serge': 1, 'ibaka': 1, 'rappers': 1, 'locker': 1, 'played': 1, 'taught': 1, 'twerk': 1, 'earth': 3, 'lightin': 1, 'twistin': 1, 'dykes': 1, 'purp': 1, 'nowherethe': 1, 'firebird': 1, 'guns': 1, 'wyatt': 1, 'earp': 1, 'buyers': 1, 'worth': 1, 'fast': 1, 'forward': 1, '98': 1, 'mark': 1, 'mcguire': 1, 'dessert': 1, 'flirt': 1, 'uhh': 7, 'ship': 1, 'mick': 1, 'pittsburgh': 1, 'strict': 1, 'terms': 1, 'misheard': 1, 'shift': 1, 'gears': 1, 'schhherrp': 1, 'lift': 1, 'nerf': 1, 'nerve': 1, 'run': 1, 'nevada': 1, 'nurse': 1, 'escada': 1, 'purse': 1, 'lestor': 1, 'diamond': 1, 'chase': 1, 'gray': 1, '8': 1, 'restaurant': 1, 'rabbit': 2, 'playmate': 1, 'suede': 1, 'crocodile': 1, 'barely': 1, 'legal': 1, 'brazilian': 1, 'mami': 1, 'quilt': 1, 'wilt': 1, 'spit': 1, 'coney': 1, 'island': 1, '40s': 1, 'rockaway': 1, 'jones': 1, 'beach': 1, 'deer': 1, 'peel': 1, 'whips': 1, 'flushing': 1, 'meadow': 1, 'barbecues': 1, 'mexicans': 1, 'muthafucking': 3, 'chips': 1, 'owwww': 2, 'bib': 1, 'muthafucka': 1, 'knocked': 1, 'teeth': 1, 'hey': 1, 'sticks': 1, 'favor': 1, 'candle': 1, 'hawaiian': 1, 'rayman': 1, 'aight': 1, 'piano': 1, 'glass': 1, 'pinot': 1, 'nino': 1, 'custom': 1, 'weight': 1, '140': 1, 'kilos': 1, '100gs': 1, 'their': 1, 'knees': 1, 'blow': 1, 'montego': 1, 'name': 2, 'rodrigo': 1, 'game': 1, 'halod': 1, 'fiends': 1, 'kholes': 1, 'hello': 1, 'hi': 1, 'watched': 1, 'perform': 1, 'hahaha': 1, 'bastard': 1, 'habit': 1, 'volkswagen': 1, 'magic': 1, 'woman': 1, 'spell': 1, 'spelling': 1, 'bee': 1, 'walk': 1, 'ladders': 1, 'lotto': 1, 'ten': 1, 'minutes': 1, 'flat': 1, 'bottle': 1, 'rogers': 1, 'bathroom': 1, 'coke': 1, 'model': 1, 'google': 1, 'paint': 1, 'cougar': 1, 'lechuga': 1, 'jeans': 1, 'freddy': 1, 'kruger': 1, 'moving': 1, 'cream': 1, 'team': 1, 'hear': 1, 'announce': 1, 'hows': 1, 'past': 1, 'few': 1, 'days': 1, 'meeting': 1, 'paramount': 1, 'typecast': 1, 'romantic': 1, 'lead': 1, 'classically': 1, 'trained': 1, 'dealing': 2, 'wasnt': 1, 'flipped': 1, 'rug': 1, 'ceiling': 1, 'water': 1, 'daughters': 1, 'stood': 1, '54': 1, '5': 1, 'quarters': 1, 'store': 1, 'knows': 1, 'saying': 1, 'anymore': 1, 'mane': 1, 'working': 1, 'dab': 1}"
2014,"{'praise': 1, 'the': 58, 'lord': 1, 'i': 16, 'was': 5, 'born': 1, 'to': 7, 'drive': 1, 'boat': 1, 'feeling': 1, 'like': 4, 'slash': 1, 'in': 9, 'front': 1, 'of': 6, 'chapel': 1, 'im': 4, 'leaned': 1, 'back': 1, 'with': 9, 'les': 1, 'paul': 1, 'shit': 4, 'smoke': 1, 'is': 2, 'cholesterol': 1, 'spilled': 1, 'dressin': 1, 'on': 4, 'vest': 1, 'at': 3, 'festival': 1, 'best': 2, 'all': 3, 'had': 2, 'a': 13, 'midget': 1, 'puerto': 1, 'rican': 1, 'my': 6, 'beck': 1, 'and': 8, 'call': 1, 'believe': 1, 'that': 6, 'there': 1, 'neck': 1, 'involved': 1, 'fucked': 1, 'around': 1, 'almost': 1, 'wrecked': 1, 'saab': 1, 'uh': 1, 'we': 2, 'took': 1, 'acid': 1, 'for': 2, 'ten': 1, 'days': 1, 'straight': 1, 'up': 2, 'mountains': 1, 'started': 1, 'running': 1, 'stallions': 1, 'playing': 1, 'frisbee': 1, 'west': 1, 'indies': 1, 'did': 1, 'tango': 1, 'kidneys': 1, 'eyes': 1, 'open': 1, 'now': 1, 'know': 4, 'just': 2, 'who': 2, 'kids': 1, 'need': 3, 'rockin': 2, 'very': 2, 'loose': 2, 'pants': 2, 'yeah': 2, 'buried': 1, 'million': 1, 'sand': 1, 'by': 4, 'clock': 1, 'tower': 1, 'before': 1, 'die': 1, 'take': 2, 'hot': 1, 'shower': 1, 'ride': 10, 'harley': 10, 'into': 10, 'sunset': 10, 'chance': 1, 'seen': 1, 'her': 2, 'lobby': 1, 'ritz': 1, 'man': 1, 'one': 1, 'swings': 1, 'hockey': 1, 'stick': 1, 'wearing': 1, 'white': 1, 'hair': 1, 'looking': 1, 'precious': 1, 'might': 1, 'cop': 1, 'chest': 1, 'dresser': 1, 'little': 1, 'machine': 1, 'make': 1, 'espresso': 1, 'heard': 1, 'your': 3, 'bitch': 2, 'still': 1, 'wears': 1, 'ecko': 1, 'hide': 1, 'drugs': 1, 'behind': 1, 'box': 1, 'de': 1, 'cecco': 1, 'live': 1, 'from': 5, 'expo': 1, 'its': 3, 'me': 4, 'wear': 1, 'wolf': 1, 'winter': 1, 'steer': 1, 'coupe': 1, 'center': 1, 'gives': 1, 'fuck': 1, 'sinner': 1, 'dreams': 1, 'fuckin': 1, 'keri': 1, 'hilson': 1, 'duncans': 1, 'woke': 1, 'naked': 1, 'hilton': 1, 'look': 1, 'seals': 1, 'cousin': 1, 'bite': 2, 'eel': 2, 'dozen': 2, 'got': 3, 'it': 1, 'team': 1, 'pump': 1, 'bass': 1, 'trunk': 1, 'rattled': 1, 'baby': 1, 'hand': 1, 'except': 1, 'this': 1, 'toy': 1, 'cost': 1, '80': 1, 'grand': 1, 'crazy': 1, 'tan': 1, 'places': 1, 'ive': 1, 'been': 1, 'writing': 1, 'words': 1, 'pen': 1, 'tell': 1, 'pilot': 1, 'land': 1, 'plane': 1, 'roosevelt': 1, 'main': 1, 'put': 1, 'jacuzzi': 1, 'seven': 2, 'train': 1, 'lay': 1, 'john': 1, 'coltrane': 1, 'play': 2, 'cocaine': 1, 'face': 2, 'crabs': 1, 'old': 1, 'bay': 1, 'taste': 1, 'brass': 1, 'band': 1, 'pieces': 1, 'bitchs': 1, 'name': 1, 'peaches': 1, 'twin': 1, 'mac11s': 1, 'features': 1, 'you': 5, 'barely': 1, 'sneaker': 1, 'money': 1, 'so': 1, 'much': 1, 'dick': 1, 'their': 1, 'mouths': 1, 'thats': 1, 'why': 1, 'these': 2, 'motherfuckers': 1, 'speaking': 1, 'funny': 1, 'speak': 2, 'clearer': 2, 'dear': 2, 'cause': 3, 'cant': 3, 'hear': 3, 'ya': 3, 'magic': 1, 'johnson': 1, 'game': 1, 'lames': 1, 'dont': 1, 'want': 1, 'smile': 1, 'but': 1, 'really': 1, 'hatin': 1, 'mad': 1, 'sick': 1, 'plain': 1, 'see': 1}"
