Yearly info for CypressHill,Frequency
1993,"{'who': 3, 'you': 77, 'trying': 1, 'to': 91, 'get': 76, 'crazy': 4, 'with': 22, 'ése': 1, 'dont': 23, 'know': 10, 'im': 28, 'loco': 1, 'the': 295, 'one': 11, 'on': 45, 'flamboyant': 1, 'tip': 1, 'ill': 16, 'just': 14, 'toss': 1, 'that': 49, 'ham': 2, 'in': 44, 'frying': 1, 'pan': 1, 'like': 57, 'spam': 1, 'done': 2, 'when': 45, 'i': 119, 'come': 47, 'and': 66, 'slam': 1, 'damn': 4, 'feel': 7, 'son': 1, 'of': 15, 'sam': 2, 'make': 22, 'me': 58, 'wreck': 1, 'shit': 25, 'hectic': 1, 'next': 3, 'chair': 1, 'got': 26, 'going': 4, 'general': 1, 'electric': 1, 'aaaant': 1, 'lights': 2, 'are': 2, 'blinking': 1, 'thinking': 1, 'its': 27, 'all': 6, 'over': 3, 'go': 6, 'out': 49, 'drinking': 2, 'ohh': 1, 'making': 1, 'my': 47, 'mind': 1, 'slow': 2, 'thats': 8, 'why': 6, 'fuck': 3, 'big': 3, '4o': 1, 'bro': 1, 'maintain': 2, 'cause': 20, 'a': 120, 'nigga': 9, 'is': 16, 'insane': 29, 'membrane': 12, 'brain': 13, 'no': 10, 'do': 9, 'undercover': 1, 'now': 12, 'time': 11, 'for': 25, 'blubber': 1, 'blabber': 1, 'watch': 5, 'belly': 1, 'fatter': 1, 'fat': 9, 'boy': 11, 'diet': 1, 'try': 4, 'it': 27, 'jack': 2, 'yo': 10, 'ass': 10, 'looter': 1, 'riot': 1, 'shits': 1, 'sumo': 1, 'slamming': 1, 'dat': 1, 'leavin': 1, 'your': 17, 'face': 3, 'grass': 1, 'take': 14, 'duro': 1, 'lightly': 1, 'punks': 1, 'jealous': 1, 'they': 5, 'cant': 7, 'outwrite': 1, 'or': 4, 'kick': 4, 'style': 3, 'wicked': 1, 'wild': 1, 'happy': 1, 'never': 2, 'seen': 2, 'smile': 1, 'rip': 1, 'mainframe': 1, 'explain': 1, 'louie': 1, 'armstrong': 1, 'played': 2, 'trumpet': 1, 'hit': 23, 'bong': 30, 'break': 3, 'off': 8, 'something': 1, 'soon': 2, 'props': 1, 'cops': 1, 'snatch': 1, 'crops': 1, 'these': 3, 'pigs': 3, 'wanna': 7, 'blow': 2, 'house': 2, 'down': 24, 'head': 3, 'underground': 1, 'town': 3, 'mad': 1, 'raid': 1, 'pad': 1, 'ninedeuce': 1, 'cad': 1, 'yes': 3, 'pirate': 2, 'pilot': 1, 'this': 11, 'ship': 2, 'if': 10, 'ultraviolet': 1, 'dream': 3, 'hide': 1, 'from': 38, 'red': 4, 'light': 4, 'beam': 2, 'believe': 1, 'unseen': 1, 'look': 6, 'but': 8, 'eyes': 1, 'strain': 2, 'hits': 22, 'pick': 2, 'pack': 2, 'fire': 2, 'up': 22, 'along': 2, 'put': 4, 'blunt': 5, 'asecond': 1, 'wrong': 2, 'not': 6, 'new': 3, 'method': 1, 'inhale': 2, 'exhale': 2, 'ounce': 1, 'mail': 1, 'cone': 1, 'double': 1, 'barrel': 1, 'gettin': 1, 'stoned': 3, 'home': 3, 'skillet': 1, 'theres': 2, 'water': 2, 'inside': 1, 'spillit': 1, 'smells': 2, 'carpet': 1, 'stillit': 1, 'goes': 19, 'smooth': 1, 'aclean': 1, 'skunky': 1, 'funky': 2, 'smelly': 2, 'green': 2, 'sing': 1, 'song': 1, 'puff': 1, 'night': 2, 'long': 1, 'as': 14, 'yall': 3, 'can': 15, 'lets': 2, 'smoke': 4, 'bowl': 6, 'then': 7, 'finger': 1, 'hole': 1, 'plug': 1, 'unplug': 1, 'love': 10, 'mary': 12, 'jane': 10, 'she': 4, 'complains': 1, 'flame': 1, 'cherry': 1, 'shes': 1, 'so': 18, 'good': 3, 'fresh': 1, 'clean': 1, 'screen': 1, 'stirred': 2, 'through': 2, 'bubbling': 1, 'makin': 1, 'pure': 1, 'ta': 3, 'hold': 2, 'chong': 1, 'reload': 1, 'fourfooter': 1, 'bring': 5, 'shitll': 1, 'straighten': 1, 'dick': 4, 'want': 10, 'high': 43, 'well': 2, 'funk': 3, 'elastic': 1, 'twist': 1, 'slamafied': 1, 'buddhafied': 1, 'discus': 1, 'oh': 5, 'what': 18, 'missed': 1, 'bear': 1, 'witness': 2, 'catch': 2, 'ho': 3, 'another': 2, 'merry': 1, 'christmas': 1, 'straight': 1, 'roach': 2, 'clip': 4, 'blunted': 1, 'ones': 1, 'approach': 1, 'forward': 1, 'motion': 1, 'sway': 1, 'ocean': 1, 'herb': 1, 'more': 2, 'than': 1, 'powerful': 1, 'potion': 1, 'whats': 1, 'commotion': 1, 'joking': 1, 'around': 7, 'people': 2, 'learning': 1, 'about': 2, 'theyre': 2, 'smoking': 1, 'ovens': 1, 'roast': 1, 'quail': 1, 'tell': 1, 'bill': 1, 'clinton': 1, 'felt': 1, 'thai': 1, 'effects': 1, 'highso': 4, 'livin': 1, 'pockets': 1, 'flat': 1, 'gat': 5, 'rolling': 2, 'nine': 3, 'deuce': 1, 'cadillac': 1, 'still': 6, 'homies': 2, 'back': 13, 'theyll': 1, 'chat': 1, 'some': 4, 'kids': 1, 'sweating': 1, 'follow': 1, 'hollow': 1, 'point': 1, 'shells': 2, 'hard': 1, 'swallow': 1, 'heyy': 1, 'wallow': 1, 'roll': 4, 'four': 1, 'five': 1, 'left': 1, 'kicking': 1, 'dust': 1, 'hear': 7, 'bust': 2, 'cribs': 1, 'surrounded': 2, 'rushed': 1, 'brushed': 1, 'death': 1, 'how': 2, 'many': 1, 'stuffed': 1, 'closet': 1, 'where': 4, 'chrome': 1, 'things': 1, 'kept': 1, 'better': 14, 'be': 25, 'ready': 10, 'told': 1, 'boys': 1, 'sawed': 1, 'glock': 6, 'rest': 1, 'gats': 2, 'strapped': 1, 'bulletproof': 1, 'vest': 1, 'boom': 2, 'think': 3, 'chest': 1, 'hot': 1, 'didnt': 1, 'kill': 2, 'man': 3, 'stand': 5, 'tall': 1, 'hill': 5, 'clan': 1, 'niggas': 4, 'bout': 2, 'fall': 2, 'coming': 2, 'blasting': 1, 'yosemite': 1, 'cheese': 1, 'an': 4, 'bread': 1, 'ese': 1, 'comin': 8, 'slums': 1, 'hoodlums': 4, 'pullin': 1, 'bums': 1, 'fight': 1, 'outlaw': 1, 'kickin': 2, 'billy': 1, 'ray': 1, 'cypress': 4, 'chill': 1, 'grill': 1, 'grab': 2, 'load': 1, 'steel': 1, 'drastic': 1, 'pull': 1, 'plastic': 1, 'automatic': 2, 'synthetic': 1, 'material': 1, 'burial': 1, 'plots': 1, 'order': 1, 'headed': 3, 'mexican': 1, 'border': 1, 'smokin': 3, 'northern': 1, 'cali': 1, 'gonna': 15, 'slug': 8, 'captain': 2, 'omalley': 1, 'hum': 1, 'boooooommmmmm': 1, 'let': 18, 'see': 2, 'youll': 1, 'sin': 1, 'damned': 2, 'we': 36, 'aint': 38, 'goin': 38, 'strung': 1, 'click': 5, 'sprung': 1, 'live': 2, 'humdrum': 1, 'jokin': 1, 'static': 2, 'erratic': 1, '45': 2, 'screamin': 1, 'at': 12, 'ya': 21, 'beamin': 1, 'need': 1, 'have': 3, 'run': 13, 'after': 1, 'punk': 11, 'hook': 1, 'oven': 1, 'cook': 1, 'dig': 1, 'grave': 2, 'hes': 1, 'under': 3, 'stevie': 1, 'wonder': 2, 'hell': 2, 'testify': 1, 'thinkin': 1, 'lettin': 1, 'care': 1, 'business': 1, 'verify': 1, 'depict': 1, 'makes': 2, 'ecstatic': 1, 'tragic': 1, 'poof': 1, 'magic': 1, 'buddha': 1, 'crew': 5, 'betcha': 1, 'find': 1, 'hootah': 1, 'vehicle': 1, 'belt': 1, 'unbuckled': 1, 'pig': 3, 'rollin': 1, 'he': 2, 'subtle': 1, 'pulled': 1, 'curb': 1, 'exchange': 1, 'few': 1, 'words': 1, 'enough': 2, 'handcuffs': 1, 'huffnpuff': 1, 'yeahhh': 1, 'takin': 3, 'disses': 1, 'dissin': 1, 'right': 1, 'little': 13, 'taco': 1, 'rapper': 1, 'eat': 3, 'here': 8, 'too': 3, 'anybody': 1, 'beef': 1, 'way': 3, 'geeeyeah': 1, 'chickenhawk': 1, 'huntin': 1, 'chicken': 2, 'paranoid': 1, 'clickin': 1, 'speakin': 2, 'tweakin': 1, 'bitchass': 1, 'styles': 1, 'deacon': 1, 'jones': 1, 'cough': 1, 'without': 2, 'bones': 2, 'rolled': 1, 'smoked': 1, 'cones': 1, 'split': 1, 'seed': 1, 'grow': 1, 'clones': 1, 'startmeup': 1, 'stones': 1, 'help': 1, 'friends': 1, 'blend': 1, 'passed': 1, 'round': 1, 'again': 1, 'famous': 1, 'amos': 1, 'same': 1, 'last': 1, 'stuck': 2, 'gatt': 16, 'his': 2, 'anus': 1, 'growl': 1, 'grrra': 1, 'howl': 1, 'vision': 1, 'wise': 1, 'old': 1, 'owl': 1, 'fetch': 1, 'yeah': 2, 'direct': 2, 'bury': 1, 'them': 1, 'cock': 15, 'hammer': 14, 'action': 7, 'weapon': 1, 'step': 3, 'into': 1, 'whole': 2, 'realm': 1, 'helm': 1, 'steerin': 1, 'droppin': 1, 'geran': 1, 'realize': 1, 'youre': 4, 'hearin': 1, 'cannon': 1, 'sounded': 1, 'companion': 1, 'comes': 9, 'bounding': 1, 'afroamerica': 1, 'lotta': 1, 'gattin': 1, 'loced': 1, 'latin': 1, 'busted': 1, 'beard': 1, 'musket': 1, 'talk': 1, 'quick': 1, 'might': 1, 'dusted': 1, 'looks': 1, 'rusted': 1, 'disgusted': 1, 'away': 2, 'rush': 1, 'withstand': 1, 'brand': 1, 'steeltoe': 1, 'boot': 2, 'dildo': 1, 'cry': 1, 'pillow': 1, 'weepin': 1, 'willow': 1, 'skill': 1, 'brillo': 1, 'hmm': 1, 'talkin': 1, 'gimme': 2, 'room': 2, 'wave': 1, 'white': 1, 'banner': 1, 'ever': 2, 'heard': 2, 'camera': 1, 'sugar': 29, 'by': 31, 'whos': 1, 'program': 1, 'hookin': 1, 'fly': 1, 'joint': 1, 'flow': 1, 'jam': 1, 'shift': 1, 'gift': 1, 'drunk': 1, 'spliff': 1, 'whiff': 1, 'smell': 1, 'air': 1, 'building': 1, 'everywhere': 1, 'sit': 1, 'thought': 1, 'starts': 1, 'clownin': 1, 'skip': 1, 'yet': 2, 'later': 1, 'getting': 1, 'friend': 1, 'named': 1, 'strange': 1, 'ive': 3, 'call': 3, 'her': 1, 'name': 1, 'marijuana': 1, 'party': 1, 'neighborhood': 1, 'always': 1, 'understood': 1, 'experienced': 2, 'been': 3, 'lightweight': 1, 'delirious': 1, 'spinnin': 1, 'stop': 1, 'must': 1, 'pot': 1, 'doing': 1, 'calling': 1, 'deal': 1, 'two': 5, 'three': 6, 'putos': 1, 'tried': 1, 'though': 1, 'taking': 1, 'push': 2, 'shove': 1, 'showed': 1, 'latino': 2, 'hardcore': 1, 'lingo': 1, 'understand': 1, 'gotta': 7, 'hand': 1, 'scope': 1, 'hope': 1, 'dishin': 1, 'missin': 1, 'hissin': 1, 'hummin': 1, 'ground': 7, 'clack': 3, 'gun': 4, 'em': 14, 'cuando': 1, 'entro': 1, 'loaded': 2, 'cuete': 1, 'gente': 1, 'mente': 1, 'movin': 1, 'clickclick': 1, 'fun': 1, 'psycobeta': 1, 'beatdown': 1, 'serio': 1, 'muchacho': 1, 'really': 1, 'chingazos': 1, 'caso': 1, 'lazo': 1, 'breaking': 1, 'pedazo': 1, 'humming': 1, 'will': 2, 'vengeance': 1, 'rev': 1, 'engines': 1, 'indians': 1, 'stompin': 1, 'plains': 1, 'direction': 1, 'am': 1, 'gain': 1, 'protection': 1, 'thing': 2, 'wing': 1, 'buckooock': 1, 'suck': 1, 'walk': 1, 'peepin': 1, 'checkin': 1, 'punkass': 1, 'creepin': 1, 'dogs': 3, 'loose': 1, 'sick': 1, 'graaah': 1, 'colour': 1, 'important': 1, 'lick': 7, 'shot': 7, 'zippedy': 2, 'da': 1, 'hey': 1, 'cried': 1, 'ak': 1, 'mission': 1, 'puffin': 1, 'jay': 1, 'prude': 1, 'hang': 1, 'flash': 1, 'skills': 1, 'used': 1, 'bang': 1, 'corner': 2, 'warn': 1, 'fool': 3, 'golden': 1, 'rule': 1, 'turn': 2, 'street': 1, 'concrete': 1, 'nothin': 1, 'psycho': 1, 'sudden': 1, 'blastin': 1, 'fools': 1, 'passion': 1, 'hummm': 12, 'sunday': 1, 'morning': 1, 'wake': 1, 'stormin': 1, 'raindrops': 1, 'fallin': 1, 'pourin': 1, 'cats': 1, 'wagon': 1, 'lookin': 2, 'afro': 2, 'saggin': 1, 'scoobydoo': 1, 'fucked': 1, 'ploy': 1, 'backup': 1, 'team': 1, 'wait': 1, 'flippin': 1, 'keepin': 1, 'hip': 1, 'slippin': 1, 'oooo': 1, 'did': 3, '22': 1, 'bullet': 1, 'past': 1, 'lung': 1, 'lost': 1, 'breath': 1, 'winded': 1, 'wasnt': 1, 'intended': 1, 'thunder': 1, 'mes': 1, 'number': 1, 'had': 2, 'bad': 1, 'woke': 1, 'casket': 1, 'even': 1, 'bastard': 1, 'bullshit': 1, 'pine': 1, 'box': 1, 'strong': 1, 'contain': 1, 'marx': 1, 'critical': 1, 'bell': 1, 'rings': 1, 'snapped': 1, 'fucks': 1, 'funny': 1, 'pointin': 1, 'strap': 1, 'g': 2, 'duck': 1, 'bam': 1, 'numb': 1, 'shotgun': 1, 'blast': 1, 'radio': 1, 'tv': 1, 'show': 1, 'k': 38, 'motherfuckin': 32, 'z': 1, 'homeboy': 14, 'life': 1, 'begun': 1, 'ruffneck': 1, 'kid': 1, 'was': 1, 'check': 1, 'eighteen': 1, 'obscene': 1, 'being': 1, 'pickin': 1, 'mine': 1, 'combine': 1, 'jump': 1, 'sixfo': 1, 'couple': 1, 'east': 1, 'side': 1, 'eastbound': 2, 'pound': 2, 'haul': 1, 'clown': 1, 'buckdown': 1, 'dead': 1, 'sound': 2, 'found': 1, 'brown': 1, 'dog': 1, 'sen': 1, 'mound': 1, 'rips': 1, 'compound': 1, 'gets': 1, 'deep': 1, 'eight': 1, 'ahround': 1, 'six': 2, 'hound': 1, 'hail': 1, 'king': 1, 'crowned': 1, 'j': 1, 'weed': 2, 'loot': 1, 'cocked': 1, 'any': 1, 'hardrock': 1, 'spot': 1, 'keep': 1, 'nobody': 1, 'hug': 1, 'stay': 1, 'door': 1, 'act': 2, 'brave': 2, 'equals': 1}"
1991,"{'its': 11, 'another': 6, 'one': 8, 'of': 27, 'them': 2, 'ol': 1, 'funky': 31, 'cypress': 4, 'hill': 8, 'things': 2, 'you': 39, 'know': 15, 'what': 8, 'im': 31, 'sayin': 2, 'and': 35, 'it': 10, 'goes': 1, 'like': 21, 'this': 17, 'hey': 2, 'dont': 5, 'miss': 1, 'out': 18, 'on': 29, 'youre': 5, 'passin': 1, 'missin': 1, 'the': 118, 'hoota': 1, 'buddha': 4, 'eluder': 1, 'your': 11, 'fucked': 3, 'up': 17, 'styles': 1, 'i': 58, 'get': 12, 'wicked': 1, 'so': 13, 'come': 4, 'as': 5, 'starts': 1, 'to': 39, 'kick': 3, 'cause': 9, 'were': 3, 'outlaw': 1, 'stridin': 1, 'when': 14, 'suckers': 2, 'are': 3, 'hidin': 1, 'jump': 4, 'behind': 1, 'bush': 1, 'they': 14, 'see': 4, 'me': 36, 'drivin': 1, 'by': 2, 'hangin': 1, 'window': 1, 'with': 17, 'my': 25, 'magnum': 2, 'takin': 2, 'some': 14, 'putos': 1, 'actin': 1, 'kinda': 2, 'loco': 4, 'just': 24, 'local': 1, 'kid': 4, 'from': 12, 'street': 1, 'gettin': 1, 'paid': 2, 'vocals': 2, 'here': 19, 'is': 31, 'something': 15, 'cant': 15, 'understand': 15, 'how': 18, 'could': 14, 'kill': 14, 'a': 84, 'man': 16, 'ignorin': 1, 'all': 11, 'dumb': 1, 'shit': 5, 'yo': 11, 'because': 2, 'nothing': 1, 'comin': 9, 'not': 5, 'gonna': 9, 'waste': 1, 'no': 17, 'time': 3, 'fuckin': 8, 'around': 2, 'gat': 6, 'straight': 4, 'hummin': 3, 'at': 10, 'cha': 2, 'had': 5, 'ya': 26, 'for': 14, 'action': 1, 'fraction': 1, 'friction': 1, 'got': 16, 'clearance': 1, 'run': 4, 'interference': 1, 'into': 3, 'satellite': 1, 'shinin': 1, 'battle': 1, 'light': 5, 'sen': 6, 'thatll': 1, 'right': 1, 'heres': 1, 'an': 4, 'example': 1, 'little': 8, 'sample': 1, 'onetime': 2, 'tried': 4, 'in': 15, 'home': 3, 'take': 4, 'chrome': 2, 'said': 4, 'cover': 1, 'son': 4, 'or': 6, 'assedout': 1, 'then': 3, 'watched': 1, 'rookie': 1, 'pass': 3, 'didnt': 4, 'have': 6, 'blast': 3, 'but': 8, 'did': 1, 'anyway': 1, 'hahaha': 2, 'that': 16, 'young': 1, 'punk': 6, 'pay': 3, 'killed': 2, 'be': 5, 'long': 1, 'before': 3, 'finish': 1, 'many': 2, 'missions': 1, 'establish': 1, 'spliff': 1, 'ignite': 1, 'insights': 1, 'if': 2, 'aint': 8, 'down': 6, 'bullshit': 1, 'say': 4, 'try': 2, 'auto': 1, 'would': 1, 'call': 2, 'play': 4, 'role': 1, 'model': 1, 'think': 6, 'thug': 1, 'next': 2, 'hear': 2, 'shot': 2, 'slug': 1, 'yeah': 10, 'do': 4, 'where': 5, 'havent': 1, 'been': 2, 'ive': 1, 'bigger': 1, 'riskin': 1, 'dome': 1, 'bucket': 1, 'fast': 2, 'ducat': 1, 'stay': 1, 'alive': 1, 'ay': 1, 'gotta': 1, 'fuck': 1, 'wanted': 2, 'was': 3, 'pepsi': 1, 'well': 6, 'alley': 3, 'cat': 2, 'dirty': 1, 'rat': 2, 'side': 1, 'spittin': 1, 'buck': 1, 'shots': 1, 'boy': 1, 'wetcha': 1, 'hide': 1, 'still': 1, 'getcha': 2, 'thinkin': 1, 'peace': 3, 'smoke': 1, 'homicide': 1, 'talkin': 1, 'tryna': 1, 'ride': 1, 'bad': 1, 'guy': 1, 'feel': 3, 'finger': 1, 'trigger': 2, 'hands': 1, 'steel': 2, 'lettin': 1, 'bullet': 1, 'goin': 2, 'booya': 1, 'stuck': 1, 'hood': 1, 'now': 9, 'bein': 1, 'hunted': 1, 'fun': 1, 'better': 2, 'more': 1, 'move': 1, 'faster': 1, 'second': 1, 'thought': 1, 'sawed': 3, 'off': 4, 'shotgun': 7, 'hand': 6, 'pump': 3, 'left': 3, 'forty': 3, 'puffin': 4, 'blunt': 4, 'pumped': 3, 'niggas': 5, 'lala': 8, 'la': 17, 'laaaaa': 3, 'stiff': 1, 'blow': 1, 'program': 1, 'him': 4, 'master': 1, 'mind': 2, 'maniac': 1, 'menace': 1, 'soooo': 1, 'want': 1, 'sentence': 1, 'nigga': 3, 'he': 11, 'missed': 1, 'hist': 1, 'rude': 1, 'crude': 1, 'pit': 1, 'bull': 1, 'point': 2, 'card': 1, 'will': 1, 'pulled': 1, 'headed': 4, 'river': 4, 'boat': 4, 'paddle': 4, 'handin': 2, 'beatdowns': 2, 'face': 1, 'put': 2, 'chains': 1, 'beat': 2, 'brains': 1, 'can': 2, 'grudge': 1, 'remains': 1, 'ass': 8, 'through': 1, 'go': 3, 'booyaa': 2, 'kickin': 2, 'ill': 4, 'blunted': 1, 'chill': 2, 'known': 2, 'stepped': 1, 'whats': 2, 'lock': 2, 'livin': 1, 'who': 5, 'done': 1, 'lost': 1, 'his': 6, 'spineless': 1, 'jellyfish': 1, 'life': 1, 'bitch': 1, 'ask': 1, 'dug': 1, 'own': 1, 'ditch': 1, 'party': 2, 'funny': 1, 'hole': 1, 'body': 1, 'laaa': 1, 'look': 2, 'those': 1, 'funeral': 1, 'cars': 1, 'ima': 1, 'bag': 1, 'lets': 1, 'start': 1, 'show': 1, 'ah': 1, 'freak': 1, 'funk': 4, 'else': 1, 'bringin': 2, 'dog': 4, 'bilingin': 1, 'thats': 6, 'nombre': 1, 'heard': 1, 'homey': 2, 'mellow': 2, 'frost': 3, 'en': 4, 'el': 3, 'deporte': 1, 'veterano': 1, 'proud': 1, 'hispano': 1, 'latin': 13, 'de': 4, 'éste': 1, 'año': 1, 'plenty': 1, 'jennies': 1, 'tryin': 3, 'hound': 1, 'wait': 1, 'theyre': 3, 'clownin': 1, 'language': 1, 'tell': 2, 'em': 3, 'called': 1, 'spanglish': 1, 'whos': 2, 'pinga': 3, 'gringo': 1, 'bilingual': 16, 'lingo': 10, 'baby': 11, 'cuando': 5, 'entro': 1, 'frontin': 2, 'mira': 1, 'villa': 1, 'vengo': 1, 'como': 3, 'un': 3, 'ejemplo': 1, 'check': 1, 'tempo': 1, 'ahhh': 1, 'esta': 3, 'chingon': 1, 'instrumento': 1, 'oiste': 1, 'somos': 1, 'jodo': 1, 'gots': 1, 'soul': 1, 'though': 2, 'las': 1, 'congas': 1, 'tribal': 1, 'ceremony': 1, 'gets': 3, 'stronger': 1, 'such': 1, 'leva': 1, 'u': 1, 'cabeza': 1, 'homes': 4, 'cerveza': 1, 'push': 1, 'esa': 2, 'hmm': 1, 'shes': 1, 'fine': 1, 'que': 3, 'fresca': 1, 'hit': 4, 'yesca': 1, 'teach': 1, 'enseño': 1, 'leño': 1, 'lo': 3, 'prendo': 1, 'am': 1, 'centro': 1, 'live': 1, 'si': 1, 'tu': 9, 'puedes': 1, 'nowadays': 1, 'without': 1, 'cuetes': 1, 'gangbang': 1, 'vatos': 2, 'quieren': 1, 'bang': 2, 'hung': 1, 'callin': 1, 'insane': 1, 'salte': 1, 'mi': 8, 'cara': 2, 'sal': 1, 'camino': 1, 'make': 5, 'way': 7, 'bilinguals': 6, 'lemmelemme': 1, 'wee': 1, 'old': 1, 'simon': 1, 'brother': 3, 'mas': 1, 'pingon': 1, 'raza': 1, 'back': 3, 'casa': 1, 'everyday': 1, 'crazier': 1, 'step': 1, 'microphone': 1, 'area': 1, 'first': 1, 'claim': 1, 'city': 1, 'puro': 1, 'los': 2, 'angeles': 1, 'gangas': 1, 'waitin': 1, 'along': 1, 'heinas': 1, 'catchin': 1, 'sweat': 1, 'onetimer': 1, 'baile': 1, 'gaffled': 1, 'calle': 1, 'gabacho': 1, 'borracho': 1, 'attitude': 1, 'while': 2, 'macho': 1, 'relax': 1, 'calmado': 1, 'mijo': 1, 'bilings': 1, 'id': 1, 'send': 1, 'homeboy': 2, 'breal': 1, 'ace': 1, 'ralph': 1, 'm': 1, 'mexican': 1, 'garbled': 1, 'building': 1, 'location': 1, 'suspects': 1, 'seen': 1, 'climbing': 1, 'both': 1, 'windows': 1, 'male': 2, 'hispanic': 1, 'possible': 1, 'black': 1, 'their': 1, 'vehic': 1, 'er': 1, 'van': 1, 'parked': 1, 'outside': 1, 'pig': 17, 'harassed': 2, 'whole': 1, 'neighborhood': 1, 'worked': 1, 'station': 1, 'went': 2, 'vacation': 1, 'chief': 1, 'captain': 1, 'omalley': 1, 'hes': 7, 'too': 1, 'collectin': 1, 'payoffs': 1, 'dark': 1, 'narco': 1, 'we': 3, 'fag': 1, 'homepigs': 1, 'pussy': 1, 'really': 1, 'cool': 1, 'class': 3, 'rides': 1, 'alone': 1, 'pigs': 4, 'steady': 1, 'eatin': 1, 'donuts': 1, 'motherfuckers': 1, 'robbin': 1, 'big': 2, 'stand': 1, 'sight': 2, 'act': 1, 'smart': 1, 'group': 1, 'society': 1, 'works': 1, 'mafia': 1, 'makin': 1, 'money': 2, 'crack': 1, 'caught': 1, 'pen': 2, 'about': 2, 'payback': 1, 'once': 1, 'wont': 1, 'provide': 1, 'bulletproof': 1, 'vest': 1, 'protect': 1, 'mad': 1, 'chest': 1, 'placed': 1, 'under': 1, 'arrest': 1, 'bacon': 1, 'sausage': 1, 'sorry': 1, 'poor': 1, 'swine': 1, 'wanna': 5, 'ta': 4, 'standin': 1, 'line': 1, 'himself': 1, 'feet': 1, 'outta': 2, 'anybody': 1, 'porkchops': 1, 'bout': 2, 'ham': 2, 'sandwich': 2, 'conozco': 1, 'una': 1, 'muchacha': 3, 'y': 11, 'ella': 2, 'es': 2, 'fina': 3, 'tremendos': 1, 'cocos': 1, 'también': 1, 'linda': 1, 'veces': 1, 'cojo': 1, 'cocina': 1, 'chupa': 1, 'le': 1, 'dije': 1, 'dame': 1, 'bollo': 1, 'dice': 3, 'negro': 2, 'eres': 2, 'novio': 1, 'importa': 2, 'carajo': 2, 'cuarto': 2, 'meterte': 1, 'palo': 1, 'por': 4, 'culo': 1, 'o': 1, 'chocha': 1, 'sabes': 2, 'suavecito': 1, 'pienso': 1, 'bien': 2, 'rico': 1, 'toca': 1, 'frente': 1, 'tienes': 1, 'caliente': 1, 'tocas': 1, 'detrás': 1, 'sin': 1, 'parar': 1, 'acabe': 1, 'singar': 1, 'levante': 1, 'fui': 1, 'al': 1, 'baño': 1, 'bañe': 1, 'salí': 1, 'del': 2, 'esperaba': 1, 'con': 2, 'ojos': 1, 'negros': 1, 'bonita': 1, 'pongo': 1, 'camisa': 1, 'pantalón': 1, 'se': 3, 'ríe': 1, 'sedentón': 1, 'estaba': 4, 'nóteme': 1, 'hay': 1, 'güeys': 1, 'suerte': 1, 'tan': 1, 'uy': 1, 'metí': 2, 'gritó': 1, 'papi': 1, 'olvídate': 2, 'nunca': 1, 'singao': 1, 'singué': 1, 'vez': 1, 'stoned': 6, 'walk': 6, 'hootie': 1, 'criminal': 1, 'hitcha': 1, 'baseball': 1, 'bat': 1, 'mess': 1, 'bro': 1, 'toe': 1, 'real': 2, 'slow': 1, 'hits': 1, 'bong': 1, 'cheech': 2, 'wit': 1, 'chong': 2, 'ice': 1, 'cream': 1, 'give': 1, 'nice': 1, 'dream': 1, 'speak': 1, 'rolla': 1, 'rolled': 1, 'tightly': 1, 'why': 1, 'fight': 1, 'often': 1, 'site': 1, 'polite': 1, 'g': 1, 'any': 1, 'hour': 1, 'day': 1, 'might': 1, 'rodney': 1, 'king': 1, 'always': 1, 'tryina': 1, 'crown': 1, 'buddah': 1, 'stinky': 2, 'scruff': 1, 'rinkydinky': 1, 'freaka': 1, 'freaks': 1, 'philly': 1, 'sippin': 1, 'kufu': 1, 'cuckoo': 1, 'somethin': 2, 'turn': 1, 'loocoo': 1, 'beta': 2, 'risin': 1, 'bass': 1, 'nasal': 2, 'highs': 1, 'trip': 2, 'sinus': 1, 'crazy': 1, 'cannot': 1, 'hotties': 1, 'remember': 1, 'sista': 1, 'maggie': 1, 'breasts': 1, 'saggy': 1, 'used': 1, 'sell': 1, 'baggies': 1, 'honeyd': 1, 'twenty': 1, 'even': 1, 'she': 2, 'dick': 1, 'sonnie': 1, 'never': 1, 'bone': 1, 'her': 1, 'demeaning': 1, 'meanin': 1, 'hos': 1, 'schemin': 1, 'buddhareal': 1, 'hootaville': 1, 'throw': 1, 'door': 1, 'blue': 1, 'seville': 1, 'joint': 1, 'exploitation': 1, 'ones': 1, 'strollin': 1, 'ways': 1, 'masters': 1, 'alas': 1, 'capin': 1, 'theres': 1, 'ship': 1, 'huhu': 1}"
