Yearly info for LLCoolJ,Frequency
1995,"{'mmmm': 1, 'yeah': 17, 'mmmmm': 1, 'check': 41, 'it': 163, 'out': 19, 'baby': 13, 'make': 15, 'hot': 7, 'then': 3, 'we': 29, 'drop': 3, 'oooooooh': 2, 'uh': 5, 'uptown': 1, 'you': 80, 'know': 11, 'how': 8, 'do': 10, 'its': 13, 'the': 145, 'first': 3, 'time': 8, 'together': 3, 'and': 105, 'im': 26, 'feeling': 2, 'kinda': 3, 'horny': 1, 'conventional': 1, 'methods': 1, 'of': 29, 'makin': 2, 'love': 16, 'bore': 1, 'me': 38, 'i': 113, 'wanna': 30, 'knock': 2, 'your': 38, 'block': 2, 'off': 9, 'get': 11, 'my': 48, 'rocks': 3, 'blow': 4, 'socks': 1, 'sure': 1, 'g': 3, 'spots': 1, 'soft': 2, 'ima': 5, 'call': 4, 'big': 4, 'daddy': 5, 'scream': 1, 'name': 4, 'matter': 1, 'fact': 2, 'cant': 5, 'wait': 5, 'for': 19, 'candy': 1, 'rain': 1, 'so': 12, 'whatcha': 1, 'sayin': 7, 'swerve': 1, 'on': 26, 'bring': 3, 'live': 2, 'last': 3, 'forever': 2, 'damn': 6, 'kitty': 1, 'cats': 1, 'tight': 2, 'mmm': 2, 'slow': 3, 'down': 16, 'flow': 4, 'put': 6, 'like': 23, 'nice': 4, 'need': 13, 'a': 96, 'rough': 2, 'neck': 1, 'nigga': 5, 'mandingo': 1, 'in': 45, 'sack': 1, 'who': 6, 'aint': 9, 'afraid': 1, 'to': 55, 'pull': 1, 'hair': 2, 'spank': 1, 'from': 11, 'back': 13, 'no': 14, 'doubt': 5, 'playa': 1, 'that': 32, 'youre': 5, 'talkin': 2, 'about': 6, 'but': 10, 'really': 2, 'think': 3, 'can': 8, 'work': 1, 'guarantee': 1, 'shorty': 2, 'real': 11, 'stick': 1, 'here': 6, 'comes': 2, 'man': 10, 'steel': 1, 'doing': 72, 'well': 25, 'represent': 9, 'queens': 8, 'she': 8, 'was': 31, 'raised': 8, 'brooklyn': 8, 'mix': 1, 'now': 13, 'searching': 1, 'right': 6, 'spot': 5, 'hit': 11, 'dick': 1, 'use': 3, 'rubber': 1, 'are': 2, 'lover': 35, 'all': 21, 'night': 2, 'putty': 1, 'good': 4, 'word': 18, 'momma': 1, 'mad': 7, 'only': 3, 'thing': 3, 'left': 1, 'is': 35, 'climax': 1, 'lets': 3, 'goin': 1, 'this': 34, 'youve': 1, 'been': 3, 'telling': 1, 'don': 1, 'tried': 1, 'warn': 1, 'girl': 9, 'wouldnt': 1, 'listen': 1, 'wild': 2, 'dont': 7, 'chill': 1, 'minute': 1, 'let': 6, 'please': 1, 'talk': 3, 'one': 11, 'sweat': 1, 'wet': 3, 'break': 3, 'dawn': 1, 'large': 1, 'hard': 2, 'safe': 2, 'sexin': 2, 'flexin': 1, 'gettin': 4, 'affectionate': 1, 'chewin': 1, 'oohin': 1, 'while': 5, 'were': 3, 'doin': 3, 'worst': 1, 'way': 7, 'schemin': 1, 'ass': 4, 'since': 1, 'day': 3, 'stop': 3, 'when': 6, 'bounce': 2, 'sugar': 1, 'long': 3, 'as': 8, 'more': 19, 'flesh': 1, 'than': 22, 'greek': 1, 'fest': 1, 'roll': 2, 'up': 26, 'sess': 1, 'pass': 1, 'hennessy': 1, 'body': 3, 'test': 1, 'many': 4, 'niggas': 16, 'ago': 1, 'young': 2, 'listening': 1, 'nows': 1, 'chance': 1, 'grown': 1, 'side': 2, 'zone': 1, 'kind': 1, 'mine': 1, 'camcorder': 1, 'whole': 2, 'shit': 12, 'press': 1, 'rewind': 1, 'screen': 1, 'puffs': 1, 'l': 2, 'layin': 2, 'cut': 4, 'under': 1, 'spell': 1, 'life': 5, 'ep': 1, 'went': 1, 'go': 2, 'sleep': 1, 'tomorrow': 1, 'ill': 3, 'take': 8, 'downtown': 1, 'be': 10, 'ha': 4, 'lod': 2, 'keith': 2, 'murray': 2, 'def': 3, 'squad': 2, 'mister': 4, 'smith': 2, 'want': 12, 'ugh': 11, 'give': 14, 'hour': 8, 'plus': 8, 'pen': 8, 'pad': 8, 'yo': 2, 'dollar': 1, 'fifteen': 1, 'cents': 1, 'balls': 1, 'hang': 2, 'toilet': 1, 'taking': 1, 'style': 2, 'bag': 2, 'chips': 1, 'with': 27, 'dip': 1, 'drip': 2, 'fuck': 6, 'sensuous': 1, 'intellectual': 1, 'violence': 1, 'leave': 1, 'clique': 3, 'holier': 1, 'ten': 1, 'commandments': 1, 'redman': 2, 'shift': 1, 'ruck': 1, 'if': 6, 'spliff': 1, 'wed': 1, 'fucked': 2, 'ask': 2, 'he': 6, 'son': 4, 'busy': 1, 'scuff': 1, 'timbs': 1, 'boulevard': 1, 'cities': 1, 'chicago': 1, 'la': 3, 'any': 3, 'em': 6, 'have': 3, 'norman': 1, 'bate': 1, 'ta': 3, 'hate': 1, 'cause': 2, 'yous': 1, 'freak': 1, 'by': 3, 'nature': 2, 'face': 2, 'ya': 65, 'mutilate': 1, 'drink': 2, 'straight': 1, 'chaser': 1, 'verbal': 1, 'combats': 1, 'minimac': 1, 'uhhuh': 1, 'soon': 1, 'try': 1, 'over': 1, 'react': 1, 'blaow': 1, 'confrontation': 1, 'or': 1, 'vamp': 1, 'concentration': 1, 'murder': 1, 'camp': 1, 'jealous': 1, 'overzealous': 1, 'fellas': 1, 'branford': 1, 'marsalis': 1, 'bombombom': 1, 'coming': 1, 'through': 5, 'acting': 1, 'yall': 2, 'commercial': 1, 'better': 1, 'coke': 1, 'smile': 1, 'shot': 16, 'conversate': 1, 'men': 1, 'what': 27, 'begin': 1, 'again': 1, 'forgot': 1, 'already': 1, 'knew': 2, 'ayo': 1, 'hear': 4, 'friend': 1, 'illuminati': 1, 'mind': 2, 'soul': 1, 'secret': 1, 'society': 1, 'trying': 1, 'keep': 4, 'they': 14, 'eye': 2, 'nah': 2, 'stay': 1, 'incogni': 1, 'places': 1, 'find': 1, 'moves': 1, 'strategically': 1, 'god': 3, 'sorta': 1, 'similar': 1, 'iller': 1, 'chess': 1, 'player': 1, 'thinker': 1, 'coincides': 1, 'blinker': 1, 'wondered': 1, 'saying': 2, 'records': 1, 'motherfucking': 1, 'kid': 7, 'deal': 6, 'mobb': 2, 'infamous': 1, 'just': 8, 'fuckin': 2, 'title': 1, 'read': 1, 'backslapped': 1, 'nose': 1, 'bleed': 1, 'ahh': 1, 'some': 3, 'kids': 1, 'guilty': 1, 'bout': 6, 'space': 1, 'truth': 1, 'hurts': 1, 'alright': 1, 'anyway': 1, 'things': 2, 'sling': 1, 'cracks': 1, 'wear': 1, 'fat': 2, 'diamond': 1, 'rings': 2, 'not': 5, 'inside': 3, 'songs': 1, 'sing': 2, 'everything': 2, 'song': 2, 'paper': 1, 'very': 2, 'accurately': 1, 'two': 1, 'maybe': 1, 'three': 1, 'prodigy': 1, 'will': 2, 'shine': 4, 'attract': 2, 'millions': 1, 'moon': 1, 'sea': 1, 'dare': 1, 'ever': 8, 'walk': 3, 'past': 2, 'without': 2, 'acknowledging': 1, 'faggot': 1, 'talking': 1, 'pay': 3, 'dues': 1, 'spray': 1, 'crews': 1, 'look': 1, 'joey': 2, 'crack': 2, 'motherfuckers': 1, 'hes': 1, 'bad': 2, 'news': 1, 'runnin': 2, 'racket': 1, 'new': 2, 'york': 1, 'montego': 1, 'slaughtering': 1, 'people': 3, 'ton': 1, 'keys': 2, 'puerto': 1, 'rico': 1, 'id': 1, 'rather': 1, 'feared': 1, 'loved': 2, 'because': 1, 'fear': 2, 'lasts': 1, 'longer': 2, 'these': 5, 'bitchass': 1, 'stronger': 1, 'weaklings': 1, 'seeking': 1, 'respect': 1, 'there': 1, 'knuckleheads': 1, 'beware': 1, 'theres': 3, 'tension': 1, 'air': 1, 'tommy': 1, 'guns': 1, 'fun': 1, 'shotties': 1, 'parties': 1, 'fresh': 1, 'lead': 2, 'heats': 1, 'insides': 1, 'fifth': 1, 'bacardi': 1, 'ambulette': 1, 'mans': 1, 'bullets': 2, 'him': 2, 'root': 1, 'gillette': 1, 'razorwhich': 1, 'hidden': 1, 'oral': 1, 'ready': 1, 'spat': 1, 'at': 10, 'adult': 1, 'wants': 1, 'quarrel': 1, 'feds': 1, 'tax': 1, 'evasion': 1, 'somebodys': 1, 'getting': 1, 'lucci': 1, 'thats': 7, 'caucasian': 1, 'blazing': 1, 'streets': 1, 'filled': 1, 'torture': 1, 'aka': 1, 'keyser': 1, 'söze': 1, 'pop': 1, 'thug': 1, 'minks': 2, 'chinks': 1, 'tore': 1, 'sip': 1, 'drinks': 1, 'rockin': 1, 'flashin': 1, 'frontin': 1, 'hardcore': 1, 'deep': 2, 'jeep': 1, 'mackin': 1, 'fly': 1, 'scarface': 1, 'king': 2, 'bitches': 2, 'grab': 1, 'tatas': 1, 'them': 2, 'cheddar': 1, 'gucci': 1, 'sweaters': 1, 'armani': 1, 'leathers': 1, 'flossin': 1, 'size': 1, 'fort': 1, 'knox': 1, 'four': 2, 'carats': 1, 'ice': 2, 'pussy': 1, 'bangin': 1, 'versace': 1, 'locs': 1, 'pops': 1, 'creep': 1, 'open': 2, 'raw': 2, 'asscheeks': 1, 'rawdog': 1, 'protection': 2, 'disease': 1, 'infested': 1, 'italiano': 1, 'got': 7, 'luccianno': 1, 'gets': 3, 'brown': 1, 'fox': 1, 'extra': 1, 'boo': 2, 'jingling': 1, 'crazy': 2, 'dominicans': 1, 'lay': 3, 'low': 1, 'play': 2, 'firm': 1, 'mafioso': 1, 'crime': 1, 'kingpin': 1, 'thought': 3, 'conquered': 1, 'world': 5, 'crushed': 1, 'moe': 1, 'dee': 1, 'hammer': 2, 'icets': 1, 'girls': 1, 'still': 2, 'instigate': 1, 'battle': 2, 'rap': 2, 'game': 9, 'quick': 1, 'female': 1, 'rappers': 1, 'too': 7, 'crush': 19, 'peers': 1, 'rhymes': 1, 'month': 1, 'source': 1, 'twenty': 2, 'years': 3, 'scared': 2, 'detrimental': 1, 'mental': 1, 'state': 1, 'presidential': 1, 'rolex': 1, 'bait': 1, 'fight': 1, 'glock': 1, 'cocked': 1, 'temple': 1, 'mcs': 2, 'll': 4, 'bucked': 1, 'whats': 2, 'light': 1, 'slip': 1, 'bullet': 1, 'feel': 6, 'yorkll': 1, 'peel': 1, 'gangbang': 1, 'touch': 2, 'mic': 1, 'motherfuckin': 1, 'facts': 1, 'receive': 1, 'type': 2, 'slack': 1, 'always': 2, 'next': 1, 'names': 1, 'shitting': 1, 'top': 1, 'ive': 1, 'watchin': 1, 'afar': 1, 'remember': 1, 'harlem': 1, 'ruckers': 1, 'saw': 3, 'smilin': 1, 'huh': 1, 'coach': 1, 'hand': 1, 'coupe': 1, 'hat': 1, 'turned': 1, 'caught': 1, 'eyes': 2, 'moment': 1, 'skated': 1, 'strolled': 1, 'lookin': 2, 'legs': 1, 'looked': 1, 'fine': 1, 'gotta': 2, 'mission': 2, 'his': 2, 'handle': 1, 'competition': 2, 'five': 1, 'months': 1, 'besides': 1, 'much': 1, 'smoke': 1, 'blunts': 1, 'workin': 1, 'everyday': 2, 'thinkin': 1, 'looking': 1, 'own': 2, 'rear': 1, 'view': 1, 'catchin': 1, 'flash': 2, 'backs': 1, 'our': 5, 'contact': 1, 'wish': 1, 'could': 4, 'stomach': 1, 'caress': 1, 'would': 3, 'hold': 1, 'arms': 1, 'ease': 1, 'fears': 1, 'believe': 1, 'hadnt': 1, 'had': 3, 'hey': 30, 'see': 2, 'bus': 2, 'waitin': 1, 'must': 1, 'travel': 1, 'violate': 1, 'relationship': 1, 'trip': 1, 'having': 1, 'daydreams': 1, 'tonguin': 1, 'vanilla': 1, 'cream': 1, 'kissing': 1, 'thighs': 1, 'moonlight': 1, 'searchin': 1, 'tongue': 2, 'wonder': 1, 'simple': 1, 'dreams': 2, 'turnin': 2, 'into': 2, 'reality': 1, 'come': 4, 'naturally': 1, 'aisle': 1, 'destiny': 1, 'hustle': 1, 'gotcha': 3, 'little': 1, 'chump': 1, 'change': 1, 'seems': 1, 'enough': 1, 'satisfy': 1, 'needs': 1, 'deeper': 1, 'level': 3, 'follow': 1, 'week': 1, 'mall': 1, 'standin': 1, 'phone': 1, 'vision': 1, 'other': 1, 'end': 1, 'tellin': 1, 'walked': 1, 'touched': 1, 'gently': 1, 'hands': 1, 'talked': 1, 'travelin': 1, 'distant': 1, 'lands': 1, 'escapin': 1, 'madness': 1, 'becomin': 1, 'wife': 2, 'dress': 1, 'fall': 1, 'floor': 1, 'kissed': 1, 'softly': 1, 'yearned': 1, 'experienced': 1, 'pleasure': 1, 'unparallel': 1, 'an': 2, 'ocean': 1, 'both': 1, 'fell': 3, 'swimmin': 1, 'timeless': 1, 'currents': 1, 'pure': 1, 'bliss': 1, 'fantasies': 1, 'interchangin': 1, 'each': 1, 'kiss': 2, 'undyin': 1, 'passion': 1, 'unities': 1, 'souls': 1, 'swim': 1, 'until': 2, 'point': 1, 'control': 1, 'fantasy': 1, 'wont': 1, 'true': 1, 'never': 3, 'even': 2, 'spoke': 1, 'swear': 1, 'feelins': 1, 'alive': 2, 'blaze': 2, 'uhh': 34, 'uncle': 2, 'trackmasters': 2, 'everybody': 1, 'serve': 2, 'ynahmean': 6, 'splittin': 1, 'brothers': 3, 'doctor': 1, 'asleep': 1, 'vampire': 1, 'teeth': 1, 'boilin': 1, 'acid': 1, 'melt': 1, 'plastic': 1, 'elastic': 1, 'drastic': 1, 'violations': 1, 'room': 1, 'vibrations': 1, 'cock': 2, 'done': 1, 'flick': 1, 'wicked': 2, 'lunatic': 1, 'puttin': 1, 'hits': 1, 'tricks': 1, 'bawlin': 1, 'watch': 1, 'cos': 2, 'girlies': 1, 'fallin': 1, 'function': 1, 'lyrical': 1, 'injection': 1, 'blazin': 1, 'hittin': 1, 'advantage': 1, 'damage': 1, 'scenario': 1, 'dreary': 1, 'meet': 1, 'memphis': 1, 'strapped': 1, 'stage': 1, 'trapped': 1, 'cage': 1, 'kissin': 1, 'gauge': 1, 'mobs': 1, 'locked': 1, 'underneath': 1, 'surface': 1, 'nervous': 1, 'purpose': 1, 'laced': 1, 'charmer': 1, 'drama': 1, 'goes': 2, 'around': 3, 'farmers': 1, 'silence': 1, 'shhhh': 1, 'deadly': 1, 'add': 1, 'medley': 1, 'possessin': 1, 'power': 1, 'takin': 1, 'grasp': 1, 'why': 1, 'dwellin': 1, 'boys': 1, 'reminiscin': 1, 'old': 2, 'school': 1, 'fools': 1, 'dicked': 1, 'rules': 1, 'platinum': 1, 'fist': 2, 'relentless': 1, 'abyss': 1, 'land': 1, 'where': 2, 'piranhas': 1, 'massacre': 1, 'mmuh': 1, 'blowin': 2, 'tour': 1, 'passengers': 1, 'chuckin': 1, 'color': 1, 'outta': 1, 'cartoon': 1, 'character': 1, 'serious': 1, 'recognize': 1, 'theory': 1, 'lace': 2, 'gonna': 1, 'uhuhuhoh': 1, 'leary': 1, 'didnt': 1, 'oh': 1, 'teel': 1, 'whinin': 1, 'sixteen': 1, 'million': 1, 'albums': 1, 'climbin': 1, 'joint': 2, 'rock': 1, 'bells': 1, 'record': 1, 'radio': 1, 'chip': 1, 'flipped': 2, 'backseat': 1, 'countset': 1, 'butter': 1, 'boomin': 1, 'system': 1, 'writin': 1, 'pink': 1, 'cookies': 1, 'screamin': 1, 'mama': 1, 'said': 1, 'jinglin': 1, 'become': 1, 'zombie': 1, 'mc': 1, 'fought': 1, 'rugged': 1, 'easy': 1, 'does': 1, 'flockin': 1, 'buzzards': 1, 'crizzown': 1, 'diggity': 1, 'yknowimsayin': 2, 'care': 1, 'mines': 1, 'yknowimean': 1, 'peace': 2, 'globe': 1, 'mail': 1, 'today': 1, 'nahimsayin': 1, 'heh': 1, 'told': 1, 'yours': 2, 'pocket': 1, 'nahmean': 1, 'brother': 2, 'energized': 1, 'dedicate': 1, 'map': 1, 'ynahimsayin': 1, 'irresistible': 1, 'should': 2, 'fiendin': 1, 'microphones': 2, 'clutch': 1, 'droppin': 1, 'bombs': 1, 'combinin': 1, 'club': 1, 'attracts': 1, 'sugarhill': 1, 'gang': 1, 'tim': 1, 'fatback': 1, 'question': 1, 'suggestion': 1, 'made': 1, 'foundation': 1, 'laid': 1, 'furious': 1, 'played': 1, 'grandmaster': 1, 'slayed': 1, 'wishin': 1, 'technician': 1, 'number': 1, 'position': 1, 'fearless': 1, 'scored': 1, 'bambaataa': 1, 'hotter': 1, 'spoonie': 1, 'givin': 1, 'nata': 1, 'headzone': 1, 'melody': 1, 'cosign': 1, 'movement': 1, 'yes': 3, 'affair': 2, 'ended': 1, 'recommended': 1, 'splendid': 1, 'hiphop': 11, 'doordiers': 2, 'dedicated': 1, 'music': 4, 'admire': 1, 'whenever': 6, 'same': 3, 'kanes': 1, 'era': 1, 'terror': 1, 'warmed': 1, 'parrish': 1, 'erick': 1, 'cat': 1, 'lyrics': 1, 'thatll': 1, 'turn': 1, 'chillin': 1, 'droptop': 1, 'benz': 1, 'friends': 1, 'loungin': 1, 'mens': 1, 'laughin': 1, 'ends': 1, 'spends': 1, 'making': 1, 'snaps': 1, 'pumping': 1, 'kool': 1, 'biz': 1, 'dapper': 1, 'dan': 1, 'dookie': 1, 'wrotes': 1, 'show': 1, 'rooftop': 1, 'doug': 1, 'efresh': 1, 'slick': 1, 'rick': 1, 'di': 2, 'da': 2, 'likes': 1, 'party': 1, 'mean': 1, 'every': 2, 'chuck': 1, 'd': 2, 'pe': 1, 'rhythm': 1, 'rebel': 1, 'reminisce': 2, 'black': 1, 'uzi': 1, 'terminators': 1, 'terrordome': 1, 'techniques': 1, 'terrorize': 1, 'lighter': 1, 'shadea': 1, 'eric': 1, 'b': 1, 'rakim': 1, 'such': 1, 'different': 2, 'lovin': 1, 'help': 1, 'escape': 2, 'celebrate': 1, 'before': 1, 'late': 1, 'survival': 1, 'fittest': 1, 'lost': 1, 'boyz': 1, 'lickin': 1, 'shots': 1, '2pac': 1, 'snoop': 1, 'doggy': 1, 'dogg': 1, 'west': 1, 'coast': 1, 'gear': 1, 'dr': 1, 'dre': 1, 'nwa': 1, 'eazy': 1, 'es': 1, 'tell': 1, 'understand': 1, 'nas': 1, 'escobar': 1, 'wutang': 1, 'clan': 1, 'south': 1, 'brat': 1, 'peep': 1, 'rejuvenate': 1, 'funk': 1, 'craig': 1, 'mack': 1, 'notorious': 1, 'latifah': 1, 'heavy': 1, 'say': 1, 'naughty': 1, 'glory': 1, 'fleet': 1, 'battleships': 1, 'floatin': 1, 'categories': 1, 'hiphopll': 1, 'fade': 1, 'away': 1, 'sincerely': 1, 'cool': 1, 'j': 1, 'hiphops': 1, 'helped': 2, 'lot': 1, 'another': 1, 'couple': 1, 'shout': 1, 'outs': 1, 'thank': 2, 'chris': 1, 'mr': 1, 'mrsmith': 1, 'album': 1, 'trackmasterspoke': 1, 'tone': 1, 'steve': 1, 'stoute': 1, 'definitely': 1, 'turning': 1, 'bond': 1}"
1991,"{'cmon': 1, 'man': 3, 'and': 11, 'with': 6, 'the': 15, 'local': 1, 'dbt': 1, 'news': 1, 'll': 1, 'cool': 1, 'j': 1, 'a': 12, 'triumphant': 1, 'comeback': 2, 'but': 2, 'tonight': 1, 'dont': 7, 'call': 3, 'it': 2, 'i': 16, 'been': 1, 'here': 1, 'for': 1, 'years': 1, 'rocking': 1, 'my': 8, 'peers': 1, 'putting': 1, 'suckas': 1, 'in': 2, 'fear': 1, 'making': 1, 'tears': 1, 'rain': 1, 'down': 2, 'like': 5, 'monsoon': 1, 'listen': 3, 'to': 7, 'bass': 1, 'go': 2, 'boom': 1, 'explosion': 1, 'overpowering': 1, 'over': 1, 'competition': 1, 'im': 26, 'towering': 1, 'wrecking': 1, 'shop': 1, 'when': 5, 'drop': 1, 'these': 1, 'lyrics': 1, 'thatll': 2, 'make': 1, 'you': 47, 'cops': 1, 'dare': 1, 'stare': 1, 'better': 1, 'move': 1, 'ever': 2, 'compare': 1, 'me': 6, 'rest': 1, 'all': 1, 'get': 4, 'sliced': 1, 'diced': 1, 'competitions': 1, 'paying': 1, 'price': 1, 'gonna': 19, 'knock': 32, 'out': 33, 'huuh': 30, 'mama': 16, 'said': 16, 'this': 4, 'regular': 1, 'jam': 1, 'rock': 2, 'land': 1, 'take': 1, 'itty': 1, 'bitty': 1, 'world': 1, 'by': 1, 'storm': 1, 'just': 3, 'getting': 1, 'warm': 1, 'muhammad': 1, 'ali': 1, 'they': 1, 'called': 1, 'him': 2, 'cassius': 1, 'watch': 1, 'bash': 1, 'beat': 1, 'skull': 1, 'that': 4, 'know': 3, 'had': 1, 'beef': 1, 'why': 1, 'do': 1, 'riff': 2, 'maniac': 1, 'psycho': 1, 'pull': 2, 'jammy': 2, 'ready': 3, 'cause': 3, 'might': 1, 'blaaaaow': 1, 'how': 1, 'ya': 2, 'now': 2, 'ripper': 1, 'will': 2, 'not': 2, 'allow': 1, 'mr': 1, 'smith': 1, 'gear': 1, 'shift': 1, 'blasting': 1, 'outlasting': 1, 'kinda': 1, 'shaft': 1, 'so': 2, 'could': 1, 'say': 2, 'shafting': 1, 'olde': 1, 'english': 1, 'filled': 1, 'mind': 1, 'came': 1, 'up': 2, 'funky': 1, 'rhyme': 1, 'breakdown': 1, 'uh': 1, 'shadow': 1, 'boxing': 1, 'heard': 2, 'on': 1, 'radio': 1, 'huuuh': 1, 'what': 3, 'made': 1, 'forget': 1, 'was': 1, 'raw': 1, 'got': 2, 'new': 1, 'tour': 1, 'going': 1, 'insane': 1, 'starting': 1, 'hurricane': 1, 'releasing': 1, 'pain': 1, 'letting': 1, 'cant': 1, 'gain': 1, 'maintain': 1, 'unless': 1, 'name': 1, 'ripping': 1, 'killing': 1, 'digging': 1, 'drilling': 1, 'hole': 1, 'pass': 2, 'ol': 1, 'gold': 1, 'shotgun': 1, 'blasts': 1, 'are': 1, 'rip': 1, 'kill': 1, 'at': 1, 'of': 2, 'hour': 1, 'tower': 1, 'power': 1, 'ill': 2, 'devour': 1, 'tie': 1, 'let': 1, 'understand': 1, 'your': 2, 'average': 1, 'hand': 1, 'daaaaam': 1, 'oooooohh': 1, 'way': 1, 'slaaaaay': 1, 'crew': 1, 'damage': 4, 'uhh': 3, 'destruction': 1, 'terror': 1, 'mayhem': 1, 'sissy': 1, 'sucka': 1, 'slay': 1, 'farmers': 2, 'were': 1, 'think': 1, 'bomb': 1, 'town': 1, 'never': 1, 'lever': 1, 'explode': 1, 'nine': 1, 'is': 1, 'easy': 1, 'load': 1, 'gotta': 1, 'thank': 1, 'god': 1, 'he': 1, 'gave': 1, 'strength': 1, 'hard': 1}"
