Yearly info for SaltNPepa,Frequency
1993,"{'hey': 3, 'yeah': 31, 'i': 233, 'wanna': 39, 'shoop': 40, 'baby': 39, 'ooh': 1, 'how': 15, 'you': 252, 'doing': 1, 'no': 60, 'not': 32, 'the': 232, 'bowlegged': 1, 'one': 54, 'whats': 7, 'your': 62, 'name': 4, 'damn': 5, 'that': 70, 'sounds': 1, 'sexy': 23, 'uh': 2, 'here': 16, 'go': 27, 'again': 7, 'girls': 7, 'my': 86, 'weakness': 1, 'men': 3, 'ok': 3, 'then': 11, 'chilling': 2, 'minding': 1, 'business': 15, 'word': 6, 'yo': 22, 'salt': 11, 'looked': 1, 'around': 6, 'and': 150, 'couldnt': 3, 'believe': 10, 'this': 25, 'swear': 2, 'stared': 1, 'niece': 1, 'witness': 1, 'brother': 9, 'had': 6, 'it': 178, 'going': 1, 'on': 115, 'with': 49, 'something': 3, 'kinda': 5, 'wicked': 3, 'to': 206, 'kick': 3, 'im': 60, 'shy': 2, 'so': 71, 'asked': 1, 'for': 29, 'digits': 1, 'a': 174, 'ho': 6, 'dont': 48, 'make': 26, 'me': 201, 'see': 14, 'what': 101, 'want': 8, 'slip': 1, 'slide': 1, 'swiftly': 1, 'felt': 1, 'in': 45, 'hips': 2, 'dipped': 1, 'back': 16, 'bag': 2, 'of': 72, 'tricks': 3, 'flipped': 1, 'tip': 2, 'do': 57, 'him': 26, 'lick': 1, 'like': 71, 'lollipop': 1, 'should': 3, 'be': 65, 'licked': 1, 'came': 3, 'senses': 1, 'chilled': 1, 'bit': 1, 'know': 44, 'voodoo': 1, 'well': 14, 'its': 44, 'spell': 1, 'hell': 11, 'makes': 2, 'badoop': 40, 'um': 1, 'youre': 29, 'packed': 1, 'stacked': 2, 'specially': 1, 'thank': 1, 'mother': 2, 'butt': 2, 'thanks': 1, 'mom': 1, 'can': 22, 'get': 45, 'some': 11, 'fries': 1, 'shakeshake': 1, 'boobie': 1, 'if': 29, 'looks': 2, 'could': 6, 'kill': 2, 'would': 2, 'an': 5, 'uzi': 1, 'or': 15, 'shotgun': 1, 'bang': 1, 'up': 32, 'thang': 2, 'does': 31, 'hang': 1, 'straight': 3, 'wait': 5, 'hold': 8, 'mr': 2, 'lover': 3, 'prince': 1, 'said': 8, 'motha': 1, 'wella': 1, 'em': 31, 'real': 11, 'wild': 1, 'bboy': 1, 'style': 4, 'by': 3, 'mile': 1, 'smooth': 4, 'black': 1, 'skin': 1, 'smile': 1, 'bright': 1, 'as': 8, 'sun': 1, 'have': 27, 'fun': 3, 'come': 12, 'give': 28, 'yumyum': 1, 'chocolate': 1, 'chip': 1, 'honey': 3, 'dip': 2, 'scoop': 1, 'take': 13, 'ride': 1, 'coupe': 1, 'ayyhey': 1, 'eyy': 1, 'let': 19, 'bring': 2, 'subject': 1, 'peps': 3, 'set': 2, 'hot': 9, 'work': 2, 'sweat': 2, 'when': 39, 'skiptomylou': 1, 'darling': 1, 'falling': 2, 'love': 22, 'but': 40, 'super': 2, 'sperm': 1, 'ya': 42, 'betcha': 1, 'bottom': 1, 'dollar': 1, 'were': 9, 'best': 3, 'under': 3, 'pressure': 1, 'sandy': 1, 'taste': 1, 'getcha': 2, 'lips': 4, 'wet': 1, 'cause': 16, 'time': 31, 'pep': 12, 'mark': 1, 'next': 3, 'man': 111, 'threepiece': 1, 'suit': 1, 'spend': 1, 'all': 32, 'doremi': 1, 'cutie': 1, 'adoobie': 1, 'scoobie': 1, 'doobie': 1, 'doo': 1, 'big': 18, 'jeans': 2, 'nice': 1, 'dreams': 2, 'scream': 2, 'ooo': 1, 'oooo': 6, 'oh': 29, 'goodness': 2, 'girl': 6, 'look': 4, 'at': 12, 'hes': 39, 'cutest': 1, 'comin': 6, 'way': 9, 'oooh': 1, 's': 2, 'p': 2, 'cool': 2, 'uhhuh': 3, 'g': 3, 'hit': 6, 'skins': 8, 'never': 21, 'quickly': 1, 'thats': 23, 'right': 18, 'just': 36, 'yell': 2, 'mmm': 3, 'smell': 2, 'they': 26, 'bod': 1, 'heres': 3, 'rod': 2, 'twelve': 1, 'inches': 1, 'yard': 1, 'sounding': 1, 'retard': 1, 'twan': 1, 'loveher': 1, 'sixtwo': 1, 'mmmm': 2, 'yeeehey': 1, 'alright': 3, 'now': 48, 'talk': 31, 'whatta': 54, 'mighty': 32, 'good': 34, 'gotta': 17, 'say': 13, 'yes': 17, 'he': 21, 'is': 40, 'minute': 3, 'two': 6, 'much': 2, 'respect': 2, 'due': 1, 'made': 2, 'difference': 2, 'world': 2, 'although': 1, 'most': 1, 'are': 16, 'hos': 1, 'flows': 1, 'down': 23, 'low': 1, 'heard': 3, 'about': 20, 'another': 1, 'because': 11, 'pathetic': 1, 'involved': 3, 'saidshe': 1, 'crowd': 3, 'aint': 12, 'nobody': 6, 'perfect': 2, 'props': 2, 'those': 2, 'who': 16, 'deserve': 15, 'yall': 11, 'worth': 2, 'future': 1, 'we': 13, 'got': 60, 'through': 7, 'past': 2, 'finally': 1, 'found': 1, 'somebody': 3, 'laugh': 2, 'ha': 3, 'crazy': 6, 'think': 9, 'heeh': 1, 'barry': 1, 'his': 13, 'voice': 3, 'bass': 8, 'body': 4, 'arnold': 1, 'denzel': 1, 'face': 5, 'smart': 1, 'doctor': 1, 'rep': 2, 'comes': 2, 'home': 10, 'relaxed': 1, 'always': 9, 'gift': 2, 'everytime': 2, 'lot': 3, 'snotnosed': 1, 'exflames': 1, 'ran': 1, 'corny': 1, 'line': 1, 'once': 1, 'yet': 3, 'stuff': 2, 'forget': 8, 'keeps': 2, 'cloud': 1, 'nine': 2, 'temps': 1, 'fake': 2, 'wannabe': 1, 'tryin': 5, 'pimp': 1, 'dresses': 1, 'dapper': 1, 'don': 3, 'even': 7, 'godsent': 1, 'original': 1, 'says': 2, 'loves': 2, 'nah': 4, 'rush': 2, 'touch': 3, 'spot': 2, 'other': 4, 'guys': 1, 'ive': 7, 'tried': 3, 'play': 4, 'mac': 1, 'shit': 9, 'every': 11, 'potion': 1, 'rub': 4, 'lotion': 1, 'ritual': 1, 'highway': 1, 'heaven': 1, 'from': 9, 'seven': 4, 'open': 8, 'eleven': 1, 'choosin': 1, 'losin': 1, 'knows': 3, 'susan': 1, 'has': 1, 'heavy': 1, 'conversation': 1, 'mind': 6, 'which': 1, 'means': 1, 'cuz': 26, 'hard': 2, 'find': 3, 'ohh': 1, 'uuuh': 1, 'sayin': 4, 'hear': 6, 'check': 11, 'out': 17, 'gives': 2, 'loving': 1, 'why': 11, 'call': 3, 'killer': 1, 'whambamthankyoumaam': 1, 'thriller': 1, 'takes': 1, 'everything': 2, 'knocks': 1, 'shot': 8, 'rest': 1, 'night': 3, 'goose': 1, 'pimples': 1, 'single': 1, 'spends': 1, 'quality': 1, 'kids': 1, 'secure': 1, 'manhood': 1, 'fighter': 1, 'knock': 4, 'knucker': 1, 'sucker': 2, 'need': 16, 'disrespectful': 1, 'mama': 1, 'taught': 1, 'tell': 20, 'sugar': 2, 'break': 23, 'matter': 4, 'life': 2, 'mess': 3, 'mine': 3, 'keep': 11, 'sweating': 1, 'gonna': 16, 'fine': 1, 'guy': 5, 'tonight': 3, 'none': 14, 'she': 14, 'freak': 5, 'sell': 4, 'weekend': 3, 'shouldnt': 3, 'into': 5, 'giving': 4, 'try': 7, 'change': 4, 'ill': 11, 'more': 9, 'putting': 1, 'cheap': 2, 'cents': 1, 'nothing': 5, 'than': 21, 'worry': 1, 'friends': 2, 'cant': 22, 'without': 2, 'bugging': 1, 'used': 3, 'was': 15, 'wasnt': 2, 'told': 2, 'called': 4, 'names': 1, 'popped': 1, 'opinions': 1, 'assholes': 1, 'everybodys': 1, 'put': 8, 'nose': 2, 'where': 5, 'supposed': 1, 'stepping': 1, 'closer': 1, 'playing': 1, 'highpole': 1, 'high': 1, 'soditty': 1, '90210': 1, 'type': 3, 'treat': 3, 'treats': 1, 'between': 2, 'hooker': 4, 'fee': 1, 'tongue': 7, 'tightly': 1, 'wish': 1, 'popping': 1, 'only': 5, 'stress': 2, 'spite': 1, 'really': 16, '1993': 3, 'snp': 1, 'packing': 1, 'macking': 1, 'bamboozling': 1, 'smacking': 1, 'suckers': 1, 'track': 2, 'throw': 3, 'beat': 5, 'many': 2, 'rules': 1, 'am': 7, 'before': 5, 'understand': 2, 'doublestandards': 1, 'mean': 9, 'exactly': 1, 'turn': 17, 'walk': 2, 'away': 3, 'move': 6, 'somebodys': 16, 'clocking': 1, 'ask': 3, 'will': 4, 'leave': 4, 'alone': 3, 'whos': 4, 'took': 1, 'hometo': 1, 'bone': 2, 'miss': 3, 'thing': 5, 'benz': 2, 'peppeps': 1, 'macaroni': 1, 'trap': 1, 'rap': 3, 'better': 35, 'step': 3, 'head': 2, 'checked': 1, 'refuse': 1, 'played': 2, 'penny': 1, 'cent': 1, 'trick': 1, 'deck': 2, 'cards': 1, 'bitches': 5, 'boulevard': 1, 'scarred': 1, 'dance': 1, 'bars': 1, 'tramp': 1, 'remember': 2, 'punk': 1, 'humped': 2, 'dumped': 1, 'front': 2, 'everybody': 31, 'gets': 3, 'horny': 1, 'double': 1, 'record': 3, 'buttnaked': 1, 'ass': 3, 'respected': 1, 'moral': 1, 'story': 2, 'judge': 2, 'theres': 3, 'true': 5, 'god': 4, 'chill': 6, 'father': 1, 'job': 1, 'pepas': 2, 'swinging': 1, 'repeat': 1, 'fade': 1, 'ey': 3, 'show': 14, 'showshow': 4, 'gettin': 19, 'nerves': 11, 'lady': 6, 'phat': 12, 'attitude': 2, 'hype': 2, 'jealousass': 1, 'rappers': 1, 'broke': 1, 'trying': 2, 'mic': 8, 'test': 2, 'bitch': 6, 'jump': 1, 'shorty': 1, 'lightskinned': 1, 'screamin': 1, 'row': 1, 'bum': 1, 'platinum': 1, 'album': 2, 'meant': 2, 'sound': 5, 'wack': 2, 'livin': 5, 'old': 4, 'rhymes': 4, 'new': 2, 'hiphop': 2, 'until': 6, 'suckin': 1, 'pop': 2, 'might': 3, 'catch': 3, 'fist': 1, 'there': 7, 'skeezed': 1, 'pepa': 7, 'last': 1, 'nigga': 2, 'please': 8, 'hump': 1, 'first': 2, 'cooty': 1, 'cat': 4, 'little': 4, 'jimmy': 1, 'zipper': 1, 'ever': 2, 'hand': 2, 'rolled': 1, 'mans': 1, 'beemer': 2, 'meatbeatin': 1, 'daydreamer': 1, 'window': 2, 'act': 1, 'slick': 2, 'started': 3, 'smilin': 1, 'stuck': 1, 'gold': 1, 'fortysecond': 1, 'street': 1, 'rolex': 1, 'wrote': 1, 'number': 2, 'thought': 5, 'youd': 1, 'dialadate': 1, '1900chump': 1, 'runnin': 2, 'town': 1, 'playin': 2, 'jeopardy': 1, 'off': 7, 'brastrap': 1, 'boy': 3, 'stop': 8, 'sweatin': 1, 'wrecked': 1, 'fails': 1, 'amaze': 1, 'people': 5, 'possip': 1, 'gossip': 1, 'instead': 1, 'finding': 1, 'truth': 1, 'nostrils': 1, 'flairin': 1, 'id': 1, 'fool': 2, 'half': 1, 'dumb': 1, 'hearing': 1, 'meet': 2, 'goin': 4, 'jealous': 2, 'girlfriends': 1, 'wrong': 4, 'drivin': 2, 'bummy': 1, 'sellin': 3, 'buddah': 1, 'plenty': 1, 'money': 3, 'breakin': 1, 'code': 1, 'someones': 1, 'getting': 1, 'enough': 1, 'problems': 1, 'own': 1, 'sit': 1, 'phone': 2, 'talkin': 4, 'noises': 16, 'caress': 3, 'ears': 4, 'whisper': 1, 'breathin': 1, 'spine': 1, 'drink': 1, 'white': 1, 'wine': 1, 'hints': 1, 'must': 3, 'picture': 1, 'loud': 2, 'sweet': 2, 'round': 4, 'sister': 1, 'noise': 5, 'anything': 2, 'feel': 4, 'fight': 3, 'rotation': 1, 'moves': 1, 'lyrics': 1, 'lose': 1, 'doin': 1, 'missy': 1, 'house': 4, 'wind': 1, 'her': 5, 'cannot': 1, 'words': 1, 'start': 3, 'drive': 1, 'mmmhmmm': 1, 'ah': 1, 'lovin': 2, 'swell': 3, 'though': 1, 'else': 4, 'wonder': 1, 'faint': 2, 'swing': 1, 'wont': 3, 'smatter': 1, 'mouth': 1, 'wear': 1, 'condom': 1, 'groove': 28, 'reel': 6, 'eyes': 6, 'saltnpepa': 4, 'end': 1, 'road': 1, 'boom': 3, 'explode': 1, 'petro': 1, 'twinpack': 1, 'control': 2, 'heart': 3, 'soul': 2, 'deep': 2, 'inside': 2, 'music': 2, 'engineengine': 1, 'rumpshakin': 1, 'flavor': 1, 'nasty': 1, 'rhyme': 1, 'stay': 3, 'naughty': 1, 'hooray': 1, 'rock': 2, 'anita': 1, 'song': 1, 'been': 4, 'long': 4, 'bustin': 1, 'marv': 1, 'gaye': 1, 'swingin': 1, 'full': 2, 'speed': 1, 'breed': 1, 'stephanie': 1, 'mills': 1, 'tune': 1, 'babe': 1, 'boomboom': 1, 'powpow': 1, 'grimey': 1, 'slimey': 1, 'may': 1, 'run': 1, 'bullshit': 1, 'wink': 1, 'flow': 4, 'statically': 1, 'automatically': 1, 'swayin': 1, 'joint': 1, 'spin': 1, 'against': 1, 'aids': 5, 'cure': 1, 'pread': 1, 'responsible': 1, 'sex': 3, 'decided': 1, 'our': 1, 'group': 1, 'young': 3, 'whoe': 1, 'also': 1, 'theyre': 5, 'weatoc': 1, 'boston': 1, 'massachusetts': 1, 'schoolin': 1, 'happened': 1, '16': 1, 'years': 1, 'whole': 1, 'ahead': 1, 'die': 1, 'ioh': 1, 'confused': 1, 'wheres': 1, 'mario': 9, 'over': 3, 'hour': 1, 'ago': 1, 'use': 2, 'protection': 4, 'condoms': 1, 'tv': 2, 'talking': 8, '50': 1, 'dollars': 2, 'game': 3, 'important': 1, 'whoa': 2, 'place': 1, 'went': 1, 'clinic': 1, 'today': 1, 'cold': 2, 'fix': 1, 'pregnant': 2, 'easier': 1, 'circles': 1, 'cathy': 2, 'tested': 1, 'testmy': 1, 'results': 1, 'positive': 1, 'tests': 1, 'postive': 1, 'hiv': 2, 'virus': 1, 'happening': 1, 'guess': 2, 'sorry': 1, 'didnt': 3, 'boys': 3, 'seen': 4, 'types': 1, 'dudes': 1, 'listening': 1, 'trust': 1, 'loved': 1, 'coming': 1, 'did': 2, 'sleeping': 2, 'caught': 1, 'hate': 5, 'keepkeep': 28, 'til': 13, 'dawn': 19, 'boombamslam': 2, 'boomboombamslam': 11, 'jam': 4, 'pump': 6, 'ima': 2, 'rip': 2, 'shop': 2, 'drop': 4, 'bomb': 1, 'effect': 2, 'catchin': 1, 'wreck': 1, 'yep': 1, 'nile': 1, 'buckwild': 1, 'flippin': 1, 'scripts': 1, 'dive': 1, 'dips': 1, 'dives': 1, 'overdrive': 2, 'loss': 1, 'course': 1, 'flynn': 1, 'guaranteed': 1, 'win': 1, 'battleship': 1, 'grip': 1, 'outta': 1, 'flowuh': 1, 'bigbig': 4, 'pg': 1, 'rated': 1, 'r': 1, 'bs': 1, 'fs': 1, 'ks': 1, 'ps': 1, 'pick': 1, 'pace': 1, 'pro': 1, 'd': 2, 'rare': 1, 'woman': 2, 'ford': 1, 'mcs': 1, 'door': 5, 'pour': 1, 'core': 1, 'finish': 1, 'girlfriend': 1, 'sore': 1, 'birdys': 1, 'denton': 1, 'born': 1, 'yeahtil': 1, 'onetwothree': 1, 'microphone': 1, 'stand': 4, 'psyche': 2, 'left': 2, 'weather': 1, 'fall': 3, 'butter': 1, 'leather': 1, 'clever': 2, 'rockin': 1, 'rippin': 1, 'kickin': 2, 'brothers': 1, 'trickin': 2, 'damned': 1, 'flip': 1, 'too': 4, '92': 1, 'l': 3, '93s': 1, 'watch': 3, 'pockets': 3, 'everyday': 1, 'thanksgivin': 1, 'swift': 1, 'aight': 1, 'bondto': 1, 'ready': 2, 'juan': 1, 'proceed': 1, 'lets': 1, 'while': 1, 'air': 1, 'heavyweight': 1, 'bootknocker': 1, 'whatcha': 1, 'waterbed': 1, 'room': 1, 'fever': 1, 'nooknook': 1, 'bet': 3, 'assll': 1, 'hooked': 1, 'book': 1, 'match': 1, 'sees': 1, 'passion': 1, 'scratch': 1, 'wouldnt': 2, 'light': 1, 'whether': 1, 'cute': 1, 'beef': 1, 'bugle': 1, 'blown': 1, 'teeth': 1, 'done': 3, 'sheets': 1, 'cheat': 1, 'freaked': 1, 'worked': 1, 'capacity': 1, 'piece': 1, 'lay': 1, 'maximum': 1, 'extra': 1, 'middle': 1, 'waxin': 1, 'flavors': 1, 'day': 2, 'ways': 1, 'happy': 1, 'nothin': 2, 'aim': 1, 'twentyfour': 1, 'thrills': 1, 'frills': 1, 'theme': 1, 'park': 1, 'part': 1, 'definitely': 1, 'bedroom': 1, 'zoomazoomzoom': 1, 'poompoom': 1, 'mechanic': 1, 'panic': 1, 'automatic': 1, 'complaint': 1, 'saint': 1, 'knockin': 3, 'ringin': 2, 'bell': 2, 'driving': 1, 'leash': 1, 'o': 1, 'diggity': 1, 'dog': 1, 'coochie': 2, 'bam': 1, 'wakin': 2, 'moms': 1, 'pops': 1, 'cops': 1, 'stoop': 1, 'groupie': 1, 'dedicated': 2, 'ought': 1, 'spaded': 1, 'cut': 1, 'nuts': 2, 'shots': 1, 'upgraded': 1, 'feed': 2, 'bones': 1, 'meat': 1, 'somma': 9, 'eddie': 1, 'murphy': 1, 'hers': 1, 'yours': 2, 'year': 1, 'description': 1, 'dissin': 1, 'fits': 1, 'category': 1, 'dismiss': 1, 'dig': 1, 'rid': 1, 'pity': 1, 'send': 1, 'yea': 3, 'problem': 1, 'similar': 1, 'drugs': 1, 'weed': 1, 'cocaine': 1, 'crack': 1, 'dud': 1, 'erection': 1, 'huh': 2, 'mission': 1, 'sexual': 1, 'transition': 1, 'addiction': 1, 'affliction': 1, 'sign': 1, 'petition': 1, 'likes': 1, 'easy': 2, 'pickin': 1, 'thinkin': 1, 'stickin': 1, 'realize': 1, 'storebought': 1, 'newports': 1, 'pack': 1, 'cigarettes': 1, 'smoked': 1, 'being': 1, 'bootie': 1, 'smack': 2, 'diggum': 1, 'fools': 1, 'sometimes': 3, 'them': 7, 'paid': 4, 'things': 1, 'summer': 1, 'especially': 1, 'lookin': 1, 'dippin': 1, 'dodgin': 1, 'short': 1, 'skirts': 1, 'stockings': 1, 'boot': 1, 'buddy': 1, 'wants': 30, 'affection': 1, 'three': 1, 'same': 4, 'streets': 1, 'indifferent': 1, 'section': 1, 'lonnie': 1, 'donni': 1, 'vonni': 1, 'musical': 1, 'punani': 1, 'write': 1, 'greater': 1, 'tibettime': 1, 'free': 1, 'lame': 1, 'yiggity': 1, 'yack': 2, 'bullcrap': 1, 'parts': 1, 'funny': 1, 'seem': 1, 'june': 1, 'july': 1, 'august': 1, 'september': 1, 'yearround': 1, 'honeydipper': 1, 'react': 1, 'attack': 1, 'flirtin': 1, 'gots': 1, 'bro': 1, 'fro': 1, 'unhunh': 1, 'margetta': 1, 'curb': 1, 'hurts': 1, 'diss': 1, 'kiss': 1, 'absurd': 1, 'spinderella': 2, 'kind': 1, 'pulled': 2, 'blowforblow': 1, 'hoes': 1, 'sittin': 1, 'waitin': 1, 'yous': 1, 'gone': 1, 'stepstep': 13, 'someone': 1, 'son': 2, 'eat': 1, 'lies': 1, 'thumb': 1, 'givin': 1, 'packin': 1, 'lackin': 1, 'stackin': 1, 'mackin': 1, 'small': 3, 'twominute': 1, 'since': 1, 'thatta': 1, 'regardless': 1, 'purse': 1, 'fatter': 1, 'flat': 2, 'flatter': 1, 'admit': 1, 'reap': 1, 'sow': 1, 'shocked': 1, 'showed': 1, 'swallow': 1, 'pride': 1, 'understood': 1, 'showing': 1, 'neglect': 1, 'feeling': 1, 'held': 1, 'accept': 1, 'experience': 1, 'learn': 1, 'mistakes': 1, 'lucky': 1, 'either': 2, 'aone': 1, 'aonetwo': 1, 'quick': 7, 'buck': 7, 'top': 7, 'fasolla': 1, 'ts': 1, 'makin': 3, 'dough': 1, 'bucks': 1, 'doesnt': 1, 'goes': 1, 'n': 1, 'buy': 2, 'records': 1, 'very': 1, 'poppopular': 1, 'hits': 1, 'rich': 5, 'pootang': 1, 'block': 1, 'women': 1, 'fast': 1, 'jail': 1, 'needed': 1, 'explore': 1, 'mad': 1, 'fat': 1, 'territory': 1, 'niggas': 2, 'lewd': 1, 'maid': 1, 'poppin': 1, 'gucci': 1, 'whatevers': 1, 'costs': 1, 'pile': 1, 'file': 1, 'great': 1, 'paper': 1, 'chase': 1, 'million': 1, 'whip': 1, 'appeal': 1, 'babyface': 1, 'rooftop': 1, 'boss': 1, 'keepin': 1, 'tight': 1, 'feelin': 1, 'doubt': 1, 'any': 1, 'neither': 1, 'popular': 1, 'europe': 1, 'probably': 1, 'sellout': 1, 'hookers': 1, 'live': 1, 'bills': 1, 'headaches': 1, 'shes': 1, 'shoot': 1, 'buggin': 1, 'autograph': 1, 'yalls': 1, 'hair': 2, 'fly': 1, 'whered': 1, 'somethin': 1, 'still': 1}"
1987,"{'ah': 22, 'push': 49, 'it': 51, 'hit': 1, 'oooh': 4, 'baby': 16, 'get': 9, 'up': 8, 'on': 8, 'this': 8, 'ow': 4, 'salt': 19, 'and': 10, 'pepas': 6, 'here': 7, 'now': 3, 'wait': 1, 'a': 4, 'minute': 1, 'yall': 1, 'dance': 3, 'aint': 1, 'for': 1, 'everybody': 1, 'only': 1, 'the': 3, 'sexy': 1, 'people': 1, 'so': 3, 'all': 1, 'you': 9, 'fly': 1, 'mothers': 1, 'out': 1, 'there': 1, 'i': 4, 'said': 1, 'were': 1, 'in': 2, 'effect': 1, 'want': 1, 'to': 2, 'babe': 1, 'coolin': 1, 'by': 1, 'day': 1, 'then': 1, 'at': 1, 'night': 1, 'working': 1, 'sweat': 1, 'cmon': 1, 'girls': 1, 'lets': 1, 'go': 1, 'show': 2, 'guys': 1, 'that': 1, 'we': 1, 'know': 3, 'how': 1, 'become': 1, 'number': 1, 'one': 1, 'hot': 1, 'party': 1, 'good': 11, 'real': 5, 'ppush': 2, 'hey': 1, 'bababy': 1, 'yo': 4, 'babypop': 1, 'yeah': 1, 'come': 1, 'give': 1, 'me': 5, 'kiss': 1, 'better': 1, 'make': 1, 'fast': 1, 'or': 1, 'else': 1, 'im': 3, 'gonna': 1, 'pissed': 1, 'cant': 1, 'hear': 1, 'musics': 1, 'pumpin': 1, 'hard': 1, 'like': 1, 'wish': 1, 'would': 1, 'hid': 1, 'boy': 2, 'really': 2, 'got': 4, 'going': 2, 'dont': 2, 'what': 2, 'doing': 2}"
