Yearly info for Redman,Frequency
1993,"{'mic': 5, 'check': 3, 'i': 18, 'can': 3, 'get': 10, 'smooth': 4, 'to': 14, 'any': 1, 'groove': 1, 'relax': 1, 'the': 44, 'tongue': 1, 'let': 3, 'my': 13, 'take': 2, 'a': 8, 'cruise': 1, 'around': 2, 'planet': 1, 'pack': 2, 'em': 1, 'in': 1, 'like': 8, 'janet': 1, 'jackson': 1, 'shes': 1, 'askin': 1, 'if': 2, 'slam': 1, 'it': 7, 'im': 6, 'yo': 5, 'redman': 2, 'man': 6, 'what': 6, 'fuck': 4, 'off': 3, 'thatpunk': 1, 'shit': 7, 'with': 6, 'that': 6, 'rough': 2, 'you': 7, 'know': 1, 'how': 2, 'we': 3, 'do': 8, 'walk': 1, 'streets': 1, 'black': 3, 'tec9': 1, 'by': 3, 'waistline': 1, 'kickin': 1, 'hype': 1, 'never': 1, 'claim': 2, 'be': 2, 'best': 1, 'type': 3, 'of': 5, 'rapper': 1, 'but': 4, 'have': 2, 'show': 1, 'them': 2, 'motherfuckers': 1, 'after': 4, 'gold': 2, 'then': 2, 'platinum': 1, 'beef': 1, 'hurricane': 1, 'g': 2, 'packs': 1, 'gat': 1, 'son': 1, 'trigger': 1, 'bang': 2, 'bust': 1, 'slang': 1, 'name': 1, 'its': 2, 'on': 5, 'funk': 4, 'train': 1, 'psyche': 1, 'youre': 1, 'motherfuckin': 1, 'right': 1, 'tonights': 3, 'night': 3, 'wanna': 2, 'dynamite': 1, 'work': 1, 'perfected': 1, 'when': 4, 'been': 1, 'injected': 1, 'roughen': 1, 'up': 6, 'draft': 1, 'make': 4, 'your': 3, 'head': 1, 'split': 1, 'punk': 1, 'pass': 2, '40': 2, 'and': 10, 'blunt': 2, 'dont': 2, 'front': 2, 'block': 1, 'cause': 8, 'brothers': 1, 'are': 2, 'gettin': 1, 'stomped': 1, 'not': 1, 'an': 2, 'addict': 1, 'more': 3, 'puff': 2, 'magic': 1, 'through': 1, 'crew': 1, 'gots': 1, 'big': 1, 'rap': 1, 'star': 1, 'no': 1, 'matter': 1, 'who': 1, 'youll': 1, 'still': 1, 'catch': 1, 'bullet': 1, 'scar': 1, 'so': 3, 'listen': 1, 'heed': 1, 'sayin': 1, 'me': 4, 'niggas': 5, 'aint': 2, 'playin': 1, 'fat': 1, 'bitch': 4, 'nasty': 5, 'bush': 1, 'bear': 1, 'booga': 1, 'breath': 1, 'talk': 1, 'tits': 1, 'africans': 1, 'mr': 1, 'bojangles': 1, 'turned': 1, 'shoes': 3, 'havin': 5, 'ass': 4, 'lemming': 1, 'leprechaun': 1, 'haircut': 1, 'motherfucker': 1, 'see': 2, 'cool': 2, 'please': 1, 'save': 1, 'for': 2, 'breeze': 1, 'lyrics': 1, 'tracks': 1, 'funky': 1, 'cottage': 1, 'cheese': 1, 'down': 3, 'boom': 2, 'bip': 1, 'qtip': 1, 'kick': 3, 'styles': 1, 'than': 2, 'bruce': 1, 'write': 1, 'tonight': 1, 'this': 3, 'flavor': 1, 'mike': 1, 'n': 1, 'ikes': 1, 'hanging': 1, 'out': 3, 'pistol': 1, 'posse': 1, 'keep': 2, 'they': 1, 'fingers': 1, 'triggers': 1, 'between': 1, 'lap': 1, 'coolin': 1, 'rollin': 1, 'highway': 1, 'system': 1, 'pumps': 2, 'friday': 1, 'roll': 1, 'over': 1, 'pick': 1, 'boys': 1, 'raise': 1, 'lot': 1, 'noise': 1, 'bozack': 1, 'jack': 2, 'remember': 1, 'evil': 1, 'men': 1, 'cursin': 1, 'window': 1, 'at': 1, 'her': 1, 'friend': 1, 'too': 1, 'turn': 3, 'volume': 1, 'notch': 1, 'watch': 1, 'babump': 2, 'ya': 1, 'speakers': 1, 'pop': 1, 'thats': 1, 'makes': 1, 'rump': 1, 'jump': 4, 'jumpjump': 1, 'want': 1, 'fly': 1, 'frantic': 1, 'romantic': 1, 'slicker': 1, 'rick': 1, 'better': 1, 'yellow': 1, 'pages': 1, 'under': 1, 'red': 1, 'bullshit': 1, 'fucked': 1, 'letting': 1, 'album': 1, 'come': 1, 'rude': 1, 'boy': 1, 'fuckin': 2, 'style': 1, 'run': 1, 'green': 2, 'thumb': 1, 'jolly': 1, 'tango': 1, 'mango': 1, 'pickin': 1, 'epileptic': 1, 'disease': 1, 'crazy': 1, 'johnny': 1, 'cash': 1, 'afro': 1, 'spades': 1, 'boots': 1, 'tony': 1, 'danza': 1, 'wearin': 1, 'bbbblack': 1, 'popular': 1, 'demand': 1, 'expand': 1, 'hand': 1, 'mouth': 1, 'flim': 1, 'flam': 1, 'sex': 1, 'wreck': 1, 'mad': 1, 'blunts': 1, 'vexed': 1, 'break': 1, 'necks': 1, 'punch': 1, 'fronts': 1, 'chump': 1, 'new': 1, 'record': 1, 'knahmsayin': 1}"
2014,"{'hey': 4, 'muddy': 1, 'fucking': 1, 'waters': 1, 'mixtape': 1, 'man': 6, 'im': 23, 'high': 1, 'as': 1, 'a': 20, 'bitch': 2, 'up': 11, 'in': 14, 'this': 5, 'motherfucker': 1, 'i': 44, 'need': 9, 'beat': 4, 'fuckin': 1, 'dont': 3, 'no': 3, 'turn': 2, 'some': 4, 'elements': 2, 'hiphop': 1, 'lets': 5, 'get': 3, 'back': 2, 'to': 4, 'and': 18, 'shit': 4, 'yeah': 4, 'josh': 1, 'like': 17, 'that': 13, 'you': 16, 'lyrical': 1, 'wordplay': 2, 'for': 4, 'yall': 2, 'feel': 1, 'good': 4, 'on': 10, 'one': 3, 'is': 6, 'how': 1, 'real': 1, 'emcees': 1, 'do': 2, 'it': 18, 'know': 10, 'lot': 1, 'dun': 1, 'fiato': 1, 'rome': 1, 'york': 1, 'we': 1, 'the': 27, 'building': 2, 'check': 2, 'out': 3, 'yo': 9, 'when': 6, 'hit': 2, 'bong': 1, 'godzilla': 1, 'taking': 1, 'over': 1, 'hong': 1, 'kong': 1, 'eating': 1, 'wantan': 1, 'wid': 4, 'shotgun': 1, 'long': 1, 'johns': 1, 'its': 5, 'not': 2, 'unsung': 1, 'story': 1, 'here': 4, 'tell': 3, 'just': 1, 'ready': 1, 'student': 1, 'before': 2, 'school': 1, 'bell': 1, 'prevail': 1, 'my': 17, 'thirsty': 1, 'bust': 1, 'all': 10, 'three': 1, 'ks': 1, 'martin': 1, 'luther': 1, 'king': 1, 'birthday': 1, 'berkeley': 1, 'college': 1, 'twenty': 1, 'dollars': 1, 'if': 1, 'got': 8, 'smoke': 2, 'enquire': 1, 'knowledge': 1, 'little': 1, 'psychotic': 1, 'rate': 2, 'me': 3, 'michael': 1, 'jordan': 1, 'final': 1, 'four': 1, 'fighting': 1, 'with': 3, 'wayne': 1, 'gretzky': 1, 'relevant': 1, 'see': 1, 'whos': 1, 'spittin': 1, 'of': 4, 'coke': 1, 'pepsi': 1, 'cant': 1, 'difference': 1, 'darryl': 1, 'pitchin': 1, 'white': 2, 'girl': 2, 'had': 3, 'em': 1, 'twitchin': 1, 'now': 3, 'rap': 1, 'game': 5, 'kitchen': 1, 'easy': 1, 'pickens': 1, 'rebel': 1, 'cause': 1, 'mind': 2, 'fuck': 2, 'mine': 1, 'ill': 2, 'put': 1, 'your': 4, 'wall': 1, 'tour': 1, 'gettin': 1, 'bread': 1, 'tattoos': 1, 'job': 1, 'giving': 1, 'tic': 1, 'tacs': 1, 'bathrooms': 1, 'hate': 2, 'gossip': 1, 'mash': 1, 'media': 1, 'moshpit': 1, 'release': 1, 'baboom': 1, 'chat': 1, 'room': 1, 'weed': 1, 'bags': 1, 'are': 1, 'vacuum': 1, 'smuggle': 1, 'off': 2, 'blunt': 1, 'gon': 1, 'hahaha': 1, 'chicks': 1, 'tivo': 1, 'meatloaf': 1, 'they': 4, 'belly': 1, 'doc': 1, 'droppin': 1, 'dimes': 1, 'rico': 1, 'take': 2, 'precautions': 1, 'paul': 1, 'bearer': 1, 'build': 1, 'coffins': 1, 'rappers': 1, 'nonsense': 1, 'nonchalantly': 1, 'thinkin': 1, 'darker': 1, 'than': 1, 'convict': 1, 'conscience': 1, 'thats': 3, 'why': 1, 'sweating': 1, 'armpits': 1, 'where': 2, 'bomb': 1, 'gang': 1, 'city': 4, '80s': 1, 'kendrick': 1, 'lamar': 1, 'live': 1, 'gotta': 1, 'harvest': 1, 'purple': 1, 'at': 6, 'apartment': 1, 'across': 1, 'park': 2, 'sell': 1, 'pounds': 1, 'cartman': 1, 'think': 1, 'an': 6, 'orphan': 1, 'zone': 1, 'but': 3, 'freestyle': 1, 'so': 2, 'these': 2, 'words': 1, 'might': 1, 'home': 1, 'executive': 1, 'net': 1, 'demand': 1, 'respect': 1, 'even': 2, 'talk': 1, 'or': 2, 'text': 1, 'wrong': 2, 'tone': 1, 'okay': 1, 'stay': 2, 'bay': 1, 'um': 1, 'delay': 1, 'ride': 2, 'pull': 3, 'pins': 1, 'from': 1, 'hand': 1, 'grenades': 1, 'can': 1, 'be': 2, 'amazed': 1, 'either': 1, 'way': 1, 'heated': 1, 'kanye': 1, 'sway': 1, 'done': 1, 'fun': 1, 'come': 1, 'she': 3, 'mr': 3, 'right': 1, 'want': 2, 'swing': 1, 'along': 1, 'serena': 1, 'arms': 1, 'whats': 3, 'nigga': 43, 'what': 6, 'sour': 2, 'brick': 3, 'go': 2, 'redman': 3, 'who': 1, 'else': 1, 'double': 1, 'og': 1, 'two': 1, 'gs': 1, 'belt': 1, 'flows': 1, 'create': 1, 'itll': 1, 'drown': 1, 'mike': 2, 'phelps': 1, 'sleeping': 1, 'anti': 1, 'nyquil': 1, 'look': 1, 'control': 1, 'stage': 1, 'boy': 1, 'moses': 1, 'part': 1, 'niggas': 1, 'waves': 1, 'boys': 1, 'brains': 1, 'pure': 1, 'death': 1, 'itunes': 1, 'could': 1, 'choose': 1, '6': 1, 'million': 1, 'ways': 1, 'lazed': 1, 'chips': 1, 'old': 1, 'folks': 1, 'money': 1, 'getting': 4, 'paid': 1, 'unemployed': 1, 'tommy': 1, 'designed': 1, 'wanna': 1, 'blame': 1, 'banana': 1, 'clip': 1, 'rounded': 1, 'neck': 1, 'food': 1, 'chain': 1, 'homie': 1, 'time': 1, 'hard': 2, 'well': 1, 'alcoholic': 2, 'about': 8, 'bars': 2, 'truck': 1, 'big': 1, 'six': 1, 'cars': 1, 'garage': 1, 'challengers': 2, 'better': 2, 'dodge': 2, 'face': 2, 'whut': 34, 'rolling': 2, 'grand': 2, 'daddy': 2, 'driving': 2, 'exotic': 2, 'car': 2, 'errr': 2, 'looking': 2, 'punk': 2, 'yes': 1, 'sir': 1, 'highway': 1, 'cruising': 1, 'loving': 1, 'life': 1, '8': 2, '0': 1, 'd': 1, 'nice': 1, 'ive': 1, 'seen': 1, 'tina': 1, 'robin': 1, 'sitting': 1, 'light': 1, 'said': 1, 'new': 1, 'ike': 1, 'blast': 1, 'perfecting': 1, 'craft': 1, 'ya': 1, 'cut': 1, 'then': 1, 'laugh': 1, 'types': 1, 'girls': 1, 'love': 1, 'red': 1, 'aint': 1, 'mad': 1, 'islamic': 1, 'women': 1, 'tryna': 1, 'bag': 1, 'dad': 1, 'crack': 1, 'move': 1, 'cartel': 1, 'smack': 1, 'b': 1, 'say': 1, 'url': 1, 'wu': 1, 'tang': 1, 'sprang': 1, 'hill': 1, 'turned': 1, 'cream': 1, 'carvel': 1, 'dogs': 1, 'times': 1, 'amex': 1, 'card': 1, 'charge': 1, 'diesel': 1, 'dj': 1, 'naim': 1, 'fool': 1, 'yea': 1, 'day': 1, 'haha': 1, 'jaws': 1, 'yessir': 1, 'yella': 1}"
2000,"{'yo': 7, 'look': 1, 'no': 10, 'matter': 8, 'what': 11, 'people': 4, 'say': 4, 'im': 9, 'gon': 4, 'keep': 7, 'rappin': 3, 'this': 8, 'way': 3, 'you': 16, 'may': 3, 'think': 3, 'ima': 4, 'doin': 6, 'my': 19, 'thing': 5, 'the': 39, 'worst': 1, 'since': 1, 'fat': 1, 'bald': 1, 'men': 1, 'decided': 1, 'to': 14, 'write': 1, 'songs': 1, 'teach': 1, 'mouseketeers': 1, 'sing': 1, 'ahh': 1, 'i': 11, 'stick': 1, 'britney': 1, 'spears': 1, 'in': 19, 'a': 23, 'room': 2, 'full': 1, 'of': 12, 'mirrors': 1, 'so': 11, 'she': 1, 'gets': 1, 'fifty': 1, 'years': 1, 'bad': 1, 'luck': 2, 'causin': 1, 'terror': 1, 'christina': 1, 'aguilera': 1, 'when': 2, 'grab': 1, 'her': 2, 'by': 2, 'hair': 2, 'and': 19, 'drag': 1, 'across': 1, 'sahara': 1, 'come': 2, 'on': 4, 'bitch': 2, 'beware': 1, 'rap': 3, 'terrorist': 1, 'with': 14, 'therapist': 1, 'up': 4, 'his': 6, 'ass': 3, 'like': 7, 'rabbit': 1, 'crawled': 1, 'pants': 2, 'got': 5, 'habit': 1, 'holdin': 1, 'tylenol': 1, 'hands': 2, 'til': 4, 'it': 13, 'melts': 1, 'fuckin': 2, 'palms': 1, 'dissolves': 1, 'glands': 1, 'who': 2, 'is': 6, 'fool': 1, 'visit': 1, 'playground': 1, 'two': 3, 'biscuits': 1, 'lay': 1, 'down': 5, 'school': 1, 'district': 1, 'get': 8, 'pistolwhipped': 1, 'mossberg': 1, 'pistol': 1, 'grip': 1, 'fed': 1, 'pitbull': 1, 'shits': 2, 'sniff': 1, 'glue': 1, 'sticks': 1, 'give': 2, 'yeah': 3, 'if': 5, 'too': 1, 'rich': 1, 'just': 3, 'sued': 1, 'leave': 1, 'wit': 2, 'injure': 1, 'after': 2, 'blow': 1, 'four': 2, 'ya': 1, 'one': 1, 'handstand': 1, 'top': 1, 'ninja': 1, 'crash': 1, 'doc': 6, 'stir': 1, 'madness': 1, 'yall': 4, 'outta': 2, 'work': 2, 'tony': 1, 'atlas': 1, 'walkin': 1, 'cans': 1, 'laundry': 1, 'basket': 1, 'americas': 1, 'most': 1, 'army': 1, 'us': 1, 'fuck': 7, 'flossin': 1, 'we': 6, 'take': 1, 'whats': 2, 'yours': 1, 'unload': 1, 'fifteen': 1, 'an': 1, 'ace': 1, 'but': 2, 'laid': 1, 'them': 3, 'off': 13, 'shit': 1, 'powers': 1, 'out': 5, 'tape': 1, 'targeted': 1, 'from': 3, 'arsonists': 1, 'papermate': 1, 'pens': 1, 'filled': 1, 'arsenic': 1, 'hoes': 2, 'that': 3, 'dont': 6, 'know': 1, 'prada': 1, 'could': 1, 'shape': 1, 'touch': 1, 'your': 7, 'barber': 1, 'miss': 1, 'ts': 2, 'fade': 1, 'bloody': 1, 'blade': 1, 'turn': 1, 'camps': 1, 'into': 1, 'crystal': 1, 'lake': 1, 'kill': 3, 'bitches': 3, 'face': 1, 'do': 2, 'cause': 7, 'thats': 1, 'white': 1, 'boy': 1, 'tano': 1, 'hows': 4, 'everybody': 4, 'tonight': 4, 'hope': 4, 'youre': 2, 'mood': 4, 'drunk': 2, 'scream': 1, 'fight': 4, 'uh': 4, 'gettin': 4, 'for': 5, 'suck': 5, 'dick': 6, 'wanna': 4, 'bump': 3, 'wall': 6, 'feelin': 2, 'rude': 2, 'ill': 4, 'jabs': 1, 'are': 1, 'spittin': 1, 'hospital': 1, 'son': 1, 'admit': 1, 'rip': 1, 'lips': 1, 'kiss': 2, 'slap': 1, 'marshall': 1, 'maths': 1, 'print': 1, 'weed': 1, 'x': 1, 'acid': 1, 'tabs': 1, 'did': 1, 'happening': 1, 'rerun': 1, 'rob': 1, 'de': 1, 'niro': 1, 'heat': 1, 'barrel': 1, 'hang': 1, 'camaro': 1, 'aimed': 1, 'at': 2, 'nose': 1, 'its': 3, 'hard': 1, 'breathe': 1, 'flash': 1, 'gat': 2, 'town': 1, 'bogart': 1, 'wallet': 1, 'chain': 1, 'main': 1, 'target': 1, 'beef': 1, 'cold': 1, 'engine': 1, 'start': 1, 'bust': 1, 'air': 1, 'hit': 1, 'airplane': 1, 'pilot': 1, 'clowned': 1, 'surround': 1, 'sounds': 1, 'around': 1, 'tenspeed': 1, 'brown': 1, 'shoe': 1, 'eminem': 1, 'cock': 1, 'mm': 1, 'blood': 1, 'flows': 1, '2pacalypse': 1, 'funk': 1, 'doctor': 1, 'meets': 1, 'punk': 1, 'rocker': 1, 'drugs': 1, 'stocked': 1, 'inside': 1, 'lunch': 1, 'box': 1, 'uhh': 1, 'pop': 2, 'junk': 1, 'jumped': 1, 'popped': 1, 'trunk': 1, 'pulled': 1, 'shotgun': 1, 'pump': 1, 'knock': 1, 'wood': 1, 'all': 3, 'good': 1, 'thank': 1, 'god': 1, 'vodka': 1, 'probably': 2, 'shot': 1, 'stalker': 1, 'ckkk': 1, 'fanatic': 1, 'waitin': 1, 'upstairs': 1, 'attic': 1, 'automatic': 1, 'callin': 1, 'me': 3, 'there': 1, 'watch': 1, 'man': 1, 'stan': 1, 'hand': 1, 'stakin': 1, 'house': 1, 'tan': 1, 'tinted': 1, 'sedan': 1, 'pull': 2, 'mouth': 1, 'till': 1, 'cant': 1, 'finish': 1, 'damn': 1, 'ham': 1, 'sandwich': 1, 'or': 1, 'can': 2, 'spinach': 1, 'spam': 1, 'gotta': 1, 'sip': 1, 'through': 2, 'straw': 1, 'shoplift': 1, 'mall': 1, 'pictures': 1, 'moms': 1, 'living': 1, 'hey': 1, 'ma': 1, 'maybe': 1, 'call': 1, 'psyche': 1, 'balls': 2, 'hahaha': 1, 'givin': 1, 'job': 1, 'descrip': 1, 'which': 1, 'piss': 1, 'priests': 1, 'need': 1, 'jesus': 1, 'more': 1, 'pills': 1, 'police': 1, 'officers': 1, 'arrive': 1, 'scene': 1, 'kim': 1, 'teeth': 1, 'chm': 1, 'goddamn': 1, 'might': 1, 'as': 1, 'well': 1, 'be': 1, 'painting': 1, 'smashed': 1, 'floor': 1, 'ah': 1, 'screw': 1, 'oh': 1}"
