Yearly info for SnoopDogg,Frequency
1994,"{'ugh': 1, 'hahaha': 1, 'im': 6, 'serious': 1, 'nigga': 4, 'one': 1, 'of': 10, 'yall': 1, 'niggas': 1, 'got': 8, 'some': 6, 'bad': 1, 'motherfuckin': 1, 'breath': 1, 'oh': 2, 'man': 1, 'aye': 5, 'baby': 3, 'shit': 5, 'get': 6, 'bubblegum': 1, 'in': 6, 'this': 6, 'motherfucker': 1, 'or': 1, 'somethin': 2, 'to': 12, 'eat': 1, 'dog': 2, 'study': 2, 'long': 1, 'wrong': 1, 'with': 13, 'so': 4, 'much': 1, 'drama': 1, 'the': 28, 'lbc': 1, 'its': 1, 'kind': 1, 'hard': 1, 'bein': 1, 'snoop': 1, 'dodoubleg': 1, 'but': 6, 'i': 15, 'somehow': 1, 'way': 1, 'keep': 1, 'comin': 1, 'up': 6, 'funkyass': 1, 'like': 1, 'every': 1, 'single': 1, 'day': 2, 'may': 1, 'kick': 1, 'a': 7, 'little': 1, 'something': 1, 'for': 1, 'gs': 2, 'and': 26, 'make': 1, 'few': 1, 'ends': 1, 'as': 3, 'breeze': 2, 'through': 2, 'two': 1, 'mornin': 2, 'partys': 1, 'still': 2, 'jumpin': 1, 'cause': 3, 'my': 37, 'momma': 1, 'aint': 5, 'home': 1, 'bitches': 2, 'livin': 1, 'room': 1, 'gettin': 1, 'it': 4, 'on': 27, 'they': 3, 'leavin': 1, 'till': 1, 'six': 1, 'what': 2, 'you': 6, 'wanna': 1, 'do': 2, 'pocket': 1, 'full': 1, 'rubbers': 1, 'homeboys': 2, 'too': 1, 'turn': 1, 'off': 4, 'lights': 1, 'close': 1, 'doors': 1, 'we': 2, 'dont': 3, 'love': 2, 'them': 1, 'hoes': 3, 'yeah': 2, 'gon': 1, 'smoke': 1, 'an': 1, 'ounce': 1, 'down': 10, 'while': 1, 'motherfuckers': 1, 'bounce': 1, 'rollin': 8, 'street': 9, 'smokin': 8, 'indo': 8, 'sippin': 8, 'gin': 9, 'juice': 8, 'laid': 6, 'back': 7, 'mind': 16, 'money': 16, 'now': 3, 'that': 7, 'me': 4, 'seagrams': 1, 'everybody': 1, 'cups': 1, 'chipped': 1, 'type': 1, 'happens': 1, 'all': 1, 'time': 1, 'yours': 1, 'fool': 1, 'gotta': 1, 'mine': 1, 'everything': 1, 'is': 1, 'fine': 1, 'when': 3, 'listening': 1, 'cultivating': 1, 'music': 1, 'be': 3, 'captivating': 1, 'he': 1, 'who': 1, 'listens': 1, 'words': 1, 'speak': 1, 'take': 1, 'drink': 1, 'middle': 1, 'mackin': 1, 'bitch': 3, 'named': 1, 'sadie': 2, 'she': 1, 'used': 1, 'lady': 1, '80': 1, 'degrees': 1, 'tell': 1, 'please': 1, 'raise': 1, 'these': 2, 'nuts': 1, 'gets': 1, 'none': 1, 'at': 1, 'ease': 1, 'mob': 1, 'dogg': 1, 'pound': 1, 'feel': 1, 'beyotch': 3, 'just': 2, 'later': 1, 'homie': 1, 'dr': 1, 'dre': 2, 'came': 1, 'gang': 1, 'tanqueray': 2, 'fat': 1, 'ass': 1, 'j': 1, 'bubonic': 1, 'chronic': 2, 'made': 1, 'choke': 1, 'no': 2, 'joke': 1, 'had': 1, 'sit': 1, 'cup': 1, 'fucked': 1, 'stoppin': 1, 'poppin': 1, 'from': 1, 'city': 1, 'compton': 1, 'serve': 1, 'not': 1, 'cherry': 1, 'top': 1, 'bust': 1, 'nut': 1, 'raising': 1, 'cot': 1, 'upset': 1, 'girl': 1, 'thats': 1, 'how': 1, 'goes': 1, 'out': 1, 'door': 1, 'ill': 1}"
2004,"{'snoop': 8, 'when': 13, 'the': 120, 'pimps': 4, 'in': 42, 'crib': 4, 'ma': 6, 'drop': 21, 'it': 91, 'like': 54, 'its': 50, 'hot': 39, 'pigs': 4, 'try': 5, 'to': 50, 'get': 49, 'at': 12, 'you': 163, 'park': 12, 'and': 74, 'if': 17, 'a': 94, 'nigga': 23, 'attitude': 4, 'pop': 15, 'i': 79, 'got': 23, 'rollie': 2, 'on': 78, 'my': 29, 'arm': 4, 'im': 25, 'pourin': 4, 'chandon': 4, 'roll': 10, 'best': 5, 'weed': 8, 'cause': 9, 'goin': 6, 'nice': 3, 'dude': 1, 'with': 26, 'some': 11, 'dreams': 2, 'see': 18, 'these': 3, 'ice': 2, 'cubes': 1, 'creams': 1, 'eligible': 1, 'bachelor': 1, 'million': 1, 'dollar': 1, 'boat': 1, 'thats': 5, 'whiter': 1, 'than': 1, 'whats': 2, 'spillin': 1, 'down': 7, 'your': 21, 'throat': 1, 'phantom': 1, 'exterior': 1, 'fish': 1, 'eggs': 1, 'interior': 1, 'suicidewrist': 1, 'red': 2, 'can': 16, 'exercise': 1, 'this': 27, 'be': 4, 'phys': 1, 'ed': 1, 'cheat': 1, 'man': 10, 'how': 6, 'ahizzead': 1, 'killer': 9, 'beat': 1, 'know': 25, 'killers': 1, 'street': 2, 'steel': 1, 'thatll': 1, 'make': 10, 'feel': 1, 'chinchilla': 1, 'heat': 2, 'so': 26, 'dont': 29, 'run': 5, 'up': 54, 'ear': 1, 'talkin': 2, 'all': 11, 'that': 32, 'raspy': 1, 'shit': 8, 'tryin': 2, 'ask': 3, 'me': 37, 'niggas': 1, 'fill': 1, 'vest': 1, 'they': 6, 'aint': 18, 'gon': 1, 'pass': 1, 'should': 2, 'think': 6, 'about': 6, 'ittake': 1, 'second': 1, 'ding': 1, 'matterfact': 1, 'take': 9, 'four': 2, 'b': 1, 'before': 2, 'fuck': 6, 'lil': 1, 'skateboard': 1, 'p': 1, 'gangsta': 1, 'but': 10, 'yall': 2, 'knew': 1, 'da': 2, 'big': 4, 'boss': 3, 'dogg': 9, 'yeah': 17, 'had': 2, 'do': 12, 'keep': 3, 'blue': 1, 'flag': 1, 'hangin': 1, 'out': 8, 'backside': 1, 'only': 2, 'left': 1, 'sideyeah': 1, 'crip': 2, 'side': 4, 'no': 18, 'other': 6, 'way': 6, 'play': 7, 'game': 42, 'cut': 1, 'much': 1, 'thought': 1, 'was': 3, 'dj': 1, 'two': 4, 'one': 3, 'yep': 1, 'three': 1, 'sn': 2, 'double': 4, 'op': 2, 'g': 12, 'cant': 5, 'fake': 2, 'just': 15, 'break': 4, 'specialize': 1, 'makin': 1, 'girls': 1, 'naked': 2, 'bring': 4, 'friends': 1, 'of': 10, 'come': 22, 'inside': 1, 'we': 13, 'world': 6, 'premiere': 1, 'right': 4, 'here': 8, 'now': 16, 'live': 1, 'change': 1, 'dizzle': 2, 'turn': 3, 'little': 8, 'livin': 1, 'room': 1, 'full': 1, 'fine': 1, 'dime': 1, 'brizzles': 1, 'waitin': 6, 'pizzle': 1, 'chizzle': 1, 'gs': 1, 'bizzacknow': 1, 'ladies': 2, 'gizzo': 1, 'rolly': 2, 'bad': 1, 'boy': 7, 'lot': 1, 'hoes': 1, 'drive': 2, 'own': 2, 'cars': 2, 'wear': 1, 'clothes': 1, 'hang': 1, 'tough': 1, 'real': 5, 'hes': 5, 'sharp': 1, 'tv': 1, 'screen': 1, 'magazines': 1, 'close': 2, 'youre': 2, 'beam': 1, 'oh': 9, 'gun': 1, 'wanna': 9, 'back': 12, 'ak47': 1, 'stop': 3, 'cement': 1, 'shoes': 1, 'move': 2, 'familys': 1, 'cryin': 1, 'news': 1, 'find': 2, 'miss': 1, 'must': 1, 'remind': 2, 'twist': 1, 'pistolwhip': 1, 'dip': 4, 'then': 10, 'flip': 1, 'dance': 2, 'mothafuckin': 1, 'music': 1, 'subscribe': 1, 'issue': 1, 'baby': 7, 'let': 13, 'loose': 1, 'ayo': 2, 'jim': 2, 'why': 4, 'ya': 2, 'kick': 1, 'trip': 1, 'people': 1, 'even': 2, 'believe': 1, 'were': 7, 'together': 1, 'whoa': 1, 'bu': 2, 'tell': 9, 'story': 1, 'ride': 22, 'say': 5, 'for': 12, 'riders': 11, 'storm': 11, 'into': 7, 'house': 3, 'born': 4, 'thrown': 3, 'dog': 5, 'without': 5, 'bone': 4, 'woof': 3, 'an': 4, 'actor': 3, 'loan': 3, 'theres': 2, 'road': 12, 'his': 10, 'brain': 2, 'is': 20, 'squirmin': 2, 'toad': 2, 'long': 4, 'holiday': 2, 'holidays': 2, 'children': 2, 'cme': 1, 'give': 8, 'sweet': 2, 'family': 2, 'will': 4, 'die': 2, 'off': 3, 'lizard': 1, 'king': 1, 'bumpin': 1, 'bout': 2, 'driftin': 1, 'liftin': 1, 'swiftin': 1, 'em': 4, 'coastin': 1, 'testaroastin': 1, 'wheels': 1, 'wont': 6, '200': 1, 'highway': 1, 'fresh': 1, 'block': 1, 'rider': 1, 'woo': 5, 'naw': 3, 'dressed': 1, 'black': 1, 'hat': 1, 'says': 1, 'steeler': 3, 'pedal': 1, 'metal': 2, 'gotta': 4, 'go': 11, 'hard': 2, 'by': 1, 'hello': 1, 'hey': 5, 'fredwreck': 1, 'mello': 1, 'hear': 1, 'what': 23, 'sound': 1, 'acapella': 1, 'shh': 1, 'wow': 2, 'swish': 1, 'unlike': 1, 'chrome': 1, 'imagine': 1, 'homie': 2, 'jag': 1, 'checkin': 1, 'checkered': 1, 'flagin': 1, 'comin': 1, 'first': 1, 'never': 4, 'last': 2, 'car': 1, 'too': 2, 'fast': 2, 'zoom': 2, 'ever': 2, 'outta': 1, 'gas': 1, 'clean': 1, 'upperclass': 1, 'fasten': 1, 'seat': 1, 'belts': 1, 'melt': 1, 'bowl': 1, 'slip': 3, 'through': 1, 'slide': 1, 'woah': 1, 'away': 1, 'india': 1, 'need': 2, 'speed': 1, 'lead': 1, 'hold': 1, 'fore': 1, 'trees': 1, 'watch': 2, 'ive': 5, 'seen': 2, 'things': 1, 'wouldve': 1, 'saw': 1, 'open': 1, 'tire': 1, 'smokin': 1, 'whole': 1, 'police': 1, 'wuuh': 2, 'flash': 1, 'their': 1, 'lights': 1, 'chase': 1, 'night': 1, 'pull': 1, 'over': 2, 'nor': 1, 'from': 5, 'where': 3, 'raised': 1, 'straight': 1, 'west': 1, 'continuously': 1, 'expeditiously': 1, 'light': 1, 'east': 1, 'doors': 1, 'lets': 12, 'not': 5, 'sure': 5, 'cupid': 5, 'are': 10, 'telling': 11, 'sign': 10, 'shes': 7, 'looking': 9, 'eyes': 6, 'guys': 5, 'leave': 4, 'her': 6, 'alone': 4, 'ooh': 4, 'wee': 4, 'she': 11, 'likes': 4, 'tone': 4, 'cologne': 4, 'legit': 1, 'hit': 4, 'neptunes': 1, 'doggy': 3, 'fin': 1, 'spit': 1, 'tune': 1, 'season': 1, 'leaving': 1, 'breathe': 1, 'minus': 1, 'seeds': 1, 'nobody': 1, 'tripping': 1, 'vip': 1, 'something': 1, 'wrong': 1, 'cripping': 1, 'dodododododo': 2, 'stepping': 1, 'los': 1, 'angeles': 1, 'helicopters': 1, 'cameras': 1, 'glimpse': 1, 'our': 3, 'chucks': 1, 'khakis': 1, 'bouncing': 1, 'wit': 3, 'friend': 7, 'trying': 2, 'men': 1, 'distance': 1, 'could': 5, 'high': 1, 'instant': 1, 'mami': 1, 'mamacita': 1, 'have': 5, 'flown': 1, 'g5s': 1, 'london': 1, 'ibiza': 1, 'cake': 2, 'youll': 2, 'sundays': 1, 'chiquitas': 1, 'venus': 1, 'serena': 1, 'wimbledon': 1, 'arena': 1, 'haha': 1, 'uncle': 1, 'charlie': 1, 'preach': 9, 'young': 1, 'foolish': 1, 'doing': 1, 'youve': 1, 'lost': 1, 'until': 1, 'gone': 2, 'til': 1, 'pretty': 1, 'face': 1, 'drove': 1, 'wild': 1, 'style': 1, 'heeeeeee': 2, 'going': 2, 'really': 4, 'pimpin': 3, 'time': 3, 'been': 6, 'mia': 1, 'sayin': 1, 'missin': 1, 'action': 1, 'milk': 1, 'carton': 1, 'box': 1, 'milking': 1, 'boxing': 1, 'bitches': 1, 'step': 42, 'mean': 1, 'lookin': 6, 'yo': 40, 'door': 6, 'floor': 7, 'kid': 5, 'drink': 8, 'gin': 5, 'better': 5, 'bitch': 14, 'ass': 4, 'low': 4, 'pick': 2, 'motherfucker': 6, 'pussy': 5, 'tease': 4, 'rub': 2, 'yours': 4, 'grab': 2, 'dick': 6, 'around': 2, 'put': 3, 'grind': 2, 'bigger': 2, 'act': 1, 'lane': 1, 'nails': 1, 'french': 3, 'tip': 1, 'potato': 1, 'chip': 1, 'yup': 1, 'kiss': 1, 'diznick': 1, 'cool': 1, 'fool': 1, 'which': 2, 'imma': 1, 'slap': 1, 'stay': 1, 'line': 1, 'ho': 4, 'pimp': 2, 'affair': 1, 'there': 1, 'once': 1, 'gate': 1, 'shake': 4, 'till': 1, 'ache': 1, 'work': 2, 'birthday': 1, 'well': 2, 'quit': 1, 'bullshittin': 1, 'always': 1, 'vicious': 1, 'them': 3, 'biscuits': 1, 'tricks': 1, 'minute': 1, 'fix': 1, 'cuz': 2, 'bootylicious': 1, 'girl': 14, 'flesh': 1, 'ah': 1, 'suck': 1, 'blow': 1, 'same': 1, 'balls': 1, 'show': 2, 'tongue': 1, 'hurricane': 1, 'games': 1, 'everything': 1, 'look': 1, 'supposed': 1, 'postal': 1, 'fucking': 1, 'miami': 1, 'money': 1, 'buy': 1, 'front': 2, 'fat': 1, 'wallets': 1, 'dicks': 1, 'want': 14, 'chuuuch': 8, 'tabernacle': 8, 'yessir': 1, 'more': 19, 'thrills': 10, 'blooooooown': 8, 'mmmmmm': 1, 'fly': 3, 'dawg': 1, 'mind': 1, 'easy': 1, 'ill': 3, 'biggidy': 1, 'bump': 1, 'hump': 1, 'comfort': 1, 'top': 1, 'lay': 1, 'cot': 1, 'guy': 1, 'chill': 1, 'blown': 1, 'mm': 1, 'friendly': 1, 'skies': 1, 'gy': 1, 'good': 1, 'hood': 1, 'damn': 2, 'alize': 1, 'or': 1, 'malibu': 1, 'matter': 1, 'though': 1, 'kept': 1, 'wind': 1, 'comacked': 1, 'plus': 1, 'equals': 1, 'forever': 1, 'tryna': 1, 'bid': 1, 'kidding': 1, 'pimping': 1, 'hoeing': 1, 'pouring': 1, 'blowing': 1, 'lemme': 1, 'holla': 1, 'quick': 1, 'corner': 1, 'checking': 1, 'hips': 1, 'lips': 1, 'tips': 1, 'thighs': 1, 'wanting': 1, 'mighty': 1, 'sing': 2, 'iii': 1, 'head': 1, 'hills': 1, 'fulfill': 1, 'squeal': 1, 'seal': 1, 'deal': 1, 'pharrell': 1, 'babyface': 1, 'whip': 1, 'appeal': 1, 'name': 1, 'place': 1, 'love': 1, 'favor': 1, 'ima': 3, 'ohh': 1}"
