Yearly info for RunDMC,Frequency
1987,"{'this': 3, 'speech': 1, 'is': 12, 'my': 8, 'recital': 1, 'i': 16, 'think': 3, 'its': 25, 'very': 2, 'vital': 1, 'to': 24, 'rock': 19, 'a': 31, 'rhyme': 20, 'thats': 10, 'right': 10, 'on': 15, 'time': 15, 'tricky': 40, 'the': 24, 'title': 1, 'here': 2, 'we': 13, 'go': 1, 'trtrtrtricky': 2, 'trrrrrrrrrrricky': 1, 'met': 1, 'little': 1, 'girlie': 1, 'her': 5, 'hair': 1, 'was': 6, 'kinda': 1, 'curly': 1, 'went': 1, 'house': 2, 'and': 23, 'bust': 2, 'out': 3, 'had': 3, 'leave': 2, 'real': 1, 'early': 1, 'these': 1, 'girls': 2, 'are': 3, 'really': 2, 'sleazy': 1, 'all': 3, 'they': 6, 'just': 5, 'say': 2, 'please': 1, 'me': 3, 'or': 1, 'spend': 1, 'some': 1, 'said': 2, 'not': 4, 'that': 4, 'easy': 1, 'how': 3, 'it': 10, 'd': 3, 'trrrrrricky': 1, 'in': 7, 'new': 2, 'york': 1, 'people': 3, 'talk': 1, 'try': 1, 'make': 2, 'us': 2, 'hawk': 1, 'but': 10, 'walk': 1, 'because': 2, 'have': 1, 'no': 1, 'city': 1, 'pity': 1, 'cause': 8, 'cant': 1, 'hide': 1, 'tinted': 1, 'windows': 1, 'dont': 3, 'mean': 1, 'nothin': 1, 'know': 1, 'whos': 1, 'inside': 1, 'huh': 1, 'when': 3, 'wake': 1, 'up': 4, 'take': 1, 'mostly': 1, 'of': 6, 'im': 7, 'singin': 1, 'phone': 1, 'keep': 2, 'ringin': 1, 'braggin': 1, 'naggin': 1, 'star': 1, 'always': 1, 'tearin': 1, 'what': 2, 'wearin': 1, 'theyre': 1, 'goin': 1, 'too': 1, 'far': 1, 'girl': 1, 'named': 1, 'carol': 1, 'follows': 1, 'darryl': 1, 'every': 2, 'gig': 1, 'play': 1, 'then': 3, 'dissed': 1, 'dismissed': 1, 'now': 2, 'shes': 1, 'jockin': 1, 'jay': 1, 'aint': 2, 'lyin': 1, 'be': 1, 'cryin': 1, 'tv': 1, 'even': 1, 'bother': 1, 'poor': 1, 'father': 1, 'hes': 1, 'down': 1, 'with': 7, 'trtrtrtrtrtricky': 1, 'trtrtr': 1, 'thugs': 1, 'use': 1, 'drugs': 1, 'you': 4, 'assume': 1, 'your': 2, 'own': 1, 'offer': 1, 'coke': 1, 'lots': 1, 'dope': 1, 'alone': 1, 'like': 2, 'yall': 2, 'quit': 1, 'shock': 1, 'december': 1, '24th': 1, 'hollis': 2, 'ave': 1, 'after': 1, 'dark': 1, 'seen': 1, 'man': 3, 'chilling': 2, 'his': 3, 'dog': 2, 'park': 1, 'approached': 1, 'him': 2, 'slowly': 1, 'heart': 1, 'full': 2, 'fear': 1, 'looked': 1, 'at': 2, 'oh': 1, 'god': 1, 'an': 2, 'ill': 1, 'reindeer': 1, 'illin': 1, 'beard': 1, 'bag': 1, 'goodies': 1, '12': 1, 'oclock': 1, 'neared': 1, 'so': 5, 'turned': 1, 'head': 1, 'second': 1, 'gone': 1, 'he': 1, 'left': 1, 'drivers': 1, 'wallet': 2, 'smack': 1, 'dead': 1, 'lawn': 1, 'picked': 1, 'took': 2, 'pause': 1, 'license': 1, 'cold': 2, 'santa': 4, 'claus': 1, 'million': 1, 'dollars': 1, 'hundreds': 1, 'gs': 1, 'enough': 1, 'buy': 1, 'boat': 1, 'matching': 1, 'car': 1, 'ease': 1, 'id': 1, 'never': 1, 'steal': 1, 'from': 2, 'going': 1, 'home': 2, 'mail': 1, 'back': 1, 'night': 2, 'got': 2, 'bugged': 1, 'under': 2, 'tree': 1, 'letter': 1, 'dough': 1, 'for': 1, 'christmas': 7, 'queens': 1, 'moms': 1, 'cooking': 1, 'chicken': 1, 'collard': 1, 'greens': 1, 'rice': 1, 'stuffing': 1, 'macaroni': 1, 'cheese': 1, 'put': 1, 'gifts': 1, 'trees': 1, 'decorate': 1, 'lights': 1, 'snows': 1, 'ground': 1, 'snow': 1, 'white': 1, 'bright': 1, 'fireplace': 1, 'yule': 1, 'log': 1, 'beneath': 1, 'mistletoe': 1, 'as': 1, 'drink': 1, 'eggnog': 1, 'rhymes': 3, 'hear': 2, 'darryls': 1, 'each': 1, 'year': 2, 'carols': 1, 'melodies': 1, 'loud': 1, 'proud': 1, 'spirit': 1, 'jack': 1, 'frost': 1, 'chillin': 1, 'orchids': 1, 'about': 1, 'place': 1, 'whole': 1, 'wide': 1, 'world': 1, 'filled': 1, 'cheer': 1, 'names': 1, 'dmc': 1, 'mic': 1, 'hand': 1, 'coolin': 1, 'snowman': 1, 'open': 1, 'eyes': 1, 'lend': 1, 'ear': 1, 'want': 1, 'merry': 1, 'happy': 1}"
1986,"{'now': 17, 'theres': 9, 'a': 107, 'backseat': 1, 'lover': 1, 'thats': 11, 'always': 3, 'undercover': 1, 'and': 149, 'we': 17, 'talk': 10, 'til': 3, 'my': 70, 'daddy': 1, 'say': 11, 'said': 6, 'you': 95, 'aint': 7, 'seen': 5, 'nothing': 1, 'youre': 20, 'down': 14, 'on': 32, 'muffin': 1, 'sure': 1, 'to': 77, 'be': 35, 'change': 1, 'in': 54, 'ways': 1, 'cheerleader': 1, 'real': 6, 'big': 7, 'breeder': 1, 'as': 10, 'far': 1, 'i': 137, 'can': 17, 'reminisce': 1, 'but': 24, 'the': 179, 'best': 6, 'thing': 4, 'of': 47, 'loving': 1, 'was': 32, 'her': 10, 'sister': 1, 'cousin': 1, 'it': 44, 'started': 2, 'with': 38, 'little': 7, 'kiss': 3, 'like': 40, 'this': 41, 'seesaw': 2, 'swinging': 4, 'boys': 3, 'school': 8, 'feet': 7, 'are': 11, 'just': 13, 'fly': 4, 'up': 13, 'air': 2, 'singing': 2, 'hey': 3, 'diddle': 4, 'kitty': 2, 'middle': 2, 'they': 10, 'dont': 14, 'care': 2, 'so': 24, 'took': 4, 'chance': 2, 'at': 11, 'high': 6, 'dance': 5, 'lady': 5, 'who': 6, 'ready': 4, 'play': 9, 'wasnt': 2, 'me': 27, 'she': 19, 'foolin': 2, 'cause': 21, 'knew': 3, 'what': 12, 'doin': 2, 'when': 25, 'told': 10, 'how': 9, 'walk': 15, 'way': 23, 'well': 4, 'gimme': 2, 'ooh': 1, 'girl': 23, 'sleazy': 1, 'classy': 1, 'kind': 7, 'sassy': 1, 'skirt': 1, 'hanging': 1, 'knee': 1, 'three': 5, 'young': 2, 'ladies': 2, 'gym': 1, 'locker': 1, 'find': 2, 'were': 6, 'looking': 1, 'd': 17, 'loser': 1, 'never': 10, 'made': 5, 'something': 1, 'missed': 1, 'that': 26, 'next': 3, 'door': 1, 'neighbor': 1, 'had': 2, 'daughter': 1, 'favor': 1, 'gave': 4, 'flying': 1, 'didnt': 2, 'missy': 1, 'some': 2, 'head': 3, 'peter': 1, 'piper': 1, 'picked': 1, 'peppers': 1, 'run': 16, 'rocked': 1, 'rhymes': 6, 'humpty': 1, 'dumpty': 1, 'fell': 2, 'his': 23, 'hard': 5, 'time': 3, 'jack': 1, 'b': 1, 'nimble': 2, 'he': 17, 'quick': 2, 'jam': 5, 'master': 6, 'cut': 2, 'faster': 1, 'jacks': 2, 'jays': 4, 'dick': 1, 'bo': 1, 'peep': 1, 'cold': 8, 'lost': 2, 'sheep': 1, 'rip': 1, 'van': 1, 'winkle': 1, 'hell': 6, 'asleep': 1, 'alice': 1, 'chilling': 1, 'somewhere': 1, 'wonderland': 1, 'serving': 1, 'jill': 1, 'bucket': 1, 'hand': 4, 'making': 1, 'all': 24, 'sound': 7, 'turntables': 1, 'might': 3, 'wobble': 1, 'fall': 2, 'dr': 2, 'seuss': 1, 'mother': 3, 'goose': 1, 'both': 2, 'did': 6, 'their': 2, 'masters': 1, 'getting': 1, 'loose': 1, 'dmcs': 1, 'king': 12, 'hes': 18, 'adult': 1, 'entertainer': 1, 'child': 1, 'educator': 1, 'jay': 15, 'crossfader': 1, 'better': 6, 'believe': 2, 'baddest': 2, 'perfect': 3, 'timing': 1, 'im': 45, 'climbing': 1, 'rhyming': 1, 'apparatus': 1, 'lot': 2, 'guts': 1, 'cuts': 2, 'girls': 1, 'move': 2, 'butts': 1, 'name': 14, 'is': 37, 'hear': 4, 'must': 1, 'nuts': 1, 'mix': 1, 'id': 1, 'not': 30, 'flash': 1, 'fast': 4, 'goes': 2, 'one': 11, 'two': 5, 'midas': 1, 'everything': 2, 'touched': 1, 'turned': 1, 'gold': 2, 'greatest': 1, 'greater': 1, 'get': 24, 'straight': 4, 'great': 5, 'playing': 1, 'fame': 1, 'known': 2, 'every': 8, 'state': 3, 'see': 8, 'him': 2, 'will': 15, 'make': 5, 'god': 3, 'damn': 2, 'dj': 4, 'day': 6, 'butcher': 1, 'baker': 1, 'candlestick': 1, 'maker': 2, 'breaker': 1, 'title': 1, 'taker': 1, 'old': 2, 'lived': 1, 'shoe': 1, 'if': 17, 'kids': 2, 'would': 1, 'due': 1, 'lying': 1, 'yall': 19, 'know': 11, 'lie': 2, 'nose': 1, 'grow': 1, 'wooden': 1, 'boy': 1, 'named': 2, 'pinocchio': 1, 'story': 2, 'go': 8, 'tricks': 1, 'for': 11, 'plays': 1, 'much': 2, 'gigs': 1, 'bad': 7, 'wolf': 2, 'pigs': 1, 'your': 22, 'neighborhood': 1, 'meaning': 2, 'good': 3, 'there': 5, 'rundmc': 3, 'got': 21, 'beef': 5, 'settle': 1, 'ds': 1, 'hansel': 1, 'gretel': 1, 'winner': 1, 'beginner': 1, 'pockets': 1, 'fat': 1, 'others': 2, 'thinner': 1, 'jjjjj': 1, 'jump': 3, 'cows': 1, 'moons': 1, 'people': 7, 'chase': 1, 'dish': 1, 'spoon': 1, 'fairy': 1, 'tales': 1, 'end': 1, 'youll': 5, 'again': 1, 'friend': 1, 'huh': 3, 'ahhhdidas': 2, 'through': 2, 'concert': 1, 'doors': 1, 'roam': 1, 'over': 1, 'coliseum': 1, 'floors': 1, 'stepped': 1, 'stage': 3, 'live': 3, 'aid': 1, 'poor': 1, 'paid': 4, 'out': 10, 'speakers': 1, 'speak': 3, 'wore': 2, 'sneakers': 1, 'sneak': 1, 'adidas': 19, 'touch': 1, 'sand': 1, 'foreign': 1, 'land': 2, 'mic': 6, 'command': 1, 'close': 1, 'mean': 2, 'team': 1, 'around': 8, 'together': 4, 'forever': 1, 'wont': 11, 'mad': 1, 'caught': 2, 'weather': 1, 'yo': 12, 'whassup': 1, 'standin': 3, 'fifth': 2, 'street': 4, 'funky': 6, 'fresh': 5, 'yes': 3, 'no': 14, 'shoestring': 1, 'em': 11, 'win': 2, 'bought': 2, 'off': 6, 'ave': 1, 'black': 13, 'lee': 2, 'denim': 1, 'sport': 1, 'why': 3, 'sucker': 1, 'tried': 3, 'steal': 2, 'fought': 1, 'bop': 1, 'beat': 6, 'legs': 1, 'here': 2, 'shootin': 1, 'gip': 1, 'standing': 1, 'nowwwww': 1, 'do': 11, 'illest': 1, 'things': 4, 'stomp': 1, 'pimps': 1, 'diamond': 1, 'rings': 3, 'slay': 1, 'suckers': 2, 'perpetrate': 1, 'lay': 1, 'law': 1, 'from': 12, 'travel': 1, 'gravel': 1, 'dirt': 1, 'road': 1, 'or': 10, 'wear': 3, 'rock': 17, 'front': 3, 'page': 1, 'show': 2, 'its': 20, 'top': 2, 'low': 1, 'possess': 1, 'man': 11, 'rare': 1, 'myself': 1, 'homeboy': 1, '50': 1, 'pair': 2, 'blue': 2, 'likes': 1, 'chill': 2, 'yellow': 1, 'green': 1, 'ill': 11, 'playin': 2, 'ball': 4, 'heel': 1, 'inside': 2, '10': 1, 'tall': 2, 'only': 3, 'bring': 3, 'news': 1, 'used': 1, 'felon': 1, 'shoes': 1, 'theyre': 2, 'white': 2, 'stripes': 1, 'ones': 1, 'strength': 2, 'our': 2, 'famous': 1, 'university': 1, 'put': 4, 'tv': 1, 'movie': 1, 'screen': 1, 'hollywood': 1, 'knows': 1, 'alley': 1, 'cali': 1, 'trade': 2, 'ballys': 1, 'scratching': 1, 'intro': 1, 'scratch': 7, '1': 3, '2': 3, '3': 3, '4': 3, 'verse': 4, 'chillin': 1, 'kentucky': 2, 'fried': 2, 'chicken': 2, 'mindin': 1, 'business': 1, 'eatin': 1, 'food': 2, 'finger': 2, 'lickin': 2, 'dude': 1, 'walked': 1, 'lookin': 1, 'strange': 1, 'funny': 1, 'went': 2, 'menu': 1, 'money': 3, 'side': 2, 'asked': 1, 'umis': 1, 'yeah': 1, 'smiled': 2, 'back': 7, 'quarter': 1, 'order': 1, 'small': 1, 'fries': 1, 'mac': 2, 'hook': 3, 'illin': 7, '4x': 1, 'today': 1, 'won': 1, 'ticket': 1, 'doctor': 1, 'j': 2, 'row': 1, 'seat': 1, 'free': 1, 'pay': 1, 'radio': 1, 'snacks': 1, 'by': 6, 'games': 1, 'about': 3, 'start': 5, 'kickin': 2, 'popcorn': 1, 'finally': 1, 'wake': 1, 'docs': 1, 'gone': 1, 'town': 3, 'round': 2, 'hoop': 1, 'then': 5, 'scream': 1, 'touchdown': 1, 'other': 2, 'party': 3, 'drunk': 1, 'skunk': 1, 'punk': 2, 'left': 7, 'bacardi': 1, 'smelt': 1, 'breath': 1, 'stance': 1, 'dinner': 1, 'ate': 1, 'none': 2, 'salty': 1, 'butter': 1, 'def': 5, 'proceeded': 1, 'eat': 1, 'cos': 2, 'mood': 1, 'homes': 1, 'read': 2, 'dog': 2, 'repeat': 1, 'talkin': 5, 'bout': 5, 'mom': 2, 'kings': 2, 'queens': 2, 'come': 2, 'raisin': 1, 'class': 3, 'lunchbell': 1, 'praised': 1, 'raised': 2, 'ssssuckers': 1, 'try': 5, 'faze': 1, 'fazed': 1, 'whats': 7, 'dmc': 8, 'highness': 1, 'majesty': 1, 'debate': 1, 'cccconcentrate': 1, 'cant': 8, 'imitate': 1, 'dissin': 2, 'devils': 1, 'causin': 2, 'havoc': 1, 'very': 1, 'level': 1, 'base': 1, 'treble': 1, 'shall': 2, 'yell': 1, 'heard': 3, 'heavens': 1, 'sounds': 1, 'supreme': 1, 'clear': 2, 'ear': 1, 'sometimes': 1, 'loud': 4, 'cloud': 1, 'thunder': 1, 'lightning': 1, 'proud': 9, 'crowd': 3, 'somewhat': 1, 'frightening': 1, 'calm': 1, 'storm': 1, 'beast': 1, 'unleashed': 1, 'stoppin': 2, 'rockin': 2, 'cannot': 1, 'cease': 1, 'break': 4, 'harder': 2, 'than': 1, 'bit': 1, 'soft': 4, 'courageous': 1, 'contagious': 1, 'north': 1, 'roll': 5, 'cough': 1, 'listen': 4, 'while': 7, 'pissin': 1, 'bedding': 1, 'spreading': 2, 'across': 2, 'face': 3, 'take': 10, 'case': 2, 'kick': 2, 'bass': 3, 'cup': 1, 'taste': 1, 'highly': 1, 'appraised': 1, 'demanding': 1, 'commanding': 1, 'stand': 1, 'dazed': 1, 'unbelieving': 1, 'receiving': 1, 'prophecy': 1, 'true': 1, 'devil': 1, 'throw': 2, 'mighty': 1, 'control': 1, 'already': 1, 'brought': 2, 'soul': 1, 'bold': 1, 'rocks': 1, 'hat': 1, 'crown': 1, 'symbolizin': 1, 'signifyin': 1, 'bust': 4, 'rappin': 1, 'climbin': 2, 'beatmakin': 1, 'synthesizer': 1, 'silence': 1, 'am': 2, 'fate': 1, 'number': 2, 'rate': 1, 'place': 4, 'style': 1, 'grace': 1, 'race': 3, 'wall': 1, 'mountain': 1, 'valley': 1, 'deep': 1, 'sea': 1, 'word': 2, 'sing': 2, 'delight': 1, 'star': 2, 'shinin': 1, 'bright': 1, 'darkest': 1, 'night': 3, 'heat': 1, 'whole': 3, 'world': 5, 'mysterious': 1, 'serious': 2, 'joke': 1, 'fire': 1, 'depths': 1, 'smell': 1, 'smoke': 1, 'tickin': 1, 'havin': 1, 'vickin': 1, 'bird': 1, 'have': 7, 'give': 1, 'call': 8, 'shakin': 1, 'walls': 1, 'fearin': 1, 'hearin': 1, 'goin': 2, 'mind': 4, 'earth': 1, 'disease': 1, 'contaminating': 1, 'infiltrating': 1, 'horde': 1, 'bees': 1, 'lord': 1, 'lyrics': 2, 'duke': 1, 'discussion': 1, 'ruler': 2, 'coldcrushin': 1, 'puller': 1, 'controller': 2, 'crowds': 1, 'lingering': 1, 'longlasting': 1, 'ah': 2, 'because': 6, 'upon': 2, 'mike': 2, 'right': 9, 'want': 4, 'respect': 2, 'correct': 3, 'checked': 2, 'shots': 1, 'effect': 1, 'dunk': 1, 'broke': 3, 'neck': 2, 'farther': 1, 'wanna': 3, 'battle': 1, 'please': 1, 'bother': 1, 'waste': 1, 'messin': 1, 'rhyme': 5, 'behind': 2, 'fact': 3, 'mine': 2, 'lickilickilickilickilickilickilickilicki': 1, 'heres': 2, 'song': 1, 'wrong': 2, 'should': 7, 'gotta': 1, 'tell': 6, 'somethin': 3, 'mystery': 1, 'history': 2, 'hariett': 1, 'tubman': 1, 'born': 5, 'slave': 4, 'tiny': 1, 'woman': 1, 'brave': 2, 'livin': 1, 'givin': 4, 'age': 1, 'tired': 1, 'worry': 1, 'color': 3, 'act': 1, 'could': 4, 'fiction': 1, 'turn': 2, 'darryl': 5, 'mack': 2, 'share': 1, 'augh': 1, 'these': 3, 'schoolbell': 1, 'martin': 1, 'luther': 1, 'rap': 5, 'message': 1, 'brief': 1, 'malcolm': 2, 'x': 2, 'cheek': 1, 'length': 1, 'motherfucker': 1, 'gonna': 1, 'ya': 2, 'swirl': 1, 'bless': 1, 'baby': 2, 'comes': 3, 'worlds': 1, 'full': 2, 'hate': 1, 'discrimination': 1, 'sin': 1, 'judgin': 1, 'skin': 1, 'attack': 1, 'matter': 1, 'own': 1, 'bailin': 1, 'hay': 1, 'written': 1, 'deposition': 1, 'any': 2, 'condition': 1, 'ambition': 1, 'takin': 2, 'crap': 2, 'pack': 1, 'an': 4, 'inventor': 1, 'invented': 2, 'fortune': 1, 'bell': 1, 'george': 1, 'washington': 1, 'carver': 1, 'peanut': 1, 'showed': 1, 'create': 1, 'text': 1, 'jesse': 1, 'owens': 1, 'records': 1, 'ali': 1, 'necks': 1, 'dumb': 21, 'overcome': 1, 'clock': 2, 'forgot': 1, 'devastating': 3, 'nobody': 1, 'mess': 2, 'deal': 1, 'feel': 1, 'feels': 1, 'fine': 2, 'beats': 4, 'flow': 3, 'joe': 3, 'stop': 4, 'yourself': 3, 'lets': 4, 'hit': 5, 'beatboxing': 5, 'watch': 1, 'spot': 1, 'piece': 1, 'least': 1, 'serve': 1, 'deserve': 1, 'curve': 1, 'nerve': 1, 'triple': 1, 'mc': 2, 'called': 1, 'gangsta': 1, 'nonstop': 1, 'hiphop': 1, 'headed': 1, 'pop': 1, 'country': 1, 'county': 1, 'creed': 1, 'places': 1, 'emceed': 1, 'bboy': 1, 'badness': 1, 'highest': 1, 'degree': 1, 'baboy': 1, 'unless': 1, 'cherry': 1, 'crush': 1, 'grape': 1, 'tape': 1, 'shape': 1, 'really': 1, 'going': 1, 'conceived': 1, 'once': 1, 'found': 1, 'bunch': 2, 'boss': 1, 'leave': 1, 'dust': 1, 'those': 3, 'motherfuckers': 1, 'us': 1, 'performing': 1, 'art': 1, 'chart': 1, 'apart': 1, 'outlaws': 1, 'music': 1, 'rob': 1, 'job': 1, 'has': 2, 'fun': 2, 'add': 1, 'more': 1, 'son': 2, 'byford': 2, 'brother': 4, 'al': 2, 'bannahs': 2, 'mamma': 2, 'runs': 3, 'pal': 2, 'mcdaniels': 2, 'mcdonalds': 2, 'darryls': 2, 'burgers': 2, 'ronalds': 2, 'ran': 2, 'family': 2, 'tree': 2, 'father': 2, 'jockin': 1, 'jc': 2, 'mercedes': 1, 'babies': 1, 'ride': 1, 'bonnienclyde': 1, 'moves': 1, 'makin': 1, 'route': 1, 'lead': 1, 'heartbreakin': 1, 'mistaken': 1, 'honey': 1, 'truth': 1, 'excuse': 1, 'dummy': 1, 'wish': 1, 'wants': 1, 'understand': 1, 'shouldnt': 1, 'fan': 1, 'wrote': 1, 'misled': 1, 'remember': 1, 'rappers': 1, 'surely': 1, 'knock': 1, 'sense': 2, 'flyest': 1, 'fool': 1, 'pass': 2, 'slow': 3, 'too': 2, 'walkin': 1, 'thumb': 1, 'stuck': 1, 'sinnin': 1, 'winnin': 1, 'last': 2, 'think': 1, 'makes': 1, 'ace': 1, 'stupid': 5, 'sex': 1, 'fiend': 1, 'power': 2, 'four': 1, 'guys': 2, 'bathroom': 1, 'shower': 2, 'sniffin': 1, 'somebody': 1, 'blow': 2, 'guy': 1, 'wink': 1, 'eye': 2, 'missin': 1, 'buy': 2, 'love': 1, 'even': 1, 'hated': 1, 'cupid': 2, 'silly': 1, 'dilly': 1, 'plain': 1, 'hope': 1, 'words': 2, 'sayin': 1, 'weak': 1, 'use': 2, 'brain': 1, 'where': 1, 'comin': 1, 'diddy': 3, 'capital': 1, 'breakdown': 1, 'aiyyo': 1, 'check': 2, 'oh': 1, 'tip': 1, 'everyone': 1, 'perfection': 18, 'quite': 1, 'essential': 1, 'potential': 1, 'work': 2, 'tone': 1, 'cologne': 1, 'microphone': 3, 'car': 1, 'bar': 1, 'par': 1, 'copacetic': 1, 'aok': 1, 'most': 1, 'definitely': 1, 'prescription': 1, 'glasses': 1, 'eyes': 1, 'times': 1, 'year': 1, 'them': 1, 'perfections': 1, 'selection': 1, 'select': 1, 'credit': 1, 'card': 1, 'storys': 1, 'jmj': 1, 'jeff': 1, 'runny': 1, 'ray': 1, 'cat': 1, 'mouse': 1, 'rat': 1, 'die': 2, 'gnat': 1, 'exact': 1, 'cmon': 4, 'fail': 1, 'flop': 1, 'stall': 1, 'stutter': 1, 'takes': 1, 'perfectionist': 1, 'perfectly': 2, 'speaking': 2, 'pppperfect': 1, 'ppuppu': 1, '100': 1, 'percent': 1, 'causes': 1, 'casualties': 1, 'praisin': 1, 'knees': 1, 'poppin': 1, 'droppin': 1, 'mcs': 3, 'connect': 1, 'eject': 1, 'collect': 1, 'write': 1, 'bite': 1, 'mr': 1, 'rhymin': 1, 'rapper': 2, 'reason': 1, 'rekkid': 1, 'total': 1, 'stun': 1, 'prove': 1, 'whos': 1, 'quality': 1, 'skill': 1, 'beyond': 1, 'belief': 1, 'thief': 1, 'dictator': 1, 'hater': 1, 'fight': 1, 'chief': 2, 'many': 1, 'type': 1, 'titles': 1, 'swipe': 1, 'sweet': 1, 'jheri': 1, 'curls': 1, 'ever': 1, 'braid': 1, 'peasiest': 1, 'hair': 1, 'still': 1, 'dropping': 1, 'punch': 1, 'capt': 1, 'crunch': 1, 'slayin': 1, 'plank': 1, 'decks': 1, 'count': 2, 'bank': 1, 'wizard': 1, 'sucka': 1, 'sap': 1, 'jacked': 1, 'step': 1, 'recite': 1, 'performer': 1, 'goner': 1, 'keep': 1, 'sissy': 1, 'suckas': 2, 'corner': 1, 'll': 1, 'cool': 2, 'sophisticated': 1, 'sour': 1, 'servin': 1, 'sellin': 1, 'dreams': 1, 'hour': 3, 'after': 1, 'girlie': 1, 'diss': 1, 'allow': 1, 'tap': 1, 'floor': 1, 'slap': 1, 'starts': 1, 'cry': 1, 'asks': 1, 'says': 1}"
