Yearly info for MacMiller,Frequency
2018,"{'mhm': 2, 'okay': 14, 'yeah': 190, 'dollars': 1, 'i': 323, 'switched': 3, 'the': 164, 'time': 19, 'zone': 3, 'but': 59, 'what': 28, 'do': 20, 'know': 59, 'spendin': 3, 'nights': 4, 'hitchhikin': 3, 'where': 7, 'will': 3, 'go': 18, 'could': 15, 'fly': 9, 'home': 8, 'with': 27, 'my': 78, 'eyes': 11, 'closed': 4, 'itd': 3, 'get': 37, 'kinda': 4, 'hard': 7, 'to': 77, 'see': 15, 'thats': 21, 'no': 54, 'surprise': 3, 'though': 4, 'and': 96, 'you': 141, 'find': 11, 'me': 58, 'aint': 38, 'hidin': 3, 'dont': 96, 'move': 5, 'feet': 3, 'when': 51, 'be': 39, 'glidin': 3, 'just': 53, 'slide': 5, 'in': 48, 'then': 8, 'roll': 3, 'out': 44, 'yep': 2, 'well': 27, 'climbin': 1, 'over': 4, 'that': 54, 'wall': 9, 'mm': 1, 'remember': 4, 'yes': 5, 'it': 158, 'all': 46, 'swear': 2, 'height': 1, 'too': 15, 'tall': 2, 'so': 57, 'like': 30, 'september': 1, 'fall': 3, 'down': 27, 'below': 3, 'now': 32, 'medicine': 1, 'on': 37, 'call': 5, 'gimme': 6, 'its': 42, 'feelin': 9, 'hot': 2, 'enough': 5, 'melt': 2, 'cant': 9, 'trust': 3, 'one': 6, 'even': 9, 'yourself': 1, 'self': 4, 'love': 11, 'nobody': 10, 'else': 2, 'tell': 18, 'them': 9, 'they': 16, 'can': 27, 'take': 16, 'bullshit': 5, 'elsewhere': 2, 'care': 3, 'im': 70, 'treatin': 1, 'right': 15, 'hell': 3, 'we': 60, 'gonna': 4, 'alright': 6, 'gon': 9, 'been': 22, 'road': 2, 'going': 2, 'readin': 1, 'signs': 2, 'wow': 1, 'losin': 3, 'mind': 14, 'fuck': 15, 'way': 16, 'kay': 1, 'must': 2, 'this': 24, 'high': 13, 'play': 4, 'nice': 3, 'up': 39, 'above': 5, 'lights': 2, 'a': 120, 'lovely': 1, 'life': 5, 'made': 7, 'uh': 2, 'family': 1, 'tree': 1, 'woah': 1, 'mercedes': 2, 'drove': 1, 'crazy': 2, 'was': 30, 'speedin': 1, 'somebody': 2, 'save': 2, 'from': 6, 'myself': 5, 'good': 7, 'lettin': 1, 'goooooooo': 1, 'didnt': 5, 'missin': 6, 'lil': 1, 'different': 9, 'thinkin': 2, 'much': 7, 'got': 14, 'stuck': 1, 'oblivion': 12, 'world': 11, 'for': 16, 'chillin': 2, 'plus': 3, 'beautiful': 2, 'ride': 6, 'around': 6, 'city': 2, 'come': 17, 'sun': 5, 'set': 2, 'quickly': 1, 'slow': 4, 'disconnect': 1, 'upload': 1, 'watch': 4, 'spin': 3, 'round': 4, 'lets': 5, 'travel': 1, 'through': 8, 'unknown': 1, 'cool': 3, 'fucked': 1, 'keep': 24, 'sayin': 5, 'are': 12, 'really': 10, 'back': 12, 'crib': 4, 'some': 6, '45s': 1, 'safe': 1, 'there': 7, 'theres': 5, 'still': 9, 'war': 2, 'outside': 1, 'spend': 3, 'our': 2, 'liquored': 1, 'mornings': 1, 'feel': 12, 'oohooh': 2, 'eric': 1, 'need': 29, 'lie': 6, 'more': 27, 'nowadays': 4, 'is': 39, 'shine': 4, 'breath': 5, 'ease': 4, 'she': 15, 'cry': 4, 'her': 8, 'cause': 11, 'an': 4, 'angels': 4, 'sposed': 4, 'askin': 4, 'why': 13, 'oh': 7, 'if': 14, 'mine': 5, 'stay': 4, 'inside': 12, 'lines': 7, '2009': 4, 'whats': 11, 'behind': 6, 'door': 5, 'gotta': 13, 'jump': 3, 'swim': 1, 'light': 7, 'dim': 1, 'of': 44, 'sin': 1, 'every': 3, 'day': 17, 'wake': 4, 'breathe': 1, 'have': 8, 'easy': 1, 'took': 2, 'flight': 3, 'send': 3, 'beamin': 1, 'whole': 2, 'team': 1, 'bout': 1, 'figure': 2, 'ice': 1, 'cold': 4, 'winter': 2, 'about': 6, 'sometimes': 2, 'wish': 3, 'simpler': 1, 'route': 1, 'instead': 1, 'havin': 1, 'demons': 1, 'as': 3, 'big': 2, 'house': 1, 'mhmm': 2, 'ball': 3, 'dribble': 1, 'bounce': 1, 'party': 1, 'til': 33, 'theyre': 3, 'kickin': 2, 'isnt': 1, 'funny': 2, 'make': 4, 'lot': 6, 'money': 4, 'buy': 1, 'things': 2, 'ugly': 1, 'yea': 1, 'muddy': 1, 'lookin': 3, 'ask': 1, 'smilin': 1, 'because': 2, 'ive': 8, 'never': 36, 'before': 3, 'felt': 2, 'alive': 1, 'id': 4, 'rather': 7, 'peace': 2, 'than': 8, 'struck': 1, 'came': 6, 'swingin': 1, 'finish': 1, 'business': 2, 'live': 3, 'diggin': 1, 'hole': 1, 'bury': 1, 'soul': 1, 'weight': 1, 'carry': 2, 'own': 3, 'these': 8, 'arms': 1, 'here': 8, 'scared': 1, 'alone': 2, 'hurry': 1, 'ever': 3, 'worry': 2, '730': 1, 'runnin': 2, 'low': 1, 'your': 19, 'heart': 2, 'unturned': 1, 'stones': 1, 'pro': 1, 'job': 1, 'tryna': 3, 'start': 2, 'believin': 1, 'god': 4, 'gets': 3, 'panic': 1, 'sound': 1, 'alarm': 1, 'regrets': 2, 'look': 8, 'texts': 2, 'shouldnt': 2, 'neighbors': 2, 'strangers': 2, 'friends': 2, 'head': 8, 'ill': 6, 'anything': 2, 'livin': 5, 'alternate': 1, 'reality': 1, 'drownin': 1, 'swimmin': 2, 'stressful': 1, 'waters': 1, 'relief': 1, 'little': 14, 'wont': 8, 'prolly': 1, 'sunshine': 1, 'rain': 2, 'grey': 1, 'skies': 1, 'driftin': 1, 'not': 4, 'forever': 6, 'told': 4, 'only': 6, 'better': 5, 'yeahyeah': 4, 'whoawhoawhoawhoawhoawhoawhoawhoa': 3, 'yeahyeahyeahyeah': 1, 'yeahyeahyeahyeahyeahyeah': 1, 'always': 11, 'change': 5, 'same': 7, 'everything': 7, 'complain': 4, 'shame': 10, 'strange': 6, 'game': 7, 'everybody': 8, 'trippin': 6, 'woo': 9, 'throwin': 5, 'away': 3, 'gettin': 18, 'lifted': 3, 'paid': 4, 'aaight': 1, 'aight': 1, 'cost': 1, 'apostrophes': 1, 'means': 1, 'takin': 3, 'uhhuh': 1, 'into': 3, 'outta': 3, 'line': 1, 'drivin': 1, 'turn': 8, 'ignition': 1, 'driven': 1, 'sittin': 1, 'pretty': 2, 'listenin': 2, 'whitney': 1, 'whippin': 2, 'man': 3, 'mission': 1, 'puttin': 1, 'shoulders': 2, 'please': 3, 'hold': 4, 'water': 4, 'bigger': 2, 'smaller': 2, 'richer': 1, 'mama': 1, 'baby': 5, 'pa': 1, 'pull': 4, 'soundin': 1, 'concert': 1, 'or': 7, 'monster': 1, 'truck': 1, 'fallin': 6, 'said': 2, 'want': 10, 'begun': 2, 'wanna': 22, 'hurt': 4, 'feelings': 4, 'system': 1, 'long': 6, 'king': 3, 'power': 2, 'off': 7, 'spring': 3, 'bringing': 1, 'everyone': 2, 'shit': 16, 'iffy': 1, 'give': 7, 'hundred': 2, 'fifty': 1, 'percent': 1, 'dealing': 1, 'forget': 2, 'used': 2, 'depressed': 1, 'obsessed': 1, 'jacuzzis': 1, 'hittin': 2, 'jets': 1, 'showing': 1, 'givin': 1, 'sex': 1, 'bless': 2, 'respect': 2, 'adonai': 1, 'victim': 1, 'pride': 1, 'lyin': 2, 'truth': 2, 'step': 1, 'aside': 1, 'let': 9, 'grounded': 1, 'push': 1, 'whips': 1, 'mountains': 1, 'new': 2, 'cribs': 1, 'blue': 1, 'fountains': 1, 'surroundings': 1, 'think': 4, 'somehow': 5, 'matter': 3, 'how': 12, 'many': 4, 'miles': 4, 'feels': 5, 'night': 5, 'meet': 4, 'stop': 4, 'youre': 10, 'top': 3, 'drop': 3, 'youve': 1, 'seen': 2, 'real': 2, 'bit': 2, 'deeper': 1, 'thought': 1, 'keepin': 1, 'box': 1, 'level': 1, 'needin': 1, 'gone': 3, 'weather': 4, 'strong': 2, 'whether': 1, 'comin': 4, 'knockin': 1, 'yo': 5, 'ima': 7, 'maintain': 1, 'stayin': 1, 'put': 3, 'ladder': 1, 'touchin': 1, 'sky': 3, 'dead': 1, 'wrong': 2, 'free': 2, 'color': 1, 'very': 1, 'small': 4, 'size': 1, 'picture': 2, 'beneficial': 1, 'lovin': 1, 'catch': 3, 'blow': 2, 'whistle': 1, 'run': 13, 'wakin': 1, 'open': 1, 'closer': 1, 'shy': 1, 'worried': 2, 'fine': 2, 'guess': 5, 'say': 7, 'waste': 2, 'takes': 5, 'wouldnt': 7, 'wait': 3, 'shoot': 2, 'shot': 2, 'extras': 2, 'flickerin': 1, 'switches': 1, 'bullshittin': 1, 'had': 3, 'plan': 3, 'stand': 1, 'delayed': 1, 'wit': 6, 'trip': 3, 'flip': 1, 'lose': 3, 'grip': 1, 'smell': 1, 'hotel': 2, 'castle': 2, 'grand': 1, 'nothin': 10, 'hassle': 1, 'besides': 1, 'sand': 1, 'might': 6, 'slip': 2, 'sea': 1, 'maybe': 3, 'maze': 1, 'leave': 5, 'without': 3, 'somethin': 5, 'freaks': 4, 'another': 1, 'minute': 5, 'use': 7, 'superficial': 1, 'hit': 8, 'sentimental': 1, 'juice': 4, 'were': 3, 'colder': 1, 'breeze': 3, 'flowin': 1, 'motherfucker': 2, 'hol': 3, 'show': 3, 'seem': 2, 'truly': 1, 'beyond': 1, 'drugs': 1, 'space': 3, 'shuttle': 1, 'elon': 1, 'sing': 1, 'céline': 1, 'dion': 1, 'youll': 1, 'damn': 3, 'lotta': 1, 'am': 2, 'exit': 1, 'already': 2, 'left': 2, 'jet': 13, 'land': 3, 'tickin': 1, 'highly': 1, 'talkin': 3, 'pilot': 1, 'witness': 1, 'ooh': 3, 'close': 6, 'understand': 1, 'doin': 2, 'most': 2, 'nother': 4, 'super': 4, 'ficial': 4, 'senti': 4, 'mental': 2, 'worked': 1, 'clue': 1, 'who': 5, 'bar': 1, 'far': 2, 'par': 1, 'parlay': 1, 'range': 1, 'yard': 1, 'should': 1, 'probably': 2, 'pray': 1, 'wasnt': 2, 'promise': 1, 'homies': 1, 'hungry': 1, 'dirt': 1, 'name': 1, 'brain': 1, 'heads': 1, 'turnin': 1, 'hurricane': 1, 'swervin': 1, 'shade': 1, 'cut': 2, 'em': 6, 'frame': 1, 'thirty': 1, 'thou': 1, 'while': 9, 'oohoh': 1, 'ohohohohoh': 1, 'ahahahahha': 1, 'buildin': 3, 'break': 10, 'hate': 3, 'late': 7, 'waitin': 10, 'hope': 6, 'at': 9, 'mall': 1, 'broke': 2, 'dunk': 1, 'knows': 1, 'try': 2, 'whoever': 1, 'together': 1, 'bein': 1, 'rich': 1, 'lonely': 1, 'fivestar': 1, 'rush': 1, 'hush': 1, 'us': 3, 'today': 8, 'bad': 6, 'attitude': 1, 'playin': 1, 'moves': 1, 'mo': 1, 'speeds': 1, 'beat': 1, 'young': 3, 'control': 1, 'freak': 1, 'veins': 1, 'freezin': 1, 'snow': 1, 'season': 1, 'grow': 2, 'old': 2, 'smoke': 2, 'case': 1, 'glow': 2, 'waist': 1, 'stroke': 1, 'pga': 1, 'drawin': 1, 'shapes': 1, 'tomorrow': 1, 'may': 1, 'corner': 1, 'worth': 1, 'somewhere': 1, 'reachin': 1, 'nine': 2, 'times': 3, 'ten': 1, 'wrote': 1, 'song': 2, 'fingers': 1, 'slippin': 1, 'motherfuckin': 1, 'instant': 1, 'mediocre': 1, 'starin': 1, 'full': 3, 'posters': 1, 'dreams': 1, 'believe': 1, 'fool': 1, 'human': 2, 'beings': 1, 'glued': 1, 'shoes': 1, 'consumed': 1, 'clouds': 5, 'tired': 1, 'spare': 1, 'second': 1, 'win': 2, 'count': 2, 'checkin': 1, 'bone': 2, 'pick': 2, 'roses': 2, 'broken': 2, 'balled': 1, 'fist': 1, 'gossipin': 1, 'notice': 1, 'wander': 1, 'motives': 1, 'wonder': 1, 'supposed': 1, 'beside': 1, 'n': 1, 'next': 2, 'wind': 1, 'face': 2, 'great': 1, 'sidewalk': 1, 'picked': 1, 'motif': 2, 'familiar': 1, 'realer': 1, 'thoughts': 1, 'addin': 1, 'hey': 2, 'gamble': 2, 'shinin': 2, 'horizon': 2, 'walls': 2, 'wider': 2, 'wings': 6, 'movin': 1, 'fast': 1, 'clock': 1, 'seeds': 1, 'flower': 1, 'normal': 1, 'by': 1, 'ear': 3, 'silence': 1, 'hear': 2, 'growin': 1, 'two': 1, 'three': 1, 'holdin': 1, 'hand': 1, 'problem': 1, 'knew': 1, 'surf': 1, 'universe': 1, 'lucifer': 1, 'include': 1, 'company': 1, 'follow': 1, 'owed': 1, 'bucks': 1, 'fuckin': 2, 'temper': 1, 'hmmhmm': 2, 'whatever': 1, 'people': 1, 'mad': 2, 'hm': 1, 'almost': 1, 'missed': 1, 'goddamn': 3, 'last': 1, 'along': 5, 'coughin': 1, 'weed': 1, 'cute': 1, 'until': 4, 'longer': 6, 'lost': 6, 'cloud': 2, 'work': 2, 'harder': 2, 'calm': 2, 'busy': 1, 'phone': 1, 'miss': 2, 'sleep': 1, 'weird': 1, 'switch': 1, 'gears': 1, 'lips': 1, 'kissin': 1, 'touch': 1, 'wheel': 1, 'thank': 1, 'favorite': 1, 'stopper': 1, 'dj': 1, 'dem': 1, 'haffi': 1, 'talk': 1, 'proper': 1, 'mi': 3, 'dancehall': 2, 'kill': 2, 'di': 4, 'lingua': 1, 'galang': 1, 'cutty': 2, 'ranks': 1, 'stamina': 2, 'anyweh': 1, 'lord': 1, 'roots': 1, 'culture': 1, 'praise': 1, 'almighty': 1, 'jah': 4, 'strength': 1, 'him': 1, 'ranking': 1, 'superhero': 1, 'flyin': 1, 'cape': 1, 'catchin': 1, 'guys': 1, 'underwater': 1, 'shower': 1, 'baptized': 1, 'cuts': 1, 'bones': 1, 'black': 2, 'couple': 1, 'million': 1, 'rap': 1, 'yall': 1, 'nuttin': 2, 'basement': 1, 'under': 1, 'floor': 2, 'goat': 1, 'backflip': 1, 'rope': 1, 'hook': 1, 'post': 1, 'girl': 1, 'clutch': 1, 'choke': 1, 'hmm': 5, 'callin': 1, 'quits': 1, 'build': 1, 'bricks': 1, 'liquor': 1, 'cup': 2, 'faded': 1, 'woke': 1, 'mornin': 1, 'bright': 1, 'idea': 1, 'exist': 1, 'mmmhmm': 1, 'hmmhmmhmm': 1, 'did': 5, 'expect': 4, 'town': 8, 'rescued': 4, 'fuel': 12, 'hundredtwenty': 1, 'car': 1, 'whip': 1, 'driveway': 1, 'shots': 1, 'limit': 1, 'stakes': 1, 'card': 1, 'fish': 1, 'quick': 1, 'pussy': 2, 'myuhoh': 1, 'jumpin': 1, 'womb': 1, 'wearin': 1, 'polo': 1, 'school': 1, 'lone': 1, 'wolf': 1, 'solo': 1, 'thing': 1, 'kick': 1, 'side': 2, 'pullin': 1, 'dick': 2, 'demand': 1, 'share': 1, 'connect': 1, 'clear': 1, 'vet': 1, 'twentyfive': 1, 'years': 1, 'less': 1, 'stress': 1, 'chest': 1, 'fate': 1, 'hands': 4, 'deep': 1, 'ground': 1, 'dear': 1, 'dog': 1, 'barking': 1, 'um': 1, 'sup': 1, 'palm': 2, 'reach': 2, 'pockets': 2, 'red': 1, 'headaches': 1, 'alcoholics': 1, 'wallet': 1, 'dreamin': 1, 'built': 1, 'o': 1, 'promised': 1, 'bring': 1, 'flavor': 1, 'seasons': 1, 'summer': 1, 'grass': 1, 'greener': 1, 'studies': 1, 'applause': 1, 'countin': 1, 'boss': 1, 'exhausting': 1, 'often': 1, 'both': 1, 'later': 1, 'posted': 1, 'goes': 14, 'conversation': 1, 'topic': 1, 'narcissism': 1, 'narcotics': 1, 'gather': 2, 'standin': 2, 'sit': 2, 'whoaoh': 2, 'ropes': 2, 'ladadada': 6, 'dadada': 8, 'ya': 2, 'ladadadada': 2, 'special': 1, 'delivery': 1, 'endless': 1, 'artillery': 1, 'enterprise': 1, 'lives': 1, 'die': 1, 'heaven': 1, 'mention': 1, 'wetter': 1, 'dry': 1, 'clementine': 1, 'peelin': 1, '57': 1, 'cept': 1, '75': 1, 'cross': 1, 'planets': 1, 'interstellar': 1, 'jackson': 1, 'packed': 1, 'action': 1, 'happenin': 1, 'relaxin': 1, 'exactly': 1, 'satisfaction': 1, 'circle': 1}"
2020,"{'i': 113, 'spent': 1, 'the': 58, 'whole': 5, 'day': 4, 'in': 21, 'my': 17, 'head': 4, 'do': 26, 'a': 39, 'little': 4, 'spring': 1, 'cleanin': 1, 'im': 31, 'always': 7, 'too': 6, 'busydreamin': 1, 'wellmaybe': 1, 'shouldwake': 1, 'up': 7, 'instead': 2, 'lot': 4, 'of': 13, 'thingsi': 1, 'regret': 1, 'but': 24, 'just': 19, 'say': 7, 'forget': 2, 'why': 5, 'cant': 1, 'it': 63, 'be': 16, 'easy': 1, 'does': 1, 'everybody': 1, 'need': 10, 'me': 30, 'to': 27, 'stay': 3, 'oh': 4, 'hate': 4, 'feelin': 4, 'when': 17, 'youre': 4, 'high': 1, 'underneath': 1, 'ceilin': 1, 'got': 4, 'cards': 1, 'hand': 3, 'dealin': 1, 'yeah': 33, 'get': 20, 'everything': 2, 'then': 3, 'gone': 3, 'aint': 21, 'stealin': 1, 'can': 18, 'break': 4, 'wish': 1, 'that': 16, 'could': 6, 'out': 4, 'goddamn': 1, 'way': 3, 'what': 5, 'is': 6, 'there': 5, 'better': 5, 'time': 8, 'than': 1, 'today': 2, 'well': 17, 'maybe': 5, 'ill': 3, 'lay': 2, 'down': 29, 'for': 9, 'tryin': 1, 'figure': 2, 'and': 32, 'all': 15, 'sorry': 2, 'half': 2, 'dont': 34, 'even': 4, 'know': 13, 'sayin': 1, 'about': 2, 'good': 6, 'news': 6, 'thats': 11, 'they': 18, 'wanna': 2, 'hear': 2, 'no': 20, 'like': 12, 'flyin': 2, 'make': 8, 'em': 2, 'so': 17, 'uncomfortable': 2, 'different': 2, 'whats': 4, 'difference': 2, 'bad': 5, 'worse': 1, 'runnin': 1, 'gas': 1, 'hardly': 1, 'anything': 2, 'left': 1, 'hope': 1, 'home': 3, 'from': 1, 'work': 1, 'tired': 2, 'bein': 6, 'gotta': 6, 'build': 2, 'somethin': 1, 'beautiful': 1, 'go': 18, 'set': 1, 'on': 8, 'fire': 2, 'liar': 1, 'sometimes': 2, 'truth': 2, 'sound': 2, 'cause': 3, 'love': 7, 'its': 18, 'if': 4, 'you': 47, 'new': 3, 'wake': 2, 'moon': 1, 'havent': 1, 'seen': 1, 'sun': 1, 'while': 1, 'heard': 2, 'skys': 1, 'still': 1, 'blue': 4, 'talk': 2, 'much': 3, 'more': 17, 'problem': 1, 'with': 8, 'closed': 1, 'door': 2, 'theres': 8, 'waitin': 4, 'other': 3, 'side': 1, 'wonderin': 1, 'feel': 3, 'summer': 1, 'late': 4, 'some': 3, 'finally': 2, 'discover': 2, 'mm': 5, 'at': 4, 'least': 1, 'hey': 18, 'this': 8, 'look': 1, 'right': 4, 'before': 4, 'fall': 5, 'stumblin': 1, 'around': 5, 'youve': 1, 'been': 4, 'guessingyourdirection': 1, 'next': 1, 'step': 1, 'youcant': 1, 'see': 4, 'donthave': 1, 'name': 2, 'have': 4, 'who': 4, 'am': 2, 'blame': 2, 'though': 2, 'cannot': 2, 'changed': 2, 'trust': 1, 'ive': 2, 'tried': 2, 'end': 1, 'start': 1, 'line': 5, 'drawin': 2, 'circles': 2, 'mmm': 9, 'drink': 1, 'whiskey': 1, 'sip': 1, 'your': 13, 'wine': 1, 'were': 2, 'doing': 1, 'sittin': 1, 'watchin': 1, 'world': 8, 'fallin': 1, 'decline': 1, 'keep': 7, 'safe': 5, 'not': 5, 'afraid': 4, 'feeling': 2, 'fine': 2, 'put': 3, 'any': 1, 'stress': 1, 'yourself': 1, 'one': 4, 'gettin': 2, 'pretty': 2, 'damn': 3, 'find': 2, 'goes': 7, 'hands': 1, 'countin': 1, 'thinkin': 1, 'should': 3, 'thank': 1, 'baby': 2, 'buy': 1, 'another': 1, 'round': 3, 'youcareand': 1, 'swearthat': 1, 'here': 2, 'itsgettin': 1, 'harder': 1, 'hunt': 1, 'away': 4, 'place': 3, 'lake': 1, 'such': 1, 'great': 3, 'view': 1, 'leave': 1, 'bank': 1, 'couple': 1, 'hunnid': 1, 'thou': 1, 'made': 3, 'once': 1, 'might': 7, 'ever': 2, 'needed': 1, 'was': 6, 'somebody': 2, 'reason': 1, 'sane': 1, 'since': 1, 'remember': 1, 'keepin': 1, 'together': 2, 'strange': 1, 'really': 2, 'seem': 3, 'used': 2, 'bullshit': 3, 'screws': 2, 'missin': 2, 'likely': 2, 'remind': 2, 'shit': 6, 'are': 4, 'design': 2, 'despite': 2, 'an': 2, 'only': 5, 'child': 2, 'family': 2, 'lets': 6, 'turn': 5, 'these': 4, 'genes': 2, 'into': 2, 'downs': 2, 'being': 1, 'honest': 1, 'conscience': 1, 'doin': 1, 'because': 1, 'try': 3, 'minus': 1, 'problems': 1, 'attract': 1, 'wheels': 1, 'back': 1, 'mind': 3, 'turnin': 1, 'til': 2, 'tires': 1, 'flat': 1, 'burn': 1, 'until': 6, 'crack': 1, 'lie': 3, 'facts': 1, 'may': 2, 'farfetched': 1, 'makebelieve': 1, 'full': 1, 'darkness': 1, 'stuck': 1, 'between': 1, 'rock': 1, 'hard': 2, 'walkin': 1, 'droppin': 1, 'change': 1, 'inside': 1, 'empty': 1, 'guitar': 1, 'case': 1, 'charity': 1, 'um': 1, 'move': 2, 'carelessly': 1, 'trippin': 1, 'guess': 1, 'electrolytes': 1, 'help': 1, 'distance': 1, 'efficient': 1, 'we': 16, 'meet': 1, 'again': 1, 'without': 2, 'alone': 2, 'mad': 3, 'worlditmade': 1, 'crazy': 4, 'mightjust': 1, 'oneeighty': 3, 'aintpolitickin': 1, 'kissin': 3, 'babies': 3, 'devil': 4, 'doorstep': 3, 'shady': 3, 'trip': 11, 'let': 12, 'him': 4, 'never': 7, 'mhm': 2, 'okay': 1, 'cool': 1, 'as': 1, 'weather': 1, 'fuck': 1, 'music': 1, 'enough': 4, 'color': 1, 'ooh': 5, 'city': 1, 'talkin': 1, 'had': 1, 'homies': 1, 'sudden': 1, 'split': 1, 'worried': 1, 'laughin': 1, 'rich': 1, 'how': 1, 'broke': 1, 'fix': 1, 'days': 5, 'by': 4, 'think': 1, 'lost': 1, 'realitys': 1, 'tryna': 3, 'call': 1, 'shine': 1, 'light': 1, 'dim': 1, 'god': 1, 'whip': 1, 'ridin': 1, 'bitch': 1, 'listenin': 1, 'us': 3, 'else': 1, 'flex': 1, 'bit': 1, 'big': 2, 'politickin': 2, 'now': 1, 'hold': 1, 'uh': 1, 'things': 1, 'built': 1, 'last': 1, 'justfadelike': 1, 'those': 1, 'beforeme': 1, 'will': 3, 'past': 1, 'gotquestions': 1, 'ask': 1, 'stories': 1, 'leaving': 1, 'where': 3, 'come': 2, 'believe': 1, 'close': 2, 'thatll': 1, 'sprung': 1, 'run': 1, 'heartbreak': 1, 'bankrupt': 1, 'many': 1, 'daze': 1, 'face': 1, 'space': 1, 'nobody': 1, 'makes': 1, 'lookin': 1, 'someone': 1, 'tell': 3, 'planet': 1, 'versus': 1, 'closing': 1, 'far': 1, 'beyond': 1, 'our': 1, 'control': 1, 'saved': 1, 'soul': 1, 'broken': 1, 'wait': 1, 'forever': 1, 'energy': 1, 'take': 1, 'stop': 1, 'slip': 1, 'bout': 1, 'life': 1, 'involved': 1, 'or': 1, 'small': 1, 'fault': 1, 'vault': 1, 'blindfolded': 1, 'going': 2, 'hit': 1, 'wall': 1, 'through': 1, 'motions': 1, 'body': 1, 'slowly': 1, 'said': 1, 'goin': 7, 'cometoo': 1, 'thewhole': 1, 'isopen': 1, 'playground': 1, 'andyou': 1, 'hell': 1, 'knows': 2, 'eyes': 1, 'ears': 1, 'mouth': 1, 'nose': 1, 'shoulders': 1, 'knees': 1, 'toes': 1, 'dream': 1, 'moment': 1, 'true': 1, 'she': 1, 'her': 1, 'clouds': 1, 'lower': 1, 'over': 1, 'promise': 1, 'comin': 1, 'would': 1, 'above': 1, 'went': 1, 'read': 1, 'oohh': 1, 'oohoohoohh': 1, 'old': 4, 'water': 4, 'flowers': 4, 'grow': 4, 'people': 2, 'gets': 2, 'lonely': 1, 'standin': 1, 'crowds': 1, 'most': 1, 'own': 1, 'somewhere': 1, 'startin': 1, 'ayy': 1}"
