Yearly info for T.I.,Frequency
2014,"{'we': 24, 'got': 13, 'london': 1, 'on': 40, 'da': 1, 'track': 1, 'woah': 1, 'yeah': 9, 'man': 11, 'tip': 4, 'in': 56, 'this': 17, 'motherfucker': 1, 'with': 49, 'me': 66, 'nigga': 29, 'to': 71, 'the': 115, 'max': 1, 'it': 68, 'racks': 1, 'i': 141, 'count': 1, 'six': 1, 'shots': 1, 'bustin': 1, 'out': 8, 'bando': 1, 'woo': 6, 'a': 71, 'jewelry': 1, 'real': 4, 'metal': 1, 'like': 9, 'can': 15, 'opener': 1, 'bling': 1, 'went': 3, 'from': 26, 'rags': 1, 'riches': 1, 'feature': 1, 'smart': 2, 'card': 1, 'bitch': 19, 'some': 3, 'lips': 1, 'skrrt': 2, 'and': 45, 'fn': 1, 'make': 7, 'my': 30, 'hip': 1, 'limp': 1, 'gah': 7, 'im': 18, 'goin': 1, 'fishin': 1, 'these': 9, 'little': 2, 'bitty': 1, 'shrimp': 1, 'dimps': 1, 'bank': 1, 'roll': 1, 'big': 2, 'dip': 1, 'she': 19, 'gon': 4, 'bring': 2, 'ship': 1, 'sheesh': 6, 'quite': 1, 'trill': 1, 'no': 47, 'quiktrip': 1, 'thugs': 2, 'alley': 1, 'know': 17, 'here': 4, 'just': 17, 'wanna': 22, 'have': 5, 'good': 3, 'day': 3, 'what': 32, 'smoke': 1, 'way': 4, 'more': 6, 'weed': 2, 'than': 7, 'guy': 1, 'la': 1, 'damn': 4, 'ill': 4, 'hold': 4, 'them': 23, 'birds': 1, 'til': 1, 'next': 1, 'may': 1, 'goddamn': 2, 'never': 11, 'let': 4, 'em': 7, 'fly': 1, 'away': 2, 'heard': 2, 'hey': 11, 'buddy': 2, 'listen': 7, 'say': 14, 'if': 33, 'aint': 52, 'about': 14, 'money': 14, 'dont': 31, 'be': 33, 'blowin': 3, 'up': 18, 'gettin': 3, 'brr': 1, 'hello': 1, 'use': 3, 'you': 117, 'ringin': 3, 'line': 3, 'stop': 7, 'wastin': 3, 'time': 9, 'bye': 1, 'bruh': 1, 'nah': 3, 'cant': 7, 'even': 6, 'hear': 4, 'finna': 4, 'do': 16, 'shit': 11, 'miss': 6, 'turn': 10, 'go': 15, 'tell': 10, 'pack': 6, 'an': 6, '11': 6, 'ayy': 19, 'boom': 6, 'ridin': 3, 'gator': 3, 'shoes': 4, 'are': 5, 'giuseppe': 3, 'ooh': 3, 'uh': 12, 'watcha': 3, 'they': 29, 'slime': 3, 'reverend': 6, 'shoot': 4, 'at': 9, 'bah': 3, 'pants': 3, 'grocery': 3, 'store': 5, 'stuffed': 3, 'lettuce': 3, 'bankroll': 3, 'mafia': 3, 'try': 3, 'extras': 3, 'bitches': 19, 'hustle': 5, 'when': 10, 'its': 7, 'bout': 4, 'pay': 5, 'ima': 7, 'bail': 3, 'yuh': 3, 'think': 6, 'neighborhood': 5, 'for': 22, 'standin': 3, 'corner': 2, 'pocket': 4, 'full': 4, 'of': 34, 'dough': 3, 'damned': 3, 'wife': 2, 'hood': 4, 'ho': 11, 'learned': 4, 'that': 23, 'ugk': 2, 'back': 6, 'stones': 2, 'put': 7, 'your': 8, 'down': 6, 'could': 2, 'buck': 1, 'hard': 4, '4': 1, 'playin': 2, 'send': 1, 'through': 4, 'car': 2, 'door': 1, 'watch': 3, 'flooded': 1, 'sick': 2, 'parvo': 1, 'doin': 2, 'black': 2, 'yellow': 1, 'free': 9, 'hardo': 1, 'head': 7, 'honcho': 1, 'tonto': 1, 'quick': 2, 'bricks': 1, 'bronco': 1, 'niggas': 4, 'talk': 1, 'well': 3, 'respond': 1, 'murder': 5, 'convo': 1, 'trap': 1, 'slangin': 1, 'blow': 2, '80s': 1, 'babies': 1, 'used': 3, 'slang': 1, 'crack': 2, 'buy': 1, 'stolen': 1, 'while': 3, 'he': 19, 'bang': 2, 'ak': 1, 'ever': 4, 'took': 3, 'loss': 1, 'better': 6, 'catch': 4, 'witcha': 1, 'betcha': 1, 'brains': 1, 'babow': 1, 'best': 2, 'behavior': 1, 'addressin': 1, 'because': 4, 'byegones': 1, 'disrespect': 1, 'felony': 1, 'get': 26, 'paid': 2, 'but': 16, 'not': 7, 'interested': 1, 'all': 11, 'fuck': 9, 'bad': 14, 'want': 22, 'mediocre': 45, 'only': 6, 'wont': 6, 'hit': 4, 'stuntin': 4, 'hoes': 4, 'stunt': 4, '7': 4, 'none': 5, 'toes': 4, 'so': 15, 'far': 4, 'right': 12, 'hand': 3, 'air': 1, 'solemnly': 1, 'swear': 7, 'her': 8, 'hair': 1, 'dick': 3, 'bush': 1, 'there': 3, 'girl': 3, 'should': 1, 'see': 3, 'nothing': 1, 'pussy': 1, 'look': 1, 'come': 1, 'call': 1, 'ask': 2, 'how': 5, 'him': 10, 'kicked': 1, 'four': 1, 'pieces': 1, 'kit': 1, 'kat': 1, 'fucking': 2, 'dime': 1, 'forget': 1, 'pretty': 2, 'face': 3, 'fat': 1, 'ass': 1, 'one': 3, 'pass': 1, 'handed': 1, 'keys': 1, 'new': 9, 'drop': 1, 'jag': 1, 'shoulda': 1, 'asked': 1, 'benz': 1, 'thats': 8, 'lay': 1, 'iggy': 2, 'gave': 2, 'twice': 1, 'now': 7, '3': 1, 'mike': 1, 'bibby': 1, 'diva': 1, 'need': 7, 'boy': 1, 'rest': 1, 'peace': 7, 'whitney': 1, 'pardon': 1, 'billboard': 1, 'running': 1, 'place': 2, 'heels': 2, 'saying': 2, 'gimme': 1, '6': 1, 'inches': 1, 'space': 1, 'courtside': 1, 'designer': 1, 'frames': 1, 'cover': 1, 'everybody': 1, 'game': 1, 'taste': 1, 'still': 2, 'grand': 1, 'first': 1, 'lady': 1, 'bet': 1, '12': 1, 'rounds': 1, 'million': 1, 'dollar': 1, 'baby': 2, 'change': 1, 'life': 3, 'playing': 2, 'talking': 1, 'iggs': 1, 'brazil': 1, 'mansion': 1, 'hills': 1, 'tennis': 1, 'throw': 5, 'type': 1, 'split': 1, 'mil': 2, 'though': 2, 'trying': 2, 'find': 1, 'someone': 1, 'last': 1, 'take': 3, 'castle': 1, 'drown': 1, 'cash': 1, 'flow': 1, 'fit': 2, 'asshole': 1, 'told': 2, 'ride': 2, 'further': 1, 'cab': 1, 'said': 2, 'dumb': 1, 'tutor': 1, 'give': 3, 'brain': 1, 'getting': 1, 'scooter': 1, 'had': 4, 'sex': 1, 'beach': 1, 'bermuda': 1, 'cuba': 1, 'done': 3, 'fucked': 4, 'lot': 1, 'dimes': 1, 'looking': 1, 'cuter': 1, 'sit': 1, 'around': 3, 'who': 15, 'super': 1, 'thick': 1, 'ménage': 1, 'à': 1, 'veinte': 1, '20': 1, 'same': 2, 'ya': 2, 'rent': 1, 'radio': 1, 'prolly': 1, 'gonna': 2, 'play': 4, 'chopper': 1, 'going': 3, 'off': 1, 'afghanistan': 1, 'or': 13, 'gaza': 1, 'strip': 1, 'somewhere': 1, 'much': 2, 'probably': 1, 'numb': 1, 'by': 7, 'after': 2, 'american': 1, 'home': 7, 'brave': 5, 'land': 5, 'beautiful': 4, 'cursed': 4, 'hate': 7, 'is': 12, 'national': 8, 'anthem': 8, 'america': 2, 'handgun': 1, 'shotgun': 1, 'youre': 2, 'dead': 1, 'was': 8, 'before': 1, 'start': 1, 'part': 1, 'guess': 2, 'ks': 1, 'vets': 2, 'alone': 1, 'js': 1, 'smoking': 1, 'yay': 1, 'cause': 1, 'stressed': 1, 'chrome': 1, 'tek': 1, 'taught': 1, 'spray': 1, 'respect': 1, 'stay': 5, 'jects': 1, 'bought': 1, 'work': 1, 'burning': 1, 'rubber': 1, 'vettes': 1, 'as': 4, 'gets': 1, 'rats': 2, 'then': 4, 'older': 1, 'god': 3, 'blessed': 1, 'eight': 1, 'figures': 1, 'turned': 1, 'goon': 1, 'great': 1, 'young': 5, 'complaining': 1, 'doing': 3, 'raised': 1, 'decade': 1, 'always': 1, 'dodging': 1, 'polices': 1, 'too': 4, '38': 1, 'shoe': 1, 'changes': 1, 'system': 1, 'will': 5, 'killer': 1, 'homicide': 1, 'hell': 3, 'theyll': 1, 'trial': 1, 'sentence': 1, 'smile': 1, '19': 1, 'child': 2, 'his': 3, 'mama': 1, 'gone': 1, 'cried': 1, 'inside': 1, 'own': 1, 'other': 1, 'son': 1, 'died': 1, 'politician': 1, 'lied': 2, 'snake': 1, 'suit': 1, 'hide': 1, 'disguise': 1, 'officer': 1, 'did': 5, 'naw': 1, 'live': 9, 'over': 2, 'ay': 4, 'trippin': 1, 'dawg': 1, 'many': 1, 'times': 1, 'has': 1, 'happened': 1, 'being': 3, 'wonder': 2, 'why': 5, 'walk': 1, 'straps': 1, 'stars': 1, 'stripes': 1, 'prison': 1, 'bars': 1, 'pipe': 1, 'rolling': 1, 'cigar': 1, 'light': 1, 'red': 1, 'either': 1, 'blue': 1, 'selling': 1, 'white': 2, 'gun': 2, 'run': 1, 'fight': 1, 'trayvon': 1, 'hoodie': 1, 'walking': 1, 'didnt': 4, 'die': 4, 'dad': 1, 'judge': 1, 'city': 1, 'pen': 1, 'jury': 1, 'peers': 1, 'forgiven': 1, 'touch': 1, 'mine': 2, 'wrong': 1, 'kill': 2, 'fill': 1, 'lead': 1, 'martin': 1, 'luther': 1, 'kings': 1, 'killed': 1, 'malcolm': 1, 'x': 1, 'edgar': 1, 'hoover': 1, 'where': 1, 'shooting': 2, 'hoovers': 1, 'whether': 1, 'piru': 1, 'vls': 1, 'gds': 1, 'wit': 1, 'uprise': 1, 'ogs': 1, 'peewees': 1, 'found': 1, 'something': 5, 'willing': 2, 'youve': 2, 'must': 1, 'kids': 2, 'future': 1, 'co': 1, 'teacher': 1, 'means': 1, 'government': 2, 'people': 4, 'prisoners': 2, 'keep': 2, 'children': 1, 'becoming': 1, 'sense': 1, '9': 1, 'ounces': 1, 'rape': 1, 'crazy': 1, 'boys': 1, 'tote': 1, 'felonies': 1, 'dirt': 1, 'streets': 1, 'anybody': 1, 'deserve': 1, 'mean': 1, 'ran': 2, 'public': 1, 'pistol': 1, 'innocent': 1, 'school': 1, 'killing': 1, 'result': 1, 'refusing': 1, 'deal': 1, 'issues': 1, 'product': 1, 'environment': 1, 'placed': 1, 'us': 3, 'lived': 1, 'message': 1, 'waiting': 2, 'folk': 1, 'help': 2, 'yourself': 2, 'starts': 1, 'reach': 1, 'somebody': 1, 'else': 1, 'were': 1, 'ahead': 1, 'sitting': 1, 'happen': 1, 'partner': 2, 'into': 1, 'their': 1, 'making': 1, 'easy': 1, 'fussin': 1, 'love': 19, 'ohh': 3, 'shawty': 8, 'ashamed': 3, 'beg': 3, 'foreal': 3, 'high': 3, 'knees': 6, 'together': 4, 'forever': 4, 'war': 6, 'rhetorical': 6, 'answer': 6, 'please': 6, 'aye': 1, 'would': 1, 'matter': 1, 'fell': 2, 'maybe': 1, 'simpler': 1, 'sellin': 1, 'drugs': 1, 'bed': 1, 'trafficking': 1, 'thing': 1, 'everything': 1, 'tired': 1, 'tellin': 1, 'lies': 1, 'games': 1, 'remember': 1, 'tattoo': 1, 'name': 1, 'wedding': 1, 'dress': 1, 'train': 1, 'spent': 1, 'whole': 2, 'chill': 2, 'miami': 1, 'dare': 1, 'compare': 1, 'dude': 1, 'piece': 1, 'close': 1, 'jail': 1, 'gotta': 1, 'kneel': 1, 'left': 1, 'apart': 1, 'heart': 1, 'end': 1, 'again': 1, 'breaking': 1, 'chose': 1, 'bid': 1, 'cards': 1, 'runnin': 1, 'round': 1, 'town': 1, 'education': 1, 'hatin': 1, 'broads': 1, 'hot': 1, 'involved': 1, 'changed': 1, 'since': 1, 'met': 1, 'bless': 1, 'until': 1, 'pray': 1}"
2013,"{'ayy': 1, 'in': 38, 'my': 38, 'apartment': 1, 'a': 34, 'long': 1, 'time': 7, 'ago': 1, 'i': 63, 'knew': 1, 'bad': 2, 'bitch': 9, 'but': 12, 'she': 27, 'was': 4, 'kinda': 1, 'slow': 1, 'still': 2, 'gave': 3, 'it': 20, 'up': 21, 'when': 15, 'its': 1, 'few': 3, 'of': 19, 'us': 5, 'let': 2, 'me': 171, 'fingerfuck': 1, 'her': 17, 'on': 19, 'the': 54, 'school': 4, 'bus': 1, 'we': 18, 'used': 2, 'to': 27, 'cut': 3, 'with': 20, 'and': 37, 'run': 2, 'train': 1, 'wanted': 2, 'hang': 1, 'one': 6, 'thang': 1, 'just': 8, 'penetratin': 1, 'that': 24, 'throat': 1, 'dawg': 2, 'choked': 1, 'like': 6, 'smoke': 1, 'whenever': 1, 'fucked': 2, 'reup': 1, 'dice': 1, 'game': 3, 'go': 11, 'see': 4, 'shell': 1, 'give': 3, 'enough': 1, 'buy': 4, 'quarter': 1, 'ounce': 1, 'then': 13, 'blow': 1, 'blunt': 1, 'reefer': 1, 'nigga': 14, 'new': 4, 'sneakers': 1, 'pay': 1, 'bill': 1, 'beeper': 1, 'so': 7, 'can': 3, 'page': 1, 'put': 7, '69': 1, 'know': 6, 'freak': 1, 'day': 2, 'asked': 1, 'why': 2, 'you': 27, 'always': 3, 'your': 7, 'ass': 4, 'mean': 2, 'damn': 1, 'these': 16, 'hoes': 2, 'get': 6, 'paid': 1, 'all': 17, 'do': 10, 'is': 8, 'laidthis': 1, 'shit': 2, 'dont': 5, 'add': 1, 'said': 4, 'tip': 1, 'wanna': 1, 'feel': 1, 'love': 2, 'even': 5, 'if': 6, 'aint': 19, 'real': 1, 'only': 3, 'finna': 1, 'hit': 2, 'never': 5, 'call': 4, 'back': 9, 'fuck': 3, 'thats': 3, 'trill': 1, 'need': 2, 'somethin': 1, 'steal': 1, 'trap': 1, 'hot': 2, 'police': 2, 'ride': 2, 'guess': 2, 'where': 1, 'chill': 1, 'for': 12, 'bout': 6, 'four': 2, 'years': 1, 'held': 1, 'dope': 1, 'pounds': 1, 'til': 2, 'down': 4, 'remember': 1, 'shawty': 1, 'stayed': 2, 'wont': 3, 'say': 1, 'name': 1, 'cause': 1, 'married': 1, 'now': 5, 'lights': 3, 'out': 9, 'im': 27, 'bed': 6, 'think': 7, 'madness': 3, 'head': 6, 'things': 6, 'did': 8, 'memories': 3, 'ive': 3, 'had': 7, 'would': 4, 'turn': 1, 'heads': 1, 'shed': 2, 'fall': 2, 'through': 2, 'make': 4, 'moves': 1, 'how': 2, 'boss': 3, 'any': 1, 'chick': 2, 'niggas': 19, 'tried': 4, 'talk': 4, 'came': 1, 'thing': 2, 'kicked': 1, 'roll': 2, 'weed': 4, 'wed': 2, 'both': 1, 'class': 1, 'post': 1, 'steady': 1, 'watchin': 1, 'comin': 1, 'got': 27, 'close': 1, 'over': 1, 'right': 2, 'around': 2, 'first': 1, 'signed': 1, 'come': 2, 'about': 4, '17': 1, 'have': 3, 'license': 1, 'couldnt': 1, 'drive': 2, 'goin': 1, 'forth': 1, 'each': 2, 'flight': 1, 'another': 2, 'show': 3, 'after': 3, 'night': 3, 'became': 1, 'suspicious': 1, 'other': 1, 'bitches': 3, 'phone': 3, 'fight': 1, 'torn': 1, 'between': 1, 'two': 2, 'wasnt': 3, 'really': 3, 'much': 2, 'more': 3, 'could': 2, 'space': 1, 'every': 3, 'tour': 1, 'seen': 1, 'huh': 1, 'yeah': 2, 'this': 3, 'little': 2, 'caught': 1, 'eye': 1, 'told': 1, 'hurry': 1, 'meet': 1, 'at': 1, 'room': 1, 'no': 9, 'didnt': 2, 'contraceptive': 1, 'what': 1, 'common': 1, 'sense': 1, 'neglected': 1, 'months': 1, 'later': 1, 'next': 2, 'text': 1, 'pregnant': 1, 'almost': 1, 'bet': 1, 'kept': 1, 'reason': 1, 'left': 1, 'top': 1, 'mine': 2, 'went': 1, 'paternity': 1, 'testeddamn': 1, 'wait': 4, 'hol': 2, 'them': 6, 'big': 3, 'ol': 2, 'thighs': 2, 'jay': 1, '305': 1, 'high': 3, 'five': 1, 'pursuit': 1, 'until': 1, 'kendrick': 1, 'monte': 1, 'carlo': 1, 'cruise': 1, 'shot': 1, 'pride': 1, 'improv': 1, 'freestyle': 1, 'lookin': 2, 'tallest': 1, 'fetti': 1, 'overlookin': 1, 'quite': 1, 'ready': 2, 'rain': 1, 'break': 2, 'levee': 1, 'pussy': 5, 'petty': 1, 'nails': 1, 'hair': 1, 'cell': 1, 'selfish': 1, 'numbers': 1, 'hummer': 1, 'prima': 1, 'donna': 1, 'smelt': 1, 'ho': 4, 'some': 3, 'or': 2, 'patience': 1, 'stop': 1, 'line': 1, 'dreams': 1, 'holds': 1, 'versace': 1, 'armani': 1, 'deal': 1, 'rich': 1, 'niggasfuck': 1, 'mick': 1, 'romney': 1, 'grown': 1, 'own': 2, 'pooooppin': 1, 'change': 1, 'home': 3, 'ooooptions': 1, 'fast': 1, 'forward': 1, 'three': 2, 'kids': 1, 'baby': 1, 'daddies': 1, 'same': 1, 'car': 1, 'note': 1, 'overdue': 1, 'dick': 1, 'yo': 10, 'face': 1, 'gun': 2, 'purse': 1, 'work': 2, 'cum': 1, 'pass': 1, 'slime': 1, 'greener': 1, 'than': 3, 'lime': 1, 'many': 1, 'knots': 1, 'pockets': 1, 'massage': 1, 'born': 1, 'drought': 1, 'hope': 1, 'die': 3, 'mouth': 1, 'youre': 1, 'rat': 1, 'shouldve': 1, 'died': 1, 'as': 2, 'mouse': 1, 'louder': 1, 'opera': 1, 'house': 3, 'fat': 1, 'lady': 1, 'sings': 1, 'drop': 2, 'codeine': 1, 'punch': 1, 'take': 1, 'swing': 1, 'thinkin': 2, 'soft': 1, 'ill': 2, 'knock': 1, 'cap': 1, 'off': 1, 'blood': 1, 'pussies': 1, 'stinking': 1, 'tampon': 1, 'orleans': 1, 'regardless': 1, 'fallin': 1, 'august': 1, 'sell': 2, 'bullshit': 2, 'taurus': 1, 'badder': 1, 'adam': 1, 'eve': 1, 'tricks': 1, 'skateboard': 1, 'not': 4, 'sleeve': 1, 'kiss': 1, 'neck': 1, 'shoot': 1, 'man': 2, 'his': 3, 'mama': 1, 'address': 1, 'send': 1, 'parents': 1, 'play': 3, 'crucify': 2, 'kidnap': 2, 'em': 4, 'they': 9, 'ask': 4, 'who': 3, 'gone': 3, 'lil': 4, 'wayne': 3, 'tunechi': 3, 'titties': 2, 'kill': 2, 'gotta': 2, 'wit': 150, 'playin': 6, '100': 12, 'racks': 7, 'van': 6, 'gat': 6, 'streets': 3, 'shes': 3, 'hes': 3, 'strong': 3, 'gas': 3, 'drank': 3, 'been': 2, 'dumb': 1, 'sucka': 1, 'neither': 1, 'ahead': 1, 'cash': 1, 'deck': 1, 'be': 4, 'layin': 1, 'round': 1, 'k': 1, 'sprayin': 1, 'rounds': 1, 'cold': 1, 'believe': 1, 'swear': 1, 'legs': 2, 'spread': 1, 'eagle': 1, 'took': 1, 'ego': 1, 'stupid': 1, 'tell': 1, 'something': 1, 'bread': 1, 'muhammad': 2, 'ali': 2, 'whoop': 1, 'throwed': 1, 'catchin': 1, 'sad': 1, 'sure': 1, 'care': 1, 'their': 1, 'misery': 1, 'sympathy': 1, 'green': 1, 'uh': 5, 'leave': 3, 'heat': 1, 'records': 1, 'him': 1, 'public': 1, 'nothing': 1, 'violator': 1, 'demonstrations': 1, 'imma': 1, 'under': 1, 'wherever': 1, 'want': 2, 'pocket': 1, 'llamas': 1, 'bag': 1, 'couple': 1, 'hundreds': 2, 'gunner': 1, 'spraying': 1, 'whatever': 1, 'reach': 1, 'seein': 1, 'whoever': 1, 'smoked': 1, 'city': 1, 'war': 1, 'life': 1, 'catch': 2, 'cali': 1, 'philly': 1, 'miami': 1, 'choppers': 1, 'keep': 1, 'gossippin': 1, 'probably': 1, 'money': 1, 'before': 1, 'judge': 1, 'plead': 1, 'guilty': 1, 'wish': 1, 'splinter': 1, 'bought': 1, 'chicken': 2, 'into': 1, 'tenders': 1, 'block': 1, 'booming': 1, 'human': 1, 'zoomin': 1, 'eyes': 1, 'boom': 1, 'giant': 1, 'leap': 1, 'mankind': 1, 'moon': 1, 'men': 1, 'waist': 1, 'far': 1, 'away': 1, 'sparkling': 1, 'chardonnay': 1, 'here': 1, 'today': 2, 'hey': 1, 'true': 1, 'hold': 2, 'yard': 1, 'cant': 1, 'king': 1, 'tune': 1, 'locked': 1, 'covered': 1, 'angle': 1, 'outside': 1, 'inside': 1, 'middle': 1, 'lane': 1, 'too': 1, 'sold': 1, 'pimps': 1, 'loop': 1, 'handcuff': 1, 'well': 1, 'pole': 1, 'shoulders': 1, 'hangin': 1, 'dead': 1, 'rollin': 1, 'loud': 1, 'counting': 1, '100s': 1, '50s': 1, '250': 1, 'arenas': 1, 'un': 1, 'cities': 1, 'trouble': 1, 'bringing': 1, 'fuckin': 3, 'ti': 1, 'pimp': 1, 'ahhh': 1, 'scream': 1, 'sorry': 1}"
