Yearly info for ChildishGambino,Frequency
2018,"{'yeah': 62, 'go': 15, 'away': 4, 'we': 8, 'just': 18, 'wanna': 4, 'party': 8, 'for': 8, 'you': 35, 'want': 3, 'the': 24, 'money': 17, 'i': 25, 'know': 13, 'free': 2, 'girl': 4, 'got': 6, 'me': 9, 'dancin': 4, 'dance': 2, 'and': 4, 'shake': 2, 'frame': 2, 'ooh': 3, 'this': 19, 'is': 8, 'america': 7, 'dont': 10, 'catch': 10, 'slippin': 10, 'now': 16, 'look': 6, 'what': 5, 'im': 18, 'whippin': 4, 'woo': 14, 'skrrt': 2, 'ayy': 12, 'how': 2, 'livin': 1, 'police': 1, 'be': 1, 'trippin': 1, 'guns': 1, 'in': 8, 'my': 6, 'area': 2, 'word': 1, 'strap': 1, 'gotta': 1, 'carry': 1, 'em': 1, 'ima': 3, 'into': 1, 'ugh': 1, 'guerilla': 1, 'get': 24, 'bag': 1, 'or': 1, 'pad': 1, 'so': 5, 'cold': 1, 'like': 21, 'dope': 1, 'gon': 3, 'blow': 1, 'straight': 1, 'up': 2, 'uh': 1, 'oohoohoohoohooh': 3, 'tell': 7, 'somebody': 6, 'grandma': 3, 'told': 3, 'your': 14, 'black': 27, 'man': 29, 'yourblack': 3, 'woah': 3, 'slime': 1, 'geekin': 1, 'out': 2, 'hey': 1, 'fitted': 2, 'on': 7, 'gucci': 2, 'pretty': 1, 'it': 16, 'watch': 1, 'move': 2, 'blaow': 2, 'a': 12, 'celly': 1, 'ha': 1, 'thats': 1, 'tool': 1, 'kodak': 1, 'that': 10, 'hold': 1, 'work': 1, '21': 1, 'hunnid': 4, 'bands': 4, 'contraband': 4, 'plug': 1, 'oaxaca': 1, 'they': 2, 'gonna': 1, 'find': 1, 'blocka': 1, 'checked': 1, 'following': 1, 'list': 1, 'mothafuckas': 1, 'owe': 1, '1': 1, '2': 1, '3get': 1, 'down': 7, 'world': 6, 'barcode': 1, 'drivin': 1, 'expensive': 1, 'foreigns': 1, 'big': 2, 'dawg': 1, 'kenneled': 1, 'him': 1, 'backyard': 1, 'no': 3, 'probably': 1, 'aint': 1, 'life': 1, 'to': 4, 'dog': 2, 'can': 3, 'feel': 14, 'streets': 3, 'day': 4, 'heat': 3, 'summer': 12, 'she': 1, 'seven': 1, 'billion': 1, 'souls': 1, 'around': 1, 'sun': 1, 'rolling': 1, 'faster': 1, 'fast': 1, 'not': 1, 'chance': 1, 'slow': 4, 'men': 1, 'who': 1, 'made': 2, 'machines': 1, 'decide': 1, 'parents': 1, 'tryna': 1, 'their': 1, 'children': 1, 'please': 1, 'oh': 5, 'pain': 2, 'hopin': 2, 'will': 3, 'change': 6, 'but': 4, 'seems': 4, 'same': 6, 'feels': 2, 'every': 1, 'gets': 1, 'hotter': 1, 'than': 1, 'one': 1, 'before': 1, 'running': 1, 'of': 1, 'water': 1, 'its': 1, 'about': 1, 'air': 1, 'kill': 1, 'bees': 1, 'depend': 1, 'upon': 1, 'birds': 1, 'were': 1, 'singing': 1, 'waking': 1, 'sound': 2, 'hope': 2, 'really': 1, 'thought': 1, 'could': 1, 'mind': 1, 'still': 1, 'hoping': 1}"
2016,"{'daylight': 1, 'i': 27, 'wake': 1, 'up': 11, 'feeling': 1, 'like': 4, 'you': 91, 'wont': 3, 'play': 1, 'right': 3, 'used': 1, 'to': 19, 'know': 9, 'but': 15, 'now': 13, 'that': 17, 'shit': 2, 'dont': 21, 'feel': 2, 'it': 29, 'made': 2, 'me': 17, 'put': 3, 'away': 4, 'my': 15, 'pride': 5, 'so': 12, 'long': 2, 'a': 20, 'nigga': 2, 'wait': 1, 'for': 7, 'some': 2, 'make': 14, 'hard': 1, 'boy': 5, 'go': 3, 'on': 5, 'im': 37, 'wishing': 1, 'could': 1, 'this': 7, 'mine': 1, 'oh': 24, 'if': 6, 'want': 13, 'yeah': 3, 'can': 9, 'have': 5, 'need': 2, 'ooh': 14, 'we': 13, 'stay': 15, 'woke': 9, 'niggas': 6, 'creepin': 7, 'they': 10, 'gon': 11, 'find': 6, 'catch': 7, 'sleepin': 4, 'close': 9, 'your': 14, 'eyes': 3, 'too': 3, 'late': 2, 'wanna': 4, 'its': 2, 'peanut': 1, 'butter': 1, 'chocolate': 1, 'cake': 1, 'with': 6, 'koolaid': 1, 'trying': 1, 'not': 2, 'waste': 1, 'time': 7, 'better': 4, 'believe': 1, 'in': 21, 'something': 1, 'ah': 1, 'be': 4, 'hands': 2, 'baby': 6, 'howd': 5, 'get': 10, 'scandalous': 4, 'love': 16, 'when': 12, 'are': 10, 'smoking': 8, 'lalalalala': 8, 'do': 4, 'what': 2, 'telling': 1, 'let': 7, 'into': 4, 'heart': 4, 'cant': 3, 'stand': 1, 'backhanded': 1, 'see': 3, 'us': 4, 'falling': 2, 'apart': 1, 'really': 5, 'ima': 2, 'girl': 5, 'ahhh': 1, 'is': 2, 'the': 21, 'end': 1, 'of': 2, 'sleeping': 1, 'moon': 1, 'and': 8, 'stars': 1, 'where': 1, 'youve': 1, 'been': 1, 'far': 1, 'then': 1, 'near': 1, 'aint': 2, 'no': 15, 'bullshit': 1, 'god': 2, 'got': 3, 'hold': 6, 'isnt': 2, 'just': 6, 'puppy': 2, 'smokin': 1, 'woo': 1, 'theres': 1, 'bottom': 1, 'top': 1, 'moment': 1, 'always': 1, 'around': 2, 'coming': 1, 'quickly': 1, 'behind': 1, 'people': 4, 'underground': 1, 'misbehave': 1, 'haunt': 1, 'grave': 1, 'going': 1, 'eat': 2, 'alive': 1, 'please': 4, 'rude': 1, 'fast': 2, 'food': 1, 'run': 2, 'hide': 5, 'youre': 4, 'one': 6, 'thats': 5, 'terrified': 4, 'la': 10, 'spinning': 24, 'oohoh': 1, 'from': 3, 'she': 7, 'move': 4, 'california': 6, 'mustve': 3, 'fucking': 3, 'lost': 3, 'her': 5, 'mind': 5, 'how': 4, 'every': 1, 'movie': 2, 'friends': 1, 'minute': 2, 'everybody': 2, 'say': 2, 'loop': 2, 'at': 1, 'saying': 1, 'did': 1, 'show': 1, 'done': 1, 'enough': 1, 'finish': 2, 'pay': 3, 'attention': 1, 'listen': 1, 'keep': 1, 'losing': 1, 'looking': 1, 'vine': 2, 'privilege': 2, 'broke': 3, 'koreatown': 3, 'condo': 3, 'rented': 3, 'percentage': 3, 'he': 2, 'hang': 2, 'dc': 2, 'fly': 2, 'all': 4, 'follower': 1, 'watching': 1, 'haha': 1, 'girlfriend': 1, 'giggle': 1, 'official': 1, 'serena': 1, 'vista': 1, 'supernova': 1, 'new': 1, 'residual': 1, 'making': 2, 'money': 1, 'little': 4, 'smoker': 1, 'illegal': 3, 'living': 1, 'laughing': 1, 'snap': 1, 'difference': 1, 'tickle': 1, 'fore': 1, 'sentence': 1, 'pimp': 1, 'feet': 1, 'tiny': 2, 'beat': 1, 'thinkin': 1, 'bout': 1, 'spent': 1, 'together': 2, 'leave': 1, 'deceive': 1, 'mama': 2, 'cries': 1, 'daddys': 1, 'lies': 1, 'take': 11, 'him': 3, 'cause': 2, 'ive': 3, 'had': 2, 'joy': 4, 'hope': 6, 'pain': 1, 'tears': 1, 'many': 2, 'nights': 1, 'years': 1, 'fading': 1, 'waited': 1, 'never': 3, 'came': 1, 'home': 1, 'lied': 1, 'about': 1, 'were': 1, 'supposed': 1, 'other': 1, 'son': 1, 'will': 3, 'yes': 1, 'there': 2, 'was': 1, 'before': 1, 'after': 1, 'though': 1, 'these': 1, 'bodies': 1, 'our': 1, 'own': 1, 'walk': 2, 'tall': 2}"
