Yearly info for LilKim,Frequency
1997,"{'undeas': 2, 'lil': 6, 'ceaser': 1, 'queen': 3, 'b': 1, 'thats': 3, 'me': 37, 'kim': 6, 'yo': 4, 'i': 52, 'be': 14, 'buyin': 1, 'em': 4, 'vs': 1, 'so': 4, 'all': 11, 'my': 19, 'girls': 2, 'eyein': 1, 'cease': 2, 'comin': 2, 'backstage': 1, 'dyin': 1, 'to': 42, 'get': 9, 'pleased': 1, 'you': 67, 'got': 22, 'rock': 2, 'thee': 1, 'versace': 1, 'and': 26, 'linen': 1, 'while': 4, 'stop': 2, 'your': 17, 'grinnin': 1, 'wit': 2, 'bunch': 1, 'of': 13, 'foxy': 1, 'women': 1, 'why': 2, 'speed': 2, 'ball': 1, 'with': 15, 'cards': 1, 'invalid': 1, 'clothes': 2, 'custom': 1, 'made': 2, 'from': 8, 'a': 64, 'stylist': 1, 'cruise': 1, 'in': 17, 'lexus': 1, 'land': 1, 'no': 8, 'mileage': 1, 'walk': 1, 'the': 83, 'street': 2, 'until': 1, 'feet': 1, 'calloused': 1, 'take': 2, 'on': 38, 'natural': 1, 'high': 2, 'like': 12, 'pilot': 1, 'it': 8, 'good': 3, 'toss': 1, 'salad': 1, 'when': 3, 'its': 13, 'over': 1, 'put': 7, 'vote': 1, 'ballot': 1, 'diner': 1, 'im': 5, 'mel': 1, 'youre': 1, 'alice': 1, 'spend': 1, 'night': 33, 'palace': 1, 'as': 3, 'long': 1, 'dont': 10, 'act': 1, 'childish': 1, 'standin': 1, 'there': 1, 'crist': 1, 'cup': 1, 'if': 6, 'worse': 2, 'come': 1, 'keep': 9, 'this': 21, 'hush': 2, 'uhh': 4, 'know': 19, 'seen': 6, 'video': 6, 'true': 12, 'heard': 6, 'radio': 6, 'but': 10, 'still': 9, 'pay': 6, 'attention': 6, 'listenin': 6, 'what': 21, 'girlfriends': 6, 'mention': 6, 'hes': 18, 'slut': 6, 'ho': 6, 'freak': 7, 'different': 6, 'girl': 8, 'every': 6, 'day': 6, 'week': 6, 'cool': 6, 'not': 10, 'tryin': 8, 'rush': 6, 'had': 6, 'let': 6, 'that': 11, 'crush': 6, 'ayo': 2, 'shorty': 1, 'wont': 2, 'go': 2, 'bag': 1, 'lethal': 1, 'ill': 2, 'undressed': 1, 'bra': 1, 'see': 4, 'through': 1, 'count': 1, 'jewels': 1, 'thinkin': 2, 'ima': 2, 'cheat': 1, 'only': 2, 'one': 10, 'thing': 1, 'wanna': 3, 'do': 2, 'is': 23, 'stone': 1, 'sets': 1, 'own': 1, 'baguettes': 1, 'doin': 1, 'things': 1, 'regret': 1, 'bee': 2, 'best': 1, 'heed': 1, 'shall': 1, 'proceed': 1, 'yes': 2, 'indeed': 1, 'throw': 1, 'shade': 1, 'cant': 2, 'paid': 1, 'blow': 1, 'up': 7, 'army': 1, 'grenade': 1, 'can': 3, 'slide': 1, 'ice': 1, 'escapade': 1, 'itchygitchyyaya': 1, 'marmalade': 1, 'who': 2, 'oh': 26, 'whos': 1, 'he': 1, 'even': 2, 'dig': 1, 'mans': 1, 'style': 1, 'love': 2, 'profile': 1, 'whisper': 1, 'ear': 1, 'shook': 1, 'blush': 1, 'just': 5, 'catch': 2, 'sea': 1, 'breeze': 1, 'pvs': 1, 'chrome': 2, 'd3s': 1, 'decked': 1, 'out': 5, 'tvs': 1, 'cds': 1, 'crazy': 1, 'bass': 1, 'lady': 3, 'laced': 1, 'fooled': 1, 'by': 2, 'baby': 1, 'face': 1, 'hope': 1, 'ya': 5, 'cause': 3, 'thighs': 1, 'hot': 2, 'plan': 1, 'rise': 1, 'top': 2, 'told': 1, 'before': 1, 'first': 1, 'pursued': 1, 'want': 2, 'interlude': 1, 'nude': 1, 'way': 1, 'feela': 1, 'sip': 1, 'tequila': 1, 'works': 1, 'dealers': 1, 'fulllength': 1, 'chinchilla': 1, 'heat': 1, 'clutch': 1, 'sevenfifty': 1, 'deluxe': 1, 'then': 3, 'we': 2, 'down': 2, 'hutch': 1, 'breakin': 1, 'trees': 1, 'dutch': 1, 'sleep': 1, 'eat': 1, 'quick': 1, 'cheap': 1, 'trick': 1, 'better': 1, 'freaknik': 1, 'hit': 1, 'off': 4, 'buy': 1, 'gifts': 1, 'course': 1, 'look': 2, 'sick': 1, 'six': 2, 'christian': 1, 'lacroix': 1, 'uh': 3, 'yeah': 3, 'heres': 2, 'another': 3, 'ladies': 19, 'must': 1, 'angie': 1, 'mic': 1, 'butter': 1, 'p': 1, 'honey': 1, 'sugar': 1, 'spice': 1, 'roll': 1, 'ls': 1, 'tight': 4, 'rhymes': 5, 'right': 5, 'motherfucker': 1, 'last': 1, 'rookie': 1, 'allstar': 1, 'team': 2, 'gettin': 1, 'cream': 1, 'thelma': 1, 'louise': 1, 'never': 2, 'leave': 2, 'brooklyn': 1, 'shit': 4, 'alone': 1, 'say': 1, 'bang': 1, 'whips': 1, 'pack': 1, 'call': 2, 'roadie': 1, 'chips': 1, 'wrists': 1, 'french': 1, 'kiss': 1, 'dismissed': 1, 'chicks': 2, 'split': 1, 'fourfifth': 1, 'make': 1, 'dance': 1, 'ow': 2, 'stay': 2, 'focused': 1, 'dopest': 2, 'penny': 1, 'hole': 1, 'yall': 3, 'hopeless': 1, 'toke': 1, 'aint': 6, 'lyin': 1, 'niggas': 7, 'trying': 1, 'knock': 1, 'takes': 1, 'phone': 1, 'promote': 1, 'ass': 2, 'soundtrack': 1, 'new': 1, 'jack': 1, 'citay': 1, 'set': 1, 'eightfitay': 1, 'missin': 1, 'buck': 2, 'fuck': 3, 'bump': 1, 'biggie': 1, 'trunk': 1, 'thorough': 1, 'bitches': 4, 'lemme': 1, 'bankhead': 1, 'richest': 1, 'rap': 2, 'mae': 1, 'west': 1, 'qb': 1, 'sisters': 1, 'our': 3, 'feel': 3, 'packin': 1, 'gun': 1, 'some': 1, 'other': 2, 'raw': 1, 'for': 2, 'lay': 2, 'dat': 1, 'flat': 1, 'chokin': 1, 'paragraphs': 1, 'laughs': 1, 'getcha': 1, 'back': 1, 'path': 1, 'stoppin': 1, 'club': 1, 'hoppin': 1, 'gets': 1, 'flavors': 1, 'frozen': 1, 'at': 1, 'paradise': 1, 'joint': 1, 'booty': 1, 'shakin': 1, 'glass': 1, 'left': 1, 'righthand': 1, 'sayin': 3, 'stepson': 1, 'fancy': 1, 'fly': 1, 'straight': 2, 'snitches': 1, 'them': 1, 'chicos': 1, 'pimp': 1, 'havin': 1, 'cash': 1, 'stash': 1, 'suck': 1, 'dick': 1, 'hoes': 1, 'strictly': 1, 'bell': 1, 'ringer': 1, 'finger': 1, 'big': 1, 'bad': 1, 'wolf': 1, 'miss': 1, 'singer': 1, 'blame': 1, 'flames': 1, 'risin': 1, 'how': 1, 'these': 1, 'bogus': 1, 'try': 1, 'notice': 1, 'approachin': 1, 'intentions': 1, 'focusin': 1, 'they': 2, 'riches': 1, 'too': 1, 'kitchen': 1, 'dicks': 1, 'lifted': 1, 'rhythm': 1, 'kick': 1, 'puzzle': 1, 'arithematic': 1, 'fillin': 1, 'sluggers': 1, 'nine': 1, 'milli': 1, 'luger': 1, 'clip': 1, 'bust': 1, 'kickin': 1, 'dust': 1, 'spread': 1, 'rumors': 1, 'makin': 1, 'sicker': 1, 'than': 1, 'head': 1, 'tumors': 1, 'humor': 1, 'huggin': 1, 'lovin': 1, 'bet': 1, 'phony': 1, 'buggin': 1, 'tell': 1, 'thug': 1, 'sell': 1, 'drugs': 1, 'push': 1, 'keys': 1, 'need': 1, 'mo': 1, 'deez': 1, 'vvs': 1, 'm3s': 1, 'smoke': 1, 'weed': 1, 'overseas': 1, 'pimped': 1, 'styled': 1, 'roleys': 1, 'police': 1, 'wallet': 1, 'obese': 1, 'windy': 1, 'city': 1, 'woman': 1, 'gunnin': 1, 'chi': 1, 'tonights': 1, 'lets': 1, 'heh': 7, 'yaknowhatimsayin': 1, 'gon': 1, 'without': 1, 'sunun': 1, 'track': 1, 'gonna': 1, 'use': 1, 'singin': 1, 'hooks': 1, 'patti': 1, 'labelle': 1, 'or': 1, 'somebody': 1, 'nigga': 1, 'check': 1, 'huh': 1, 'should': 1, 'missy': 1, 'stead': 1, 'bein': 1, 'mike': 1, 'ride': 1, 'ponies': 1, 'instead': 1, 'ridin': 1, 'bikes': 1, 'incite': 1, 'gotta': 1, 'flight': 1, 'around': 1, 'three': 1, 'us': 2, 'elektra': 1, 'hehe': 1}"
2011,"{'its': 4, 'funny': 1, 'cause': 1, 'you': 50, 'know': 10, 'weve': 1, 'been': 5, 'asking': 1, 'people': 2, 'what': 5, 'they': 2, 'wanted': 1, 'to': 14, 'i': 36, 'mean': 2, 'clearly': 1, 'youve': 1, 'having': 1, 'this': 10, 'thing': 2, 'with': 9, 'kim': 9, 'and': 20, 'dont': 3, 'just': 5, 'thinking': 2, 'about': 6, 'where': 1, 'were': 1, 'from': 3, 'that': 5, 'youre': 7, 'a': 23, 'rapper': 1, 'im': 19, 'sure': 1, 'things': 1, 'have': 3, 'gotten': 1, 'crazy': 1, 'are': 1, 'assuming': 1, 'even': 1, 'though': 1, 'say': 1, 'not': 3, 'specifically': 1, 'her': 3, 'romans': 2, 'revenge': 2, 'is': 8, 'for': 10, 'umm': 1, 'she': 1, 'really': 2, 'jumped': 1, 'out': 4, 'the': 29, 'window': 1, 'gotta': 1, 'be': 5, 'careful': 1, 'when': 2, 'pick': 1, 'fights': 1, 'thats': 2, 'ive': 1, 'learned': 1, 'in': 10, 'business': 1, 'never': 3, 'shut': 1, 'fuck': 4, 'up': 4, 'who': 3, 'want': 1, 'war': 1, 'fed': 1, 'ex': 1, 'beef': 2, 'straight': 1, 'your': 11, 'front': 1, 'door': 1, 'it': 7, 'will': 2, 'murder': 1, 'scene': 1, 'turnin': 1, 'pink': 2, 'friday': 2, 'into': 1, '13th': 1, 'aight': 1, 'lil': 2, 'clone': 2, 'clown': 1, 'all': 7, 'buffoonery': 1, 'shit': 9, 'stops': 1, 'now': 3, 'time': 1, 'lay': 1, 'down': 2, 'sick': 1, 'of': 6, 'frauds': 1, 'put': 2, 'hands': 2, 'on': 8, 'bitch': 7, 'like': 12, 'spa': 1, 'massage': 1, 'we': 1, 'last': 2, 'name': 2, 'got': 4, 'job': 1, 'together': 1, 'gimmick': 1, 'something': 1, 'collage': 1, 'since': 1, 'puttin': 1, 'show': 1, 'gon': 1, 'get': 2, 'applause': 1, 'clap': 2, 'lift': 1, 'ya': 3, 'frame': 1, 'fucking': 1, 'garage': 1, 'hood': 2, 'drake': 1, 'aint': 6, 'built': 1, 'other': 2, 'almost': 1, 'killed': 1, 'still': 3, 'counting': 1, 'hardcore': 1, 'generated': 1, 'bet': 1, 'my': 15, 'keeps': 1, 'spinning': 1, 'syndicated': 1, 'corny': 1, 'broad': 1, 'ill': 1, 'leave': 2, 'bloody': 1, 'menstruated': 1, 'hot': 2, 'air': 1, 'ass': 3, 'should': 2, 'deflated': 1, 'championship': 1, 'fight': 1, 'greatest': 1, 'see': 4, 'fact': 1, 'doing': 1, 'did': 1, 'lames': 1, 'trying': 1, 'style': 1, 'run': 3, 'cool': 1, 'was': 4, 'first': 1, 'one': 1, 'yous': 1, 'wanna': 1, 'hate': 1, 'admit': 1, 'blueprint': 1, 'nothing': 1, 'brand': 1, 'new': 2, 'check': 1, 'posters': 1, 'videos': 1, 'always': 1, 'number': 1, '2': 1, 'seen': 2, 'them': 2, 'come': 2, 'go': 3, 'remain': 1, 'sweety': 1, '14th': 1, 'minute': 1, 'fame': 1, 'over': 1, '10': 1, 'year': 1, 'strong': 1, 'running': 1, 'game': 1, 'cut': 1, 'comparison': 1, 'legendary': 1, 'lane': 1, 'fighting': 1, 'spot': 1, 'child': 1, 'please': 1, 'solidified': 1, 'tied': 1, 'couldnt': 1, 'beat': 1, 'me': 8, 'if': 4, 'bitches': 2, 'tried': 1, 'either': 1, 'high': 1, 'or': 1, 'sippin': 1, 'wayne': 1, 'top': 1, 'dollar': 1, 'whatever': 1, 'stick': 1, 'head': 2, 'tornado': 1, 'brainstorm': 1, 'drop': 1, 'bombs': 1, 'flex': 1, 'napalms': 1, 'black': 1, 'yellow': 1, 'well': 1, 'pull': 1, 'ghetto': 1, 'giuseppes': 1, 'step': 1, 'posted': 1, 'stilettos': 1, 'pussy': 2, 'so': 6, 'kitty': 1, 'sayin': 1, 'hello': 1, 'whistle': 1, 'theyll': 1, 'pistol': 1, 'whip': 1, '5': 1, 'boroughs': 1, 'brooklyn': 2, 'everywhere': 1, 'comfortably': 1, 'pumped': 1, 'told': 1, 'romp': 1, 'type': 2, 'mouth': 1, 'then': 1, 'poppin': 2, 'off': 3, 'no': 3, 'company': 1, 'cmon': 2, 'queens': 1, 'showin': 1, 'love': 1, 'there': 1, 'night': 1, 'bottles': 1, 'thugs': 1, 'washington': 1, 'heffa': 1, 'benji': 1, 'buzz': 1, 'right': 2, 'had': 2, 'frenzy': 1, 'oh': 2, 'yeah': 1, 'welcome': 1, 'fam': 1, 'fendi': 1, 'need': 1, 'stop': 1, 'burning': 1, 'match': 1, 'means': 1, 'end': 1, 'near': 1, 'soon': 1, 'copy': 1, 'gassed': 1, 'past': 2, 'betta': 1, 'slow': 1, 'dummy': 1, 'crash': 1, 'stank': 1, 'ho': 1, 'givin': 1, 'bath': 1, 'thermometer': 1, 'hand': 1, 'comin': 1, 'think': 1, 'gettin': 1, 'through': 1, 'whole': 3, 'made': 1, 'glass': 1, 'draw': 1, 'back': 1, 'thorough': 1, 'rep': 1, 'borough': 1, 'try': 1, 'settle': 1, 'ride': 1, 'til': 2, 'wheels': 1, 'fall': 1, 'niggas': 1, 'squeeze': 1, 'shell': 1, 'team': 2, 'bunch': 2, 'wierdos': 1, 'yousa': 1, 'airhead': 1, 'scarecrow': 1, 'nothin': 1, 'old': 1, 'but': 2, 'money': 2, 'grown': 1, 'liquid': 1, 'assets': 1, 'benjamins': 1, 'daddy': 1, 'young': 1, 'bastards': 1, 'diddy': 1, 'sorry': 3, 'swagger': 1, 'jackers': 1, 'mothered': 1, 'hoes': 1, 'claim': 1, 'income': 1, 'taxes': 1, 'bobby': 1, 'fischer': 1, 'flesh': 1, 'taught': 1, 'by': 1, 'great': 1, 'next': 1, 'move': 1, 'yellin': 1, 'checkmate': 1, 'smell': 1, 'massacre': 1, 'charles': 1, 'manson': 1, 'stand': 1, 'chance': 1, 'jeffrey': 1, 'dahmer': 1, 'lookin': 1, 'lunch': 1, 'bout': 1, 'kill': 1, 'ted': 1, 'bundy': 2, 'red': 1, 'pegg': 1, 'hilarious': 1, 'thanks': 1, 'laughs': 1, 'garbage': 1, 'takin': 1, 'trash': 1, 'baby': 1, 'girl': 1, 'enough': 1, 'shots': 1, 'world': 2, 'nuisance': 1, 'youd': 1, 'probably': 1, 'steal': 1, 'could': 1, 'chuck': 1, 'deuces': 1, 'around': 1, 'ball': 2, 'stack': 1, 'chips': 1, 'call': 1, 'miss': 1, 'rothstein': 1, 'tricks': 1, 'kids': 1, 'silly': 1, 'rabbit': 1, 'offspring': 1, 'more': 1, 'anticipated': 1, 'than': 1, 'lebron': 1, 'ring': 1, 'guys': 1, 'asked': 1, 'actually': 1, 'thought': 1, 'apologize': 1, 'temporary': 1, 'insanity': 1, 'lost': 1, 'teeth': 1, 'mind': 1}"
